Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
09/04/2026,AFMA,AFM,1235.0,1235.0,1235.0,1235.0,50,61750.0,2,1235000000.0
08/04/2026,AFMA,AFM,-,1245.0,-,-,-,-,-,1245000000.0
07/04/2026,AFMA,AFM,1245.0,1245.0,1245.0,1245.0,1,1245.0,1,1245000000.0
06/04/2026,AFMA,AFM,1246.0,1246.0,1246.0,1246.0,1,1246.0,1,1246000000.0
03/04/2026,AFMA,AFM,-,1246.0,-,-,-,-,-,1246000000.0
02/04/2026,AFMA,AFM,1246.0,1246.0,1246.0,1246.0,1,1246.0,1,1246000000.0
01/04/2026,AFMA,AFM,1248.0,1248.0,1248.0,1248.0,1,1248.0,1,1248000000.0
31/03/2026,AFMA,AFM,-,1249.0,-,-,-,-,-,1249000000.0
30/03/2026,AFMA,AFM,1249.0,1249.0,1249.0,1249.0,43,53707.0,4,1249000000.0
27/03/2026,AFMA,AFM,1180.0,1180.0,1180.0,1180.0,2,2360.0,1,1180000000.0
26/03/2026,AFMA,AFM,1114.0,1114.0,1114.0,1114.0,7393,8235802.0,18,1114000000.0
25/03/2026,AFMA,AFM,1185.0,1185.0,1185.0,1185.0,63,74655.0,3,1185000000.0
24/03/2026,AFMA,AFM,1260.0,1260.0,1260.0,1260.0,2,2520.0,1,1260000000.0
19/03/2026,AFMA,AFM,1289.0,1289.0,1289.0,1289.0,1,1289.0,1,1289000000.0
18/03/2026,AFMA,AFM,-,1260.0,-,-,-,-,-,1260000000.0
17/03/2026,AFMA,AFM,-,1260.0,-,-,-,-,-,1260000000.0
16/03/2026,AFMA,AFM,-,1260.0,-,-,-,-,-,1260000000.0
13/03/2026,AFMA,AFM,-,1260.0,-,-,-,-,-,1260000000.0
12/03/2026,AFMA,AFM,-,1260.0,-,-,-,-,-,1260000000.0
11/03/2026,AFMA,AFM,-,1260.0,-,-,-,-,-,1260000000.0
10/03/2026,AFMA,AFM,1260.0,1260.0,1260.0,1260.0,21,26460.0,2,1260000000.0
09/03/2026,AFMA,AFM,-,1242.0,-,-,-,-,-,1242000000.0
06/03/2026,AFMA,AFM,1242.0,1242.0,1242.0,1242.0,10,12420.0,3,1242000000.0
05/03/2026,AFMA,AFM,1172.0,1172.0,1172.0,1172.0,2,2344.0,1,1172000000.0
04/03/2026,AFMA,AFM,-,1246.0,-,-,-,-,-,1246000000.0
03/03/2026,AFMA,AFM,-,1246.0,-,-,-,-,-,1246000000.0
02/03/2026,AFMA,AFM,-,1246.0,-,-,-,-,-,1246000000.0
27/02/2026,AFMA,AFM,-,1246.0,-,-,-,-,-,1246000000.0
26/02/2026,AFMA,AFM,1246.0,1246.0,1246.0,1246.0,2,2492.0,1,1246000000.0
25/02/2026,AFMA,AFM,-,1246.0,-,-,-,-,-,1246000000.0
24/02/2026,AFMA,AFM,-,1246.0,-,-,-,-,-,1246000000.0
23/02/2026,AFMA,AFM,1246.0,1246.0,1246.0,1246.0,1,1246.0,1,1246000000.0
20/02/2026,AFMA,AFM,-,1245.0,-,-,-,-,-,1245000000.0
19/02/2026,AFMA,AFM,-,1245.0,-,-,-,-,-,1245000000.0
18/02/2026,AFMA,AFM,-,1245.0,-,-,-,-,-,1245000000.0
17/02/2026,AFMA,AFM,-,1245.0,-,-,-,-,-,1245000000.0
16/02/2026,AFMA,AFM,-,1245.0,-,-,-,-,-,1245000000.0
13/02/2026,AFMA,AFM,-,1245.0,-,-,-,-,-,1245000000.0
