Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
17/03/2026,AFRIC INDUSTRIES SA,AFI,336.0,335.0,336.9,335.0,13,4371.4,3,97652500.0
16/03/2026,AFRIC INDUSTRIES SA,AFI,338.85,336.0,338.85,336.0,118,39793.05,14,97944000.0
13/03/2026,AFRIC INDUSTRIES SA,AFI,339.9,338.0,339.9,338.0,152,51661.0,5,98527000.0
12/03/2026,AFRIC INDUSTRIES SA,AFI,336.0,335.0,336.0,333.0,178,59379.3,18,97652500.0
11/03/2026,AFRIC INDUSTRIES SA,AFI,336.0,333.0,336.0,333.0,117,39237.6,16,97069500.0
10/03/2026,AFRIC INDUSTRIES SA,AFI,330.6,336.0,336.0,330.6,327,108863.7,32,97944000.0
09/03/2026,AFRIC INDUSTRIES SA,AFI,338.0,336.1,338.0,335.1,83,27980.1,11,97973150.0
06/03/2026,AFRIC INDUSTRIES SA,AFI,340.0,339.95,340.0,335.0,127,42998.45,17,99095425.0
05/03/2026,AFRIC INDUSTRIES SA,AFI,337.5,335.0,340.0,335.0,239,80712.5,16,97652500.0
04/03/2026,AFRIC INDUSTRIES SA,AFI,332.0,337.5,337.5,330.0,218,72435.75,32,98381250.0
03/03/2026,AFRIC INDUSTRIES SA,AFI,335.0,330.5,335.0,330.5,977,324547.45,37,96340750.0
02/03/2026,AFRIC INDUSTRIES SA,AFI,338.0,332.0,338.95,332.0,2300,765735.1,73,96778000.0
27/02/2026,AFRIC INDUSTRIES SA,AFI,343.0,340.0,343.0,340.0,431,146823.75,23,99110000.0
26/02/2026,AFRIC INDUSTRIES SA,AFI,343.0,343.0,343.0,340.0,38,12956.0,10,99984500.0
25/02/2026,AFRIC INDUSTRIES SA,AFI,342.45,342.5,343.0,340.1,360,123245.9,11,99838750.0
24/02/2026,AFRIC INDUSTRIES SA,AFI,340.0,342.5,344.0,340.0,109,37279.5,9,99838750.0
23/02/2026,AFRIC INDUSTRIES SA,AFI,347.5,347.5,347.5,347.5,3,1042.5,2,101296250.0
20/02/2026,AFRIC INDUSTRIES SA,AFI,348.9,348.0,348.9,345.0,13,4525.5,5,101442000.0
19/02/2026,AFRIC INDUSTRIES SA,AFI,340.0,349.0,350.0,340.0,154,52810.05,9,101733500.0
18/02/2026,AFRIC INDUSTRIES SA,AFI,340.0,337.0,340.0,337.0,20,6760.0,3,98235500.0
17/02/2026,AFRIC INDUSTRIES SA,AFI,340.0,340.0,340.0,339.9,493,167619.4,12,99110000.0
16/02/2026,AFRIC INDUSTRIES SA,AFI,340.0,340.0,340.0,340.0,193,65620.0,15,99110000.0
13/02/2026,AFRIC INDUSTRIES SA,AFI,338.0,340.0,340.0,338.0,85,28822.0,4,99110000.0
12/02/2026,AFRIC INDUSTRIES SA,AFI,332.0,337.0,338.0,331.5,301,99968.5,16,98235500.0
11/02/2026,AFRIC INDUSTRIES SA,AFI,340.0,338.0,340.0,338.0,106,35880.0,13,98527000.0
10/02/2026,AFRIC INDUSTRIES SA,AFI,333.0,339.0,339.0,333.0,137,46211.0,10,98818500.0
09/02/2026,AFRIC INDUSTRIES SA,AFI,335.0,335.0,335.5,335.0,94,31505.0,6,97652500.0
06/02/2026,AFRIC INDUSTRIES SA,AFI,339.0,330.5,339.0,330.5,158,52507.85,16,96340750.0
05/02/2026,AFRIC INDUSTRIES SA,AFI,330.1,330.2,339.5,330.1,2569,849102.15,75,96253300.0
04/02/2026,AFRIC INDUSTRIES SA,AFI,341.0,340.0,341.0,335.2,104,35085.0,10,99110000.0
03/02/2026,AFRIC INDUSTRIES SA,AFI,335.0,339.5,339.5,335.0,57,19152.0,11,98964250.0
02/02/2026,AFRIC INDUSTRIES SA,AFI,339.8,335.0,340.0,335.0,292,98567.7,23,97652500.0
30/01/2026,AFRIC INDUSTRIES SA,AFI,340.0,338.3,340.0,338.15,73,24722.5,10,98614450.0
