Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
17/03/2026,AFRIQUIA GAZ,GAZ,3900.0,3900.0,3900.0,3802.0,149,578649.0,17,13406250000.0
16/03/2026,AFRIQUIA GAZ,GAZ,3900.0,3900.0,3900.0,3854.0,107,416986.0,29,13406250000.0
13/03/2026,AFRIQUIA GAZ,GAZ,3900.0,3900.0,3900.0,3890.0,447,1742955.0,36,13406250000.0
12/03/2026,AFRIQUIA GAZ,GAZ,3999.0,3900.0,3999.0,3900.0,524,2046062.0,21,13406250000.0
11/03/2026,AFRIQUIA GAZ,GAZ,3945.0,3852.0,3950.0,3852.0,125,483920.0,12,13241250000.0
10/03/2026,AFRIQUIA GAZ,GAZ,3880.0,3800.0,3900.0,3800.0,468,1800534.0,42,13062500000.0
09/03/2026,AFRIQUIA GAZ,GAZ,3700.0,3798.0,3975.0,3700.0,441,1676426.0,84,13055625000.0
06/03/2026,AFRIQUIA GAZ,GAZ,4050.0,3664.0,4050.0,3664.0,1045,3846250.0,104,12595000000.0
05/03/2026,AFRIQUIA GAZ,GAZ,4140.0,4050.0,4179.0,3900.0,95,388572.0,25,13921875000.0
04/03/2026,AFRIQUIA GAZ,GAZ,4070.0,3800.0,4150.0,3800.0,200,766877.0,45,13062500000.0
03/03/2026,AFRIQUIA GAZ,GAZ,4150.0,4002.0,4188.0,4002.0,36,147660.0,18,13756875000.0
02/03/2026,AFRIQUIA GAZ,GAZ,4070.0,4070.0,4198.0,3950.0,168,681906.0,48,13990625000.0
27/02/2026,AFRIQUIA GAZ,GAZ,4111.0,4200.0,4200.0,4111.0,17,70596.0,11,14437500000.0
26/02/2026,AFRIQUIA GAZ,GAZ,4198.0,4198.0,4198.0,4198.0,1,4198.0,1,14430625000.0
25/02/2026,AFRIQUIA GAZ,GAZ,4111.0,4199.0,4199.0,4111.0,5,20643.0,3,14434062500.0
24/02/2026,AFRIQUIA GAZ,GAZ,4200.0,4200.0,4200.0,4200.0,2,8400.0,1,14437500000.0
23/02/2026,AFRIQUIA GAZ,GAZ,4200.0,4200.0,4200.0,4200.0,4,16800.0,3,14437500000.0
20/02/2026,AFRIQUIA GAZ,GAZ,4170.0,4165.0,4170.0,4150.0,18,74915.0,7,14317187500.0
19/02/2026,AFRIQUIA GAZ,GAZ,4171.0,4170.0,4171.0,4170.0,3,12511.0,3,14334375000.0
18/02/2026,AFRIQUIA GAZ,GAZ,4249.0,4220.0,4249.0,4220.0,16,67943.0,7,14506250000.0
17/02/2026,AFRIQUIA GAZ,GAZ,4250.0,4249.0,4250.0,4249.0,21,89230.0,4,14605937500.0
16/02/2026,AFRIQUIA GAZ,GAZ,4080.0,4250.0,4250.0,4071.0,268,1136231.0,20,14609375000.0
13/02/2026,AFRIQUIA GAZ,GAZ,4169.0,4130.0,4170.0,4075.0,2071,8553077.0,8,14196875000.0
12/02/2026,AFRIQUIA GAZ,GAZ,4099.0,4170.0,4170.0,4071.0,206,858482.0,12,14334375000.0
11/02/2026,AFRIQUIA GAZ,GAZ,-,4099.0,-,-,-,-,-,14090312500.0
10/02/2026,AFRIQUIA GAZ,GAZ,4099.0,4099.0,4099.0,4099.0,188,770612.0,4,14090312500.0
09/02/2026,AFRIQUIA GAZ,GAZ,4071.0,4099.0,4099.0,4071.0,3,12241.0,2,14090312500.0
06/02/2026,AFRIQUIA GAZ,GAZ,4110.0,4099.0,4110.0,4099.0,191,783003.0,10,14090312500.0
05/02/2026,AFRIQUIA GAZ,GAZ,4144.0,4100.0,4149.0,4100.0,58,238101.0,10,14093750000.0
04/02/2026,AFRIQUIA GAZ,GAZ,4100.0,4180.0,4180.0,4100.0,7,29020.0,2,14368750000.0
03/02/2026,AFRIQUIA GAZ,GAZ,4068.0,4068.0,4068.0,4068.0,5,20340.0,3,13983750000.0
02/02/2026,AFRIQUIA GAZ,GAZ,4076.0,4100.0,4105.0,4025.0,488,1965006.0,13,14093750000.0
30/01/2026,AFRIQUIA GAZ,GAZ,4125.0,4076.0,4125.0,4076.0,10,40833.0,3,14011250000.0
29/01/2026,AFRIQUIA GAZ,GAZ,4101.0,4200.0,4200.0,4100.0,15,62347.0,10,14437500000.0
28/01/2026,AFRIQUIA GAZ,GAZ,4138.0,4150.0,4150.0,4138.0,9,37278.0,4,14265625000.0
27/01/2026,AFRIQUIA GAZ,GAZ,4061.0,4060.0,4061.0,4060.0,18,73090.0,3,13956250000.0
26/01/2026,AFRIQUIA GAZ,GAZ,4065.0,4060.0,4065.0,4060.0,16,64992.0,9,13956250000.0
23/01/2026,AFRIQUIA GAZ,GAZ,4135.0,4100.0,4135.0,4100.0,170,697212.0,7,14093750000.0
22/01/2026,AFRIQUIA GAZ,GAZ,4135.0,4138.0,4138.0,4135.0,2,8273.0,2,14224375000.0
21/01/2026,AFRIQUIA GAZ,GAZ,4140.0,4140.0,4140.0,4068.0,16,65409.0,6,14231250000.0
20/01/2026,AFRIQUIA GAZ,GAZ,4106.0,4140.0,4150.0,4106.0,10,41396.0,4,14231250000.0
19/01/2026,AFRIQUIA GAZ,GAZ,4102.0,4199.0,4199.0,4102.0,7,29199.0,6,14434062500.0
16/01/2026,AFRIQUIA GAZ,GAZ,4200.0,4200.0,4200.0,4200.0,304,1276800.0,9,14437500000.0
15/01/2026,AFRIQUIA GAZ,GAZ,4200.0,4200.0,4200.0,4101.0,38,159393.0,11,14437500000.0
13/01/2026,AFRIQUIA GAZ,GAZ,4150.0,4215.0,4215.0,4065.0,411,1730468.0,16,14489062500.0
12/01/2026,AFRIQUIA GAZ,GAZ,4100.0,4100.0,4100.0,4066.0,145,594190.0,20,14093750000.0
09/01/2026,AFRIQUIA GAZ,GAZ,4150.0,4100.0,4150.0,4095.0,1390,5696873.0,17,14093750000.0
08/01/2026,AFRIQUIA GAZ,GAZ,4215.0,4150.0,4215.0,4102.0,20,83117.0,9,14265625000.0
07/01/2026,AFRIQUIA GAZ,GAZ,4195.0,4150.0,4200.0,4150.0,1566,6499645.0,7,14265625000.0
06/01/2026,AFRIQUIA GAZ,GAZ,4195.0,4100.0,4195.0,4100.0,2037,8454483.0,13,14093750000.0
17/03/2026,AFRIQUIA GAZ,GAZ,3900.0,3900.0,3900.0,3802.0,149,578649.0,17,13406250000.0
16/03/2026,AFRIQUIA GAZ,GAZ,3900.0,3900.0,3900.0,3854.0,107,416986.0,29,13406250000.0
13/03/2026,AFRIQUIA GAZ,GAZ,3900.0,3900.0,3900.0,3890.0,447,1742955.0,36,13406250000.0
12/03/2026,AFRIQUIA GAZ,GAZ,3999.0,3900.0,3999.0,3900.0,524,2046062.0,21,13406250000.0
11/03/2026,AFRIQUIA GAZ,GAZ,3945.0,3852.0,3950.0,3852.0,125,483920.0,12,13241250000.0
10/03/2026,AFRIQUIA GAZ,GAZ,3880.0,3800.0,3900.0,3800.0,468,1800534.0,42,13062500000.0
09/03/2026,AFRIQUIA GAZ,GAZ,3700.0,3798.0,3975.0,3700.0,441,1676426.0,84,13055625000.0
06/03/2026,AFRIQUIA GAZ,GAZ,4050.0,3664.0,4050.0,3664.0,1045,3846250.0,104,12595000000.0
05/03/2026,AFRIQUIA GAZ,GAZ,4140.0,4050.0,4179.0,3900.0,95,388572.0,25,13921875000.0
04/03/2026,AFRIQUIA GAZ,GAZ,4070.0,3800.0,4150.0,3800.0,200,766877.0,45,13062500000.0
03/03/2026,AFRIQUIA GAZ,GAZ,4150.0,4002.0,4188.0,4002.0,36,147660.0,18,13756875000.0
02/03/2026,AFRIQUIA GAZ,GAZ,4070.0,4070.0,4198.0,3950.0,168,681906.0,48,13990625000.0
27/02/2026,AFRIQUIA GAZ,GAZ,4111.0,4200.0,4200.0,4111.0,17,70596.0,11,14437500000.0
26/02/2026,AFRIQUIA GAZ,GAZ,4198.0,4198.0,4198.0,4198.0,1,4198.0,1,14430625000.0
25/02/2026,AFRIQUIA GAZ,GAZ,4111.0,4199.0,4199.0,4111.0,5,20643.0,3,14434062500.0
24/02/2026,AFRIQUIA GAZ,GAZ,4200.0,4200.0,4200.0,4200.0,2,8400.0,1,14437500000.0
23/02/2026,AFRIQUIA GAZ,GAZ,4200.0,4200.0,4200.0,4200.0,4,16800.0,3,14437500000.0
20/02/2026,AFRIQUIA GAZ,GAZ,4170.0,4165.0,4170.0,4150.0,18,74915.0,7,14317187500.0
19/02/2026,AFRIQUIA GAZ,GAZ,4171.0,4170.0,4171.0,4170.0,3,12511.0,3,14334375000.0
18/02/2026,AFRIQUIA GAZ,GAZ,4249.0,4220.0,4249.0,4220.0,16,67943.0,7,14506250000.0
17/02/2026,AFRIQUIA GAZ,GAZ,4250.0,4249.0,4250.0,4249.0,21,89230.0,4,14605937500.0
16/02/2026,AFRIQUIA GAZ,GAZ,4080.0,4250.0,4250.0,4071.0,268,1136231.0,20,14609375000.0
13/02/2026,AFRIQUIA GAZ,GAZ,4169.0,4130.0,4170.0,4075.0,2071,8553077.0,8,14196875000.0
12/02/2026,AFRIQUIA GAZ,GAZ,4099.0,4170.0,4170.0,4071.0,206,858482.0,12,14334375000.0
11/02/2026,AFRIQUIA GAZ,GAZ,-,4099.0,-,-,-,-,-,14090312500.0
10/02/2026,AFRIQUIA GAZ,GAZ,4099.0,4099.0,4099.0,4099.0,188,770612.0,4,14090312500.0
09/02/2026,AFRIQUIA GAZ,GAZ,4071.0,4099.0,4099.0,4071.0,3,12241.0,2,14090312500.0
06/02/2026,AFRIQUIA GAZ,GAZ,4110.0,4099.0,4110.0,4099.0,191,783003.0,10,14090312500.0
05/02/2026,AFRIQUIA GAZ,GAZ,4144.0,4100.0,4149.0,4100.0,58,238101.0,10,14093750000.0
04/02/2026,AFRIQUIA GAZ,GAZ,4100.0,4180.0,4180.0,4100.0,7,29020.0,2,14368750000.0
03/02/2026,AFRIQUIA GAZ,GAZ,4068.0,4068.0,4068.0,4068.0,5,20340.0,3,13983750000.0
02/02/2026,AFRIQUIA GAZ,GAZ,4076.0,4100.0,4105.0,4025.0,488,1965006.0,13,14093750000.0
30/01/2026,AFRIQUIA GAZ,GAZ,4125.0,4076.0,4125.0,4076.0,10,40833.0,3,14011250000.0
