Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
09/04/2026,AGMA,AGM,-,6999.0,-,-,-,-,-,1399800000.0
08/04/2026,AGMA,AGM,-,6999.0,-,-,-,-,-,1399800000.0
07/04/2026,AGMA,AGM,6999.0,6999.0,6999.0,6999.0,2,13998.0,1,1399800000.0
06/04/2026,AGMA,AGM,-,7020.0,-,-,-,-,-,1404000000.0
03/04/2026,AGMA,AGM,-,7020.0,-,-,-,-,-,1404000000.0
02/04/2026,AGMA,AGM,-,7020.0,-,-,-,-,-,1404000000.0
01/04/2026,AGMA,AGM,-,7020.0,-,-,-,-,-,1404000000.0
31/03/2026,AGMA,AGM,7020.0,7020.0,7020.0,7020.0,1,7020.0,1,1404000000.0
30/03/2026,AGMA,AGM,7050.0,7050.0,7050.0,7050.0,4,28200.0,2,1410000000.0
27/03/2026,AGMA,AGM,-,6840.0,-,-,-,-,-,1368000000.0
26/03/2026,AGMA,AGM,6840.0,6840.0,6840.0,6840.0,10,68400.0,1,1368000000.0
25/03/2026,AGMA,AGM,6555.0,6555.0,6555.0,6555.0,2,13110.0,1,1311000000.0
24/03/2026,AGMA,AGM,-,6840.0,-,-,-,-,-,1368000000.0
19/03/2026,AGMA,AGM,-,6840.0,-,-,-,-,-,1368000000.0
18/03/2026,AGMA,AGM,-,6840.0,-,-,-,-,-,1368000000.0
17/03/2026,AGMA,AGM,-,6840.0,-,-,-,-,-,1368000000.0
16/03/2026,AGMA,AGM,-,6840.0,-,-,-,-,-,1368000000.0
13/03/2026,AGMA,AGM,-,6840.0,-,-,-,-,-,1368000000.0
12/03/2026,AGMA,AGM,-,6840.0,-,-,-,-,-,1368000000.0
11/03/2026,AGMA,AGM,6840.0,6840.0,6840.0,6840.0,8,54720.0,2,1368000000.0
10/03/2026,AGMA,AGM,-,6840.0,-,-,-,-,-,1368000000.0
09/03/2026,AGMA,AGM,-,6840.0,-,-,-,-,-,1368000000.0
06/03/2026,AGMA,AGM,-,6840.0,-,-,-,-,-,1368000000.0
05/03/2026,AGMA,AGM,-,6840.0,-,-,-,-,-,1368000000.0
04/03/2026,AGMA,AGM,-,6840.0,-,-,-,-,-,1368000000.0
03/03/2026,AGMA,AGM,-,6840.0,-,-,-,-,-,1368000000.0
02/03/2026,AGMA,AGM,-,6840.0,-,-,-,-,-,1368000000.0
27/02/2026,AGMA,AGM,-,6840.0,-,-,-,-,-,1368000000.0
26/02/2026,AGMA,AGM,-,6840.0,-,-,-,-,-,1368000000.0
25/02/2026,AGMA,AGM,6840.0,6840.0,6840.0,6840.0,2,13680.0,2,1368000000.0
24/02/2026,AGMA,AGM,6456.0,6456.0,6456.0,6456.0,1,6456.0,1,1291200000.0
23/02/2026,AGMA,AGM,6444.0,6444.0,6444.0,6444.0,1,6444.0,1,1288800000.0
20/02/2026,AGMA,AGM,-,6855.0,-,-,-,-,-,1371000000.0
19/02/2026,AGMA,AGM,-,6855.0,-,-,-,-,-,1371000000.0
18/02/2026,AGMA,AGM,-,6855.0,-,-,-,-,-,1371000000.0
17/02/2026,AGMA,AGM,-,6855.0,-,-,-,-,-,1371000000.0
16/02/2026,AGMA,AGM,-,6855.0,-,-,-,-,-,1371000000.0
13/02/2026,AGMA,AGM,6855.0,6855.0,6855.0,6855.0,21,143955.0,3,1371000000.0
12/02/2026,AGMA,AGM,6500.0,6500.0,6500.0,6500.0,36,234000.0,3,1300000000.0
11/02/2026,AGMA,AGM,6410.0,6410.0,6410.0,6410.0,11,70510.0,3,1282000000.0
10/02/2026,AGMA,AGM,6500.0,6500.0,6500.0,6500.0,2,13000.0,1,1300000000.0
09/02/2026,AGMA,AGM,6401.0,6401.0,6401.0,6401.0,1,6401.0,1,1280200000.0
06/02/2026,AGMA,AGM,6500.0,6500.0,6500.0,6500.0,3,19500.0,2,1300000000.0
05/02/2026,AGMA,AGM,-,6500.0,-,-,-,-,-,1300000000.0
04/02/2026,AGMA,AGM,-,6500.0,-,-,-,-,-,1300000000.0
03/02/2026,AGMA,AGM,6500.0,6500.0,6500.0,6500.0,4,26000.0,1,1300000000.0
02/02/2026,AGMA,AGM,-,6699.0,-,-,-,-,-,1339800000.0
30/01/2026,AGMA,AGM,-,6699.0,-,-,-,-,-,1339800000.0
29/01/2026,AGMA,AGM,-,6699.0,-,-,-,-,-,1339800000.0
28/01/2026,AGMA,AGM,-,6699.0,-,-,-,-,-,1339800000.0
27/01/2026,AGMA,AGM,-,6699.0,-,-,-,-,-,1339800000.0
26/01/2026,AGMA,AGM,-,6699.0,-,-,-,-,-,1339800000.0
23/01/2026,AGMA,AGM,-,6699.0,-,-,-,-,-,1339800000.0
22/01/2026,AGMA,AGM,-,6699.0,-,-,-,-,-,1339800000.0
21/01/2026,AGMA,AGM,-,6699.0,-,-,-,-,-,1339800000.0
20/01/2026,AGMA,AGM,6699.0,6699.0,6699.0,6699.0,1,6699.0,1,1339800000.0
19/01/2026,AGMA,AGM,-,6699.0,-,-,-,-,-,1339800000.0
16/01/2026,AGMA,AGM,6699.0,6699.0,6699.0,6699.0,2,13398.0,2,1339800000.0
15/01/2026,AGMA,AGM,6700.0,6700.0,6700.0,6700.0,3,20100.0,3,1340000000.0
13/01/2026,AGMA,AGM,-,6350.0,-,-,-,-,-,1270000000.0
12/01/2026,AGMA,AGM,6350.0,6350.0,6350.0,6350.0,1,6350.0,1,1270000000.0
09/01/2026,AGMA,AGM,6700.0,6700.0,6700.0,6700.0,20,134000.0,4,1340000000.0
08/01/2026,AGMA,AGM,-,6400.0,-,-,-,-,-,1280000000.0
07/01/2026,AGMA,AGM,6400.0,6400.0,6400.0,6400.0,1,6400.0,1,1280000000.0
06/01/2026,AGMA,AGM,-,6335.0,-,-,-,-,-,1267000000.0
17/03/2026,AGMA,AGM,-,6840.0,-,-,-,-,-,1368000000.0
16/03/2026,AGMA,AGM,-,6840.0,-,-,-,-,-,1368000000.0
13/03/2026,AGMA,AGM,-,6840.0,-,-,-,-,-,1368000000.0
