Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
17/03/2026,AKDITAL,AKT,1085.0,1075.0,1085.0,1065.0,3802,4086999.0,108,15221147525.0
16/03/2026,AKDITAL,AKT,1050.0,1065.0,1075.0,1050.0,15114,15939261.0,252,15079555455.0
13/03/2026,AKDITAL,AKT,1079.0,1075.0,1080.0,1051.0,17214,18398341.0,202,15221147525.0
12/03/2026,AKDITAL,AKT,1082.0,1080.0,1088.0,1051.0,7880,8502011.0,251,15291943560.0
11/03/2026,AKDITAL,AKT,1080.0,1080.0,1081.0,1067.0,5783,6231649.0,190,15291943560.0
10/03/2026,AKDITAL,AKT,1075.0,1065.0,1088.0,1061.0,11093,11924606.0,415,15079555455.0
09/03/2026,AKDITAL,AKT,1001.0,1009.0,1035.0,1000.0,29680,29984163.0,621,14286639863.0
06/03/2026,AKDITAL,AKT,1114.0,1065.0,1138.0,1065.0,37323,40252525.0,595,15079555455.0
05/03/2026,AKDITAL,AKT,1035.0,1090.0,1090.0,1021.0,37006,39270594.0,541,15433535630.0
04/03/2026,AKDITAL,AKT,982.0,1000.0,1045.0,982.0,39376,39846301.0,1243,14159207000.0
03/03/2026,AKDITAL,AKT,1029.0,980.0,1029.0,975.0,46508,46087297.4,1390,13876022860.0
02/03/2026,AKDITAL,AKT,1051.0,1050.0,1099.0,1045.0,22256,23635514.0,929,14867167350.0
27/02/2026,AKDITAL,AKT,1175.0,1135.0,1175.0,1135.0,13489,15426256.0,233,16070699945.0
26/02/2026,AKDITAL,AKT,1173.0,1170.0,1173.0,1165.0,5685,6650351.0,124,16566272190.0
25/02/2026,AKDITAL,AKT,1174.0,1166.0,1175.0,1160.0,4925,5741291.0,189,16509635362.0
24/02/2026,AKDITAL,AKT,1155.0,1166.0,1175.0,1150.0,23630,27520828.0,240,16509635362.0
23/02/2026,AKDITAL,AKT,1150.0,1143.0,1151.0,1132.0,8908,10194319.0,112,16183973601.0
20/02/2026,AKDITAL,AKT,1136.0,1151.0,1151.0,1131.0,34368,39158555.0,211,16297247257.0
19/02/2026,AKDITAL,AKT,1131.0,1136.0,1136.0,1128.0,13143,14916791.0,97,16084859152.0
18/02/2026,AKDITAL,AKT,1137.0,1135.0,1138.0,1121.0,1549,1748904.0,109,16070699945.0
17/02/2026,AKDITAL,AKT,1117.0,1126.0,1140.0,1117.0,9244,10370201.0,183,15943267082.0
16/02/2026,AKDITAL,AKT,1120.0,1148.0,1148.0,1112.0,6900,7863062.0,264,16254769636.0
13/02/2026,AKDITAL,AKT,1118.0,1100.0,1120.0,1100.0,34200,37935209.0,416,15575127700.0
12/02/2026,AKDITAL,AKT,1100.0,1107.0,1130.0,1091.0,28560,31541968.0,283,15674242149.0
11/02/2026,AKDITAL,AKT,1100.0,1088.0,1100.0,1088.0,10465,11412965.0,441,15405217216.0
10/02/2026,AKDITAL,AKT,1119.0,1090.0,1119.0,1090.0,17625,19342720.0,646,15433535630.0
09/02/2026,AKDITAL,AKT,1140.0,1100.0,1140.0,1100.0,5380,6002219.0,424,15575127700.0
06/02/2026,AKDITAL,AKT,1090.0,1119.0,1140.0,1080.0,25463,28003777.0,842,15844152633.0
05/02/2026,AKDITAL,AKT,1129.0,1090.0,1129.0,1090.0,25209,27817004.0,1225,15433535630.0
04/02/2026,AKDITAL,AKT,1140.0,1130.0,1150.0,1130.0,3284,3722670.0,224,15999903910.0
03/02/2026,AKDITAL,AKT,1164.0,1130.0,1164.0,1130.0,10369,11814548.0,453,15999903910.0
02/02/2026,AKDITAL,AKT,1160.0,1140.0,1169.0,1137.0,10001,11491342.0,512,16141495980.0
30/01/2026,AKDITAL,AKT,1190.0,1153.0,1190.0,1153.0,11135,12968793.0,584,16325565671.0
29/01/2026,AKDITAL,AKT,1220.0,1180.0,1224.0,1180.0,12129,14488626.0,348,16707864260.0
28/01/2026,AKDITAL,AKT,1200.0,1220.0,1250.0,1194.0,17319,21143527.0,269,17274232540.0
27/01/2026,AKDITAL,AKT,1160.0,1199.0,1199.0,1150.0,2689,3161617.0,222,16976889193.0
26/01/2026,AKDITAL,AKT,1210.0,1178.0,1210.0,1150.0,5177,6099538.0,455,16679545846.0
23/01/2026,AKDITAL,AKT,1230.0,1200.0,1245.0,1200.0,11531,13957306.0,290,16991048400.0
22/01/2026,AKDITAL,AKT,1211.0,1230.0,1270.0,1211.0,5913,7369701.0,190,17415824610.0
