Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
17/03/2026,ALLIANCES,ADI,399.3,400.0,400.0,392.0,3565,1417115.05,86,8831435200.0
16/03/2026,ALLIANCES,ADI,393.0,392.0,393.0,390.0,5444,2132733.2,135,8654806496.0
13/03/2026,ALLIANCES,ADI,411.0,393.0,411.0,393.0,25957,10287795.05,294,8676885084.0
12/03/2026,ALLIANCES,ADI,415.8,415.5,415.8,402.0,7273,2957921.55,116,9173653314.0
11/03/2026,ALLIANCES,ADI,416.0,416.0,416.0,406.0,4973,2064958.3,102,9184692608.0
10/03/2026,ALLIANCES,ADI,420.0,416.0,423.0,415.1,45242,18941292.8,275,9184692608.0
09/03/2026,ALLIANCES,ADI,385.0,391.5,395.0,378.05,69524,26586520.95,731,8643767202.0
06/03/2026,ALLIANCES,ADI,444.0,419.0,450.0,410.0,46591,19966773.75,397,9250928372.0
05/03/2026,ALLIANCES,ADI,410.0,432.0,432.0,408.0,31780,13474473.65,229,9537950016.0
04/03/2026,ALLIANCES,ADI,410.05,401.0,429.0,400.0,73262,29859636.7,599,8853513788.0
03/03/2026,ALLIANCES,ADI,409.0,396.15,420.0,396.15,168304,67408490.25,731,8746432636.2
02/03/2026,ALLIANCES,ADI,441.15,440.15,455.0,440.15,69518,30813546.5,451,9717890508.2
27/02/2026,ALLIANCES,ADI,501.0,489.0,510.0,489.0,20406,10023482.2,202,10796429532.0
26/02/2026,ALLIANCES,ADI,509.0,500.0,509.0,500.0,5135,2567953.5,36,11039294000.0
25/02/2026,ALLIANCES,ADI,506.0,509.0,530.0,500.0,15288,7759149.2,124,11238001292.0
24/02/2026,ALLIANCES,ADI,511.6,506.6,511.6,506.6,5610,2849990.6,69,11185012680.8
23/02/2026,ALLIANCES,ADI,515.0,512.4,522.0,511.0,8304,4258112.0,46,11313068491.2
20/02/2026,ALLIANCES,ADI,525.0,520.0,525.0,510.0,17980,9340651.5,73,11480865760.0
19/02/2026,ALLIANCES,ADI,520.0,513.0,533.7,513.0,23320,12164916.6,70,11326315644.0
18/02/2026,ALLIANCES,ADI,520.0,521.0,533.0,507.0,17651,9203987.6,160,11502944348.0
17/02/2026,ALLIANCES,ADI,530.0,516.0,530.0,510.0,3912,2027046.2,101,11392551408.0
16/02/2026,ALLIANCES,ADI,521.0,525.0,542.5,518.0,59223,31491663.7,317,11591258700.0
13/02/2026,ALLIANCES,ADI,515.0,515.0,523.6,507.0,110953,56826312.5,311,11370472820.0
12/02/2026,ALLIANCES,ADI,493.8,498.5,499.0,490.0,15031,7446562.4,84,11006176118.0
11/02/2026,ALLIANCES,ADI,486.0,492.0,494.5,484.5,5964,2928240.7,33,10862665296.0
10/02/2026,ALLIANCES,ADI,490.0,486.9,490.0,480.0,9371,4540739.4,87,10750064497.2
09/02/2026,ALLIANCES,ADI,500.0,485.0,500.0,485.0,2554,1256327.4,84,10708115180.0
06/02/2026,ALLIANCES,ADI,481.0,498.0,498.0,473.0,26402,12982586.0,320,10995136824.0
05/02/2026,ALLIANCES,ADI,497.0,493.9,505.0,485.0,20201,10019395.45,178,10904614613.2
04/02/2026,ALLIANCES,ADI,496.1,500.0,500.0,495.0,21967,10921660.5,74,11039294000.0
03/02/2026,ALLIANCES,ADI,505.0,500.0,505.0,495.0,15570,7745577.95,114,11039294000.0
02/02/2026,ALLIANCES,ADI,500.0,504.9,510.0,495.0,15603,7781981.55,125,11147479081.2
30/01/2026,ALLIANCES,ADI,510.0,507.0,513.8,500.0,14134,7126264.3,178,11193844116.0
29/01/2026,ALLIANCES,ADI,520.1,510.0,529.0,506.3,9512,4857007.5,131,11260079880.0
28/01/2026,ALLIANCES,ADI,515.5,520.0,524.9,510.0,16111,8390697.4,179,11480865760.0
27/01/2026,ALLIANCES,ADI,505.1,512.0,517.0,505.0,19831,10061472.1,136,11304237056.0
26/01/2026,ALLIANCES,ADI,515.5,505.1,528.9,491.0,41489,20784426.5,368,11151894798.8
23/01/2026,ALLIANCES,ADI,527.0,529.7,529.7,517.0,15505,8196609.3,137,11695028063.6
22/01/2026,ALLIANCES,ADI,525.0,525.6,553.0,525.0,8281,4413522.9,112,11604505852.8
21/01/2026,ALLIANCES,ADI,522.0,523.5,534.9,522.0,2620,1378319.6,88,11558140818.0
20/01/2026,ALLIANCES,ADI,533.0,535.0,538.9,521.2,5918,3156981.2,116,11812044580.0
19/01/2026,ALLIANCES,ADI,541.0,538.9,542.9,535.0,3351,1806310.8,62,11898151073.2
16/01/2026,ALLIANCES,ADI,541.0,545.0,550.0,540.9,3225,1753864.3,62,12032830460.0
15/01/2026,ALLIANCES,ADI,551.0,546.9,553.0,542.2,6328,3467166.9,107,12074779777.2
13/01/2026,ALLIANCES,ADI,554.0,554.0,558.8,554.0,11719,6511617.7,77,12231537752.0
12/01/2026,ALLIANCES,ADI,560.0,560.0,560.0,551.1,13929,7757374.6,133,12364009280.0
09/01/2026,ALLIANCES,ADI,550.1,565.0,567.0,550.1,69987,39408024.7,115,12474402220.0
08/01/2026,ALLIANCES,ADI,567.9,565.0,567.9,546.0,32696,18320204.1,167,12474402220.0
07/01/2026,ALLIANCES,ADI,568.9,570.0,571.0,560.0,12174,6915235.7,159,12584795160.0
06/01/2026,ALLIANCES,ADI,560.1,564.0,569.0,560.0,20989,11833378.6,118,12452323632.0
17/03/2026,ALLIANCES,ADI,399.3,400.0,400.0,392.0,3565,1417115.05,86,8831435200.0
16/03/2026,ALLIANCES,ADI,393.0,392.0,393.0,390.0,5444,2132733.2,135,8654806496.0
13/03/2026,ALLIANCES,ADI,411.0,393.0,411.0,393.0,25957,10287795.05,294,8676885084.0
12/03/2026,ALLIANCES,ADI,415.8,415.5,415.8,402.0,7273,2957921.55,116,9173653314.0
11/03/2026,ALLIANCES,ADI,416.0,416.0,416.0,406.0,4973,2064958.3,102,9184692608.0
10/03/2026,ALLIANCES,ADI,420.0,416.0,423.0,415.1,45242,18941292.8,275,9184692608.0
09/03/2026,ALLIANCES,ADI,385.0,391.5,395.0,378.05,69524,26586520.95,731,8643767202.0
06/03/2026,ALLIANCES,ADI,444.0,419.0,450.0,410.0,46591,19966773.75,397,9250928372.0
05/03/2026,ALLIANCES,ADI,410.0,432.0,432.0,408.0,31780,13474473.65,229,9537950016.0
04/03/2026,ALLIANCES,ADI,410.05,401.0,429.0,400.0,73262,29859636.7,599,8853513788.0
03/03/2026,ALLIANCES,ADI,409.0,396.15,420.0,396.15,168304,67408490.25,731,8746432636.2
02/03/2026,ALLIANCES,ADI,441.15,440.15,455.0,440.15,69518,30813546.5,451,9717890508.2
27/02/2026,ALLIANCES,ADI,501.0,489.0,510.0,489.0,20406,10023482.2,202,10796429532.0
26/02/2026,ALLIANCES,ADI,509.0,500.0,509.0,500.0,5135,2567953.5,36,11039294000.0
25/02/2026,ALLIANCES,ADI,506.0,509.0,530.0,500.0,15288,7759149.2,124,11238001292.0
24/02/2026,ALLIANCES,ADI,511.6,506.6,511.6,506.6,5610,2849990.6,69,11185012680.8
23/02/2026,ALLIANCES,ADI,515.0,512.4,522.0,511.0,8304,4258112.0,46,11313068491.2
20/02/2026,ALLIANCES,ADI,525.0,520.0,525.0,510.0,17980,9340651.5,73,11480865760.0
19/02/2026,ALLIANCES,ADI,520.0,513.0,533.7,513.0,23320,12164916.6,70,11326315644.0
18/02/2026,ALLIANCES,ADI,520.0,521.0,533.0,507.0,17651,9203987.6,160,11502944348.0
17/02/2026,ALLIANCES,ADI,530.0,516.0,530.0,510.0,3912,2027046.2,101,11392551408.0
16/02/2026,ALLIANCES,ADI,521.0,525.0,542.5,518.0,59223,31491663.7,317,11591258700.0
13/02/2026,ALLIANCES,ADI,515.0,515.0,523.6,507.0,110953,56826312.5,311,11370472820.0
12/02/2026,ALLIANCES,ADI,493.8,498.5,499.0,490.0,15031,7446562.4,84,11006176118.0
11/02/2026,ALLIANCES,ADI,486.0,492.0,494.5,484.5,5964,2928240.7,33,10862665296.0
10/02/2026,ALLIANCES,ADI,490.0,486.9,490.0,480.0,9371,4540739.4,87,10750064497.2
09/02/2026,ALLIANCES,ADI,500.0,485.0,500.0,485.0,2554,1256327.4,84,10708115180.0
06/02/2026,ALLIANCES,ADI,481.0,498.0,498.0,473.0,26402,12982586.0,320,10995136824.0
05/02/2026,ALLIANCES,ADI,497.0,493.9,505.0,485.0,20201,10019395.45,178,10904614613.2
04/02/2026,ALLIANCES,ADI,496.1,500.0,500.0,495.0,21967,10921660.5,74,11039294000.0
03/02/2026,ALLIANCES,ADI,505.0,500.0,505.0,495.0,15570,7745577.95,114,11039294000.0
02/02/2026,ALLIANCES,ADI,500.0,504.9,510.0,495.0,15603,7781981.55,125,11147479081.2
30/01/2026,ALLIANCES,ADI,510.0,507.0,513.8,500.0,14134,7126264.3,178,11193844116.0
29/01/2026,ALLIANCES,ADI,520.1,510.0,529.0,506.3,9512,4857007.5,131,11260079880.0
28/01/2026,ALLIANCES,ADI,515.5,520.0,524.9,510.0,16111,8390697.4,179,11480865760.0
27/01/2026,ALLIANCES,ADI,505.1,512.0,517.0,505.0,19831,10061472.1,136,11304237056.0
26/01/2026,ALLIANCES,ADI,515.5,505.1,528.9,491.0,41489,20784426.5,368,11151894798.8
23/01/2026,ALLIANCES,ADI,527.0,529.7,529.7,517.0,15505,8196609.3,137,11695028063.6
22/01/2026,ALLIANCES,ADI,525.0,525.6,553.0,525.0,8281,4413522.9,112,11604505852.8
21/01/2026,ALLIANCES,ADI,522.0,523.5,534.9,522.0,2620,1378319.6,88,11558140818.0
20/01/2026,ALLIANCES,ADI,533.0,535.0,538.9,521.2,5918,3156981.2,116,11812044580.0
19/01/2026,ALLIANCES,ADI,541.0,538.9,542.9,535.0,3351,1806310.8,62,11898151073.2
16/01/2026,ALLIANCES,ADI,541.0,545.0,550.0,540.9,3225,1753864.3,62,12032830460.0
15/01/2026,ALLIANCES,ADI,551.0,546.9,553.0,542.2,6328,3467166.9,107,12074779777.2
13/01/2026,ALLIANCES,ADI,554.0,554.0,558.8,554.0,11719,6511617.7,77,12231537752.0
12/01/2026,ALLIANCES,ADI,560.0,560.0,560.0,551.1,13929,7757374.6,133,12364009280.0
09/01/2026,ALLIANCES,ADI,550.1,565.0,567.0,550.1,69987,39408024.7,115,12474402220.0
08/01/2026,ALLIANCES,ADI,567.9,565.0,567.9,546.0,32696,18320204.1,167,12474402220.0
07/01/2026,ALLIANCES,ADI,568.9,570.0,571.0,560.0,12174,6915235.7,159,12584795160.0
06/01/2026,ALLIANCES,ADI,560.1,564.0,569.0,560.0,20989,11833378.6,118,12452323632.0
05/01/2026,ALLIANCES,ADI,544.0,560.0,565.0,535.0,19845,10940107.1,208,12364009280.0
02/01/2026,ALLIANCES,ADI,543.7,544.0,544.0,533.0,25390,13639682.5,142,12010751872.0
31/12/2025,ALLIANCES,ADI,545.0,530.0,545.0,530.0,128651,68841622.2,188,11701651640.0
30/12/2025,ALLIANCES,ADI,540.0,540.0,545.0,526.3,34023,18242472.8,180,11922437520.0
29/12/2025,ALLIANCES,ADI,533.0,535.0,545.0,530.0,8659,4630877.6,150,11812044580.0
26/12/2025,ALLIANCES,ADI,560.0,545.0,565.0,541.3,41152,22452844.7,94,12032830460.0
25/12/2025,ALLIANCES,ADI,540.0,541.1,550.0,532.2,16963,9147817.6,121,11946723966.8
24/12/2025,ALLIANCES,ADI,546.0,539.0,546.0,539.0,7439,4019561.7,58,11900358932.0
23/12/2025,ALLIANCES,ADI,550.0,540.0,550.0,540.0,11438,6193054.3,114,11922437520.0
22/12/2025,ALLIANCES,ADI,560.0,550.0,560.0,546.0,5281,2905362.3,68,12143223400.0
19/12/2025,ALLIANCES,ADI,559.0,558.0,559.0,551.1,28405,15766975.7,68,12319852104.0
18/12/2025,ALLIANCES,ADI,559.0,553.0,562.0,552.2,24558,13664766.4,121,12209459164.0
17/12/2025,ALLIANCES,ADI,540.0,549.0,549.0,536.0,31713,17236644.1,249,12121144812.0
16/12/2025,ALLIANCES,ADI,555.0,532.0,555.0,532.0,17283,9247593.5,215,11745808816.0
15/12/2025,ALLIANCES,ADI,560.5,549.0,570.0,549.0,23952,13222903.0,220,12121144812.0
12/12/2025,ALLIANCES,ADI,560.2,560.0,580.0,560.0,34081,19384913.5,195,12364009280.0
11/12/2025,ALLIANCES,ADI,570.0,560.0,570.0,560.0,4065,2284513.8,99,12364009280.0
10/12/2025,ALLIANCES,ADI,579.9,570.0,579.9,568.0,2829,1616946.9,35,12584795160.0
09/12/2025,ALLIANCES,ADI,576.8,570.0,576.8,560.0,6231,3542016.9,37,12584795160.0
08/12/2025,ALLIANCES,ADI,570.0,561.5,579.0,561.5,2722,1534107.4,80,12397127162.0
