Séance,Instrument,Ticker,Ouverture,Dernier_Cours,haut_du_jour,bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
03/06/2026,ALUMINIUM DU MAROC,ALM,1866.0,1880.0,1900.0,1866.0,24,44900.0,4,875993520.0
02/06/2026,ALUMINIUM DU MAROC,ALM,1866.0,1859.0,1866.0,1858.0,55,102557.0,5,866208486.0
01/06/2026,ALUMINIUM DU MAROC,ALM,1866.0,1866.0,1866.0,1866.0,4,7464.0,2,869470164.0
26/05/2026,ALUMINIUM DU MAROC,ALM,1867.0,1866.0,1867.0,1866.0,22,41066.0,4,869470164.0
25/05/2026,ALUMINIUM DU MAROC,ALM,1871.0,1870.0,1871.0,1870.0,14,26183.0,2,871333980.0
22/05/2026,ALUMINIUM DU MAROC,ALM,1945.0,1870.0,1945.0,1870.0,95,183734.0,11,871333980.0
21/05/2026,ALUMINIUM DU MAROC,ALM,1803.0,1866.0,1949.0,1803.0,162,292925.0,20,869470164.0
20/05/2026,ALUMINIUM DU MAROC,ALM,1998.0,1989.0,1998.0,1985.0,107,213133.0,24,926782506.0
19/05/2026,ALUMINIUM DU MAROC,ALM,1896.0,1950.0,1950.0,1896.0,87,166091.0,9,908610300.0
18/05/2026,ALUMINIUM DU MAROC,ALM,1896.0,1896.0,1896.0,1896.0,1,1896.0,1,883448784.0
15/05/2026,ALUMINIUM DU MAROC,ALM,1870.0,1896.0,1896.0,1870.0,14,26263.0,5,883448784.0
14/05/2026,ALUMINIUM DU MAROC,ALM,1870.0,1870.0,1870.0,1870.0,49,91630.0,10,871333980.0
13/05/2026,ALUMINIUM DU MAROC,ALM,1870.0,1870.0,1870.0,1870.0,117,218790.0,10,871333980.0
12/05/2026,ALUMINIUM DU MAROC,ALM,1870.0,1851.0,1870.0,1851.0,11,20380.0,2,862480854.0
11/05/2026,ALUMINIUM DU MAROC,ALM,1850.0,1870.0,1870.0,1850.0,154,285094.0,12,871333980.0
08/05/2026,ALUMINIUM DU MAROC,ALM,1850.0,1850.0,1850.0,1850.0,83,153550.0,6,862014900.0
07/05/2026,ALUMINIUM DU MAROC,ALM,1850.0,1850.0,1850.0,1850.0,19,35150.0,3,862014900.0
06/05/2026,ALUMINIUM DU MAROC,ALM,1850.0,1850.0,1850.0,1850.0,17,31450.0,3,862014900.0
05/05/2026,ALUMINIUM DU MAROC,ALM,1849.0,1850.0,1850.0,1849.0,54,99897.0,4,862014900.0
04/05/2026,ALUMINIUM DU MAROC,ALM,1850.0,1849.0,1850.0,1849.0,8,14796.0,4,861548946.0
30/04/2026,ALUMINIUM DU MAROC,ALM,1848.0,1850.0,1850.0,1848.0,14,25895.0,4,862014900.0
29/04/2026,ALUMINIUM DU MAROC,ALM,-,1816.0,-,-,-,-,-,846172464.0
28/04/2026,ALUMINIUM DU MAROC,ALM,1839.0,1816.0,1839.0,1816.0,12,21902.0,7,846172464.0
27/04/2026,ALUMINIUM DU MAROC,ALM,1829.0,1829.0,1829.0,1829.0,1,1829.0,1,852229866.0
24/04/2026,ALUMINIUM DU MAROC,ALM,1839.0,1839.0,1839.0,1839.0,2,3678.0,1,856889406.0
23/04/2026,ALUMINIUM DU MAROC,ALM,-,1841.0,-,-,-,-,-,857821314.0
22/04/2026,ALUMINIUM DU MAROC,ALM,1835.0,1841.0,1841.0,1835.0,20,36800.0,5,857821314.0
21/04/2026,ALUMINIUM DU MAROC,ALM,1820.0,1840.0,1840.0,1809.0,9,16398.0,4,857355360.0
20/04/2026,ALUMINIUM DU MAROC,ALM,1820.0,1820.0,1820.0,1820.0,309,562380.0,6,848036280.0
17/04/2026,ALUMINIUM DU MAROC,ALM,1818.0,1818.0,1818.0,1818.0,7,12726.0,2,847104372.0
16/04/2026,ALUMINIUM DU MAROC,ALM,-,1805.0,-,-,-,-,-,841046970.0
15/04/2026,ALUMINIUM DU MAROC,ALM,1810.0,1805.0,1810.0,1805.0,5,9045.0,2,841046970.0
14/04/2026,ALUMINIUM DU MAROC,ALM,1820.0,1820.0,1820.0,1801.0,33,60041.0,6,848036280.0
13/04/2026,ALUMINIUM DU MAROC,ALM,1818.0,1818.0,1818.0,1801.0,3,5437.0,3,847104372.0
10/04/2026,ALUMINIUM DU MAROC,ALM,1818.0,1818.0,1818.0,1818.0,40,72720.0,2,847104372.0
09/04/2026,ALUMINIUM DU MAROC,ALM,1800.0,1820.0,1820.0,1800.0,30,54580.0,7,848036280.0
08/04/2026,ALUMINIUM DU MAROC,ALM,1794.0,1820.0,1820.0,1794.0,167,300113.0,15,848036280.0
07/04/2026,ALUMINIUM DU MAROC,ALM,-,1796.0,-,-,-,-,-,836853384.0
06/04/2026,ALUMINIUM DU MAROC,ALM,1795.0,1796.0,1796.0,1795.0,16,28731.0,5,836853384.0
03/04/2026,ALUMINIUM DU MAROC,ALM,1793.0,1793.0,1793.0,1793.0,5,8965.0,2,835455522.0
02/04/2026,ALUMINIUM DU MAROC,ALM,1800.0,1800.0,1800.0,1800.0,26,46800.0,6,838717200.0
01/04/2026,ALUMINIUM DU MAROC,ALM,1733.0,1800.0,1800.0,1733.0,30,52325.0,5,838717200.0
31/03/2026,ALUMINIUM DU MAROC,ALM,1818.0,1817.0,1818.0,1817.0,51,92669.0,5,846638418.0
30/03/2026,ALUMINIUM DU MAROC,ALM,1750.0,1820.0,1849.0,1750.0,101,180239.0,22,848036280.0
27/03/2026,ALUMINIUM DU MAROC,ALM,1739.0,1739.0,1739.0,1739.0,1,1739.0,1,810294006.0
26/03/2026,ALUMINIUM DU MAROC,ALM,1747.0,1747.0,1747.0,1747.0,1,1747.0,1,814021638.0
25/03/2026,ALUMINIUM DU MAROC,ALM,-,1748.0,-,-,-,-,-,814487592.0
24/03/2026,ALUMINIUM DU MAROC,ALM,1684.0,1748.0,1748.0,1684.0,42,72782.0,5,814487592.0
19/03/2026,ALUMINIUM DU MAROC,ALM,1683.0,1747.0,1747.0,1683.0,12,20900.0,3,814021638.0
18/03/2026,ALUMINIUM DU MAROC,ALM,1748.0,1748.0,1748.0,1748.0,2,3496.0,2,814487592.0
17/03/2026,ALUMINIUM DU MAROC,ALM,1700.0,1740.0,1750.0,1700.0,143,243480.0,5,810759960.0
16/03/2026,ALUMINIUM DU MAROC,ALM,1700.0,1660.0,1700.0,1651.0,13,21891.0,7,773483640.0
13/03/2026,ALUMINIUM DU MAROC,ALM,1700.0,1700.0,1700.0,1690.0,180,305320.0,9,792121800.0
12/03/2026,ALUMINIUM DU MAROC,ALM,1700.0,1700.0,1700.0,1700.0,7,11900.0,2,792121800.0
11/03/2026,ALUMINIUM DU MAROC,ALM,1661.0,1700.0,1700.0,1661.0,159,270222.0,8,792121800.0
10/03/2026,ALUMINIUM DU MAROC,ALM,1650.0,1700.0,1700.0,1650.0,187,316446.0,12,792121800.0
09/03/2026,ALUMINIUM DU MAROC,ALM,1685.0,1653.0,1685.0,1650.0,535,889913.0,22,770221962.0
06/03/2026,ALUMINIUM DU MAROC,ALM,1695.0,1685.0,1695.0,1680.0,230,387725.0,14,785132490.0
05/03/2026,ALUMINIUM DU MAROC,ALM,1680.0,1700.0,1700.0,1680.0,71,120582.0,8,792121800.0
04/03/2026,ALUMINIUM DU MAROC,ALM,1682.0,1690.0,1700.0,1682.0,71,120198.0,20,787462260.0
03/03/2026,ALUMINIUM DU MAROC,ALM,1700.0,1683.0,1700.0,1683.0,109,184508.0,22,784200582.0
02/03/2026,ALUMINIUM DU MAROC,ALM,1730.0,1721.0,1755.0,1721.0,64,110837.0,18,801906834.0
27/02/2026,ALUMINIUM DU MAROC,ALM,1765.0,1791.0,1791.0,1765.0,11,19467.0,5,834523614.0
26/02/2026,ALUMINIUM DU MAROC,ALM,-,1790.0,-,-,-,-,-,834057660.0
25/02/2026,ALUMINIUM DU MAROC,ALM,-,1790.0,-,-,-,-,-,834057660.0
24/02/2026,ALUMINIUM DU MAROC,ALM,1790.0,1790.0,1790.0,1790.0,1,1790.0,1,834057660.0
23/02/2026,ALUMINIUM DU MAROC,ALM,1760.0,1794.0,1794.0,1760.0,7,12524.0,4,835921476.0
20/02/2026,ALUMINIUM DU MAROC,ALM,1762.0,1793.0,1793.0,1752.0,56,98331.0,8,835455522.0
19/02/2026,ALUMINIUM DU MAROC,ALM,1760.0,1760.0,1760.0,1760.0,74,130240.0,7,820079040.0
18/02/2026,ALUMINIUM DU MAROC,ALM,1773.0,1794.0,1794.0,1750.0,19,33456.0,6,835921476.0
17/02/2026,ALUMINIUM DU MAROC,ALM,1790.0,1790.0,1790.0,1790.0,16,28640.0,3,834057660.0
16/02/2026,ALUMINIUM DU MAROC,ALM,1790.0,1790.0,1790.0,1790.0,22,39380.0,3,834057660.0
13/02/2026,ALUMINIUM DU MAROC,ALM,1794.0,1794.0,1794.0,1794.0,3,5382.0,2,835921476.0
12/02/2026,ALUMINIUM DU MAROC,ALM,1790.0,1790.0,1790.0,1790.0,1,1790.0,1,834057660.0
11/02/2026,ALUMINIUM DU MAROC,ALM,1786.0,1794.0,1794.0,1786.0,15,26838.0,5,835921476.0
10/02/2026,ALUMINIUM DU MAROC,ALM,1795.0,1795.0,1795.0,1795.0,16,28720.0,3,836387430.0
09/02/2026,ALUMINIUM DU MAROC,ALM,1797.0,1797.0,1797.0,1755.0,12,21226.0,7,837319338.0
06/02/2026,ALUMINIUM DU MAROC,ALM,1780.0,1775.0,1780.0,1775.0,7,12450.0,4,827068350.0
05/02/2026,ALUMINIUM DU MAROC,ALM,1751.0,1756.0,1798.0,1751.0,23,40530.0,5,818215224.0
04/02/2026,ALUMINIUM DU MAROC,ALM,1760.0,1760.0,1761.0,1760.0,57,100324.0,9,820079040.0
03/02/2026,ALUMINIUM DU MAROC,ALM,1775.0,1799.0,1799.0,1775.0,17,30258.0,4,838251246.0
02/02/2026,ALUMINIUM DU MAROC,ALM,1798.0,1770.0,1798.0,1770.0,12,21296.0,4,824738580.0
30/01/2026,ALUMINIUM DU MAROC,ALM,1780.0,1775.0,1780.0,1770.0,96,170327.0,5,827068350.0
29/01/2026,ALUMINIUM DU MAROC,ALM,1775.0,1789.0,1789.0,1775.0,28,49716.0,5,833591706.0
28/01/2026,ALUMINIUM DU MAROC,ALM,1775.0,1779.0,1779.0,1771.0,26,46185.0,5,828932166.0
27/01/2026,ALUMINIUM DU MAROC,ALM,-,1798.0,-,-,-,-,-,837785292.0
26/01/2026,ALUMINIUM DU MAROC,ALM,1778.0,1798.0,1798.0,1771.0,5,8916.0,3,837785292.0
23/01/2026,ALUMINIUM DU MAROC,ALM,1799.0,1799.0,1799.0,1799.0,1,1799.0,1,838251246.0
22/01/2026,ALUMINIUM DU MAROC,ALM,1799.0,1800.0,1800.0,1799.0,2,3599.0,2,838717200.0
21/01/2026,ALUMINIUM DU MAROC,ALM,1770.0,1799.0,1799.0,1770.0,6,10669.0,3,838251246.0
20/01/2026,ALUMINIUM DU MAROC,ALM,1799.0,1799.0,1799.0,1799.0,2,3598.0,1,838251246.0
19/01/2026,ALUMINIUM DU MAROC,ALM,-,1798.0,-,-,-,-,-,837785292.0
16/01/2026,ALUMINIUM DU MAROC,ALM,1779.0,1798.0,1798.0,1761.0,817,1439836.0,19,837785292.0
15/01/2026,ALUMINIUM DU MAROC,ALM,1775.0,1775.0,1775.0,1775.0,35,62125.0,2,827068350.0
13/01/2026,ALUMINIUM DU MAROC,ALM,1800.0,1800.0,1800.0,1800.0,20,36000.0,1,838717200.0
12/01/2026,ALUMINIUM DU MAROC,ALM,1790.0,1800.0,1800.0,1767.0,14,24882.0,4,838717200.0
09/01/2026,ALUMINIUM DU MAROC,ALM,1785.0,1800.0,1800.0,1780.0,38,67755.0,7,838717200.0
08/01/2026,ALUMINIUM DU MAROC,ALM,1785.0,1785.0,1785.0,1785.0,25,44625.0,5,831727890.0
07/01/2026,ALUMINIUM DU MAROC,ALM,1800.0,1795.0,1800.0,1795.0,32,57500.0,10,836387430.0
06/01/2026,ALUMINIUM DU MAROC,ALM,1800.0,1800.0,1800.0,1795.0,26,46785.0,5,838717200.0
17/03/2026,ALUMINIUM DU MAROC,ALM,1700.0,1740.0,1750.0,1700.0,143,243480.0,5,810759960.0
16/03/2026,ALUMINIUM DU MAROC,ALM,1700.0,1660.0,1700.0,1651.0,13,21891.0,7,773483640.0
13/03/2026,ALUMINIUM DU MAROC,ALM,1700.0,1700.0,1700.0,1690.0,180,305320.0,9,792121800.0
12/03/2026,ALUMINIUM DU MAROC,ALM,1700.0,1700.0,1700.0,1700.0,7,11900.0,2,792121800.0
11/03/2026,ALUMINIUM DU MAROC,ALM,1661.0,1700.0,1700.0,1661.0,159,270222.0,8,792121800.0
10/03/2026,ALUMINIUM DU MAROC,ALM,1650.0,1700.0,1700.0,1650.0,187,316446.0,12,792121800.0
09/03/2026,ALUMINIUM DU MAROC,ALM,1685.0,1653.0,1685.0,1650.0,535,889913.0,22,770221962.0
06/03/2026,ALUMINIUM DU MAROC,ALM,1695.0,1685.0,1695.0,1680.0,230,387725.0,14,785132490.0
05/03/2026,ALUMINIUM DU MAROC,ALM,1680.0,1700.0,1700.0,1680.0,71,120582.0,8,792121800.0
04/03/2026,ALUMINIUM DU MAROC,ALM,1682.0,1690.0,1700.0,1682.0,71,120198.0,20,787462260.0
03/03/2026,ALUMINIUM DU MAROC,ALM,1700.0,1683.0,1700.0,1683.0,109,184508.0,22,784200582.0
02/03/2026,ALUMINIUM DU MAROC,ALM,1730.0,1721.0,1755.0,1721.0,64,110837.0,18,801906834.0
27/02/2026,ALUMINIUM DU MAROC,ALM,1765.0,1791.0,1791.0,1765.0,11,19467.0,5,834523614.0
26/02/2026,ALUMINIUM DU MAROC,ALM,-,1790.0,-,-,-,-,-,834057660.0
25/02/2026,ALUMINIUM DU MAROC,ALM,-,1790.0,-,-,-,-,-,834057660.0
24/02/2026,ALUMINIUM DU MAROC,ALM,1790.0,1790.0,1790.0,1790.0,1,1790.0,1,834057660.0
23/02/2026,ALUMINIUM DU MAROC,ALM,1760.0,1794.0,1794.0,1760.0,7,12524.0,4,835921476.0
20/02/2026,ALUMINIUM DU MAROC,ALM,1762.0,1793.0,1793.0,1752.0,56,98331.0,8,835455522.0
19/02/2026,ALUMINIUM DU MAROC,ALM,1760.0,1760.0,1760.0,1760.0,74,130240.0,7,820079040.0
18/02/2026,ALUMINIUM DU MAROC,ALM,1773.0,1794.0,1794.0,1750.0,19,33456.0,6,835921476.0
17/02/2026,ALUMINIUM DU MAROC,ALM,1790.0,1790.0,1790.0,1790.0,16,28640.0,3,834057660.0
16/02/2026,ALUMINIUM DU MAROC,ALM,1790.0,1790.0,1790.0,1790.0,22,39380.0,3,834057660.0
13/02/2026,ALUMINIUM DU MAROC,ALM,1794.0,1794.0,1794.0,1794.0,3,5382.0,2,835921476.0
12/02/2026,ALUMINIUM DU MAROC,ALM,1790.0,1790.0,1790.0,1790.0,1,1790.0,1,834057660.0
11/02/2026,ALUMINIUM DU MAROC,ALM,1786.0,1794.0,1794.0,1786.0,15,26838.0,5,835921476.0
10/02/2026,ALUMINIUM DU MAROC,ALM,1795.0,1795.0,1795.0,1795.0,16,28720.0,3,836387430.0
09/02/2026,ALUMINIUM DU MAROC,ALM,1797.0,1797.0,1797.0,1755.0,12,21226.0,7,837319338.0
06/02/2026,ALUMINIUM DU MAROC,ALM,1780.0,1775.0,1780.0,1775.0,7,12450.0,4,827068350.0
05/02/2026,ALUMINIUM DU MAROC,ALM,1751.0,1756.0,1798.0,1751.0,23,40530.0,5,818215224.0
04/02/2026,ALUMINIUM DU MAROC,ALM,1760.0,1760.0,1761.0,1760.0,57,100324.0,9,820079040.0
03/02/2026,ALUMINIUM DU MAROC,ALM,1775.0,1799.0,1799.0,1775.0,17,30258.0,4,838251246.0
02/02/2026,ALUMINIUM DU MAROC,ALM,1798.0,1770.0,1798.0,1770.0,12,21296.0,4,824738580.0
30/01/2026,ALUMINIUM DU MAROC,ALM,1780.0,1775.0,1780.0,1770.0,96,170327.0,5,827068350.0
29/01/2026,ALUMINIUM DU MAROC,ALM,1775.0,1789.0,1789.0,1775.0,28,49716.0,5,833591706.0
28/01/2026,ALUMINIUM DU MAROC,ALM,1775.0,1779.0,1779.0,1771.0,26,46185.0,5,828932166.0
27/01/2026,ALUMINIUM DU MAROC,ALM,-,1798.0,-,-,-,-,-,837785292.0
26/01/2026,ALUMINIUM DU MAROC,ALM,1778.0,1798.0,1798.0,1771.0,5,8916.0,3,837785292.0
23/01/2026,ALUMINIUM DU MAROC,ALM,1799.0,1799.0,1799.0,1799.0,1,1799.0,1,838251246.0
22/01/2026,ALUMINIUM DU MAROC,ALM,1799.0,1800.0,1800.0,1799.0,2,3599.0,2,838717200.0
21/01/2026,ALUMINIUM DU MAROC,ALM,1770.0,1799.0,1799.0,1770.0,6,10669.0,3,838251246.0
20/01/2026,ALUMINIUM DU MAROC,ALM,1799.0,1799.0,1799.0,1799.0,2,3598.0,1,838251246.0
19/01/2026,ALUMINIUM DU MAROC,ALM,-,1798.0,-,-,-,-,-,837785292.0
16/01/2026,ALUMINIUM DU MAROC,ALM,1779.0,1798.0,1798.0,1761.0,817,1439836.0,19,837785292.0
15/01/2026,ALUMINIUM DU MAROC,ALM,1775.0,1775.0,1775.0,1775.0,35,62125.0,2,827068350.0
13/01/2026,ALUMINIUM DU MAROC,ALM,1800.0,1800.0,1800.0,1800.0,20,36000.0,1,838717200.0
12/01/2026,ALUMINIUM DU MAROC,ALM,1790.0,1800.0,1800.0,1767.0,14,24882.0,4,838717200.0
09/01/2026,ALUMINIUM DU MAROC,ALM,1785.0,1800.0,1800.0,1780.0,38,67755.0,7,838717200.0
08/01/2026,ALUMINIUM DU MAROC,ALM,1785.0,1785.0,1785.0,1785.0,25,44625.0,5,831727890.0
07/01/2026,ALUMINIUM DU MAROC,ALM,1800.0,1795.0,1800.0,1795.0,32,57500.0,10,836387430.0
06/01/2026,ALUMINIUM DU MAROC,ALM,1800.0,1800.0,1800.0,1795.0,26,46785.0,5,838717200.0
05/01/2026,ALUMINIUM DU MAROC,ALM,1800.0,1800.0,1800.0,1800.0,11,19800.0,4,838717200.0
02/01/2026,ALUMINIUM DU MAROC,ALM,1805.0,1803.0,1805.0,1751.0,123,216365.0,12,840115062.0
