Séance,Instrument,Ticker,Ouverture,Dernier_Cours,haut_du_jour,bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
03/06/2026,ARADEI CAPITAL,ARD,430.0,425.15,435.0,425.15,811,348614.3,56,5343340469.5
02/06/2026,ARADEI CAPITAL,ARD,438.0,425.0,438.0,425.0,2069,884162.15,79,5341455250.0
01/06/2026,ARADEI CAPITAL,ARD,438.0,435.0,438.0,435.0,314,137009.15,40,5467136550.0
26/05/2026,ARADEI CAPITAL,ARD,430.0,438.0,438.0,430.0,595,260247.75,27,5504840940.0
25/05/2026,ARADEI CAPITAL,ARD,444.0,430.0,444.0,430.0,645,279083.8,36,5404295900.0
22/05/2026,ARADEI CAPITAL,ARD,445.0,428.5,445.0,428.5,1734,744305.75,61,5385443705.0
21/05/2026,ARADEI CAPITAL,ARD,444.0,443.0,444.0,431.0,320,140759.75,28,5567681590.0
20/05/2026,ARADEI CAPITAL,ARD,444.4,440.0,444.5,435.0,180,78984.8,16,5529977200.0
19/05/2026,ARADEI CAPITAL,ARD,433.0,439.0,445.0,433.0,258,113396.1,16,5517409070.0
18/05/2026,ARADEI CAPITAL,ARD,434.9,439.8,439.8,425.0,512,219692.3,26,5527463574.0
15/05/2026,ARADEI CAPITAL,ARD,439.05,425.0,439.05,425.0,1125,480390.4,68,5341455250.0
14/05/2026,ARADEI CAPITAL,ARD,448.0,430.0,450.0,430.0,5549,2387894.5,95,5404295900.0
13/05/2026,ARADEI CAPITAL,ARD,450.1,448.0,451.0,448.0,641,287493.4,27,5630522240.0
12/05/2026,ARADEI CAPITAL,ARD,453.95,459.0,460.0,450.5,1205,552715.8,36,5768771670.0
11/05/2026,ARADEI CAPITAL,ARD,453.0,454.9,454.9,451.0,406,184166.7,16,5717242337.0
08/05/2026,ARADEI CAPITAL,ARD,450.0,454.9,455.0,449.5,476,214891.4,28,5717242337.0
07/05/2026,ARADEI CAPITAL,ARD,450.0,454.95,459.0,450.0,201,91332.9,26,5717870743.5
06/05/2026,ARADEI CAPITAL,ARD,445.0,459.0,459.0,445.0,953,431593.85,49,5768771670.0
05/05/2026,ARADEI CAPITAL,ARD,445.0,450.0,450.0,444.9,1168,525045.4,27,5655658500.0
04/05/2026,ARADEI CAPITAL,ARD,440.0,449.0,449.0,440.0,1932,861454.5,46,5643090370.0
30/04/2026,ARADEI CAPITAL,ARD,440.0,433.2,442.95,433.2,2694,1170839.25,62,5444513916.0
29/04/2026,ARADEI CAPITAL,ARD,443.0,443.0,443.25,442.0,701,310350.25,29,5567681590.0
28/04/2026,ARADEI CAPITAL,ARD,440.0,440.2,443.0,440.0,2372,1045443.75,86,5532490826.0
27/04/2026,ARADEI CAPITAL,ARD,425.2,438.5,438.5,425.2,1207,520716.4,64,5511125005.0
24/04/2026,ARADEI CAPITAL,ARD,425.0,425.0,426.0,424.5,16793,7137005.7,38,5341455250.0
23/04/2026,ARADEI CAPITAL,ARD,425.0,425.0,426.45,424.0,270,114835.35,24,5341455250.0
22/04/2026,ARADEI CAPITAL,ARD,427.85,423.0,427.85,422.0,341,145537.85,15,5316318990.0
21/04/2026,ARADEI CAPITAL,ARD,427.95,421.0,427.95,420.2,564,238432.95,48,5291182730.0
20/04/2026,ARADEI CAPITAL,ARD,424.9,419.2,425.0,419.2,1700,715063.25,83,5268560096.0
17/04/2026,ARADEI CAPITAL,ARD,419.1,424.9,425.0,419.1,2326,978055.35,60,5340198437.0
16/04/2026,ARADEI CAPITAL,ARD,428.0,418.0,428.0,418.0,2469,1037337.5,62,5253478340.0
15/04/2026,ARADEI CAPITAL,ARD,424.0,420.0,428.0,420.0,2518,1065159.7,77,5278614600.0
14/04/2026,ARADEI CAPITAL,ARD,423.0,423.0,423.0,422.0,802,339212.85,37,5316318990.0
13/04/2026,ARADEI CAPITAL,ARD,419.95,422.95,424.0,415.0,927,391280.9,45,5315690583.5
10/04/2026,ARADEI CAPITAL,ARD,420.0,420.5,424.9,415.1,525,218677.25,33,5284898665.0
