Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
16/03/2026,ATLANTASANAD,ATL,129.0,129.0,130.0,128.15,528,68117.4,35,7776583755.0
13/03/2026,ATLANTASANAD,ATL,131.5,128.5,131.5,128.5,13992,1806493.3,73,7746441957.5
12/03/2026,ATLANTASANAD,ATL,132.0,130.8,132.0,129.0,2092,272754.75,50,7885094226.0
11/03/2026,ATLANTASANAD,ATL,132.8,131.0,132.8,129.3,5339,696967.1,48,7897150945.0
10/03/2026,ATLANTASANAD,ATL,130.1,129.2,133.0,129.2,11253,1462365.1,87,7788640474.0
09/03/2026,ATLANTASANAD,ATL,130.0,128.0,131.8,128.0,4972,642907.05,100,7716300160.0
06/03/2026,ATLANTASANAD,ATL,140.0,129.0,140.0,129.0,76692,9920144.1,175,7776583755.0
05/03/2026,ATLANTASANAD,ATL,139.8,137.85,139.9,135.05,11502,1586050.25,43,8310093570.75
04/03/2026,ATLANTASANAD,ATL,130.0,134.7,134.9,130.0,64254,8374598.5,63,8120200246.5
03/03/2026,ATLANTASANAD,ATL,133.0,123.5,134.05,123.5,15345,1922791.9,186,7445023982.5
02/03/2026,ATLANTASANAD,ATL,135.05,134.0,138.9,131.2,2978,399162.95,117,8078001730.0
27/02/2026,ATLANTASANAD,ATL,140.0,140.0,143.9,140.0,3609,505369.5,27,8439703300.0
26/02/2026,ATLANTASANAD,ATL,140.0,143.4,143.4,140.0,15129,2119649.6,14,8644667523.0
25/02/2026,ATLANTASANAD,ATL,140.0,143.5,143.5,139.5,559,78547.5,15,8650695882.5
24/02/2026,ATLANTASANAD,ATL,143.95,140.0,144.4,140.0,37480,5308668.0,16,8439703300.0
23/02/2026,ATLANTASANAD,ATL,145.0,142.0,145.0,142.0,90,12998.0,8,8560270490.0
20/02/2026,ATLANTASANAD,ATL,140.0,145.0,145.0,138.0,17520,2472327.95,57,8741121275.0
19/02/2026,ATLANTASANAD,ATL,139.15,138.6,140.0,138.6,18796,2628843.75,40,8355306267.0
18/02/2026,ATLANTASANAD,ATL,140.0,140.0,141.0,139.0,11010,1541318.25,29,8439703300.0
17/02/2026,ATLANTASANAD,ATL,142.7,140.0,142.7,140.0,848,119741.35,30,8439703300.0
16/02/2026,ATLANTASANAD,ATL,140.0,140.8,141.0,139.7,2344,329862.6,32,8487930176.0
13/02/2026,ATLANTASANAD,ATL,140.0,139.9,141.0,139.9,7509,1050937.8,27,8433674940.5
12/02/2026,ATLANTASANAD,ATL,139.5,141.0,141.9,139.5,22743,3206704.3,29,8499986895.0
11/02/2026,ATLANTASANAD,ATL,141.9,140.5,141.9,139.75,932,131237.55,24,8469845097.5
10/02/2026,ATLANTASANAD,ATL,140.0,141.9,141.9,139.1,48921,6852684.4,45,8554242130.5
09/02/2026,ATLANTASANAD,ATL,138.0,140.9,141.0,137.0,553,77354.55,34,8493958535.5
06/02/2026,ATLANTASANAD,ATL,139.8,135.0,142.0,135.0,13621,1843615.8,174,8138285325.0
05/02/2026,ATLANTASANAD,ATL,143.85,139.65,143.85,139.6,46830,6557076.8,62,8418604041.75
