Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
17/03/2026,ATTIJARIWAFA BANK,ATW,698.0,692.0,699.0,691.5,54123,37454860.5,133,148877460588.0
16/03/2026,ATTIJARIWAFA BANK,ATW,700.0,691.3,700.0,685.1,27338,18919686.8,149,148726862000.7
13/03/2026,ATTIJARIWAFA BANK,ATW,697.9,680.0,700.0,680.0,172780,118237576.4,568,146295770520.0
12/03/2026,ATTIJARIWAFA BANK,ATW,708.0,701.0,708.0,700.2,30417,21355138.3,125,150813728139.0
11/03/2026,ATTIJARIWAFA BANK,ATW,704.8,707.3,707.3,701.0,37484,26431887.9,125,152169115424.7
10/03/2026,ATTIJARIWAFA BANK,ATW,700.0,695.0,708.0,695.0,163428,114401320.6,301,149522883105.0
09/03/2026,ATTIJARIWAFA BANK,ATW,681.0,667.9,690.0,667.9,48497,32684179.2,659,143692566368.1
06/03/2026,ATTIJARIWAFA BANK,ATW,720.0,701.1,724.9,701.1,121728,85613759.8,324,150835242222.9
05/03/2026,ATTIJARIWAFA BANK,ATW,707.0,708.0,708.0,700.0,111544,78681029.8,357,152319714012.0
04/03/2026,ATTIJARIWAFA BANK,ATW,710.0,685.0,720.0,685.0,187967,130256579.5,607,147371474715.0
03/03/2026,ATTIJARIWAFA BANK,ATW,703.0,680.0,710.0,671.0,279086,190749852.2,729,146295770520.0
02/03/2026,ATTIJARIWAFA BANK,ATW,715.0,709.9,719.0,700.0,181538,129243947.3,480,152728481606.1
27/02/2026,ATTIJARIWAFA BANK,ATW,739.0,726.0,745.0,726.0,121929,88683197.9,237,156192249114.0
26/02/2026,ATTIJARIWAFA BANK,ATW,746.2,739.0,749.0,732.0,26960,19928068.6,139,158989080021.0
25/02/2026,ATTIJARIWAFA BANK,ATW,754.0,749.0,754.0,746.3,18756,14055944.2,106,161140488411.0
24/02/2026,ATTIJARIWAFA BANK,ATW,751.0,753.9,755.0,751.0,20481,15412416.7,80,162194678522.1
23/02/2026,ATTIJARIWAFA BANK,ATW,751.0,755.0,755.0,751.0,7338,5535777.7,61,162431333445.0
20/02/2026,ATTIJARIWAFA BANK,ATW,755.0,760.0,760.0,750.3,97472,74011673.4,158,163507037640.0
19/02/2026,ATTIJARIWAFA BANK,ATW,750.2,760.0,760.0,750.2,143829,108865684.6,177,163507037640.0
18/02/2026,ATTIJARIWAFA BANK,ATW,750.0,755.3,760.0,750.0,27869,21026031.3,163,162495875696.7
17/02/2026,ATTIJARIWAFA BANK,ATW,750.0,755.0,755.0,745.2,53621,40283582.7,146,162431333445.0
16/02/2026,ATTIJARIWAFA BANK,ATW,740.3,755.0,755.0,740.3,72012,54160551.7,187,162431333445.0
13/02/2026,ATTIJARIWAFA BANK,ATW,740.5,750.0,755.0,740.3,112958,84633755.0,203,161355629250.0
12/02/2026,ATTIJARIWAFA BANK,ATW,730.0,750.0,750.0,730.0,56933,42441863.3,180,161355629250.0
11/02/2026,ATTIJARIWAFA BANK,ATW,721.0,730.0,733.0,721.0,15190,11067936.0,120,157052812470.0
10/02/2026,ATTIJARIWAFA BANK,ATW,723.0,727.0,729.0,720.0,27034,19569772.2,136,156407389953.0
09/02/2026,ATTIJARIWAFA BANK,ATW,725.0,727.0,731.0,720.0,3787,2741511.9,155,156407389953.0
06/02/2026,ATTIJARIWAFA BANK,ATW,723.1,731.0,731.0,715.1,169923,122480276.3,358,157267953309.0
05/02/2026,ATTIJARIWAFA BANK,ATW,723.5,723.9,728.0,721.0,58619,42439886.0,232,155740453352.1
04/02/2026,ATTIJARIWAFA BANK,ATW,726.0,728.6,730.0,725.0,56255,40953276.6,122,156751615295.4
03/02/2026,ATTIJARIWAFA BANK,ATW,724.1,728.0,734.0,724.0,51268,37331294.7,114,156622530792.0
02/02/2026,ATTIJARIWAFA BANK,ATW,729.5,734.0,735.0,725.0,94691,68871243.6,172,157913375826.0
30/01/2026,ATTIJARIWAFA BANK,ATW,739.0,735.0,739.0,730.1,22799,16756000.3,92,158128516665.0
29/01/2026,ATTIJARIWAFA BANK,ATW,742.0,739.9,745.0,735.6,30015,22220390.3,132,159182706776.1
28/01/2026,ATTIJARIWAFA BANK,ATW,732.1,740.0,745.0,732.1,31433,23214218.2,158,159204220860.0
27/01/2026,ATTIJARIWAFA BANK,ATW,720.0,740.0,740.0,720.0,127709,93148190.4,257,159204220860.0
26/01/2026,ATTIJARIWAFA BANK,ATW,724.0,720.1,729.5,718.0,48504,34950315.8,291,154922918163.9
23/01/2026,ATTIJARIWAFA BANK,ATW,731.9,725.4,731.9,725.0,56132,40735640.4,225,156063164610.6
22/01/2026,ATTIJARIWAFA BANK,ATW,721.1,730.0,735.0,721.1,34901,25444233.1,200,157052812470.0
21/01/2026,ATTIJARIWAFA BANK,ATW,726.0,721.0,730.0,720.0,23726,17126125.0,239,155116544919.0
20/01/2026,ATTIJARIWAFA BANK,ATW,735.0,734.0,739.9,725.0,53522,39287220.8,216,157913375826.0
19/01/2026,ATTIJARIWAFA BANK,ATW,735.1,735.0,745.0,735.0,26888,19779084.8,178,158128516665.0
