Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
09/04/2026,AUTO HALL,ATH,82.98,79.9,82.98,79.6,13373,1070457.35,30,4018532787.2
08/04/2026,AUTO HALL,ATH,81.0,80.0,83.5,80.0,8724,701391.65,56,4023562240.0
07/04/2026,AUTO HALL,ATH,84.5,79.0,84.5,79.0,745,62382.0,19,3973267712.0
06/04/2026,AUTO HALL,ATH,79.0,79.5,80.0,78.1,68129,5439935.8,26,3998414976.0
03/04/2026,AUTO HALL,ATH,79.5,79.0,79.5,79.0,627,49539.58,9,3973267712.0
02/04/2026,AUTO HALL,ATH,79.0,79.0,79.0,77.86,2335,184302.51,26,3973267712.0
01/04/2026,AUTO HALL,ATH,78.7,78.0,78.7,77.92,2123,165636.95,37,3922973184.0
31/03/2026,AUTO HALL,ATH,79.0,78.05,79.0,78.0,717,56113.85,18,3925487910.4
30/03/2026,AUTO HALL,ATH,78.81,78.1,79.8,78.1,610,47800.83,23,3928002636.8
27/03/2026,AUTO HALL,ATH,80.0,79.0,80.0,79.0,15132,1195489.0,21,3973267712.0
26/03/2026,AUTO HALL,ATH,79.0,79.0,79.0,78.5,20779,1641514.0,28,3973267712.0
25/03/2026,AUTO HALL,ATH,80.0,79.0,80.0,79.0,448,35538.1,14,3973267712.0
24/03/2026,AUTO HALL,ATH,80.8,78.1,80.8,78.1,2670,212282.3,38,3928002636.8
19/03/2026,AUTO HALL,ATH,79.0,80.68,80.68,78.0,125478,10122298.21,25,4057762519.04
18/03/2026,AUTO HALL,ATH,79.0,80.35,80.49,78.2,10891,862360.67,31,4041165324.8
17/03/2026,AUTO HALL,ATH,79.99,78.0,79.99,78.0,6825,538040.63,46,3922973184.0
16/03/2026,AUTO HALL,ATH,80.99,79.0,80.99,77.0,1213,96183.44,28,3973267712.0
13/03/2026,AUTO HALL,ATH,83.0,80.8,83.0,79.0,11196,902954.66,34,4063797862.4
