Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
09/04/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
08/04/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
07/04/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
06/04/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
03/04/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
02/04/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
01/04/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
31/03/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
30/03/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
27/03/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
26/03/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
25/03/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
24/03/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
19/03/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
18/03/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
17/03/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
16/03/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
13/03/2026,AUTO NEJMA,NEJ,4585.0,4585.0,4585.0,4585.0,1,4585.0,1,4691665440.0
12/03/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
11/03/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
10/03/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
09/03/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
06/03/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
05/03/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
04/03/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
03/03/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
02/03/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
27/02/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
26/02/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
25/02/2026,AUTO NEJMA,NEJ,4585.0,4585.0,4585.0,4585.0,1,4585.0,1,4691665440.0
24/02/2026,AUTO NEJMA,NEJ,-,4326.0,-,-,-,-,-,4426640064.0
23/02/2026,AUTO NEJMA,NEJ,-,4326.0,-,-,-,-,-,4426640064.0
20/02/2026,AUTO NEJMA,NEJ,-,4326.0,-,-,-,-,-,4426640064.0
19/02/2026,AUTO NEJMA,NEJ,-,4326.0,-,-,-,-,-,4426640064.0
18/02/2026,AUTO NEJMA,NEJ,-,4326.0,-,-,-,-,-,4426640064.0
17/02/2026,AUTO NEJMA,NEJ,-,4326.0,-,-,-,-,-,4426640064.0
16/02/2026,AUTO NEJMA,NEJ,-,4326.0,-,-,-,-,-,4426640064.0
13/02/2026,AUTO NEJMA,NEJ,-,4326.0,-,-,-,-,-,4426640064.0
12/02/2026,AUTO NEJMA,NEJ,-,4326.0,-,-,-,-,-,4426640064.0
11/02/2026,AUTO NEJMA,NEJ,-,4326.0,-,-,-,-,-,4426640064.0
10/02/2026,AUTO NEJMA,NEJ,-,4326.0,-,-,-,-,-,4426640064.0
09/02/2026,AUTO NEJMA,NEJ,-,4326.0,-,-,-,-,-,4426640064.0
06/02/2026,AUTO NEJMA,NEJ,-,4326.0,-,-,-,-,-,4426640064.0
05/02/2026,AUTO NEJMA,NEJ,-,4326.0,-,-,-,-,-,4426640064.0
04/02/2026,AUTO NEJMA,NEJ,-,4326.0,-,-,-,-,-,4426640064.0
03/02/2026,AUTO NEJMA,NEJ,-,4326.0,-,-,-,-,-,4426640064.0
02/02/2026,AUTO NEJMA,NEJ,-,4326.0,-,-,-,-,-,4426640064.0
30/01/2026,AUTO NEJMA,NEJ,-,4326.0,-,-,-,-,-,4426640064.0
29/01/2026,AUTO NEJMA,NEJ,-,4326.0,-,-,-,-,-,4426640064.0
28/01/2026,AUTO NEJMA,NEJ,-,4326.0,-,-,-,-,-,4426640064.0
27/01/2026,AUTO NEJMA,NEJ,-,4326.0,-,-,-,-,-,4426640064.0
26/01/2026,AUTO NEJMA,NEJ,-,4326.0,-,-,-,-,-,4426640064.0
23/01/2026,AUTO NEJMA,NEJ,-,4326.0,-,-,-,-,-,4426640064.0
22/01/2026,AUTO NEJMA,NEJ,-,4326.0,-,-,-,-,-,4426640064.0
21/01/2026,AUTO NEJMA,NEJ,-,4326.0,-,-,-,-,-,4426640064.0
20/01/2026,AUTO NEJMA,NEJ,-,4326.0,-,-,-,-,-,4426640064.0
19/01/2026,AUTO NEJMA,NEJ,-,4326.0,-,-,-,-,-,4426640064.0
16/01/2026,AUTO NEJMA,NEJ,-,4326.0,-,-,-,-,-,4426640064.0
15/01/2026,AUTO NEJMA,NEJ,4326.0,4326.0,4326.0,4326.0,2,8652.0,1,4426640064.0
13/01/2026,AUTO NEJMA,NEJ,-,4326.0,-,-,-,-,-,4426640064.0
12/01/2026,AUTO NEJMA,NEJ,-,4326.0,-,-,-,-,-,4426640064.0
09/01/2026,AUTO NEJMA,NEJ,-,4326.0,-,-,-,-,-,4426640064.0
08/01/2026,AUTO NEJMA,NEJ,-,4326.0,-,-,-,-,-,4426640064.0
07/01/2026,AUTO NEJMA,NEJ,-,4326.0,-,-,-,-,-,4426640064.0
06/01/2026,AUTO NEJMA,NEJ,-,4326.0,-,-,-,-,-,4426640064.0
17/03/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
16/03/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
13/03/2026,AUTO NEJMA,NEJ,4585.0,4585.0,4585.0,4585.0,1,4585.0,1,4691665440.0
12/03/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
11/03/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
10/03/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
09/03/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
06/03/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
05/03/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
04/03/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
03/03/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
02/03/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
27/02/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
