Séance,Instrument,Ticker,Ouverture,Dernier_Cours,haut_du_jour,bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
09/04/2026,BALIMA,BAL,-,216.5,-,-,-,-,-,377576000.0
08/04/2026,BALIMA,BAL,216.5,216.5,216.5,216.5,22,4763.0,4,377576000.0
07/04/2026,BALIMA,BAL,216.5,216.5,216.5,216.5,45,9742.5,2,377576000.0
06/04/2026,BALIMA,BAL,216.55,216.55,216.55,216.55,1,216.55,1,377663200.0
03/04/2026,BALIMA,BAL,-,230.0,-,-,-,-,-,401120000.0
02/04/2026,BALIMA,BAL,-,230.0,-,-,-,-,-,401120000.0
01/04/2026,BALIMA,BAL,-,230.0,-,-,-,-,-,401120000.0
31/03/2026,BALIMA,BAL,230.0,230.0,230.0,230.0,1,230.0,1,401120000.0
30/03/2026,BALIMA,BAL,-,221.0,-,-,-,-,-,385424000.0
27/03/2026,BALIMA,BAL,-,221.0,-,-,-,-,-,385424000.0
26/03/2026,BALIMA,BAL,221.0,221.0,221.0,221.0,1,221.0,1,385424000.0
25/03/2026,BALIMA,BAL,230.0,230.0,230.0,230.0,74,17020.0,3,401120000.0
24/03/2026,BALIMA,BAL,232.05,232.05,232.05,232.05,40,9282.0,3,404695200.0
19/03/2026,BALIMA,BAL,-,246.85,-,-,-,-,-,430506400.0
18/03/2026,BALIMA,BAL,-,246.85,-,-,-,-,-,430506400.0
17/03/2026,BALIMA,BAL,-,246.85,-,-,-,-,-,430506400.0
16/03/2026,BALIMA,BAL,-,246.85,-,-,-,-,-,430506400.0
13/03/2026,BALIMA,BAL,-,246.85,-,-,-,-,-,430506400.0
12/03/2026,BALIMA,BAL,-,246.85,-,-,-,-,-,430506400.0
11/03/2026,BALIMA,BAL,-,246.85,-,-,-,-,-,430506400.0
10/03/2026,BALIMA,BAL,-,246.85,-,-,-,-,-,430506400.0
09/03/2026,BALIMA,BAL,246.85,246.85,246.85,246.85,110,27153.5,3,430506400.0
06/03/2026,BALIMA,BAL,233.0,233.0,233.0,233.0,1,233.0,1,406352000.0
05/03/2026,BALIMA,BAL,-,220.0,-,-,-,-,-,383680000.0
04/03/2026,BALIMA,BAL,220.0,220.0,220.0,220.0,15,3300.0,3,383680000.0
03/03/2026,BALIMA,BAL,233.6,233.6,233.6,233.6,1,233.6,1,407398400.0
02/03/2026,BALIMA,BAL,248.5,248.5,248.5,248.5,4,994.0,2,433384000.0
27/02/2026,BALIMA,BAL,248.5,248.5,248.5,248.5,10,2485.0,4,433384000.0
26/02/2026,BALIMA,BAL,-,244.9,-,-,-,-,-,427105600.0
25/02/2026,BALIMA,BAL,-,244.9,-,-,-,-,-,427105600.0
24/02/2026,BALIMA,BAL,244.9,244.9,244.9,244.9,3,734.7,1,427105600.0
23/02/2026,BALIMA,BAL,-,246.9,-,-,-,-,-,430593600.0
20/02/2026,BALIMA,BAL,246.9,246.9,246.9,246.9,4,987.6,2,430593600.0
19/02/2026,BALIMA,BAL,-,233.0,-,-,-,-,-,406352000.0
18/02/2026,BALIMA,BAL,233.0,233.0,233.0,233.0,1,233.0,1,406352000.0
17/02/2026,BALIMA,BAL,220.0,220.0,220.0,220.0,34,7480.0,4,383680000.0
16/02/2026,BALIMA,BAL,-,225.0,-,-,-,-,-,392400000.0
13/02/2026,BALIMA,BAL,-,225.0,-,-,-,-,-,392400000.0
12/02/2026,BALIMA,BAL,-,225.0,-,-,-,-,-,392400000.0
11/02/2026,BALIMA,BAL,-,225.0,-,-,-,-,-,392400000.0
10/02/2026,BALIMA,BAL,-,225.0,-,-,-,-,-,392400000.0
09/02/2026,BALIMA,BAL,-,225.0,-,-,-,-,-,392400000.0
06/02/2026,BALIMA,BAL,-,225.0,-,-,-,-,-,392400000.0
05/02/2026,BALIMA,BAL,-,225.0,-,-,-,-,-,392400000.0
04/02/2026,BALIMA,BAL,225.0,225.0,225.0,225.0,3,675.0,1,392400000.0
03/02/2026,BALIMA,BAL,-,225.0,-,-,-,-,-,392400000.0
02/02/2026,BALIMA,BAL,-,225.0,-,-,-,-,-,392400000.0
30/01/2026,BALIMA,BAL,225.0,225.0,225.0,225.0,19,4275.0,2,392400000.0
29/01/2026,BALIMA,BAL,-,225.0,-,-,-,-,-,392400000.0
28/01/2026,BALIMA,BAL,-,225.0,-,-,-,-,-,392400000.0
27/01/2026,BALIMA,BAL,225.0,225.0,225.0,225.0,20,4500.0,3,392400000.0
26/01/2026,BALIMA,BAL,225.0,225.0,225.0,225.0,6,1350.0,1,392400000.0
23/01/2026,BALIMA,BAL,225.0,225.0,225.0,225.0,11,2475.0,1,392400000.0
22/01/2026,BALIMA,BAL,-,225.0,-,-,-,-,-,392400000.0
21/01/2026,BALIMA,BAL,225.0,225.0,225.0,225.0,6,1350.0,2,392400000.0
20/01/2026,BALIMA,BAL,-,231.0,-,-,-,-,-,402864000.0
19/01/2026,BALIMA,BAL,-,231.0,-,-,-,-,-,402864000.0
