Séance,Instrument,Ticker,Ouverture,Dernier_Cours,haut_du_jour,bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
09/04/2026,BANK OF AFRICA,BOA,205.45,207.0,207.0,203.0,119455,24702893.2,65,45598349367.0
08/04/2026,BANK OF AFRICA,BOA,207.0,203.55,208.8,203.55,19783,4045218.65,70,44838376877.55
07/04/2026,BANK OF AFRICA,BOA,203.0,200.0,203.0,200.0,16829,3367276.25,97,44056376200.0
06/04/2026,BANK OF AFRICA,BOA,207.2,203.0,207.2,203.0,1914,391121.3,36,44717221843.0
03/04/2026,BANK OF AFRICA,BOA,204.5,203.0,204.5,203.0,144487,29336615.1,64,44717221843.0
02/04/2026,BANK OF AFRICA,BOA,202.9,203.0,204.0,201.0,23137,4675220.75,69,44717221843.0
01/04/2026,BANK OF AFRICA,BOA,209.0,200.0,209.0,200.0,61488,12330219.25,177,44056376200.0
31/03/2026,BANK OF AFRICA,BOA,208.0,200.0,210.0,200.0,14129,2845133.8,106,44056376200.0
30/03/2026,BANK OF AFRICA,BOA,214.0,205.0,214.0,205.0,1846,379322.0,27,45157785605.0
27/03/2026,BANK OF AFRICA,BOA,210.0,205.0,213.9,205.0,78208,16425378.95,73,45157785605.0
26/03/2026,BANK OF AFRICA,BOA,217.0,208.0,217.0,208.0,23304,4853203.1,66,45818631248.0
25/03/2026,BANK OF AFRICA,BOA,218.0,217.9,218.0,211.5,6400,1392494.8,17,47999421869.9
24/03/2026,BANK OF AFRICA,BOA,221.9,218.0,221.9,215.0,241381,52622399.8,44,48021450058.0
19/03/2026,BANK OF AFRICA,BOA,211.0,219.5,219.5,206.0,220929,47321323.9,85,48351872879.5
18/03/2026,BANK OF AFRICA,BOA,213.0,219.0,219.0,206.7,122393,26291778.5,76,48241731939.0
17/03/2026,BANK OF AFRICA,BOA,206.0,212.0,212.0,206.0,144492,30450998.75,79,46699758772.0
16/03/2026,BANK OF AFRICA,BOA,209.0,210.0,210.0,204.0,72954,15224079.75,123,46259195010.0
13/03/2026,BANK OF AFRICA,BOA,200.1,204.0,204.0,200.1,125126,25516133.35,52,44937503724.0
12/03/2026,BANK OF AFRICA,BOA,201.9,204.4,204.45,200.0,35324,7197078.2,71,45025616476.4
11/03/2026,BANK OF AFRICA,BOA,203.0,202.0,203.0,200.5,39823,8008098.65,36,44496939962.0
10/03/2026,BANK OF AFRICA,BOA,204.5,197.0,204.5,197.0,65778,13057418.5,76,43395530557.0
09/03/2026,BANK OF AFRICA,BOA,192.0,195.0,198.0,192.0,58054,11358791.1,125,42954966795.0
06/03/2026,BANK OF AFRICA,BOA,215.0,200.0,215.0,200.0,188625,38364084.7,94,44056376200.0
05/03/2026,BANK OF AFRICA,BOA,207.3,209.9,209.9,198.0,111150,23195883.0,115,46237166821.9
04/03/2026,BANK OF AFRICA,BOA,200.0,198.0,206.0,194.0,108146,21211494.85,158,43615812438.0
03/03/2026,BANK OF AFRICA,BOA,205.0,192.0,205.0,190.0,131302,25295996.9,151,42294121152.0
02/03/2026,BANK OF AFRICA,BOA,205.0,204.0,210.0,204.0,81793,16862043.65,117,44937503724.0
27/02/2026,BANK OF AFRICA,BOA,212.5,220.0,220.0,210.0,148849,32140847.45,92,48462013820.0
26/02/2026,BANK OF AFRICA,BOA,218.0,217.0,218.0,212.0,11502,2503262.15,27,47801168177.0
25/02/2026,BANK OF AFRICA,BOA,218.9,217.0,218.9,217.0,8939,1947524.5,39,47801168177.0
24/02/2026,BANK OF AFRICA,BOA,217.8,218.05,218.05,214.0,4188,912954.7,33,48032464152.05
23/02/2026,BANK OF AFRICA,BOA,219.0,213.0,219.0,213.0,460,98925.75,21,46920040653.0
20/02/2026,BANK OF AFRICA,BOA,219.0,219.0,219.0,213.0,124993,27286275.0,60,48241731939.0
19/02/2026,BANK OF AFRICA,BOA,212.0,217.95,217.95,212.0,12358,2691972.95,55,48010435963.95
18/02/2026,BANK OF AFRICA,BOA,212.0,215.95,216.0,212.0,1368,293420.9,42,47569872201.95
17/02/2026,BANK OF AFRICA,BOA,216.0,214.7,216.0,210.05,30935,6560738.75,17,47294519850.7
16/02/2026,BANK OF AFRICA,BOA,214.0,216.0,216.0,207.0,17271,3699590.1,80,47580886296.0
13/02/2026,BANK OF AFRICA,BOA,213.0,212.0,213.0,209.0,37576,7966134.4,40,46699758772.0
12/02/2026,BANK OF AFRICA,BOA,214.0,212.0,214.0,206.0,16548,3477894.65,44,46699758772.0
11/02/2026,BANK OF AFRICA,BOA,209.0,208.0,209.0,205.0,759,156740.6,40,45818631248.0
10/02/2026,BANK OF AFRICA,BOA,209.8,209.0,209.8,207.0,16005,3340334.0,55,46038913129.0
09/02/2026,BANK OF AFRICA,BOA,210.0,209.9,211.0,203.75,3138,658228.75,61,46237166821.9
06/02/2026,BANK OF AFRICA,BOA,200.0,209.0,209.0,200.0,54304,11193025.85,92,46038913129.0
05/02/2026,BANK OF AFRICA,BOA,209.0,200.0,209.0,200.0,13309,2676008.85,186,44056376200.0
04/02/2026,BANK OF AFRICA,BOA,205.0,204.0,205.0,203.5,10640,2170081.4,36,44937503724.0
03/02/2026,BANK OF AFRICA,BOA,203.05,204.8,209.95,202.0,15017,3048783.75,88,45113729228.8
02/02/2026,BANK OF AFRICA,BOA,213.9,209.0,213.9,202.0,29889,6101845.4,88,46038913129.0
30/01/2026,BANK OF AFRICA,BOA,215.0,205.0,217.0,205.0,245001,53035902.0,91,45157785605.0
29/01/2026,BANK OF AFRICA,BOA,212.0,214.0,214.0,210.0,8968,1908856.8,56,47140322534.0
28/01/2026,BANK OF AFRICA,BOA,208.0,213.8,215.0,207.0,3626,764354.55,62,47096266157.8
27/01/2026,BANK OF AFRICA,BOA,200.0,207.0,207.0,200.0,33245,6810016.6,74,45598349367.0
26/01/2026,BANK OF AFRICA,BOA,206.9,200.0,206.9,200.0,21841,4428516.75,126,44056376200.0
23/01/2026,BANK OF AFRICA,BOA,212.0,200.0,215.9,200.0,66205,13407225.3,190,44056376200.0
22/01/2026,BANK OF AFRICA,BOA,212.9,210.0,212.9,206.0,52783,11086040.3,91,46259195010.0
21/01/2026,BANK OF AFRICA,BOA,214.0,203.9,217.0,203.9,63521,13146534.55,316,44915475535.9
20/01/2026,BANK OF AFRICA,BOA,217.0,214.0,222.85,214.0,8139,1750118.05,123,47140322534.0
19/01/2026,BANK OF AFRICA,BOA,219.5,217.0,223.0,217.0,2795,610603.55,62,47801168177.0
16/01/2026,BANK OF AFRICA,BOA,223.2,218.95,223.2,218.95,16668,3651349.65,75,48230717844.95
15/01/2026,BANK OF AFRICA,BOA,221.0,220.0,225.0,219.0,8382,1846138.5,138,48462013820.0
13/01/2026,BANK OF AFRICA,BOA,224.1,221.0,226.9,221.0,12510,2767291.5,85,48682295701.0
12/01/2026,BANK OF AFRICA,BOA,227.5,226.0,227.5,223.0,9938,2246029.7,44,49783705106.0
09/01/2026,BANK OF AFRICA,BOA,230.0,223.0,230.0,223.0,29843,6698065.8,88,49122859463.0
08/01/2026,BANK OF AFRICA,BOA,229.9,227.5,229.9,223.0,14664,3343299.9,118,50114127927.5
07/01/2026,BANK OF AFRICA,BOA,233.8,220.0,233.8,220.0,104581,23584529.0,231,48462013820.0
06/01/2026,BANK OF AFRICA,BOA,231.9,231.45,231.9,230.25,17302,4005616.8,40,50984241357.45
17/03/2026,BANK OF AFRICA,BOA,206.0,212.0,212.0,206.0,144492,30450998.75,79,46699758772.0
16/03/2026,BANK OF AFRICA,BOA,209.0,210.0,210.0,204.0,72954,15224079.75,123,46259195010.0
13/03/2026,BANK OF AFRICA,BOA,200.1,204.0,204.0,200.1,125126,25516133.35,52,44937503724.0
12/03/2026,BANK OF AFRICA,BOA,201.9,204.4,204.45,200.0,35324,7197078.2,71,45025616476.4
11/03/2026,BANK OF AFRICA,BOA,203.0,202.0,203.0,200.5,39823,8008098.65,36,44496939962.0
10/03/2026,BANK OF AFRICA,BOA,204.5,197.0,204.5,197.0,65778,13057418.5,76,43395530557.0
09/03/2026,BANK OF AFRICA,BOA,192.0,195.0,198.0,192.0,58054,11358791.1,125,42954966795.0
06/03/2026,BANK OF AFRICA,BOA,215.0,200.0,215.0,200.0,188625,38364084.7,94,44056376200.0
05/03/2026,BANK OF AFRICA,BOA,207.3,209.9,209.9,198.0,111150,23195883.0,115,46237166821.9
04/03/2026,BANK OF AFRICA,BOA,200.0,198.0,206.0,194.0,108146,21211494.85,158,43615812438.0
03/03/2026,BANK OF AFRICA,BOA,205.0,192.0,205.0,190.0,131302,25295996.9,151,42294121152.0
02/03/2026,BANK OF AFRICA,BOA,205.0,204.0,210.0,204.0,81793,16862043.65,117,44937503724.0
27/02/2026,BANK OF AFRICA,BOA,212.5,220.0,220.0,210.0,148849,32140847.45,92,48462013820.0
26/02/2026,BANK OF AFRICA,BOA,218.0,217.0,218.0,212.0,11502,2503262.15,27,47801168177.0
25/02/2026,BANK OF AFRICA,BOA,218.9,217.0,218.9,217.0,8939,1947524.5,39,47801168177.0
24/02/2026,BANK OF AFRICA,BOA,217.8,218.05,218.05,214.0,4188,912954.7,33,48032464152.05
23/02/2026,BANK OF AFRICA,BOA,219.0,213.0,219.0,213.0,460,98925.75,21,46920040653.0
20/02/2026,BANK OF AFRICA,BOA,219.0,219.0,219.0,213.0,124993,27286275.0,60,48241731939.0
19/02/2026,BANK OF AFRICA,BOA,212.0,217.95,217.95,212.0,12358,2691972.95,55,48010435963.95
18/02/2026,BANK OF AFRICA,BOA,212.0,215.95,216.0,212.0,1368,293420.9,42,47569872201.95
17/02/2026,BANK OF AFRICA,BOA,216.0,214.7,216.0,210.05,30935,6560738.75,17,47294519850.7
16/02/2026,BANK OF AFRICA,BOA,214.0,216.0,216.0,207.0,17271,3699590.1,80,47580886296.0
13/02/2026,BANK OF AFRICA,BOA,213.0,212.0,213.0,209.0,37576,7966134.4,40,46699758772.0
12/02/2026,BANK OF AFRICA,BOA,214.0,212.0,214.0,206.0,16548,3477894.65,44,46699758772.0
11/02/2026,BANK OF AFRICA,BOA,209.0,208.0,209.0,205.0,759,156740.6,40,45818631248.0
10/02/2026,BANK OF AFRICA,BOA,209.8,209.0,209.8,207.0,16005,3340334.0,55,46038913129.0
09/02/2026,BANK OF AFRICA,BOA,210.0,209.9,211.0,203.75,3138,658228.75,61,46237166821.9
06/02/2026,BANK OF AFRICA,BOA,200.0,209.0,209.0,200.0,54304,11193025.85,92,46038913129.0
05/02/2026,BANK OF AFRICA,BOA,209.0,200.0,209.0,200.0,13309,2676008.85,186,44056376200.0
04/02/2026,BANK OF AFRICA,BOA,205.0,204.0,205.0,203.5,10640,2170081.4,36,44937503724.0
03/02/2026,BANK OF AFRICA,BOA,203.05,204.8,209.95,202.0,15017,3048783.75,88,45113729228.8
02/02/2026,BANK OF AFRICA,BOA,213.9,209.0,213.9,202.0,29889,6101845.4,88,46038913129.0
30/01/2026,BANK OF AFRICA,BOA,215.0,205.0,217.0,205.0,245001,53035902.0,91,45157785605.0
29/01/2026,BANK OF AFRICA,BOA,212.0,214.0,214.0,210.0,8968,1908856.8,56,47140322534.0
28/01/2026,BANK OF AFRICA,BOA,208.0,213.8,215.0,207.0,3626,764354.55,62,47096266157.8
27/01/2026,BANK OF AFRICA,BOA,200.0,207.0,207.0,200.0,33245,6810016.6,74,45598349367.0
26/01/2026,BANK OF AFRICA,BOA,206.9,200.0,206.9,200.0,21841,4428516.75,126,44056376200.0
23/01/2026,BANK OF AFRICA,BOA,212.0,200.0,215.9,200.0,66205,13407225.3,190,44056376200.0
22/01/2026,BANK OF AFRICA,BOA,212.9,210.0,212.9,206.0,52783,11086040.3,91,46259195010.0
21/01/2026,BANK OF AFRICA,BOA,214.0,203.9,217.0,203.9,63521,13146534.55,316,44915475535.9
20/01/2026,BANK OF AFRICA,BOA,217.0,214.0,222.85,214.0,8139,1750118.05,123,47140322534.0
19/01/2026,BANK OF AFRICA,BOA,219.5,217.0,223.0,217.0,2795,610603.55,62,47801168177.0
16/01/2026,BANK OF AFRICA,BOA,223.2,218.95,223.2,218.95,16668,3651349.65,75,48230717844.95
15/01/2026,BANK OF AFRICA,BOA,221.0,220.0,225.0,219.0,8382,1846138.5,138,48462013820.0
13/01/2026,BANK OF AFRICA,BOA,224.1,221.0,226.9,221.0,12510,2767291.5,85,48682295701.0
12/01/2026,BANK OF AFRICA,BOA,227.5,226.0,227.5,223.0,9938,2246029.7,44,49783705106.0
09/01/2026,BANK OF AFRICA,BOA,230.0,223.0,230.0,223.0,29843,6698065.8,88,49122859463.0
08/01/2026,BANK OF AFRICA,BOA,229.9,227.5,229.9,223.0,14664,3343299.9,118,50114127927.5
07/01/2026,BANK OF AFRICA,BOA,233.8,220.0,233.8,220.0,104581,23584529.0,231,48462013820.0
06/01/2026,BANK OF AFRICA,BOA,231.9,231.45,231.9,230.25,17302,4005616.8,40,50984241357.45
17/03/2026,BANK OF AFRICA,BOA,206.0,212.0,212.0,206.0,144492,30450998.75,79,46699758772.0
16/03/2026,BANK OF AFRICA,BOA,209.0,210.0,210.0,204.0,72954,15224079.75,123,46259195010.0
31/12/2025,BANK OF AFRICA,BOA,219.0,225.0,225.0,219.0,170788,37750868.35,75,49563423225.0
30/12/2025,BANK OF AFRICA,BOA,223.9,218.0,223.9,215.0,43539,9455282.15,85,48021450058.0
29/12/2025,BANK OF AFRICA,BOA,225.0,212.0,225.0,212.0,21852,4668444.1,150,46699758772.0
26/12/2025,BANK OF AFRICA,BOA,225.0,216.0,232.0,216.0,106880,23100658.0,119,47580886296.0
25/12/2025,BANK OF AFRICA,BOA,225.0,230.0,232.0,225.0,16559,3803639.5,51,50664832630.0
24/12/2025,BANK OF AFRICA,BOA,234.9,225.0,234.9,225.0,133655,30653255.35,75,49563423225.0
23/12/2025,BANK OF AFRICA,BOA,228.0,229.0,234.8,228.0,1893,435074.0,27,50444550749.0
22/12/2025,BANK OF AFRICA,BOA,230.0,230.0,232.0,226.0,6578,1508724.3,62,50664832630.0
19/12/2025,BANK OF AFRICA,BOA,230.35,230.0,234.0,230.0,49999,11502527.5,65,50664832630.0
18/12/2025,BANK OF AFRICA,BOA,233.95,232.9,234.0,230.5,33092,7711880.6,39,51303650084.9
17/12/2025,BANK OF AFRICA,BOA,230.0,232.9,232.9,230.0,12246,2835807.75,35,51303650084.9
16/12/2025,BANK OF AFRICA,BOA,231.0,232.8,233.0,230.0,1998,461416.6,25,51281621896.8
15/12/2025,BANK OF AFRICA,BOA,234.0,232.0,234.7,231.1,773,179842.4,24,51105396392.0
12/12/2025,BANK OF AFRICA,BOA,230.15,234.0,234.0,230.15,10213,2371150.3,48,51545960154.0
11/12/2025,BANK OF AFRICA,BOA,232.0,230.15,232.05,230.15,762,176141.3,26,50697874912.15
10/12/2025,BANK OF AFRICA,BOA,234.95,232.0,235.0,232.0,864,201188.8,22,51105396392.0
09/12/2025,BANK OF AFRICA,BOA,231.0,231.0,235.0,231.0,1506,349519.15,25,50885114511.0
08/12/2025,BANK OF AFRICA,BOA,234.0,235.8,237.0,230.0,31370,7339141.25,35,51942467539.8
05/12/2025,BANK OF AFRICA,BOA,230.0,234.0,234.95,230.0,96377,22319282.6,24,51545960154.0
04/12/2025,BANK OF AFRICA,BOA,232.0,230.0,235.0,230.0,2623,607635.45,73,50664832630.0
03/12/2025,BANK OF AFRICA,BOA,227.0,230.0,230.0,223.5,55273,12454487.75,53,50664832630.0
02/12/2025,BANK OF AFRICA,BOA,224.0,224.0,227.35,221.3,2664,596891.1,27,49343141344.0
01/12/2025,BANK OF AFRICA,BOA,224.9,223.0,228.45,221.35,16413,3691520.45,35,49122859463.0
28/11/2025,BANK OF AFRICA,BOA,230.0,224.9,230.0,221.2,15278,3431435.0,31,49541395036.9
27/11/2025,BANK OF AFRICA,BOA,225.0,225.0,227.85,222.5,47796,10755948.1,45,49563423225.0
26/11/2025,BANK OF AFRICA,BOA,227.8,225.0,227.8,221.0,6037,1358767.3,25,49563423225.0
25/11/2025,BANK OF AFRICA,BOA,227.9,220.1,227.9,220.1,1253,278145.8,25,48484042008.1
