Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
13/03/2026,BCP,BCP,254.4,245.0,254.4,245.0,62117,15270525.9,229,49811555885.0
12/03/2026,BCP,BCP,254.0,246.1,254.0,246.1,18580,4591569.45,134,50035199605.3
11/03/2026,BCP,BCP,255.0,250.1,255.0,250.1,16454,4136590.7,63,50848449497.3
10/03/2026,BCP,BCP,260.0,246.0,260.0,246.0,96785,24425580.5,189,50014868358.0
09/03/2026,BCP,BCP,250.0,245.0,254.0,245.0,29278,7223199.6,209,49811555885.0
06/03/2026,BCP,BCP,261.0,255.0,261.8,254.55,77180,19689694.15,145,51844680615.0
05/03/2026,BCP,BCP,255.0,257.0,257.0,250.0,16772,4283938.25,166,52251305561.0
04/03/2026,BCP,BCP,255.85,250.0,259.0,245.0,173931,43388132.3,344,50828118250.0
03/03/2026,BCP,BCP,255.0,245.0,255.0,245.0,101146,24908459.95,271,49811555885.0
02/03/2026,BCP,BCP,259.0,253.4,259.0,250.1,33464,8552404.25,221,51519380658.2
27/02/2026,BCP,BCP,269.5,265.0,270.0,262.0,105792,28043298.15,266,53877805345.0
26/02/2026,BCP,BCP,273.0,269.95,274.75,268.0,8812,2377437.7,81,54884202086.35
25/02/2026,BCP,BCP,275.0,270.0,275.2,270.0,109445,29552945.55,136,54894367710.0
24/02/2026,BCP,BCP,275.9,271.0,275.95,271.0,44734,12248761.1,66,55097680183.0
23/02/2026,BCP,BCP,277.0,276.0,277.0,271.0,36099,9962844.8,20,56114242548.0
20/02/2026,BCP,BCP,275.5,274.0,275.5,271.6,39086,10707456.2,44,55707617602.0
19/02/2026,BCP,BCP,272.5,275.6,279.0,272.5,54218,14814514.8,34,56032917558.8
18/02/2026,BCP,BCP,268.55,274.0,277.0,268.55,25983,7117107.2,58,55707617602.0
17/02/2026,BCP,BCP,270.0,274.0,274.0,269.9,75670,20471748.5,339,55707617602.0
16/02/2026,BCP,BCP,278.95,274.0,278.95,272.0,99660,27397540.7,56,55707617602.0
13/02/2026,BCP,BCP,276.95,271.1,277.0,271.1,24229,6572171.4,64,55118011430.3
12/02/2026,BCP,BCP,279.8,275.0,279.8,270.0,92855,25143675.2,189,55910930075.0
11/02/2026,BCP,BCP,276.0,275.0,277.0,271.2,14495,3987063.35,52,55910930075.0
10/02/2026,BCP,BCP,278.9,275.35,278.9,271.0,10818,2951584.85,69,55982089440.55
09/02/2026,BCP,BCP,275.0,275.0,276.0,275.0,495,136351.85,38,55910930075.0
06/02/2026,BCP,BCP,270.5,270.0,276.5,264.0,117876,31441058.45,257,54894367710.0
05/02/2026,BCP,BCP,277.9,270.0,277.9,270.0,89409,24279332.2,263,54894367710.0
04/02/2026,BCP,BCP,279.95,274.85,279.95,274.0,104677,28817037.5,88,55880433204.05
03/02/2026,BCP,BCP,282.95,275.25,282.95,275.25,25497,7100328.35,69,55961758193.25
02/02/2026,BCP,BCP,279.5,278.9,284.0,276.0,17511,4917932.4,51,56703848719.7
30/01/2026,BCP,BCP,282.85,275.1,284.9,275.1,13699,3819892.9,71,55931261322.3
29/01/2026,BCP,BCP,277.0,279.0,284.9,277.0,13085,3661089.0,69,56724179967.0
28/01/2026,BCP,BCP,278.7,280.0,283.0,276.55,10996,3083472.5,76,56927492440.0
27/01/2026,BCP,BCP,274.1,275.0,278.8,274.1,13870,3814850.7,51,55910930075.0
26/01/2026,BCP,BCP,279.0,277.4,279.0,273.05,7104,1956307.3,78,56398880010.2
23/01/2026,BCP,BCP,284.0,273.0,284.0,273.0,74025,20309170.7,180,55504305129.0
22/01/2026,BCP,BCP,283.0,276.0,283.0,276.0,25583,7065773.55,78,56114242548.0
21/01/2026,BCP,BCP,280.0,275.5,282.0,275.5,7865,2186244.4,113,56012586311.5
20/01/2026,BCP,BCP,282.0,279.0,285.0,279.0,15266,4265584.45,104,56724179967.0
19/01/2026,BCP,BCP,287.5,283.5,287.5,283.5,3041,865846.55,48,57639086095.5
16/01/2026,BCP,BCP,288.0,285.0,288.0,284.4,15281,4356816.0,53,57944054805.0
15/01/2026,BCP,BCP,285.0,287.0,289.0,285.0,6557,1880199.2,58,58350679751.0
13/01/2026,BCP,BCP,286.05,286.0,290.0,286.0,12526,3592088.55,63,58147367278.0
12/01/2026,BCP,BCP,292.0,286.9,292.0,286.9,27830,8024988.8,95,58330348503.7
09/01/2026,BCP,BCP,290.0,288.0,292.0,288.0,60984,17603152.1,61,58553992224.0
08/01/2026,BCP,BCP,292.0,290.0,292.0,288.0,16122,4685442.1,101,58960617170.0
07/01/2026,BCP,BCP,293.4,288.5,293.4,288.5,29951,8659815.1,103,58655648460.5
06/01/2026,BCP,BCP,292.0,290.0,292.0,289.0,102859,29832027.3,99,58960617170.0
05/01/2026,BCP,BCP,290.0,289.95,292.0,285.0,1031954,294237594.9,105,58950451546.35
02/01/2026,BCP,BCP,289.9,287.9,289.9,282.05,21877,6292501.25,91,58533660976.7
13/03/2026,BCP,BCP,254.4,245.0,254.4,245.0,62117,15270525.9,229,49811555885.0
12/03/2026,BCP,BCP,254.0,246.1,254.0,246.1,18580,4591569.45,134,50035199605.3
11/03/2026,BCP,BCP,255.0,250.1,255.0,250.1,16454,4136590.7,63,50848449497.3
10/03/2026,BCP,BCP,260.0,246.0,260.0,246.0,96785,24425580.5,189,50014868358.0
09/03/2026,BCP,BCP,250.0,245.0,254.0,245.0,29278,7223199.6,209,49811555885.0
06/03/2026,BCP,BCP,261.0,255.0,261.8,254.55,77180,19689694.15,145,51844680615.0
05/03/2026,BCP,BCP,255.0,257.0,257.0,250.0,16772,4283938.25,166,52251305561.0
04/03/2026,BCP,BCP,255.85,250.0,259.0,245.0,173931,43388132.3,344,50828118250.0
03/03/2026,BCP,BCP,255.0,245.0,255.0,245.0,101146,24908459.95,271,49811555885.0
02/03/2026,BCP,BCP,259.0,253.4,259.0,250.1,33464,8552404.25,221,51519380658.2
27/02/2026,BCP,BCP,269.5,265.0,270.0,262.0,105792,28043298.15,266,53877805345.0
26/02/2026,BCP,BCP,273.0,269.95,274.75,268.0,8812,2377437.7,81,54884202086.35
25/02/2026,BCP,BCP,275.0,270.0,275.2,270.0,109445,29552945.55,136,54894367710.0
24/02/2026,BCP,BCP,275.9,271.0,275.95,271.0,44734,12248761.1,66,55097680183.0
23/02/2026,BCP,BCP,277.0,276.0,277.0,271.0,36099,9962844.8,20,56114242548.0
20/02/2026,BCP,BCP,275.5,274.0,275.5,271.6,39086,10707456.2,44,55707617602.0
19/02/2026,BCP,BCP,272.5,275.6,279.0,272.5,54218,14814514.8,34,56032917558.8
18/02/2026,BCP,BCP,268.55,274.0,277.0,268.55,25983,7117107.2,58,55707617602.0
17/02/2026,BCP,BCP,270.0,274.0,274.0,269.9,75670,20471748.5,339,55707617602.0
16/02/2026,BCP,BCP,278.95,274.0,278.95,272.0,99660,27397540.7,56,55707617602.0
13/02/2026,BCP,BCP,276.95,271.1,277.0,271.1,24229,6572171.4,64,55118011430.3
12/02/2026,BCP,BCP,279.8,275.0,279.8,270.0,92855,25143675.2,189,55910930075.0
11/02/2026,BCP,BCP,276.0,275.0,277.0,271.2,14495,3987063.35,52,55910930075.0
10/02/2026,BCP,BCP,278.9,275.35,278.9,271.0,10818,2951584.85,69,55982089440.55
09/02/2026,BCP,BCP,275.0,275.0,276.0,275.0,495,136351.85,38,55910930075.0
06/02/2026,BCP,BCP,270.5,270.0,276.5,264.0,117876,31441058.45,257,54894367710.0
05/02/2026,BCP,BCP,277.9,270.0,277.9,270.0,89409,24279332.2,263,54894367710.0
04/02/2026,BCP,BCP,279.95,274.85,279.95,274.0,104677,28817037.5,88,55880433204.05
03/02/2026,BCP,BCP,282.95,275.25,282.95,275.25,25497,7100328.35,69,55961758193.25
02/02/2026,BCP,BCP,279.5,278.9,284.0,276.0,17511,4917932.4,51,56703848719.7
30/01/2026,BCP,BCP,282.85,275.1,284.9,275.1,13699,3819892.9,71,55931261322.3
29/01/2026,BCP,BCP,277.0,279.0,284.9,277.0,13085,3661089.0,69,56724179967.0
28/01/2026,BCP,BCP,278.7,280.0,283.0,276.55,10996,3083472.5,76,56927492440.0
27/01/2026,BCP,BCP,274.1,275.0,278.8,274.1,13870,3814850.7,51,55910930075.0
26/01/2026,BCP,BCP,279.0,277.4,279.0,273.05,7104,1956307.3,78,56398880010.2
23/01/2026,BCP,BCP,284.0,273.0,284.0,273.0,74025,20309170.7,180,55504305129.0
22/01/2026,BCP,BCP,283.0,276.0,283.0,276.0,25583,7065773.55,78,56114242548.0
