Séance,Instrument,Ticker,Ouverture,Dernier_Cours,haut_du_jour,bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
09/04/2026,BMCI,BCI,602.0,609.0,609.0,600.0,5904,3590288.0,12,8087085174.0
08/04/2026,BMCI,BCI,616.9,603.0,621.0,603.0,3668,2238984.0,21,8007409458.0
07/04/2026,BMCI,BCI,-,620.0,-,-,-,-,-,8233157320.0
06/04/2026,BMCI,BCI,600.0,620.0,620.0,600.0,9291,5758160.2,9,8233157320.0
03/04/2026,BMCI,BCI,614.9,597.1,614.9,597.1,5972,3567428.1,6,7929061670.6
02/04/2026,BMCI,BCI,605.0,619.9,619.9,590.0,1106,657982.0,19,8231829391.4
01/04/2026,BMCI,BCI,618.0,620.0,620.0,608.0,26438,16390424.0,16,8233157320.0
31/03/2026,BMCI,BCI,600.0,621.0,621.0,598.0,90,53917.0,5,8246436606.0
30/03/2026,BMCI,BCI,625.9,600.0,625.9,600.0,69,41603.6,8,7967571600.0
27/03/2026,BMCI,BCI,625.9,625.9,625.9,625.9,3001,1878325.9,9,8311505107.4
26/03/2026,BMCI,BCI,628.0,627.0,628.0,615.0,5001,3111628.0,8,8326112322.0
25/03/2026,BMCI,BCI,620.0,610.0,620.0,602.0,1620,992322.0,17,8100364460.0
24/03/2026,BMCI,BCI,606.5,601.0,620.0,580.0,32999,20438896.0,27,7980850886.0
19/03/2026,BMCI,BCI,607.0,607.0,607.0,607.0,200,121400.0,4,8060526602.0
18/03/2026,BMCI,BCI,595.0,610.0,610.0,595.0,310,188950.0,8,8100364460.0
17/03/2026,BMCI,BCI,575.0,580.0,580.0,574.0,148,85507.0,8,7701985880.0
16/03/2026,BMCI,BCI,595.0,570.0,595.0,570.0,2413,1375435.0,24,7569193020.0
13/03/2026,BMCI,BCI,594.0,570.0,594.0,570.0,2362,1364073.5,26,7569193020.0
12/03/2026,BMCI,BCI,592.0,610.0,610.0,592.0,52,31090.0,3,8100364460.0
11/03/2026,BMCI,BCI,629.0,590.0,629.0,590.0,1501,885824.0,21,7834778740.0
10/03/2026,BMCI,BCI,620.0,607.0,620.0,607.0,996,606157.0,5,8060526602.0
