Séance,Instrument,Ticker,Ouverture,Dernier_Cours,haut_du_jour,bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
09/04/2026,CARTIER SAADA,CRS,31.77,30.1,31.77,30.1,445,13911.7,10,158476500.0
08/04/2026,CARTIER SAADA,CRS,30.0,31.4,31.6,30.0,1992,61774.5,26,165321000.0
07/04/2026,CARTIER SAADA,CRS,30.95,30.0,30.95,30.0,582,17562.2,12,157950000.0
06/04/2026,CARTIER SAADA,CRS,29.0,30.0,31.0,29.0,309,9365.0,19,157950000.0
03/04/2026,CARTIER SAADA,CRS,29.01,30.0,30.5,29.01,163,4890.61,10,157950000.0
02/04/2026,CARTIER SAADA,CRS,31.0,30.5,31.0,30.5,891,27235.5,9,160582500.0
01/04/2026,CARTIER SAADA,CRS,29.99,29.9,30.2,29.6,1168,34886.38,16,157423500.0
31/03/2026,CARTIER SAADA,CRS,29.99,29.99,29.99,29.5,75,2239.53,6,157897350.0
30/03/2026,CARTIER SAADA,CRS,30.0,30.0,30.0,29.51,112,3356.08,9,157950000.0
27/03/2026,CARTIER SAADA,CRS,29.5,29.3,30.2,29.3,1550,45534.15,17,154264500.0
26/03/2026,CARTIER SAADA,CRS,30.29,30.2,30.29,29.2,338,10184.44,13,159003000.0
25/03/2026,CARTIER SAADA,CRS,29.05,30.3,30.3,29.05,51,1507.8,6,159529500.0
24/03/2026,CARTIER SAADA,CRS,29.03,30.05,30.05,29.03,230,6791.34,17,158213250.0
19/03/2026,CARTIER SAADA,CRS,29.04,29.04,30.0,29.04,303,8800.08,7,152895600.0
18/03/2026,CARTIER SAADA,CRS,30.5,29.04,30.5,29.04,404,11806.96,6,152895600.0
17/03/2026,CARTIER SAADA,CRS,29.0,29.0,29.05,29.0,409,11861.1,6,152685000.0
16/03/2026,CARTIER SAADA,CRS,29.0,29.5,30.0,29.0,215,6258.5,9,155317500.0
13/03/2026,CARTIER SAADA,CRS,30.0,29.5,30.0,29.0,451,13304.5,10,155317500.0
12/03/2026,CARTIER SAADA,CRS,30.89,29.5,30.89,29.0,161,4771.66,12,155317500.0
11/03/2026,CARTIER SAADA,CRS,31.0,30.5,31.0,30.5,41,1260.5,5,160582500.0
10/03/2026,CARTIER SAADA,CRS,31.0,30.03,31.0,30.0,24,735.06,4,158107950.0
