Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
19/03/2026,CDM,CDM,1037.0,1036.0,1037.0,1020.0,2101,2144387.0,13,11272937704.0
18/03/2026,CDM,CDM,1030.0,1039.0,1040.0,1030.0,365,377746.0,15,11305581346.0
17/03/2026,CDM,CDM,1010.0,1030.0,1030.0,1010.0,579,593790.0,12,11207650420.0
16/03/2026,CDM,CDM,1010.0,1010.0,1020.0,1010.0,99,100430.0,7,10990026140.0
13/03/2026,CDM,CDM,1011.0,1010.0,1014.0,1005.0,8131,8191621.0,31,10990026140.0
12/03/2026,CDM,CDM,1040.0,1040.0,1049.0,1040.0,858,892401.0,6,11316462560.0
11/03/2026,CDM,CDM,1045.0,1049.0,1049.0,1040.0,331,347117.0,11,11414393486.0
10/03/2026,CDM,CDM,1030.0,1040.0,1047.0,1030.0,2710,2816687.0,14,11316462560.0
09/03/2026,CDM,CDM,1020.0,995.0,1030.0,995.0,1106,1106982.0,47,10826807930.0
06/03/2026,CDM,CDM,1052.0,1020.0,1096.0,1020.0,5249,5358741.0,57,11098838280.0
05/03/2026,CDM,CDM,1040.0,1098.0,1099.0,1040.0,2152,2286967.0,22,11947572972.0
04/03/2026,CDM,CDM,1005.0,1045.0,1050.0,1005.0,2533,2640940.0,38,11370868630.0
03/03/2026,CDM,CDM,1050.0,1011.0,1050.0,1011.0,892,905793.0,20,11000907354.0
02/03/2026,CDM,CDM,1025.0,1050.0,1050.0,1000.0,1856,1931575.0,58,11425274700.0
27/02/2026,CDM,CDM,1118.0,1100.0,1119.0,1087.0,12358,13594203.0,42,11969335400.0
26/02/2026,CDM,CDM,1100.0,1099.0,1100.0,1095.0,6471,7096248.0,14,11958454186.0
25/02/2026,CDM,CDM,1087.0,1101.0,1119.0,1087.0,81,88562.0,12,11980216614.0
24/02/2026,CDM,CDM,1122.0,1113.0,1122.0,1101.0,310,346730.0,8,12110791182.0
23/02/2026,CDM,CDM,1120.0,1097.0,1120.0,1090.0,1330,1461386.0,15,11936691758.0
20/02/2026,CDM,CDM,1130.0,1120.0,1130.0,1120.0,3546,3971850.0,8,12186959680.0
19/02/2026,CDM,CDM,1076.0,1122.0,1130.0,1076.0,144,160544.0,16,12208722108.0
18/02/2026,CDM,CDM,1090.0,1110.0,1120.0,1090.0,17377,19286662.0,32,12078147540.0
17/02/2026,CDM,CDM,1140.0,1115.0,1140.0,1115.0,3084,3477992.0,27,12132553610.0
16/02/2026,CDM,CDM,1060.0,1145.0,1145.0,1060.0,46303,52679237.0,57,12458990030.0
13/02/2026,CDM,CDM,1140.0,1110.0,1140.0,1108.0,9892,11063141.0,55,12078147540.0
12/02/2026,CDM,CDM,1100.0,1149.0,1200.0,1100.0,6523,7502126.0,85,12502514886.0
11/02/2026,CDM,CDM,1060.0,1099.0,1099.0,1030.0,7790,8310795.0,36,11958454186.0
10/02/2026,CDM,CDM,1050.0,1070.0,1070.0,1040.0,305,323250.0,11,11642898980.0
09/02/2026,CDM,CDM,1040.0,1059.0,1060.0,1040.0,33,34852.0,10,11523205626.0
06/02/2026,CDM,CDM,1007.0,1040.0,1040.0,1007.0,2006,2085473.0,14,11316462560.0
05/02/2026,CDM,CDM,1030.0,1013.0,1030.0,1013.0,731,744721.0,37,11022669782.0
04/02/2026,CDM,CDM,1064.0,1030.0,1064.0,1021.0,39,40232.0,7,11207650420.0
03/02/2026,CDM,CDM,1017.0,1020.0,1024.0,1017.0,1255,1280117.0,21,11098838280.0
02/02/2026,CDM,CDM,1012.0,1050.0,1050.0,1012.0,42,42578.0,7,11425274700.0
30/01/2026,CDM,CDM,1040.0,1040.0,1050.0,1040.0,3522,3665842.0,21,11316462560.0
29/01/2026,CDM,CDM,1068.0,1070.0,1070.0,1041.0,177,189137.0,22,11642898980.0
28/01/2026,CDM,CDM,1063.0,1060.0,1063.0,1037.0,5382,5688368.0,20,11534086840.0
27/01/2026,CDM,CDM,1078.0,1031.0,1078.0,1011.0,135,138706.0,17,11218531634.0
26/01/2026,CDM,CDM,1049.0,1079.0,1079.0,986.0,7652,7956081.0,43,11740829906.0
23/01/2026,CDM,CDM,1044.0,1060.0,1060.0,1044.0,2334,2472349.0,19,11534086840.0
22/01/2026,CDM,CDM,1062.0,1049.0,1098.0,1049.0,330,347697.0,16,11414393486.0
21/01/2026,CDM,CDM,1070.0,1049.0,1071.0,1049.0,2251,2363168.0,29,11414393486.0
20/01/2026,CDM,CDM,1095.0,1080.0,1096.0,1080.0,1827,1981046.0,26,11751711120.0
19/01/2026,CDM,CDM,1130.0,1094.0,1130.0,1094.0,356,399929.0,10,11904048116.0
16/01/2026,CDM,CDM,1110.0,1135.0,1135.0,1091.0,9441,10525659.0,51,12350177890.0
15/01/2026,CDM,CDM,1100.0,1110.0,1120.0,1091.0,914,1013601.0,21,12078147540.0
13/01/2026,CDM,CDM,1139.0,1120.0,1139.0,1100.0,592,657537.0,27,12186959680.0
12/01/2026,CDM,CDM,1101.0,1139.0,1139.0,1101.0,1944,2177438.0,26,12393702746.0
09/01/2026,CDM,CDM,1086.0,1135.0,1135.0,1086.0,7379,8346973.0,47,12350177890.0
08/01/2026,CDM,CDM,1128.0,1135.0,1139.0,1072.0,7868,8850655.0,37,12350177890.0
07/01/2026,CDM,CDM,1139.0,1129.0,1139.0,1120.0,7007,7885640.0,31,12284890606.0
06/01/2026,CDM,CDM,1060.0,1120.0,1151.0,1054.0,35140,39983211.0,185,12186959680.0
17/03/2026,CDM,CDM,1010.0,1030.0,1030.0,1010.0,579,593790.0,12,11207650420.0
16/03/2026,CDM,CDM,1010.0,1010.0,1020.0,1010.0,99,100430.0,7,10990026140.0
13/03/2026,CDM,CDM,1011.0,1010.0,1014.0,1005.0,8131,8191621.0,31,10990026140.0
12/03/2026,CDM,CDM,1040.0,1040.0,1049.0,1040.0,858,892401.0,6,11316462560.0
11/03/2026,CDM,CDM,1045.0,1049.0,1049.0,1040.0,331,347117.0,11,11414393486.0
10/03/2026,CDM,CDM,1030.0,1040.0,1047.0,1030.0,2710,2816687.0,14,11316462560.0
09/03/2026,CDM,CDM,1020.0,995.0,1030.0,995.0,1106,1106982.0,47,10826807930.0
06/03/2026,CDM,CDM,1052.0,1020.0,1096.0,1020.0,5249,5358741.0,57,11098838280.0
05/03/2026,CDM,CDM,1040.0,1098.0,1099.0,1040.0,2152,2286967.0,22,11947572972.0
04/03/2026,CDM,CDM,1005.0,1045.0,1050.0,1005.0,2533,2640940.0,38,11370868630.0
03/03/2026,CDM,CDM,1050.0,1011.0,1050.0,1011.0,892,905793.0,20,11000907354.0
02/03/2026,CDM,CDM,1025.0,1050.0,1050.0,1000.0,1856,1931575.0,58,11425274700.0
27/02/2026,CDM,CDM,1118.0,1100.0,1119.0,1087.0,12358,13594203.0,42,11969335400.0
26/02/2026,CDM,CDM,1100.0,1099.0,1100.0,1095.0,6471,7096248.0,14,11958454186.0
25/02/2026,CDM,CDM,1087.0,1101.0,1119.0,1087.0,81,88562.0,12,11980216614.0
24/02/2026,CDM,CDM,1122.0,1113.0,1122.0,1101.0,310,346730.0,8,12110791182.0
23/02/2026,CDM,CDM,1120.0,1097.0,1120.0,1090.0,1330,1461386.0,15,11936691758.0
20/02/2026,CDM,CDM,1130.0,1120.0,1130.0,1120.0,3546,3971850.0,8,12186959680.0
19/02/2026,CDM,CDM,1076.0,1122.0,1130.0,1076.0,144,160544.0,16,12208722108.0
18/02/2026,CDM,CDM,1090.0,1110.0,1120.0,1090.0,17377,19286662.0,32,12078147540.0
17/02/2026,CDM,CDM,1140.0,1115.0,1140.0,1115.0,3084,3477992.0,27,12132553610.0
16/02/2026,CDM,CDM,1060.0,1145.0,1145.0,1060.0,46303,52679237.0,57,12458990030.0
13/02/2026,CDM,CDM,1140.0,1110.0,1140.0,1108.0,9892,11063141.0,55,12078147540.0
12/02/2026,CDM,CDM,1100.0,1149.0,1200.0,1100.0,6523,7502126.0,85,12502514886.0
11/02/2026,CDM,CDM,1060.0,1099.0,1099.0,1030.0,7790,8310795.0,36,11958454186.0
10/02/2026,CDM,CDM,1050.0,1070.0,1070.0,1040.0,305,323250.0,11,11642898980.0
