Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
13/03/2026,CFG BANK,CFG,212.0,205.0,213.0,202.5,90635,18665285.35,111,7176631800.0
12/03/2026,CFG BANK,CFG,205.5,212.2,212.2,204.6,469151,97443661.2,68,7428689112.0
11/03/2026,CFG BANK,CFG,207.9,205.0,209.8,200.6,34876,7178441.7,82,7176631800.0
10/03/2026,CFG BANK,CFG,210.0,200.6,214.3,200.6,73898,14880020.4,138,7022596776.0
09/03/2026,CFG BANK,CFG,200.5,202.0,211.0,195.95,53135,10730016.6,150,7071607920.0
06/03/2026,CFG BANK,CFG,217.9,208.0,217.9,208.0,52851,11072443.55,142,7281655680.0
05/03/2026,CFG BANK,CFG,210.5,210.0,218.9,208.0,92882,19525145.45,213,7351671600.0
04/03/2026,CFG BANK,CFG,210.0,210.0,216.0,205.1,41957,8798010.2,272,7351671600.0
03/03/2026,CFG BANK,CFG,210.1,210.0,214.0,203.0,35164,7375923.15,165,7351671600.0
02/03/2026,CFG BANK,CFG,208.0,212.0,222.0,208.0,11187,2369429.9,152,7421687520.0
27/02/2026,CFG BANK,CFG,230.0,223.0,233.0,223.0,5378,1207053.85,103,7806775080.0
26/02/2026,CFG BANK,CFG,231.25,230.0,236.8,230.0,6289,1449887.65,61,8051830800.0
25/02/2026,CFG BANK,CFG,235.0,236.0,238.0,233.0,313,73657.0,28,8261878560.0
24/02/2026,CFG BANK,CFG,236.0,235.0,237.9,233.5,15952,3769665.2,48,8226870600.0
23/02/2026,CFG BANK,CFG,240.0,236.0,240.0,236.0,30284,7207453.5,25,8261878560.0
20/02/2026,CFG BANK,CFG,243.5,237.0,243.5,237.0,8411,2029745.85,49,8296886520.0
19/02/2026,CFG BANK,CFG,239.95,238.8,242.0,238.0,18408,4416481.95,99,8359900848.0
18/02/2026,CFG BANK,CFG,235.0,235.05,237.0,235.0,7420,1744145.55,24,8228620998.0
17/02/2026,CFG BANK,CFG,237.9,236.85,238.0,234.5,18614,4379403.85,35,8291635326.0
16/02/2026,CFG BANK,CFG,233.0,237.9,237.9,230.0,2390,556023.65,60,8328393684.0
13/02/2026,CFG BANK,CFG,230.1,233.0,235.0,230.0,69894,16332149.9,47,8156854680.0
12/02/2026,CFG BANK,CFG,231.5,231.0,231.5,227.1,8017,1843935.2,46,8086838760.0
11/02/2026,CFG BANK,CFG,230.0,231.5,231.5,229.0,25668,5903701.5,39,8104342740.0
10/02/2026,CFG BANK,CFG,234.45,230.0,234.45,230.0,17987,4138191.7,69,8051830800.0
09/02/2026,CFG BANK,CFG,233.0,234.75,235.5,230.0,708,163843.0,41,8218118610.0
06/02/2026,CFG BANK,CFG,228.0,230.0,232.9,227.1,35914,8258602.3,79,8051830800.0
05/02/2026,CFG BANK,CFG,231.0,227.9,234.0,227.9,4212,961714.15,95,7978314084.0
04/02/2026,CFG BANK,CFG,230.5,234.4,234.4,230.5,485,112427.2,27,8205865824.0
03/02/2026,CFG BANK,CFG,230.0,231.0,233.0,230.0,33517,7739694.55,42,8086838760.0
02/02/2026,CFG BANK,CFG,230.5,230.0,234.95,230.0,44984,10351450.3,93,8051830800.0
30/01/2026,CFG BANK,CFG,231.5,230.1,237.0,230.1,10614,2446843.6,69,8055331596.0
29/01/2026,CFG BANK,CFG,235.0,231.0,239.0,231.0,20602,4830665.0,67,8086838760.0
28/01/2026,CFG BANK,CFG,232.05,235.0,236.0,231.05,48750,11392188.25,85,8226870600.0
27/01/2026,CFG BANK,CFG,231.1,232.0,234.9,231.0,6832,1585474.75,62,8121846720.0
26/01/2026,CFG BANK,CFG,237.0,232.0,237.0,231.0,12132,2817097.15,66,8121846720.0
23/01/2026,CFG BANK,CFG,240.0,235.0,240.0,234.6,49182,11559026.4,59,8226870600.0
22/01/2026,CFG BANK,CFG,234.6,240.0,244.0,234.2,1256,297886.6,54,8401910400.0
21/01/2026,CFG BANK,CFG,239.0,235.0,240.0,235.0,4588,1079022.85,62,8226870600.0
20/01/2026,CFG BANK,CFG,238.75,237.0,241.9,237.0,4280,1016776.8,87,8296886520.0
19/01/2026,CFG BANK,CFG,240.05,239.0,245.0,238.7,7365,1767699.95,66,8366902440.0
16/01/2026,CFG BANK,CFG,245.0,242.0,245.0,240.1,12505,3026580.65,55,8471926320.0
15/01/2026,CFG BANK,CFG,243.1,242.0,245.0,242.0,2786,675048.5,48,8471926320.0
13/01/2026,CFG BANK,CFG,245.15,244.0,249.95,244.0,33319,8146426.25,102,8541942240.0
12/01/2026,CFG BANK,CFG,250.0,248.0,252.5,245.5,15640,3906934.1,60,8681974080.0
09/01/2026,CFG BANK,CFG,250.0,250.0,252.0,245.1,49267,12332328.95,57,8751990000.0
08/01/2026,CFG BANK,CFG,250.0,252.0,252.0,245.0,3833,950171.65,59,8822005920.0
07/01/2026,CFG BANK,CFG,251.05,248.0,254.5,248.0,5648,1414541.7,65,8681974080.0
06/01/2026,CFG BANK,CFG,257.0,255.0,257.9,251.05,7780,1977030.65,66,8927029800.0
05/01/2026,CFG BANK,CFG,249.0,258.0,258.0,247.0,13649,3508084.6,116,9032053680.0
02/01/2026,CFG BANK,CFG,244.9,258.0,258.0,238.5,23634,6088516.95,100,9032053680.0
13/03/2026,CFG BANK,CFG,212.0,205.0,213.0,202.5,90635,18665285.35,111,7176631800.0
12/03/2026,CFG BANK,CFG,205.5,212.2,212.2,204.6,469151,97443661.2,68,7428689112.0
11/03/2026,CFG BANK,CFG,207.9,205.0,209.8,200.6,34876,7178441.7,82,7176631800.0
10/03/2026,CFG BANK,CFG,210.0,200.6,214.3,200.6,73898,14880020.4,138,7022596776.0
09/03/2026,CFG BANK,CFG,200.5,202.0,211.0,195.95,53135,10730016.6,150,7071607920.0
06/03/2026,CFG BANK,CFG,217.9,208.0,217.9,208.0,52851,11072443.55,142,7281655680.0
05/03/2026,CFG BANK,CFG,210.5,210.0,218.9,208.0,92882,19525145.45,213,7351671600.0
04/03/2026,CFG BANK,CFG,210.0,210.0,216.0,205.1,41957,8798010.2,272,7351671600.0
03/03/2026,CFG BANK,CFG,210.1,210.0,214.0,203.0,35164,7375923.15,165,7351671600.0
02/03/2026,CFG BANK,CFG,208.0,212.0,222.0,208.0,11187,2369429.9,152,7421687520.0
27/02/2026,CFG BANK,CFG,230.0,223.0,233.0,223.0,5378,1207053.85,103,7806775080.0
26/02/2026,CFG BANK,CFG,231.25,230.0,236.8,230.0,6289,1449887.65,61,8051830800.0
25/02/2026,CFG BANK,CFG,235.0,236.0,238.0,233.0,313,73657.0,28,8261878560.0
24/02/2026,CFG BANK,CFG,236.0,235.0,237.9,233.5,15952,3769665.2,48,8226870600.0
23/02/2026,CFG BANK,CFG,240.0,236.0,240.0,236.0,30284,7207453.5,25,8261878560.0
20/02/2026,CFG BANK,CFG,243.5,237.0,243.5,237.0,8411,2029745.85,49,8296886520.0
19/02/2026,CFG BANK,CFG,239.95,238.8,242.0,238.0,18408,4416481.95,99,8359900848.0
18/02/2026,CFG BANK,CFG,235.0,235.05,237.0,235.0,7420,1744145.55,24,8228620998.0
17/02/2026,CFG BANK,CFG,237.9,236.85,238.0,234.5,18614,4379403.85,35,8291635326.0
16/02/2026,CFG BANK,CFG,233.0,237.9,237.9,230.0,2390,556023.65,60,8328393684.0
13/02/2026,CFG BANK,CFG,230.1,233.0,235.0,230.0,69894,16332149.9,47,8156854680.0
12/02/2026,CFG BANK,CFG,231.5,231.0,231.5,227.1,8017,1843935.2,46,8086838760.0
11/02/2026,CFG BANK,CFG,230.0,231.5,231.5,229.0,25668,5903701.5,39,8104342740.0
10/02/2026,CFG BANK,CFG,234.45,230.0,234.45,230.0,17987,4138191.7,69,8051830800.0
09/02/2026,CFG BANK,CFG,233.0,234.75,235.5,230.0,708,163843.0,41,8218118610.0
06/02/2026,CFG BANK,CFG,228.0,230.0,232.9,227.1,35914,8258602.3,79,8051830800.0
05/02/2026,CFG BANK,CFG,231.0,227.9,234.0,227.9,4212,961714.15,95,7978314084.0
04/02/2026,CFG BANK,CFG,230.5,234.4,234.4,230.5,485,112427.2,27,8205865824.0
03/02/2026,CFG BANK,CFG,230.0,231.0,233.0,230.0,33517,7739694.55,42,8086838760.0
02/02/2026,CFG BANK,CFG,230.5,230.0,234.95,230.0,44984,10351450.3,93,8051830800.0
30/01/2026,CFG BANK,CFG,231.5,230.1,237.0,230.1,10614,2446843.6,69,8055331596.0
29/01/2026,CFG BANK,CFG,235.0,231.0,239.0,231.0,20602,4830665.0,67,8086838760.0
28/01/2026,CFG BANK,CFG,232.05,235.0,236.0,231.05,48750,11392188.25,85,8226870600.0
27/01/2026,CFG BANK,CFG,231.1,232.0,234.9,231.0,6832,1585474.75,62,8121846720.0
26/01/2026,CFG BANK,CFG,237.0,232.0,237.0,231.0,12132,2817097.15,66,8121846720.0
23/01/2026,CFG BANK,CFG,240.0,235.0,240.0,234.6,49182,11559026.4,59,8226870600.0
22/01/2026,CFG BANK,CFG,234.6,240.0,244.0,234.2,1256,297886.6,54,8401910400.0
21/01/2026,CFG BANK,CFG,239.0,235.0,240.0,235.0,4588,1079022.85,62,8226870600.0
20/01/2026,CFG BANK,CFG,238.75,237.0,241.9,237.0,4280,1016776.8,87,8296886520.0
19/01/2026,CFG BANK,CFG,240.05,239.0,245.0,238.7,7365,1767699.95,66,8366902440.0
16/01/2026,CFG BANK,CFG,245.0,242.0,245.0,240.1,12505,3026580.65,55,8471926320.0
15/01/2026,CFG BANK,CFG,243.1,242.0,245.0,242.0,2786,675048.5,48,8471926320.0
13/01/2026,CFG BANK,CFG,245.15,244.0,249.95,244.0,33319,8146426.25,102,8541942240.0
12/01/2026,CFG BANK,CFG,250.0,248.0,252.5,245.5,15640,3906934.1,60,8681974080.0
09/01/2026,CFG BANK,CFG,250.0,250.0,252.0,245.1,49267,12332328.95,57,8751990000.0
08/01/2026,CFG BANK,CFG,250.0,252.0,252.0,245.0,3833,950171.65,59,8822005920.0
07/01/2026,CFG BANK,CFG,251.05,248.0,254.5,248.0,5648,1414541.7,65,8681974080.0
06/01/2026,CFG BANK,CFG,257.0,255.0,257.9,251.05,7780,1977030.65,66,8927029800.0
05/01/2026,CFG BANK,CFG,249.0,258.0,258.0,247.0,13649,3508084.6,116,9032053680.0
02/01/2026,CFG BANK,CFG,244.9,258.0,258.0,238.5,23634,6088516.95,100,9032053680.0
31/12/2025,CFG BANK,CFG,238.0,245.0,245.0,236.0,26131,6359966.15,73,8576950200.0
30/12/2025,CFG BANK,CFG,244.9,236.0,244.9,235.0,18877,4554911.2,46,8261878560.0
29/12/2025,CFG BANK,CFG,241.0,230.0,247.0,230.0,16574,3861283.65,116,8051830800.0
26/12/2025,CFG BANK,CFG,245.7,240.0,249.0,240.0,57521,13820177.6,97,8401910400.0
25/12/2025,CFG BANK,CFG,241.6,255.0,255.0,241.6,29452,7327961.0,62,8927029800.0
24/12/2025,CFG BANK,CFG,248.8,248.0,249.0,243.6,37679,9367913.05,32,8681974080.0
23/12/2025,CFG BANK,CFG,245.0,249.0,249.8,242.5,159711,39619509.65,45,8716982040.0
22/12/2025,CFG BANK,CFG,250.0,250.0,250.0,246.5,5519,1376271.55,44,8751990000.0
19/12/2025,CFG BANK,CFG,246.0,249.0,251.0,246.0,70001,17441444.0,36,8716982040.0
18/12/2025,CFG BANK,CFG,250.0,246.0,251.0,246.0,23756,5950394.8,48,8611958160.0
17/12/2025,CFG BANK,CFG,250.9,250.05,253.0,250.0,35008,8787920.75,80,8753740398.0
16/12/2025,CFG BANK,CFG,245.45,250.0,250.0,245.0,3621,899463.35,48,8751990000.0
15/12/2025,CFG BANK,CFG,248.0,250.0,251.8,244.0,4764,1179361.15,39,8751990000.0
12/12/2025,CFG BANK,CFG,250.0,250.1,251.8,242.55,4694,1171945.15,53,8755490796.0
11/12/2025,CFG BANK,CFG,241.0,250.0,250.0,241.0,1589,393158.05,26,8751990000.0
10/12/2025,CFG BANK,CFG,247.5,250.0,250.0,240.5,7959,1984475.15,49,8751990000.0
09/12/2025,CFG BANK,CFG,250.0,246.0,250.0,240.55,6034,1493475.85,31,8611958160.0
08/12/2025,CFG BANK,CFG,250.0,250.0,250.0,240.2,17163,4289964.5,49,8751990000.0
05/12/2025,CFG BANK,CFG,237.0,250.0,250.0,236.2,10254,2538428.7,87,8751990000.0
04/12/2025,CFG BANK,CFG,238.2,243.0,243.0,238.2,2180,525319.75,47,8506934280.0
03/12/2025,CFG BANK,CFG,243.0,243.0,243.0,235.2,1964,472560.1,49,8506934280.0
02/12/2025,CFG BANK,CFG,238.2,243.0,243.0,235.15,1907,458556.75,54,8506934280.0
01/12/2025,CFG BANK,CFG,239.2,239.0,244.95,239.0,3264,781628.35,42,8366902440.0
28/11/2025,CFG BANK,CFG,240.5,244.0,245.0,239.35,3038,738458.0,34,8541942240.0
27/11/2025,CFG BANK,CFG,239.2,246.0,246.0,239.2,40688,9959866.2,37,8611958160.0
26/11/2025,CFG BANK,CFG,245.0,245.0,245.5,238.0,3334,816233.0,35,8576950200.0
25/11/2025,CFG BANK,CFG,239.0,242.1,242.1,235.15,9736,2328453.1,51,8475427116.0
24/11/2025,CFG BANK,CFG,240.0,240.0,240.0,231.25,2314,551835.05,37,8401910400.0
21/11/2025,CFG BANK,CFG,238.2,245.0,245.0,238.0,11620,2813343.0,47,8576950200.0
20/11/2025,CFG BANK,CFG,240.0,240.0,241.5,240.0,25428,6107658.35,47,8401910400.0
19/11/2025,CFG BANK,CFG,243.65,240.35,243.65,240.2,2494,602829.75,60,8414163186.0
17/11/2025,CFG BANK,CFG,253.5,243.65,253.5,243.05,6155,1525387.35,34,8529689454.0
14/11/2025,CFG BANK,CFG,243.05,253.5,253.5,243.05,9405,2375512.85,50,8874517860.0
