Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
13/03/2026,CIH,CIH,363.6,360.0,364.85,358.0,25933,9337032.15,76,12818024640.0
12/03/2026,CIH,CIH,370.0,360.0,375.9,360.0,2089,753160.8,32,12818024640.0
11/03/2026,CIH,CIH,378.95,364.05,378.95,364.05,1502,550796.05,46,12962227417.2
10/03/2026,CIH,CIH,388.5,365.0,388.5,365.0,12191,4465299.6,41,12996052760.0
09/03/2026,CIH,CIH,375.0,374.0,383.0,367.0,2340,872184.1,43,13316503376.0
06/03/2026,CIH,CIH,392.8,380.0,392.8,374.0,19542,7413761.8,71,13530137120.0
05/03/2026,CIH,CIH,362.0,380.0,380.0,360.0,7410,2768546.2,77,13530137120.0
04/03/2026,CIH,CIH,355.0,361.8,373.0,355.0,20970,7557748.9,114,12882114763.2
03/03/2026,CIH,CIH,377.0,340.0,383.0,340.0,80453,27396718.55,120,12105912160.0
02/03/2026,CIH,CIH,375.0,375.0,390.0,371.05,14605,5480511.6,111,13352109000.0
27/02/2026,CIH,CIH,404.9,400.0,405.0,393.1,15232,6092318.7,35,14242249600.0
26/02/2026,CIH,CIH,404.4,405.0,405.0,396.0,4140,1658198.0,29,14420277720.0
25/02/2026,CIH,CIH,396.1,398.0,404.7,396.1,8967,3578261.0,33,14171038352.0
24/02/2026,CIH,CIH,404.95,400.0,405.0,395.0,17937,7173424.05,26,14242249600.0
23/02/2026,CIH,CIH,396.05,405.0,406.9,396.05,290,115522.9,15,14420277720.0
20/02/2026,CIH,CIH,400.5,405.0,407.85,400.0,38073,15413383.0,28,14420277720.0
19/02/2026,CIH,CIH,401.0,405.0,407.9,395.0,27859,11268356.55,43,14420277720.0
18/02/2026,CIH,CIH,407.9,405.0,407.9,402.2,30966,12541312.4,23,14420277720.0
17/02/2026,CIH,CIH,400.0,407.9,408.5,400.0,30671,12389666.9,29,14523534029.6
16/02/2026,CIH,CIH,408.0,408.0,408.0,396.25,15973,6509724.4,59,14527094592.0
13/02/2026,CIH,CIH,400.0,407.9,407.9,396.0,15326,6245357.7,41,14523534029.6
12/02/2026,CIH,CIH,399.9,400.0,400.0,395.0,5643,2257164.6,24,14242249600.0
11/02/2026,CIH,CIH,400.0,399.9,400.0,390.0,400,157369.65,13,14238689037.6
10/02/2026,CIH,CIH,390.0,400.0,400.0,386.25,3912,1557972.3,57,14242249600.0
09/02/2026,CIH,CIH,391.1,393.0,399.45,391.1,2422,949907.9,34,13993010232.0
06/02/2026,CIH,CIH,396.95,400.0,400.0,390.0,11699,4652947.7,59,14242249600.0
05/02/2026,CIH,CIH,397.0,396.6,397.0,394.0,173,68361.3,25,14121190478.4
04/02/2026,CIH,CIH,386.1,396.95,397.4,386.1,1662,643805.0,35,14133652446.8
03/02/2026,CIH,CIH,398.0,390.0,398.0,390.0,9161,3573803.45,60,13886193360.0
02/02/2026,CIH,CIH,399.0,397.0,399.0,381.0,1768,694701.6,51,14135432728.0
30/01/2026,CIH,CIH,400.0,399.0,400.0,394.0,2344,927480.5,23,14206643976.0
29/01/2026,CIH,CIH,400.0,399.9,400.0,395.0,1582,630023.95,45,14238689037.6
28/01/2026,CIH,CIH,396.0,400.0,400.0,396.0,486,192926.8,33,14242249600.0
27/01/2026,CIH,CIH,390.2,395.5,398.45,390.2,1788,702612.9,30,14082024292.0
26/01/2026,CIH,CIH,392.05,391.5,398.45,390.1,868,341674.95,55,13939601796.0
23/01/2026,CIH,CIH,405.0,391.0,405.1,391.0,22399,8780493.7,105,13921798984.0
22/01/2026,CIH,CIH,405.0,405.0,405.0,398.0,4035,1606229.0,14,14420277720.0
21/01/2026,CIH,CIH,400.0,393.0,402.0,390.0,1975,786030.25,77,13993010232.0
20/01/2026,CIH,CIH,404.0,400.05,404.0,400.05,34113,13678737.1,71,14244029881.2
19/01/2026,CIH,CIH,405.0,402.1,407.85,402.1,46709,18903259.35,354,14317021410.4
16/01/2026,CIH,CIH,409.0,405.0,409.3,404.0,7336,2971018.7,33,14420277720.0
15/01/2026,CIH,CIH,409.6,406.0,409.6,401.05,15894,6451691.3,47,14455883344.0
13/01/2026,CIH,CIH,408.9,405.0,408.9,405.0,44157,17894660.4,76,14420277720.0
12/01/2026,CIH,CIH,410.1,407.5,414.0,407.5,15323,6253918.55,33,14509291780.0
09/01/2026,CIH,CIH,408.5,408.0,412.0,406.0,23216,9485290.0,34,14527094592.0
08/01/2026,CIH,CIH,410.0,408.9,413.8,408.5,12259,5018708.4,15,14559139653.6
07/01/2026,CIH,CIH,410.0,410.0,412.0,410.0,12381,5079085.0,25,14598305840.0
06/01/2026,CIH,CIH,416.9,408.55,416.9,408.55,44796,18399036.9,58,14546677685.2
05/01/2026,CIH,CIH,405.5,408.0,415.9,405.5,12462,5084817.7,60,14527094592.0
02/01/2026,CIH,CIH,416.95,413.5,417.0,405.1,15323,6319617.1,56,14722925524.0
13/03/2026,CIH,CIH,363.6,360.0,364.85,358.0,25933,9337032.15,76,12818024640.0
12/03/2026,CIH,CIH,370.0,360.0,375.9,360.0,2089,753160.8,32,12818024640.0
11/03/2026,CIH,CIH,378.95,364.05,378.95,364.05,1502,550796.05,46,12962227417.2
10/03/2026,CIH,CIH,388.5,365.0,388.5,365.0,12191,4465299.6,41,12996052760.0
09/03/2026,CIH,CIH,375.0,374.0,383.0,367.0,2340,872184.1,43,13316503376.0
06/03/2026,CIH,CIH,392.8,380.0,392.8,374.0,19542,7413761.8,71,13530137120.0
05/03/2026,CIH,CIH,362.0,380.0,380.0,360.0,7410,2768546.2,77,13530137120.0
04/03/2026,CIH,CIH,355.0,361.8,373.0,355.0,20970,7557748.9,114,12882114763.2
03/03/2026,CIH,CIH,377.0,340.0,383.0,340.0,80453,27396718.55,120,12105912160.0
02/03/2026,CIH,CIH,375.0,375.0,390.0,371.05,14605,5480511.6,111,13352109000.0
27/02/2026,CIH,CIH,404.9,400.0,405.0,393.1,15232,6092318.7,35,14242249600.0
26/02/2026,CIH,CIH,404.4,405.0,405.0,396.0,4140,1658198.0,29,14420277720.0
25/02/2026,CIH,CIH,396.1,398.0,404.7,396.1,8967,3578261.0,33,14171038352.0
24/02/2026,CIH,CIH,404.95,400.0,405.0,395.0,17937,7173424.05,26,14242249600.0
23/02/2026,CIH,CIH,396.05,405.0,406.9,396.05,290,115522.9,15,14420277720.0
20/02/2026,CIH,CIH,400.5,405.0,407.85,400.0,38073,15413383.0,28,14420277720.0
19/02/2026,CIH,CIH,401.0,405.0,407.9,395.0,27859,11268356.55,43,14420277720.0
18/02/2026,CIH,CIH,407.9,405.0,407.9,402.2,30966,12541312.4,23,14420277720.0
17/02/2026,CIH,CIH,400.0,407.9,408.5,400.0,30671,12389666.9,29,14523534029.6
16/02/2026,CIH,CIH,408.0,408.0,408.0,396.25,15973,6509724.4,59,14527094592.0
13/02/2026,CIH,CIH,400.0,407.9,407.9,396.0,15326,6245357.7,41,14523534029.6
12/02/2026,CIH,CIH,399.9,400.0,400.0,395.0,5643,2257164.6,24,14242249600.0
11/02/2026,CIH,CIH,400.0,399.9,400.0,390.0,400,157369.65,13,14238689037.6
10/02/2026,CIH,CIH,390.0,400.0,400.0,386.25,3912,1557972.3,57,14242249600.0
09/02/2026,CIH,CIH,391.1,393.0,399.45,391.1,2422,949907.9,34,13993010232.0
06/02/2026,CIH,CIH,396.95,400.0,400.0,390.0,11699,4652947.7,59,14242249600.0
05/02/2026,CIH,CIH,397.0,396.6,397.0,394.0,173,68361.3,25,14121190478.4
04/02/2026,CIH,CIH,386.1,396.95,397.4,386.1,1662,643805.0,35,14133652446.8
03/02/2026,CIH,CIH,398.0,390.0,398.0,390.0,9161,3573803.45,60,13886193360.0
02/02/2026,CIH,CIH,399.0,397.0,399.0,381.0,1768,694701.6,51,14135432728.0
30/01/2026,CIH,CIH,400.0,399.0,400.0,394.0,2344,927480.5,23,14206643976.0
29/01/2026,CIH,CIH,400.0,399.9,400.0,395.0,1582,630023.95,45,14238689037.6
28/01/2026,CIH,CIH,396.0,400.0,400.0,396.0,486,192926.8,33,14242249600.0
27/01/2026,CIH,CIH,390.2,395.5,398.45,390.2,1788,702612.9,30,14082024292.0
26/01/2026,CIH,CIH,392.05,391.5,398.45,390.1,868,341674.95,55,13939601796.0
23/01/2026,CIH,CIH,405.0,391.0,405.1,391.0,22399,8780493.7,105,13921798984.0
22/01/2026,CIH,CIH,405.0,405.0,405.0,398.0,4035,1606229.0,14,14420277720.0
21/01/2026,CIH,CIH,400.0,393.0,402.0,390.0,1975,786030.25,77,13993010232.0
20/01/2026,CIH,CIH,404.0,400.05,404.0,400.05,34113,13678737.1,71,14244029881.2
19/01/2026,CIH,CIH,405.0,402.1,407.85,402.1,46709,18903259.35,354,14317021410.4
16/01/2026,CIH,CIH,409.0,405.0,409.3,404.0,7336,2971018.7,33,14420277720.0
15/01/2026,CIH,CIH,409.6,406.0,409.6,401.05,15894,6451691.3,47,14455883344.0
13/01/2026,CIH,CIH,408.9,405.0,408.9,405.0,44157,17894660.4,76,14420277720.0
12/01/2026,CIH,CIH,410.1,407.5,414.0,407.5,15323,6253918.55,33,14509291780.0
09/01/2026,CIH,CIH,408.5,408.0,412.0,406.0,23216,9485290.0,34,14527094592.0
08/01/2026,CIH,CIH,410.0,408.9,413.8,408.5,12259,5018708.4,15,14559139653.6
07/01/2026,CIH,CIH,410.0,410.0,412.0,410.0,12381,5079085.0,25,14598305840.0
06/01/2026,CIH,CIH,416.9,408.55,416.9,408.55,44796,18399036.9,58,14546677685.2
05/01/2026,CIH,CIH,405.5,408.0,415.9,405.5,12462,5084817.7,60,14527094592.0
02/01/2026,CIH,CIH,416.95,413.5,417.0,405.1,15323,6319617.1,56,14722925524.0
31/12/2025,CIH,CIH,414.95,415.0,415.0,403.0,14390,5952662.1,86,14776333960.0
30/12/2025,CIH,CIH,416.25,413.95,416.9,400.2,11285,4614646.1,45,14738948054.8
29/12/2025,CIH,CIH,410.0,415.0,415.0,395.9,387788,157509081.7,128,14776333960.0
26/12/2025,CIH,CIH,411.05,414.0,414.7,408.0,16774,6936664.75,47,14740728336.0
25/12/2025,CIH,CIH,410.6,411.3,416.9,410.6,34813,14436590.65,17,14644593151.2
24/12/2025,CIH,CIH,411.0,411.0,414.8,411.0,2052,843379.6,9,14633911464.0
23/12/2025,CIH,CIH,412.2,411.0,419.0,407.25,7134,2925024.1,17,14633911464.0
22/12/2025,CIH,CIH,420.9,412.2,420.9,410.0,1014,423840.45,33,14676638212.8
19/12/2025,CIH,CIH,412.0,420.0,420.0,408.7,33400,13842132.1,60,14954362080.0
18/12/2025,CIH,CIH,414.0,412.0,414.4,412.0,29395,12112032.95,41,14669517088.0
17/12/2025,CIH,CIH,414.3,411.0,414.3,410.0,12271,5034861.5,26,14633911464.0
16/12/2025,CIH,CIH,411.0,410.0,414.0,410.0,1051,432169.0,23,14598305840.0
15/12/2025,CIH,CIH,415.0,411.0,415.0,409.0,3219,1323567.15,40,14633911464.0
12/12/2025,CIH,CIH,415.0,414.75,415.0,407.5,2608,1081061.9,23,14767432554.0
11/12/2025,CIH,CIH,411.0,415.0,415.0,405.15,2480,1022910.85,30,14776333960.0
10/12/2025,CIH,CIH,415.5,415.8,415.8,410.0,969,401635.15,21,14804818459.2
09/12/2025,CIH,CIH,411.0,415.8,415.8,411.0,118,48931.4,14,14804818459.2
08/12/2025,CIH,CIH,416.9,416.0,416.9,410.3,435,180966.3,15,14811939584.0
05/12/2025,CIH,CIH,409.0,415.0,415.0,405.1,5635,2328775.25,40,14776333960.0
04/12/2025,CIH,CIH,409.0,407.0,409.0,405.0,778,315616.15,16,14491488968.0
