Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
09/04/2026,CIMENTS DU MAROC,CMA,1746.0,1765.0,1783.0,1746.0,380,667642.0,13,25479547060.0
08/04/2026,CIMENTS DU MAROC,CMA,1750.0,1770.0,1780.0,1740.0,12710,22379888.0,57,25551727080.0
07/04/2026,CIMENTS DU MAROC,CMA,1743.0,1700.0,1743.0,1681.0,3083,5256618.0,20,24541206800.0
06/04/2026,CIMENTS DU MAROC,CMA,1748.0,1710.0,1748.0,1705.0,119,206290.0,19,24685566840.0
03/04/2026,CIMENTS DU MAROC,CMA,1706.0,1745.0,1745.0,1705.0,4907,8561918.0,9,25190826980.0
02/04/2026,CIMENTS DU MAROC,CMA,1740.0,1705.0,1740.0,1705.0,1952,3340734.0,29,24613386820.0
01/04/2026,CIMENTS DU MAROC,CMA,1735.0,1720.0,1759.0,1720.0,4258,7328109.0,13,24829926880.0
31/03/2026,CIMENTS DU MAROC,CMA,1738.0,1715.0,1739.0,1715.0,124,213310.0,7,24757746860.0
30/03/2026,CIMENTS DU MAROC,CMA,1739.0,1715.0,1739.0,1715.0,84,144223.0,8,24757746860.0
27/03/2026,CIMENTS DU MAROC,CMA,1760.0,1711.0,1760.0,1711.0,4595,7887790.0,41,24700002844.0
26/03/2026,CIMENTS DU MAROC,CMA,1760.0,1750.0,1770.0,1750.0,6457,11301454.0,38,25263007000.0
25/03/2026,CIMENTS DU MAROC,CMA,1720.0,1754.0,1754.0,1720.0,3108,5415429.0,20,25320751016.0
24/03/2026,CIMENTS DU MAROC,CMA,1749.0,1700.0,1749.0,1700.0,2728,4641830.0,30,24541206800.0
19/03/2026,CIMENTS DU MAROC,CMA,1715.0,1730.0,1730.0,1705.0,6844,11801525.0,28,24974286920.0
18/03/2026,CIMENTS DU MAROC,CMA,1739.0,1790.0,1800.0,1739.0,1181,2109772.0,33,25840447160.0
17/03/2026,CIMENTS DU MAROC,CMA,1690.0,1695.0,1705.0,1690.0,10286,17491793.0,24,24469026780.0
16/03/2026,CIMENTS DU MAROC,CMA,1662.0,1690.0,1710.0,1662.0,1533,2590122.0,18,24396846760.0
13/03/2026,CIMENTS DU MAROC,CMA,1730.0,1697.0,1730.0,1697.0,6775,11541121.0,31,24497898788.0
12/03/2026,CIMENTS DU MAROC,CMA,1760.0,1722.0,1760.0,1707.0,8713,14991193.0,45,24858798888.0
11/03/2026,CIMENTS DU MAROC,CMA,1604.0,1706.0,1750.0,1604.0,9453,16071709.0,44,24627822824.0
10/03/2026,CIMENTS DU MAROC,CMA,1694.0,1600.0,1694.0,1600.0,4863,7794126.0,57,23097606400.0
09/03/2026,CIMENTS DU MAROC,CMA,1649.0,1600.0,1649.0,1600.0,795,1279958.0,58,23097606400.0
06/03/2026,CIMENTS DU MAROC,CMA,1697.0,1673.0,1700.0,1673.0,8189,13766991.0,29,24151434692.0
05/03/2026,CIMENTS DU MAROC,CMA,1716.0,1679.0,1716.0,1661.0,8757,14727875.0,39,24238050716.0
04/03/2026,CIMENTS DU MAROC,CMA,1694.0,1650.0,1700.0,1650.0,538,907378.0,30,23819406600.0
03/03/2026,CIMENTS DU MAROC,CMA,1789.0,1617.0,1789.0,1600.0,10484,16974751.0,46,23343018468.0
02/03/2026,CIMENTS DU MAROC,CMA,1675.0,1654.0,1706.0,1650.0,6546,10834857.0,67,23877150616.0
27/02/2026,CIMENTS DU MAROC,CMA,1730.0,1706.0,1740.0,1706.0,15517,26574771.0,69,24627822824.0
26/02/2026,CIMENTS DU MAROC,CMA,1786.0,1750.0,1786.0,1750.0,5430,9519839.0,33,25263007000.0
25/02/2026,CIMENTS DU MAROC,CMA,1770.0,1765.0,1770.0,1765.0,1010,1782700.0,3,25479547060.0
24/02/2026,CIMENTS DU MAROC,CMA,1794.0,1769.0,1794.0,1769.0,5703,10194021.0,17,25537291076.0
23/02/2026,CIMENTS DU MAROC,CMA,1763.0,1797.0,1799.0,1763.0,31,55094.0,9,25941499188.0
20/02/2026,CIMENTS DU MAROC,CMA,1794.0,1784.0,1794.0,1762.0,8385,14974395.0,26,25753831136.0
19/02/2026,CIMENTS DU MAROC,CMA,1795.0,1790.0,1795.0,1790.0,2031,3635645.0,6,25840447160.0
18/02/2026,CIMENTS DU MAROC,CMA,1798.0,1797.0,1798.0,1765.0,4025,7105881.0,20,25941499188.0
17/02/2026,CIMENTS DU MAROC,CMA,1799.0,1800.0,1800.0,1761.0,61,109672.0,12,25984807200.0
16/02/2026,CIMENTS DU MAROC,CMA,1758.0,1798.0,1798.0,1754.0,11809,20839525.0,38,25955935192.0
13/02/2026,CIMENTS DU MAROC,CMA,1760.0,1758.0,1786.0,1750.0,10465,18406565.0,29,25378495032.0
12/02/2026,CIMENTS DU MAROC,CMA,1752.0,1788.0,1788.0,1730.0,6422,11369908.0,26,25811575152.0
11/02/2026,CIMENTS DU MAROC,CMA,1753.0,1750.0,1753.0,1749.0,8527,14922266.0,8,25263007000.0
10/02/2026,CIMENTS DU MAROC,CMA,1764.0,1754.0,1765.0,1750.0,340,596942.0,22,25320751016.0
09/02/2026,CIMENTS DU MAROC,CMA,1764.0,1753.0,1764.0,1720.0,2155,3711557.0,17,25306315012.0
06/02/2026,CIMENTS DU MAROC,CMA,1716.0,1737.0,1737.0,1686.0,6846,11803208.0,72,25075338948.0
05/02/2026,CIMENTS DU MAROC,CMA,1740.0,1716.0,1740.0,1716.0,7183,12353370.0,52,24772182864.0
04/02/2026,CIMENTS DU MAROC,CMA,1775.0,1720.0,1775.0,1720.0,2715,4670439.0,28,24829926880.0
03/02/2026,CIMENTS DU MAROC,CMA,1739.0,1720.0,1743.0,1720.0,2866,4941986.0,44,24829926880.0
02/02/2026,CIMENTS DU MAROC,CMA,1721.0,1739.0,1740.0,1720.0,3080,5297902.0,21,25104210956.0
30/01/2026,CIMENTS DU MAROC,CMA,1779.0,1727.0,1779.0,1727.0,3476,6025860.0,46,24930978908.0
29/01/2026,CIMENTS DU MAROC,CMA,1777.0,1740.0,1777.0,1740.0,2651,4614250.0,46,25118646960.0
28/01/2026,CIMENTS DU MAROC,CMA,1749.0,1745.0,1780.0,1730.0,5421,9458112.0,49,25190826980.0
27/01/2026,CIMENTS DU MAROC,CMA,1740.0,1745.0,1750.0,1740.0,9144,15971635.0,24,25190826980.0
26/01/2026,CIMENTS DU MAROC,CMA,1795.0,1722.0,1795.0,1702.0,1005,1755068.0,27,24858798888.0
23/01/2026,CIMENTS DU MAROC,CMA,1798.0,1750.0,1799.0,1750.0,25703,45093545.0,131,25263007000.0
22/01/2026,CIMENTS DU MAROC,CMA,1824.0,1750.0,1824.0,1750.0,3959,6970967.0,70,25263007000.0
21/01/2026,CIMENTS DU MAROC,CMA,1825.0,1770.0,1825.0,1770.0,529,939433.0,51,25551727080.0
20/01/2026,CIMENTS DU MAROC,CMA,1832.0,1790.0,1832.0,1790.0,853,1527728.0,33,25840447160.0
19/01/2026,CIMENTS DU MAROC,CMA,1839.0,1800.0,1839.0,1780.0,3529,6291420.0,45,25984807200.0
16/01/2026,CIMENTS DU MAROC,CMA,1869.0,1800.0,1869.0,1800.0,5280,9533490.0,112,25984807200.0
15/01/2026,CIMENTS DU MAROC,CMA,1848.0,1850.0,1850.0,1821.0,370,681502.0,16,26706607400.0
13/01/2026,CIMENTS DU MAROC,CMA,1894.0,1823.0,1894.0,1823.0,2181,4001378.0,43,26316835292.0
12/01/2026,CIMENTS DU MAROC,CMA,1845.0,1849.0,1850.0,1840.0,3883,7180162.0,24,26692171396.0
09/01/2026,CIMENTS DU MAROC,CMA,1879.0,1848.0,1879.0,1810.0,11159,20647780.0,53,26677735392.0
08/01/2026,CIMENTS DU MAROC,CMA,1892.0,1850.0,1894.0,1850.0,218,404034.0,12,26706607400.0
07/01/2026,CIMENTS DU MAROC,CMA,1917.0,1889.0,1917.0,1845.0,4829,8969888.0,44,27269611556.0
06/01/2026,CIMENTS DU MAROC,CMA,1890.0,1880.0,1899.0,1870.0,2001,3766269.0,20,27139687520.0
17/03/2026,CIMENTS DU MAROC,CMA,1690.0,1695.0,1705.0,1690.0,10286,17491793.0,24,24469026780.0
16/03/2026,CIMENTS DU MAROC,CMA,1662.0,1690.0,1710.0,1662.0,1533,2590122.0,18,24396846760.0
13/03/2026,CIMENTS DU MAROC,CMA,1730.0,1697.0,1730.0,1697.0,6775,11541121.0,31,24497898788.0
12/03/2026,CIMENTS DU MAROC,CMA,1760.0,1722.0,1760.0,1707.0,8713,14991193.0,45,24858798888.0
11/03/2026,CIMENTS DU MAROC,CMA,1604.0,1706.0,1750.0,1604.0,9453,16071709.0,44,24627822824.0
10/03/2026,CIMENTS DU MAROC,CMA,1694.0,1600.0,1694.0,1600.0,4863,7794126.0,57,23097606400.0
09/03/2026,CIMENTS DU MAROC,CMA,1649.0,1600.0,1649.0,1600.0,795,1279958.0,58,23097606400.0
06/03/2026,CIMENTS DU MAROC,CMA,1697.0,1673.0,1700.0,1673.0,8189,13766991.0,29,24151434692.0
05/03/2026,CIMENTS DU MAROC,CMA,1716.0,1679.0,1716.0,1661.0,8757,14727875.0,39,24238050716.0
04/03/2026,CIMENTS DU MAROC,CMA,1694.0,1650.0,1700.0,1650.0,538,907378.0,30,23819406600.0
03/03/2026,CIMENTS DU MAROC,CMA,1789.0,1617.0,1789.0,1600.0,10484,16974751.0,46,23343018468.0
02/03/2026,CIMENTS DU MAROC,CMA,1675.0,1654.0,1706.0,1650.0,6546,10834857.0,67,23877150616.0
27/02/2026,CIMENTS DU MAROC,CMA,1730.0,1706.0,1740.0,1706.0,15517,26574771.0,69,24627822824.0
26/02/2026,CIMENTS DU MAROC,CMA,1786.0,1750.0,1786.0,1750.0,5430,9519839.0,33,25263007000.0
25/02/2026,CIMENTS DU MAROC,CMA,1770.0,1765.0,1770.0,1765.0,1010,1782700.0,3,25479547060.0
24/02/2026,CIMENTS DU MAROC,CMA,1794.0,1769.0,1794.0,1769.0,5703,10194021.0,17,25537291076.0
23/02/2026,CIMENTS DU MAROC,CMA,1763.0,1797.0,1799.0,1763.0,31,55094.0,9,25941499188.0
20/02/2026,CIMENTS DU MAROC,CMA,1794.0,1784.0,1794.0,1762.0,8385,14974395.0,26,25753831136.0
19/02/2026,CIMENTS DU MAROC,CMA,1795.0,1790.0,1795.0,1790.0,2031,3635645.0,6,25840447160.0
18/02/2026,CIMENTS DU MAROC,CMA,1798.0,1797.0,1798.0,1765.0,4025,7105881.0,20,25941499188.0
17/02/2026,CIMENTS DU MAROC,CMA,1799.0,1800.0,1800.0,1761.0,61,109672.0,12,25984807200.0
16/02/2026,CIMENTS DU MAROC,CMA,1758.0,1798.0,1798.0,1754.0,11809,20839525.0,38,25955935192.0
13/02/2026,CIMENTS DU MAROC,CMA,1760.0,1758.0,1786.0,1750.0,10465,18406565.0,29,25378495032.0
12/02/2026,CIMENTS DU MAROC,CMA,1752.0,1788.0,1788.0,1730.0,6422,11369908.0,26,25811575152.0
11/02/2026,CIMENTS DU MAROC,CMA,1753.0,1750.0,1753.0,1749.0,8527,14922266.0,8,25263007000.0
10/02/2026,CIMENTS DU MAROC,CMA,1764.0,1754.0,1765.0,1750.0,340,596942.0,22,25320751016.0
09/02/2026,CIMENTS DU MAROC,CMA,1764.0,1753.0,1764.0,1720.0,2155,3711557.0,17,25306315012.0
06/02/2026,CIMENTS DU MAROC,CMA,1716.0,1737.0,1737.0,1686.0,6846,11803208.0,72,25075338948.0
05/02/2026,CIMENTS DU MAROC,CMA,1740.0,1716.0,1740.0,1716.0,7183,12353370.0,52,24772182864.0
04/02/2026,CIMENTS DU MAROC,CMA,1775.0,1720.0,1775.0,1720.0,2715,4670439.0,28,24829926880.0
03/02/2026,CIMENTS DU MAROC,CMA,1739.0,1720.0,1743.0,1720.0,2866,4941986.0,44,24829926880.0
02/02/2026,CIMENTS DU MAROC,CMA,1721.0,1739.0,1740.0,1720.0,3080,5297902.0,21,25104210956.0
30/01/2026,CIMENTS DU MAROC,CMA,1779.0,1727.0,1779.0,1727.0,3476,6025860.0,46,24930978908.0
29/01/2026,CIMENTS DU MAROC,CMA,1777.0,1740.0,1777.0,1740.0,2651,4614250.0,46,25118646960.0
28/01/2026,CIMENTS DU MAROC,CMA,1749.0,1745.0,1780.0,1730.0,5421,9458112.0,49,25190826980.0
27/01/2026,CIMENTS DU MAROC,CMA,1740.0,1745.0,1750.0,1740.0,9144,15971635.0,24,25190826980.0
26/01/2026,CIMENTS DU MAROC,CMA,1795.0,1722.0,1795.0,1702.0,1005,1755068.0,27,24858798888.0
23/01/2026,CIMENTS DU MAROC,CMA,1798.0,1750.0,1799.0,1750.0,25703,45093545.0,131,25263007000.0
22/01/2026,CIMENTS DU MAROC,CMA,1824.0,1750.0,1824.0,1750.0,3959,6970967.0,70,25263007000.0
21/01/2026,CIMENTS DU MAROC,CMA,1825.0,1770.0,1825.0,1770.0,529,939433.0,51,25551727080.0
20/01/2026,CIMENTS DU MAROC,CMA,1832.0,1790.0,1832.0,1790.0,853,1527728.0,33,25840447160.0
19/01/2026,CIMENTS DU MAROC,CMA,1839.0,1800.0,1839.0,1780.0,3529,6291420.0,45,25984807200.0
16/01/2026,CIMENTS DU MAROC,CMA,1869.0,1800.0,1869.0,1800.0,5280,9533490.0,112,25984807200.0
15/01/2026,CIMENTS DU MAROC,CMA,1848.0,1850.0,1850.0,1821.0,370,681502.0,16,26706607400.0
13/01/2026,CIMENTS DU MAROC,CMA,1894.0,1823.0,1894.0,1823.0,2181,4001378.0,43,26316835292.0
12/01/2026,CIMENTS DU MAROC,CMA,1845.0,1849.0,1850.0,1840.0,3883,7180162.0,24,26692171396.0
09/01/2026,CIMENTS DU MAROC,CMA,1879.0,1848.0,1879.0,1810.0,11159,20647780.0,53,26677735392.0
08/01/2026,CIMENTS DU MAROC,CMA,1892.0,1850.0,1894.0,1850.0,218,404034.0,12,26706607400.0
07/01/2026,CIMENTS DU MAROC,CMA,1917.0,1889.0,1917.0,1845.0,4829,8969888.0,44,27269611556.0
06/01/2026,CIMENTS DU MAROC,CMA,1890.0,1880.0,1899.0,1870.0,2001,3766269.0,20,27139687520.0
05/01/2026,CIMENTS DU MAROC,CMA,1927.0,1880.0,1927.0,1870.0,6481,12167823.0,31,27139687520.0
02/01/2026,CIMENTS DU MAROC,CMA,1935.0,1868.0,1935.0,1850.0,8461,15708502.0,25,26966455472.0
31/12/2025,CIMENTS DU MAROC,CMA,1840.0,1850.0,1850.0,1801.0,10255,18822852.0,35,26706607400.0
30/12/2025,CIMENTS DU MAROC,CMA,1781.0,1820.0,1820.0,1781.0,4479,8046990.0,17,26273527280.0
29/12/2025,CIMENTS DU MAROC,CMA,1845.0,1810.0,1845.0,1760.0,1465,2646389.0,41,26129167240.0
26/12/2025,CIMENTS DU MAROC,CMA,1847.0,1810.0,1847.0,1810.0,13074,23672150.0,27,26129167240.0
25/12/2025,CIMENTS DU MAROC,CMA,1800.0,1811.0,1849.0,1800.0,2077,3763120.0,18,26143603244.0
24/12/2025,CIMENTS DU MAROC,CMA,1860.0,1800.0,1866.0,1800.0,4053,7478135.0,45,25984807200.0
23/12/2025,CIMENTS DU MAROC,CMA,1860.0,1852.0,1900.0,1850.0,178,331095.0,19,26735479408.0
22/12/2025,CIMENTS DU MAROC,CMA,1870.0,1860.0,1870.0,1860.0,682,1270928.0,34,26850967440.0
19/12/2025,CIMENTS DU MAROC,CMA,1866.0,1870.0,1880.0,1866.0,7985,14932246.0,16,26995327480.0
18/12/2025,CIMENTS DU MAROC,CMA,1929.0,1865.0,1929.0,1865.0,530,990180.0,12,26923147460.0
17/12/2025,CIMENTS DU MAROC,CMA,1899.0,1880.0,1899.0,1864.0,342,640863.0,12,27139687520.0
16/12/2025,CIMENTS DU MAROC,CMA,1900.0,1875.0,1900.0,1875.0,805,1509449.0,4,27067507500.0
15/12/2025,CIMENTS DU MAROC,CMA,1900.0,1875.0,1919.0,1862.0,3249,6092701.0,11,27067507500.0
12/12/2025,CIMENTS DU MAROC,CMA,1900.0,1850.0,1934.0,1850.0,2743,5145225.0,50,26706607400.0
11/12/2025,CIMENTS DU MAROC,CMA,1885.0,1885.0,1885.0,1885.0,473,891605.0,5,27211867540.0
10/12/2025,CIMENTS DU MAROC,CMA,1881.0,1885.0,1885.0,1881.0,9,16957.0,2,27211867540.0
09/12/2025,CIMENTS DU MAROC,CMA,1900.0,1880.0,1900.0,1880.0,754,1417838.0,16,27139687520.0
08/12/2025,CIMENTS DU MAROC,CMA,1880.0,1900.0,1900.0,1880.0,26,49301.0,5,27428407600.0
05/12/2025,CIMENTS DU MAROC,CMA,1945.0,1881.0,1945.0,1881.0,36337,68791427.0,30,27154123524.0
04/12/2025,CIMENTS DU MAROC,CMA,1901.0,1896.0,1901.0,1895.0,369,699533.0,18,27370663584.0
03/12/2025,CIMENTS DU MAROC,CMA,1891.0,1909.0,1909.0,1891.0,6125,11609215.0,13,27558331636.0
02/12/2025,CIMENTS DU MAROC,CMA,1900.0,1920.0,1945.0,1891.0,117,225670.0,9,27717127680.0
01/12/2025,CIMENTS DU MAROC,CMA,1930.0,1947.0,1950.0,1930.0,6,11676.0,4,28106899788.0
28/11/2025,CIMENTS DU MAROC,CMA,1910.0,1900.0,1910.0,1900.0,3159,6002310.0,20,27428407600.0
27/11/2025,CIMENTS DU MAROC,CMA,1885.0,1910.0,1938.0,1885.0,342,652248.0,5,27572767640.0
26/11/2025,CIMENTS DU MAROC,CMA,1946.0,1880.0,1946.0,1880.0,333,629157.0,20,27139687520.0
25/11/2025,CIMENTS DU MAROC,CMA,1947.0,1905.0,1947.0,1905.0,657,1256726.0,12,27500587620.0
24/11/2025,CIMENTS DU MAROC,CMA,1947.0,1940.0,1947.0,1905.0,104,200891.0,15,28005847760.0
21/11/2025,CIMENTS DU MAROC,CMA,1901.0,1900.0,1910.0,1900.0,4457,8469518.0,27,27428407600.0
20/11/2025,CIMENTS DU MAROC,CMA,1903.0,1900.0,1958.0,1900.0,1318,2504927.0,17,27428407600.0
19/11/2025,CIMENTS DU MAROC,CMA,1911.0,1901.0,1911.0,1901.0,4111,7851886.0,25,27442843604.0
17/11/2025,CIMENTS DU MAROC,CMA,2029.0,1910.0,2029.0,1910.0,783,1508089.0,23,27572767640.0
14/11/2025,CIMENTS DU MAROC,CMA,1950.0,1910.0,1950.0,1910.0,5356,10271160.0,27,27572767640.0
13/11/2025,CIMENTS DU MAROC,CMA,1932.0,1930.0,1939.0,1930.0,3425,6610313.0,14,27861487720.0
12/11/2025,CIMENTS DU MAROC,CMA,1955.0,1930.0,1955.0,1930.0,28500,55008858.0,36,27861487720.0
