Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
09/04/2026,COLORADO,COL,82.95,80.52,82.95,80.1,1457,118286.37,34,1297790037.72
08/04/2026,COLORADO,COL,80.0,81.0,84.46,80.0,21768,1770222.52,138,1305526491.0
07/04/2026,COLORADO,COL,80.5,81.46,81.48,80.0,1901,153205.44,39,1312940592.06
06/04/2026,COLORADO,COL,81.0,81.76,81.97,79.6,3837,308007.79,90,1317775875.36
03/04/2026,COLORADO,COL,80.5,80.99,81.99,80.5,4296,346498.29,40,1305365314.89
02/04/2026,COLORADO,COL,80.9,80.6,81.99,80.2,1571,126971.14,39,1299079446.6
01/04/2026,COLORADO,COL,81.0,80.9,82.0,80.9,85938,6961502.05,95,1303914729.9
31/03/2026,COLORADO,COL,81.5,81.0,82.9,80.75,2521,204703.35,42,1305526491.0
30/03/2026,COLORADO,COL,84.01,81.94,84.01,80.5,3368,275640.19,50,1320677045.34
27/03/2026,COLORADO,COL,85.0,83.0,85.0,83.0,3375,281632.76,40,1337761713.0
26/03/2026,COLORADO,COL,84.5,84.5,85.0,82.0,2476,205831.2,43,1361938129.5
25/03/2026,COLORADO,COL,85.5,84.9,85.5,82.7,413,34898.44,20,1368385173.9
24/03/2026,COLORADO,COL,86.0,85.5,86.0,83.44,310,26498.46,23,1378055740.5
19/03/2026,COLORADO,COL,85.0,85.8,85.99,84.0,242,20591.05,9,1382891023.8
18/03/2026,COLORADO,COL,85.9,85.84,86.0,83.12,794,66664.32,23,1383535728.24
17/03/2026,COLORADO,COL,83.11,86.0,86.0,83.11,1357,116257.15,18,1386114546.0
16/03/2026,COLORADO,COL,82.5,85.9,85.9,82.5,710,59225.02,26,1384502784.9
13/03/2026,COLORADO,COL,86.9,82.5,86.9,82.5,10105,839217.76,44,1329702907.5
12/03/2026,COLORADO,COL,85.09,84.0,87.56,84.0,10370,878411.16,63,1353879324.0
11/03/2026,COLORADO,COL,89.98,84.0,91.0,84.0,5591,478799.62,59,1353879324.0
10/03/2026,COLORADO,COL,90.1,85.0,92.3,85.0,10874,955321.03,82,1369996935.0
09/03/2026,COLORADO,COL,87.79,86.95,87.79,84.0,1361,118910.49,27,1401426276.45
06/03/2026,COLORADO,COL,91.0,89.98,91.0,88.0,7463,669712.4,34,1450262637.78
05/03/2026,COLORADO,COL,89.0,90.0,90.0,85.0,2711,239424.08,42,1450584990.0
04/03/2026,COLORADO,COL,77.0,85.0,86.0,77.0,4562,369480.91,74,1369996935.0
03/03/2026,COLORADO,COL,83.0,80.0,85.0,80.0,15447,1258763.87,94,1289408880.0
02/03/2026,COLORADO,COL,82.0,83.0,86.1,82.0,5851,486995.9,74,1337761713.0
27/02/2026,COLORADO,COL,92.98,90.0,92.98,88.0,7456,673228.21,42,1450584990.0
26/02/2026,COLORADO,COL,93.0,92.0,93.5,92.0,20642,1919523.03,65,1482820212.0
25/02/2026,COLORADO,COL,93.0,92.75,93.0,92.75,6682,620175.4,48,1494908420.25
24/02/2026,COLORADO,COL,92.75,93.79,93.93,92.75,6016,561570.8,46,1511670735.69
