Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
09/04/2026,COSUMAR,CSR,195.0,193.0,196.9,193.0,19179,3723121.7,103,18236018599.0
08/04/2026,COSUMAR,CSR,195.0,194.7,196.95,194.7,51962,10135437.4,170,18396646742.1
07/04/2026,COSUMAR,CSR,194.9,193.0,194.9,191.0,2088,402464.65,87,18236018599.0
06/04/2026,COSUMAR,CSR,194.95,193.0,195.0,192.0,2301,446465.45,69,18236018599.0
03/04/2026,COSUMAR,CSR,194.7,192.0,194.7,191.5,8162,1573563.7,72,18141531456.0
02/04/2026,COSUMAR,CSR,194.9,194.8,194.9,192.1,1716,333316.75,62,18406095456.4
01/04/2026,COSUMAR,CSR,195.0,193.9,195.0,191.5,8963,1739271.85,84,18321057027.7
31/03/2026,COSUMAR,CSR,192.0,191.9,193.7,191.05,2704,518969.25,43,18132082741.7
30/03/2026,COSUMAR,CSR,192.0,192.0,193.5,190.6,446,85531.35,46,18141531456.0
27/03/2026,COSUMAR,CSR,192.0,190.0,193.9,190.0,33901,6451238.05,115,17952557170.0
26/03/2026,COSUMAR,CSR,195.0,190.9,195.0,190.9,20039,3838012.6,113,18037595598.7
25/03/2026,COSUMAR,CSR,193.4,194.25,196.0,190.55,9720,1887260.5,89,18354127527.75
24/03/2026,COSUMAR,CSR,192.0,190.0,192.8,190.0,26930,5129208.95,135,17952557170.0
19/03/2026,COSUMAR,CSR,193.0,188.0,193.0,187.0,44048,8303627.9,162,17763582884.0
18/03/2026,COSUMAR,CSR,190.0,191.0,192.0,190.0,16517,3149595.95,104,18047044313.0
17/03/2026,COSUMAR,CSR,192.0,190.0,194.95,189.8,63762,12115924.1,99,17952557170.0
16/03/2026,COSUMAR,CSR,190.0,195.0,195.0,187.0,54879,10643239.9,139,18424992885.0
13/03/2026,COSUMAR,CSR,191.0,190.0,191.8,186.3,117619,22277928.7,158,17952557170.0
12/03/2026,COSUMAR,CSR,191.7,189.1,191.7,189.0,48199,9158171.05,113,17867518741.3
11/03/2026,COSUMAR,CSR,189.0,189.0,189.0,186.0,71963,13407192.1,129,17858070027.0
10/03/2026,COSUMAR,CSR,189.0,185.0,189.0,182.5,97093,17887862.2,196,17480121455.0
09/03/2026,COSUMAR,CSR,175.0,175.25,180.0,175.0,66346,11651812.7,550,16558871810.75
06/03/2026,COSUMAR,CSR,181.85,181.85,181.85,181.85,3555,646476.75,37,17182486954.55
05/03/2026,COSUMAR,CSR,165.35,165.35,165.35,165.35,176,29101.6,6,15623449095.05
04/03/2026,COSUMAR,CSR,183.0,150.35,183.0,150.35,96299,15872604.4,835,14206141950.05
03/03/2026,COSUMAR,CSR,186.0,167.0,189.0,167.0,163116,27531968.55,595,15779352881.0
02/03/2026,COSUMAR,CSR,185.0,185.0,189.0,185.0,96708,17902181.85,513,17480121455.0
27/02/2026,COSUMAR,CSR,197.5,190.0,199.95,190.0,83562,16196458.45,588,17952557170.0
26/02/2026,COSUMAR,CSR,202.45,196.35,202.45,196.35,29100,5771328.35,268,18552550528.05
25/02/2026,COSUMAR,CSR,204.4,199.4,204.4,199.4,24919,4982524.2,134,18840736314.2
24/02/2026,COSUMAR,CSR,201.05,201.9,204.75,201.05,41569,8386000.95,52,19076954171.7
23/02/2026,COSUMAR,CSR,204.0,204.0,204.0,200.0,36300,7263524.3,113,19275377172.0
20/02/2026,COSUMAR,CSR,204.0,202.0,204.0,201.5,38199,7740315.3,54,19086402886.0
19/02/2026,COSUMAR,CSR,204.8,203.0,204.8,202.0,10685,2169181.8,23,19180890029.0
18/02/2026,COSUMAR,CSR,202.0,201.5,202.0,201.25,34460,6957247.65,89,19039159314.5
17/02/2026,COSUMAR,CSR,202.0,202.0,202.0,201.2,22167,4461488.25,67,19086402886.0
16/02/2026,COSUMAR,CSR,203.45,202.9,203.45,200.5,9487,1923658.15,76,19171441314.7
13/02/2026,COSUMAR,CSR,203.85,200.0,203.85,200.0,36512,7375328.2,191,18897428600.0
12/02/2026,COSUMAR,CSR,203.9,203.0,203.9,201.0,19843,4027784.2,73,19180890029.0
11/02/2026,COSUMAR,CSR,202.0,203.0,203.1,200.3,23435,4756519.85,49,19180890029.0
10/02/2026,COSUMAR,CSR,204.85,203.0,204.85,200.0,10752,2160459.85,107,19180890029.0
09/02/2026,COSUMAR,CSR,203.0,203.0,204.85,202.0,756,154241.0,65,19180890029.0
06/02/2026,COSUMAR,CSR,200.0,202.95,204.0,200.0,32499,6574789.75,119,19176165671.85
05/02/2026,COSUMAR,CSR,205.0,200.0,205.0,200.0,19235,3849994.7,155,18897428600.0
04/02/2026,COSUMAR,CSR,206.0,204.0,207.7,200.0,21621,4333057.65,147,19275377172.0
03/02/2026,COSUMAR,CSR,206.0,203.0,208.5,203.0,22538,4579478.3,131,19180890029.0
