Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
09/04/2026,CTM,CTM,855.0,855.0,855.0,820.0,38,31900.0,8,1048211190.0
08/04/2026,CTM,CTM,839.0,855.0,869.0,839.0,302,254003.0,19,1048211190.0
07/04/2026,CTM,CTM,810.0,838.0,839.0,810.0,28,23077.0,9,1027369564.0
06/04/2026,CTM,CTM,839.0,839.0,839.0,815.0,21,17414.2,10,1028595542.0
03/04/2026,CTM,CTM,845.0,840.0,845.0,811.0,124,103620.5,10,1029821520.0
02/04/2026,CTM,CTM,830.5,820.2,848.9,820.2,73,60560.9,6,1005547155.6
01/04/2026,CTM,CTM,815.0,834.0,870.0,815.0,259,217688.1,36,1022465652.0
31/03/2026,CTM,CTM,814.5,796.0,814.5,796.0,44,35186.0,11,975878488.0
30/03/2026,CTM,CTM,814.9,800.0,814.9,800.0,15,12044.7,5,980782400.0
27/03/2026,CTM,CTM,788.0,814.8,814.9,788.0,42,33464.3,8,998926874.4
26/03/2026,CTM,CTM,-,812.0,-,-,-,-,-,995494136.0
25/03/2026,CTM,CTM,812.5,812.0,813.0,812.0,69,56052.7,9,995494136.0
24/03/2026,CTM,CTM,779.0,813.5,813.5,779.0,13,10265.0,4,997333103.0
19/03/2026,CTM,CTM,815.0,814.5,815.0,814.5,6,4887.5,2,998559081.0
18/03/2026,CTM,CTM,810.0,814.0,816.0,810.0,7,5680.0,3,997946092.0
17/03/2026,CTM,CTM,808.0,810.0,810.0,806.0,80,64761.4,12,993042180.0
16/03/2026,CTM,CTM,770.5,772.0,807.5,770.5,30,23251.5,4,946455016.0
13/03/2026,CTM,CTM,817.8,800.0,817.8,800.0,9,7217.8,3,980782400.0
12/03/2026,CTM,CTM,-,823.8,-,-,-,-,-,1009960676.4
11/03/2026,CTM,CTM,823.9,823.8,823.9,800.0,35,28473.6,9,1009960676.4
10/03/2026,CTM,CTM,815.0,827.0,827.0,815.0,38,31156.0,4,1013883806.0
09/03/2026,CTM,CTM,815.0,800.0,815.0,800.0,124,100150.0,10,980782400.0
06/03/2026,CTM,CTM,848.9,810.0,848.9,810.0,249,205138.8,35,993042180.0
05/03/2026,CTM,CTM,818.5,819.0,833.0,818.5,99,81515.5,20,1004075982.0
04/03/2026,CTM,CTM,751.0,805.0,821.0,751.0,206,161852.0,32,986912290.0
03/03/2026,CTM,CTM,800.0,752.0,800.0,750.0,172,132779.8,38,921935456.0
02/03/2026,CTM,CTM,790.0,830.0,839.0,770.0,330,259442.0,47,1017561740.0
27/02/2026,CTM,CTM,846.0,842.1,860.0,841.1,133,112632.9,15,1032396073.8
26/02/2026,CTM,CTM,854.0,864.0,864.0,840.0,35,29742.9,11,1059244992.0
25/02/2026,CTM,CTM,866.9,854.0,866.9,850.0,48,41429.5,6,1046985212.0
24/02/2026,CTM,CTM,851.1,866.0,868.0,848.0,122,104256.9,21,1061696948.0
23/02/2026,CTM,CTM,851.0,851.0,851.0,851.0,20,17020.0,1,1043307278.0
20/02/2026,CTM,CTM,848.0,850.2,870.0,848.0,111,95212.0,12,1042326495.6
19/02/2026,CTM,CTM,853.0,848.0,870.0,847.0,148,126454.0,20,1039629344.0
18/02/2026,CTM,CTM,861.0,853.0,870.0,853.0,125,107216.0,17,1045759234.0
17/02/2026,CTM,CTM,874.0,874.0,874.0,860.0,33,28694.0,7,1071504772.0
16/02/2026,CTM,CTM,873.0,874.0,875.0,850.0,46,39779.8,12,1071504772.0
13/02/2026,CTM,CTM,860.0,874.0,874.0,856.0,55,47468.0,11,1071504772.0
12/02/2026,CTM,CTM,850.0,869.9,870.0,850.0,58,49519.7,14,1066478262.2
11/02/2026,CTM,CTM,877.0,876.0,877.0,850.0,176,150027.0,15,1073956728.0
10/02/2026,CTM,CTM,880.0,850.0,880.0,850.0,302,257592.7,38,1042081300.0
09/02/2026,CTM,CTM,889.0,855.0,889.0,853.0,51,43967.3,13,1048211190.0
06/02/2026,CTM,CTM,861.0,880.0,888.0,850.0,261,223075.0,30,1078860640.0
05/02/2026,CTM,CTM,870.0,898.0,898.0,865.5,45,39161.3,10,1100928244.0
04/02/2026,CTM,CTM,871.0,865.0,871.0,865.0,23,19987.0,5,1060470970.0
03/02/2026,CTM,CTM,-,870.0,-,-,-,-,-,1066600860.0
02/02/2026,CTM,CTM,870.0,870.0,901.9,870.0,60,52325.8,9,1066600860.0
30/01/2026,CTM,CTM,870.0,870.0,902.0,870.0,81,70534.0,9,1066600860.0
29/01/2026,CTM,CTM,895.0,895.0,895.0,877.2,224,198008.0,10,1097250310.0
28/01/2026,CTM,CTM,893.9,895.0,904.8,890.0,34,30370.2,8,1097250310.0
27/01/2026,CTM,CTM,864.0,907.0,907.0,864.0,211,189469.1,27,1111962046.0
26/01/2026,CTM,CTM,873.0,850.0,889.9,847.0,173,147602.8,16,1042081300.0
23/01/2026,CTM,CTM,873.0,871.0,898.0,871.0,189,165119.9,32,1067826838.0
22/01/2026,CTM,CTM,899.5,897.0,901.9,897.0,123,110844.0,12,1099702266.0
21/01/2026,CTM,CTM,883.0,896.4,896.4,860.0,223,196726.6,26,1098966679.2
20/01/2026,CTM,CTM,892.0,815.0,901.9,815.0,225,187034.0,28,999172070.0
