Séance,Instrument,Ticker,Ouverture,Dernier_Cours,haut_du_jour,bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
03/06/2026,DARI COUSPATE,DRI,-,4190.0,-,-,-,-,-,1250191250.0
02/06/2026,DARI COUSPATE,DRI,-,4190.0,-,-,-,-,-,1250191250.0
01/06/2026,DARI COUSPATE,DRI,-,4190.0,-,-,-,-,-,1250191250.0
26/05/2026,DARI COUSPATE,DRI,-,4190.0,-,-,-,-,-,1250191250.0
25/05/2026,DARI COUSPATE,DRI,-,4190.0,-,-,-,-,-,1250191250.0
22/05/2026,DARI COUSPATE,DRI,-,4190.0,-,-,-,-,-,1250191250.0
21/05/2026,DARI COUSPATE,DRI,-,4190.0,-,-,-,-,-,1250191250.0
20/05/2026,DARI COUSPATE,DRI,-,4190.0,-,-,-,-,-,1250191250.0
19/05/2026,DARI COUSPATE,DRI,-,4190.0,-,-,-,-,-,1250191250.0
18/05/2026,DARI COUSPATE,DRI,-,4190.0,-,-,-,-,-,1250191250.0
15/05/2026,DARI COUSPATE,DRI,-,4190.0,-,-,-,-,-,1250191250.0
14/05/2026,DARI COUSPATE,DRI,-,4190.0,-,-,-,-,-,1250191250.0
13/05/2026,DARI COUSPATE,DRI,-,4190.0,-,-,-,-,-,1250191250.0
12/05/2026,DARI COUSPATE,DRI,-,4190.0,-,-,-,-,-,1250191250.0
11/05/2026,DARI COUSPATE,DRI,-,4190.0,-,-,-,-,-,1250191250.0
08/05/2026,DARI COUSPATE,DRI,4190.0,4190.0,4190.0,4190.0,20,83800.0,3,1250191250.0
07/05/2026,DARI COUSPATE,DRI,-,4100.0,-,-,-,-,-,1223337500.0
06/05/2026,DARI COUSPATE,DRI,4100.0,4100.0,4100.0,4100.0,2,8200.0,1,1223337500.0
05/05/2026,DARI COUSPATE,DRI,-,4190.0,-,-,-,-,-,1250191250.0
04/05/2026,DARI COUSPATE,DRI,4190.0,4190.0,4190.0,4190.0,10,41900.0,1,1250191250.0
30/04/2026,DARI COUSPATE,DRI,-,4100.0,-,-,-,-,-,1223337500.0
29/04/2026,DARI COUSPATE,DRI,-,4100.0,-,-,-,-,-,1223337500.0
28/04/2026,DARI COUSPATE,DRI,-,4100.0,-,-,-,-,-,1223337500.0
27/04/2026,DARI COUSPATE,DRI,-,4100.0,-,-,-,-,-,1223337500.0
24/04/2026,DARI COUSPATE,DRI,4100.0,4100.0,4100.0,4100.0,1,4100.0,1,1223337500.0
23/04/2026,DARI COUSPATE,DRI,-,4100.0,-,-,-,-,-,1223337500.0
22/04/2026,DARI COUSPATE,DRI,4100.0,4100.0,4100.0,4100.0,2,8200.0,1,1223337500.0
21/04/2026,DARI COUSPATE,DRI,4100.0,4100.0,4100.0,4100.0,3,12300.0,1,1223337500.0
20/04/2026,DARI COUSPATE,DRI,-,4199.0,-,-,-,-,-,1252876625.0
17/04/2026,DARI COUSPATE,DRI,-,4199.0,-,-,-,-,-,1252876625.0
16/04/2026,DARI COUSPATE,DRI,-,4199.0,-,-,-,-,-,1252876625.0
15/04/2026,DARI COUSPATE,DRI,-,4199.0,-,-,-,-,-,1252876625.0
14/04/2026,DARI COUSPATE,DRI,4199.0,4199.0,4199.0,4199.0,1,4199.0,1,1252876625.0
13/04/2026,DARI COUSPATE,DRI,-,4280.0,-,-,-,-,-,1277045000.0
10/04/2026,DARI COUSPATE,DRI,-,4280.0,-,-,-,-,-,1277045000.0
09/04/2026,DARI COUSPATE,DRI,-,4280.0,-,-,-,-,-,1277045000.0
08/04/2026,DARI COUSPATE,DRI,-,4280.0,-,-,-,-,-,1277045000.0
07/04/2026,DARI COUSPATE,DRI,-,4280.0,-,-,-,-,-,1277045000.0
06/04/2026,DARI COUSPATE,DRI,-,4280.0,-,-,-,-,-,1277045000.0
03/04/2026,DARI COUSPATE,DRI,-,4280.0,-,-,-,-,-,1277045000.0
02/04/2026,DARI COUSPATE,DRI,-,4280.0,-,-,-,-,-,1277045000.0
01/04/2026,DARI COUSPATE,DRI,-,4280.0,-,-,-,-,-,1277045000.0
31/03/2026,DARI COUSPATE,DRI,-,4280.0,-,-,-,-,-,1277045000.0
30/03/2026,DARI COUSPATE,DRI,-,4280.0,-,-,-,-,-,1277045000.0
27/03/2026,DARI COUSPATE,DRI,-,4280.0,-,-,-,-,-,1277045000.0
26/03/2026,DARI COUSPATE,DRI,-,4280.0,-,-,-,-,-,1277045000.0
25/03/2026,DARI COUSPATE,DRI,4280.0,4280.0,4280.0,4280.0,2,8560.0,2,1277045000.0
24/03/2026,DARI COUSPATE,DRI,-,4280.0,-,-,-,-,-,1277045000.0
19/03/2026,DARI COUSPATE,DRI,-,4280.0,-,-,-,-,-,1277045000.0
18/03/2026,DARI COUSPATE,DRI,-,4280.0,-,-,-,-,-,1277045000.0
17/03/2026,DARI COUSPATE,DRI,-,4280.0,-,-,-,-,-,1277045000.0
16/03/2026,DARI COUSPATE,DRI,4280.0,4280.0,4280.0,4280.0,92,393760.0,2,1277045000.0
13/03/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
12/03/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
11/03/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
10/03/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
09/03/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
06/03/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
05/03/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
04/03/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
03/03/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
02/03/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
27/02/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
26/02/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
25/02/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
24/02/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
23/02/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
20/02/2026,DARI COUSPATE,DRI,4300.0,4300.0,4300.0,4300.0,4,17200.0,2,1283012500.0
19/02/2026,DARI COUSPATE,DRI,4300.0,4300.0,4300.0,4300.0,19,81700.0,1,1283012500.0
18/02/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
17/02/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
16/02/2026,DARI COUSPATE,DRI,4300.0,4300.0,4300.0,4300.0,10,43000.0,2,1283012500.0
13/02/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
12/02/2026,DARI COUSPATE,DRI,4300.0,4300.0,4300.0,4300.0,230,989000.0,1,1283012500.0
11/02/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
10/02/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
09/02/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
06/02/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
05/02/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
04/02/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
03/02/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
02/02/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
30/01/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
29/01/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
28/01/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
27/01/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
26/01/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
23/01/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
22/01/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
21/01/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
20/01/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
19/01/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
16/01/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
15/01/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
13/01/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
12/01/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
09/01/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
08/01/2026,DARI COUSPATE,DRI,-,4300.0,-,-,-,-,-,1283012500.0
