Séance,Instrument,Ticker,Ouverture,Dernier_Cours,haut_du_jour,bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
03/06/2026,DELTA HOLDING,DHO,58.0,57.2,59.0,57.0,1325,76454.75,26,5010720000.0
02/06/2026,DELTA HOLDING,DHO,59.15,56.9,59.15,56.9,5404,308330.76,79,4984440000.0
01/06/2026,DELTA HOLDING,DHO,60.0,59.3,60.0,57.6,2058,121106.39,59,5194680000.0
26/05/2026,DELTA HOLDING,DHO,58.9,58.69,58.9,57.1,4188,244942.23,43,5141244000.0
25/05/2026,DELTA HOLDING,DHO,59.9,57.1,60.5,57.1,10350,601396.29,111,5001960000.0
22/05/2026,DELTA HOLDING,DHO,58.1,59.0,59.96,58.1,4199,247686.34,46,5168400000.0
21/05/2026,DELTA HOLDING,DHO,57.95,59.2,59.2,57.3,6132,358772.4,64,5185920000.0
20/05/2026,DELTA HOLDING,DHO,59.97,56.1,59.97,56.1,10528,601907.94,135,4914360000.0
19/05/2026,DELTA HOLDING,DHO,60.0,58.0,60.6,58.0,10928,639609.35,90,5080800000.0
18/05/2026,DELTA HOLDING,DHO,60.0,60.0,60.3,59.5,20669,1240071.77,70,5256000000.0
15/05/2026,DELTA HOLDING,DHO,61.0,60.0,61.0,59.6,13735,827410.23,97,5256000000.0
14/05/2026,DELTA HOLDING,DHO,60.14,61.0,61.0,60.11,1776,107501.82,39,5343600000.0
13/05/2026,DELTA HOLDING,DHO,61.8,61.0,61.8,60.22,3845,234921.9,68,5343600000.0
12/05/2026,DELTA HOLDING,DHO,61.12,61.8,62.0,60.85,2389,147170.85,31,5413680000.0
11/05/2026,DELTA HOLDING,DHO,61.9,61.2,62.0,61.2,5319,326192.09,51,5361120000.0
08/05/2026,DELTA HOLDING,DHO,62.75,62.0,62.75,61.62,1299,80659.5,36,5431200000.0
07/05/2026,DELTA HOLDING,DHO,63.0,62.0,63.0,62.0,25547,1585604.25,67,5431200000.0
06/05/2026,DELTA HOLDING,DHO,60.47,63.0,63.0,60.47,21113,1319172.63,107,5518800000.0
05/05/2026,DELTA HOLDING,DHO,61.8,60.47,61.8,59.6,19935,1204887.23,39,5297172000.0
04/05/2026,DELTA HOLDING,DHO,62.16,59.8,62.16,59.8,9122,547695.94,131,5238480000.0
30/04/2026,DELTA HOLDING,DHO,61.01,60.0,61.95,60.0,10602,638699.3,109,5256000000.0
29/04/2026,DELTA HOLDING,DHO,61.99,61.3,62.0,61.3,5254,323578.22,64,5369880000.0
28/04/2026,DELTA HOLDING,DHO,62.79,61.5,62.79,61.0,16496,1015267.99,70,5387400000.0
27/04/2026,DELTA HOLDING,DHO,62.0,62.0,63.2,62.0,3706,230712.3,56,5431200000.0
24/04/2026,DELTA HOLDING,DHO,63.5,61.0,63.57,61.0,68747,4208093.88,233,5343600000.0
23/04/2026,DELTA HOLDING,DHO,63.99,63.99,64.0,63.0,3050,193895.64,39,5605524000.0
22/04/2026,DELTA HOLDING,DHO,63.5,63.5,64.8,63.0,3853,246780.5,60,5562600000.0
21/04/2026,DELTA HOLDING,DHO,64.0,63.26,64.9,62.0,27508,1759033.78,97,5541576000.0
20/04/2026,DELTA HOLDING,DHO,62.55,62.95,63.8,61.5,24512,1529016.76,151,5514420000.0
17/04/2026,DELTA HOLDING,DHO,63.5,65.0,66.0,61.5,45053,2916655.41,204,5694000000.0
16/04/2026,DELTA HOLDING,DHO,63.99,61.21,63.99,61.21,11382,713091.27,126,5361996000.0
15/04/2026,DELTA HOLDING,DHO,63.0,63.03,64.98,63.0,159181,10038608.27,114,5521428000.0
14/04/2026,DELTA HOLDING,DHO,62.0,62.8,63.94,61.2,52985,3337142.42,118,5501280000.0
13/04/2026,DELTA HOLDING,DHO,61.0,61.8,62.0,58.6,25002,1521060.58,181,5413680000.0
10/04/2026,DELTA HOLDING,DHO,60.0,64.0,64.7,60.0,75768,4819030.15,278,5606400000.0
09/04/2026,DELTA HOLDING,DHO,60.0,62.0,62.0,58.0,31809,1926127.43,165,5431200000.0
08/04/2026,DELTA HOLDING,DHO,58.0,59.5,59.8,57.0,83065,4895691.15,304,5212200000.0
07/04/2026,DELTA HOLDING,DHO,53.5,55.99,55.99,53.0,320700,17181387.89,200,4904724000.0
06/04/2026,DELTA HOLDING,DHO,55.99,53.5,56.0,53.5,49649,2684983.82,302,4686600000.0
03/04/2026,DELTA HOLDING,DHO,55.47,55.0,55.89,54.75,23395,1287184.96,123,4818000000.0
02/04/2026,DELTA HOLDING,DHO,55.5,54.89,55.99,54.89,52454,2885643.09,342,4808364000.0
01/04/2026,DELTA HOLDING,DHO,56.0,55.79,56.4,55.65,56520,3154646.26,88,4887204000.0
31/03/2026,DELTA HOLDING,DHO,55.8,55.8,56.15,55.56,37928,2118642.71,56,4888080000.0
30/03/2026,DELTA HOLDING,DHO,56.39,56.0,56.39,55.3,4285,240595.49,78,4905600000.0
27/03/2026,DELTA HOLDING,DHO,56.89,55.5,56.89,55.5,91988,5119803.19,159,4861800000.0
26/03/2026,DELTA HOLDING,DHO,56.79,56.0,56.79,56.0,64589,3620955.16,137,4905600000.0
25/03/2026,DELTA HOLDING,DHO,56.8,56.79,56.8,56.03,93956,5316809.8,187,4974804000.0
24/03/2026,DELTA HOLDING,DHO,57.0,55.99,57.0,55.72,38118,2143371.72,197,4904724000.0
19/03/2026,DELTA HOLDING,DHO,59.5,55.1,59.5,55.1,63485,3544969.42,237,4826760000.0
18/03/2026,DELTA HOLDING,DHO,56.89,58.5,59.0,55.99,43914,2534105.27,182,5124600000.0
17/03/2026,DELTA HOLDING,DHO,57.4,55.0,57.4,55.0,13878,770196.87,123,4818000000.0
16/03/2026,DELTA HOLDING,DHO,56.0,55.95,56.7,55.2,16211,906271.73,89,4901220000.0
13/03/2026,DELTA HOLDING,DHO,56.2,56.8,56.8,55.2,32792,1849119.77,105,4975680000.0
12/03/2026,DELTA HOLDING,DHO,56.4,56.2,56.96,56.0,18472,1038687.27,66,4923120000.0
11/03/2026,DELTA HOLDING,DHO,57.0,55.2,57.0,55.2,24632,1372370.15,128,4835520000.0
10/03/2026,DELTA HOLDING,DHO,58.0,55.0,60.97,55.0,122741,6836873.95,396,4818000000.0
09/03/2026,DELTA HOLDING,DHO,57.4,56.5,57.4,54.85,21067,1187585.1,211,4949400000.0
06/03/2026,DELTA HOLDING,DHO,63.0,57.0,65.0,57.0,80199,4612432.81,285,4993200000.0
05/03/2026,DELTA HOLDING,DHO,63.0,61.99,63.0,61.0,4848,299721.62,125,5430324000.0
04/03/2026,DELTA HOLDING,DHO,55.0,59.5,59.95,55.0,25483,1509305.51,264,5212200000.0
03/03/2026,DELTA HOLDING,DHO,56.0,54.75,57.7,54.7,201384,11233867.23,390,4796100000.0
02/03/2026,DELTA HOLDING,DHO,59.0,60.66,61.9,59.0,23289,1398012.42,242,5313816000.0
27/02/2026,DELTA HOLDING,DHO,66.22,65.0,67.98,65.0,45477,2964521.37,189,5694000000.0
26/02/2026,DELTA HOLDING,DHO,66.06,66.79,67.0,66.01,3042,201348.31,42,5850804000.0
25/02/2026,DELTA HOLDING,DHO,67.2,66.0,68.2,66.0,24701,1634153.97,128,5781600000.0
24/02/2026,DELTA HOLDING,DHO,68.0,67.0,69.0,67.0,81014,5484360.3,232,5869200000.0
23/02/2026,DELTA HOLDING,DHO,68.57,68.0,70.47,68.0,67412,4597681.29,147,5956800000.0
20/02/2026,DELTA HOLDING,DHO,69.7,68.56,69.98,68.56,2032,139935.78,27,6005856000.0
19/02/2026,DELTA HOLDING,DHO,68.61,69.5,69.98,68.56,2481,170354.05,42,6088200000.0
18/02/2026,DELTA HOLDING,DHO,69.0,69.5,70.0,69.0,566,39491.0,22,6088200000.0
17/02/2026,DELTA HOLDING,DHO,70.0,69.99,70.0,68.41,2844,196595.08,57,6131124000.0
16/02/2026,DELTA HOLDING,DHO,70.0,70.0,70.68,68.7,99748,6981131.55,60,6132000000.0
13/02/2026,DELTA HOLDING,DHO,70.5,68.96,70.72,68.96,45295,3125999.92,85,6040896000.0
12/02/2026,DELTA HOLDING,DHO,69.5,70.0,70.0,69.0,202281,14159142.1,45,6132000000.0
11/02/2026,DELTA HOLDING,DHO,70.65,69.5,70.65,69.0,2355,163406.42,50,6088200000.0
10/02/2026,DELTA HOLDING,DHO,70.3,69.0,70.3,69.0,100875,7054626.1,74,6044400000.0
09/02/2026,DELTA HOLDING,DHO,68.5,69.0,70.9,68.5,5366,373993.06,88,6044400000.0
06/02/2026,DELTA HOLDING,DHO,70.0,68.0,70.0,67.8,26434,1804330.86,233,5956800000.0
05/02/2026,DELTA HOLDING,DHO,70.0,68.9,70.0,68.01,24592,1697609.85,317,6035640000.0
04/02/2026,DELTA HOLDING,DHO,71.0,70.5,71.0,70.0,684947,47949427.7,136,6175800000.0
03/02/2026,DELTA HOLDING,DHO,71.0,70.0,71.0,70.0,3018,212047.49,79,6132000000.0
02/02/2026,DELTA HOLDING,DHO,72.0,70.0,72.0,70.0,25231,1771725.35,154,6132000000.0
30/01/2026,DELTA HOLDING,DHO,71.55,70.98,72.5,70.98,150662,10768703.64,113,6217848000.0
29/01/2026,DELTA HOLDING,DHO,73.0,72.1,73.0,71.0,372244,26803342.78,123,6315960000.0
28/01/2026,DELTA HOLDING,DHO,70.8,72.5,73.75,70.0,309796,21980618.31,157,6351000000.0
27/01/2026,DELTA HOLDING,DHO,70.5,70.25,70.9,70.0,12632,888240.82,120,6153900000.0
26/01/2026,DELTA HOLDING,DHO,70.7,70.35,71.5,69.5,19080,1339228.42,134,6162660000.0
23/01/2026,DELTA HOLDING,DHO,72.55,70.7,72.55,70.7,25889,1832507.03,139,6193320000.0
