Séance,Instrument,Ticker,Ouverture,Dernier_Cours,haut_du_jour,bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
09/04/2026,DISTY TECHNOLOGIES,DYT,331.05,335.0,338.0,330.0,485,160345.75,13,334366850.0
08/04/2026,DISTY TECHNOLOGIES,DYT,338.0,339.0,340.0,335.0,4110,1390652.8,45,338359290.0
07/04/2026,DISTY TECHNOLOGIES,DYT,330.0,327.5,337.9,327.5,596,197023.85,32,326881025.0
06/04/2026,DISTY TECHNOLOGIES,DYT,335.0,338.0,338.0,334.5,133,44544.0,14,337361180.0
03/04/2026,DISTY TECHNOLOGIES,DYT,327.5,333.0,339.0,327.5,123,40669.5,10,332370630.0
02/04/2026,DISTY TECHNOLOGIES,DYT,344.0,339.0,344.0,327.05,934,310321.5,47,338359290.0
01/04/2026,DISTY TECHNOLOGIES,DYT,341.0,343.0,343.0,334.0,1411,481633.6,34,342351730.0
31/03/2026,DISTY TECHNOLOGIES,DYT,325.0,340.0,342.5,325.0,8457,2839452.9,91,339357400.0
30/03/2026,DISTY TECHNOLOGIES,DYT,320.0,311.5,320.0,311.5,23,7285.5,6,310911265.0
27/03/2026,DISTY TECHNOLOGIES,DYT,315.0,320.0,322.0,315.0,909,289473.75,15,319395200.0
26/03/2026,DISTY TECHNOLOGIES,DYT,311.0,319.9,319.9,311.0,166,51634.9,12,319295389.0
25/03/2026,DISTY TECHNOLOGIES,DYT,315.3,311.2,320.0,311.1,73,22864.2,7,310611832.0
24/03/2026,DISTY TECHNOLOGIES,DYT,320.0,315.0,320.0,315.0,53,16889.0,8,314404650.0
19/03/2026,DISTY TECHNOLOGIES,DYT,317.0,315.0,317.0,307.0,197,60957.8,17,314404650.0
18/03/2026,DISTY TECHNOLOGIES,DYT,317.7,320.0,320.0,317.65,101,32124.4,7,319395200.0
17/03/2026,DISTY TECHNOLOGIES,DYT,316.9,317.7,317.7,315.0,316,100124.5,13,317099547.0
16/03/2026,DISTY TECHNOLOGIES,DYT,308.0,306.0,315.0,306.0,311,95419.5,26,305421660.0
13/03/2026,DISTY TECHNOLOGIES,DYT,316.5,308.0,316.5,308.0,4000,1240521.0,22,307417880.0
12/03/2026,DISTY TECHNOLOGIES,DYT,309.0,307.0,309.0,302.0,61,18532.0,12,306419770.0
11/03/2026,DISTY TECHNOLOGIES,DYT,323.0,302.0,323.0,302.0,360,110602.0,20,301429220.0
10/03/2026,DISTY TECHNOLOGIES,DYT,319.85,302.0,319.85,302.0,675,204051.85,18,301429220.0
09/03/2026,DISTY TECHNOLOGIES,DYT,305.05,302.05,310.0,302.0,107,32430.05,10,301479125.5
06/03/2026,DISTY TECHNOLOGIES,DYT,315.1,302.0,324.55,302.0,712,218641.9,43,301429220.0
05/03/2026,DISTY TECHNOLOGIES,DYT,318.3,318.3,318.3,318.0,58,18458.4,9,317698413.0
04/03/2026,DISTY TECHNOLOGIES,DYT,300.0,318.5,318.5,300.0,232,69852.5,12,317898035.0
03/03/2026,DISTY TECHNOLOGIES,DYT,314.0,300.0,314.0,285.0,565,168474.9,53,299433000.0
02/03/2026,DISTY TECHNOLOGIES,DYT,301.2,302.0,318.8,301.0,812,245749.0,63,301429220.0
27/02/2026,DISTY TECHNOLOGIES,DYT,325.0,324.0,325.0,324.0,20,6496.0,4,323387640.0
26/02/2026,DISTY TECHNOLOGIES,DYT,326.0,327.0,327.0,325.95,70,22825.5,6,326381970.0
25/02/2026,DISTY TECHNOLOGIES,DYT,322.0,322.0,322.0,322.0,23,7406.0,4,321391420.0
24/02/2026,DISTY TECHNOLOGIES,DYT,322.0,320.0,322.1,320.0,362,116055.1,25,319395200.0
23/02/2026,DISTY TECHNOLOGIES,DYT,323.0,320.0,323.0,320.0,325,104177.5,10,319395200.0
20/02/2026,DISTY TECHNOLOGIES,DYT,325.0,322.0,327.0,320.0,638,205058.6,13,321391420.0
19/02/2026,DISTY TECHNOLOGIES,DYT,325.0,325.0,325.0,325.0,9,2925.0,1,324385750.0
18/02/2026,DISTY TECHNOLOGIES,DYT,324.0,325.0,326.0,321.4,116,37696.3,10,324385750.0
17/02/2026,DISTY TECHNOLOGIES,DYT,326.95,324.0,327.0,324.0,207,67246.55,9,323387640.0
16/02/2026,DISTY TECHNOLOGIES,DYT,316.0,326.95,327.95,316.0,269,85182.8,19,326332064.5
13/02/2026,DISTY TECHNOLOGIES,DYT,330.0,328.0,330.0,318.3,616,197456.5,25,327380080.0
12/02/2026,DISTY TECHNOLOGIES,DYT,330.0,328.9,333.8,320.0,213,69585.6,17,328278379.0
11/02/2026,DISTY TECHNOLOGIES,DYT,330.0,325.0,330.0,320.0,622,199928.75,29,324385750.0
10/02/2026,DISTY TECHNOLOGIES,DYT,334.0,330.0,334.0,325.0,169,55833.0,7,329376300.0
09/02/2026,DISTY TECHNOLOGIES,DYT,324.0,330.0,330.0,324.0,834,275179.0,12,329376300.0
06/02/2026,DISTY TECHNOLOGIES,DYT,322.0,324.0,326.95,318.0,660,211067.8,39,323387640.0
05/02/2026,DISTY TECHNOLOGIES,DYT,322.6,322.05,330.0,322.0,2652,855912.3,61,321441325.5
04/02/2026,DISTY TECHNOLOGIES,DYT,326.5,329.5,330.0,326.5,203,66483.3,19,328877245.0
03/02/2026,DISTY TECHNOLOGIES,DYT,333.0,331.95,333.0,323.0,101,32949.5,15,331322614.5
02/02/2026,DISTY TECHNOLOGIES,DYT,334.0,327.0,334.0,327.0,77,25443.0,7,326381970.0
30/01/2026,DISTY TECHNOLOGIES,DYT,334.0,328.0,334.0,326.0,79,25979.0,8,327380080.0
29/01/2026,DISTY TECHNOLOGIES,DYT,328.0,330.0,330.0,327.0,252,83033.0,8,329376300.0
28/01/2026,DISTY TECHNOLOGIES,DYT,328.0,336.0,336.0,326.0,464,154219.8,26,335364960.0
27/01/2026,DISTY TECHNOLOGIES,DYT,328.0,328.0,328.0,325.0,267,86933.5,17,327380080.0
26/01/2026,DISTY TECHNOLOGIES,DYT,330.0,328.0,330.0,326.0,519,169952.7,23,327380080.0
23/01/2026,DISTY TECHNOLOGIES,DYT,337.9,327.5,337.9,326.9,103,33993.0,14,326881025.0
22/01/2026,DISTY TECHNOLOGIES,DYT,339.6,330.0,339.6,330.0,1025,338974.65,46,329376300.0
21/01/2026,DISTY TECHNOLOGIES,DYT,331.1,331.0,331.1,331.0,68,22510.0,6,330374410.0
20/01/2026,DISTY TECHNOLOGIES,DYT,339.9,338.5,339.9,333.0,878,295377.9,19,337860235.0
