Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
13/03/2026,DOUJA PROM ADDOHA,ADH,29.0,28.79,29.2,28.05,141720,4057898.33,160,11589450602.66
12/03/2026,DOUJA PROM ADDOHA,ADH,29.8,29.0,29.8,28.51,87203,2531313.66,152,11673986366.0
11/03/2026,DOUJA PROM ADDOHA,ADH,29.28,29.29,29.5,29.0,86938,2541293.51,145,11790726229.66
10/03/2026,DOUJA PROM ADDOHA,ADH,29.9,29.0,29.9,29.0,271070,8007318.36,242,11673986366.0
09/03/2026,DOUJA PROM ADDOHA,ADH,28.98,28.0,29.1,27.91,331657,9459982.51,361,11271435112.0
06/03/2026,DOUJA PROM ADDOHA,ADH,31.2,30.0,31.6,29.1,839892,25625625.3,536,12076537620.0
05/03/2026,DOUJA PROM ADDOHA,ADH,29.5,30.55,30.55,29.3,765038,22991603.18,564,12297940809.7
04/03/2026,DOUJA PROM ADDOHA,ADH,26.3,28.5,28.58,26.3,454209,12740210.29,611,11472710739.0
03/03/2026,DOUJA PROM ADDOHA,ADH,27.0,26.0,27.5,25.01,594418,15390909.42,728,10466332604.0
02/03/2026,DOUJA PROM ADDOHA,ADH,26.24,27.5,27.9,26.21,499925,13621187.08,649,11070159485.0
27/02/2026,DOUJA PROM ADDOHA,ADH,28.5,28.49,29.28,28.42,625637,17919090.88,455,11468685226.46
26/02/2026,DOUJA PROM ADDOHA,ADH,29.35,28.99,29.49,28.86,175552,5099102.19,316,11669960853.46
25/02/2026,DOUJA PROM ADDOHA,ADH,30.45,29.5,30.45,29.22,140257,4156510.36,283,11875261993.0
24/02/2026,DOUJA PROM ADDOHA,ADH,30.6,30.21,30.6,30.15,162342,4906817.59,143,12161073383.34
23/02/2026,DOUJA PROM ADDOHA,ADH,31.09,30.5,31.17,30.5,85501,2623510.9,177,12277813247.0
20/02/2026,DOUJA PROM ADDOHA,ADH,30.4,30.5,30.5,30.1,181263,5516883.57,165,12277813247.0
