Séance,Instrument,Ticker,Ouverture,Dernier_Cours,haut_du_jour,bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
09/04/2026,ENNAKL,NKL,50.29,51.0,51.9,50.0,2667,135004.3,44,1530000000.0
08/04/2026,ENNAKL,NKL,50.0,50.2,50.2,49.0,5665,283185.84,45,1506000000.0
07/04/2026,ENNAKL,NKL,49.95,48.05,49.95,48.05,4771,229936.37,67,1441500000.0
06/04/2026,ENNAKL,NKL,49.0,49.0,49.5,48.06,2098,101689.73,46,1470000000.0
03/04/2026,ENNAKL,NKL,48.98,49.3,49.3,48.15,870,42181.31,32,1479000000.0
02/04/2026,ENNAKL,NKL,50.3,48.98,50.3,48.0,13013,628778.2,84,1469400000.0
01/04/2026,ENNAKL,NKL,49.0,50.03,51.95,49.0,7298,367017.69,56,1500900000.0
31/03/2026,ENNAKL,NKL,49.5,48.98,49.5,48.02,829,40207.25,27,1469400000.0
30/03/2026,ENNAKL,NKL,49.31,48.5,49.5,48.5,7558,370550.74,61,1455000000.0
27/03/2026,ENNAKL,NKL,49.48,49.0,49.48,49.0,337,16594.37,15,1470000000.0
26/03/2026,ENNAKL,NKL,49.5,49.0,49.5,48.01,1511,72995.29,33,1470000000.0
25/03/2026,ENNAKL,NKL,49.0,49.0,49.39,48.3,947,46221.08,28,1470000000.0
24/03/2026,ENNAKL,NKL,49.0,48.51,49.0,48.51,496,24092.88,24,1455300000.0
19/03/2026,ENNAKL,NKL,49.5,48.3,49.8,48.22,684,33236.16,27,1449000000.0
18/03/2026,ENNAKL,NKL,49.8,48.5,49.8,48.5,2141,104677.3,34,1455000000.0
17/03/2026,ENNAKL,NKL,48.0,48.7,48.85,48.0,1746,84533.4,29,1461000000.0
16/03/2026,ENNAKL,NKL,48.0,47.26,48.4,47.01,11163,535461.16,49,1417800000.0
13/03/2026,ENNAKL,NKL,48.0,48.5,48.98,47.2,13404,646152.51,38,1455000000.0
12/03/2026,ENNAKL,NKL,49.0,48.99,49.0,48.4,1942,95146.38,21,1469700000.0
11/03/2026,ENNAKL,NKL,48.59,48.45,48.59,47.1,1847,88890.86,28,1453500000.0
10/03/2026,ENNAKL,NKL,48.0,48.65,48.7,47.6,6239,300099.53,57,1459500000.0
09/03/2026,ENNAKL,NKL,45.4,46.34,47.0,45.4,2919,133992.34,87,1390200000.0
06/03/2026,ENNAKL,NKL,49.0,47.9,49.0,47.0,4393,210096.08,108,1437000000.0
05/03/2026,ENNAKL,NKL,48.0,48.2,50.0,48.0,9308,454112.31,79,1446000000.0
04/03/2026,ENNAKL,NKL,45.0,47.0,48.0,45.0,14020,641145.17,137,1410000000.0
03/03/2026,ENNAKL,NKL,46.1,44.9,49.0,44.5,13750,627599.35,180,1347000000.0
02/03/2026,ENNAKL,NKL,46.0,49.0,50.0,46.0,20128,981891.56,161,1470000000.0
27/02/2026,ENNAKL,NKL,51.0,51.0,51.0,50.0,711,35871.52,23,1530000000.0
26/02/2026,ENNAKL,NKL,51.2,51.0,51.2,50.0,2515,126451.21,59,1530000000.0
25/02/2026,ENNAKL,NKL,50.2,51.0,51.3,50.01,456,22936.43,30,1530000000.0
24/02/2026,ENNAKL,NKL,51.35,51.33,51.35,51.0,289,14834.68,15,1539900000.0
23/02/2026,ENNAKL,NKL,51.39,50.5,51.39,50.5,1702,86938.97,24,1515000000.0
20/02/2026,ENNAKL,NKL,51.4,51.0,51.4,50.01,787,40110.04,15,1530000000.0
19/02/2026,ENNAKL,NKL,51.39,51.0,51.4,51.0,839,42848.13,17,1530000000.0
18/02/2026,ENNAKL,NKL,50.95,51.39,51.39,50.0,6904,347397.52,46,1541700000.0
17/02/2026,ENNAKL,NKL,51.0,50.9,51.0,50.0,4173,209161.95,60,1527000000.0
16/02/2026,ENNAKL,NKL,51.2,51.0,51.39,50.5,2346,119680.09,28,1530000000.0
13/02/2026,ENNAKL,NKL,50.1,50.2,51.36,50.05,2466,123849.61,45,1506000000.0
12/02/2026,ENNAKL,NKL,51.0,50.8,51.3,50.05,3541,178510.71,30,1524000000.0
11/02/2026,ENNAKL,NKL,51.5,51.0,51.5,50.0,4701,237547.84,78,1530000000.0
10/02/2026,ENNAKL,NKL,50.9,51.67,51.77,50.12,3159,158839.14,25,1550100000.0
09/02/2026,ENNAKL,NKL,50.21,50.9,51.49,50.0,5071,256049.5,77,1527000000.0
06/02/2026,ENNAKL,NKL,50.79,50.1,52.5,49.7,16570,836703.03,131,1503000000.0
05/02/2026,ENNAKL,NKL,51.0,49.55,51.5,49.55,3617,181030.38,98,1486500000.0
04/02/2026,ENNAKL,NKL,51.88,51.0,51.88,50.5,225,11575.2,15,1530000000.0
03/02/2026,ENNAKL,NKL,51.0,51.0,51.49,50.99,640,32652.98,34,1530000000.0
02/02/2026,ENNAKL,NKL,50.5,50.99,51.99,49.52,5805,291808.41,92,1529700000.0
30/01/2026,ENNAKL,NKL,52.85,51.5,52.85,51.0,1496,76938.0,42,1545000000.0
29/01/2026,ENNAKL,NKL,51.5,51.5,51.5,51.0,1448,74201.55,39,1545000000.0
28/01/2026,ENNAKL,NKL,51.5,51.0,52.98,51.0,3079,158996.07,47,1530000000.0
27/01/2026,ENNAKL,NKL,51.97,50.8,51.97,50.5,3392,173271.46,43,1524000000.0
26/01/2026,ENNAKL,NKL,51.0,52.0,52.0,49.0,12014,612501.8,132,1560000000.0
23/01/2026,ENNAKL,NKL,52.2,52.65,52.8,51.25,1930,100053.87,54,1579500000.0
22/01/2026,ENNAKL,NKL,53.0,52.2,53.5,52.11,1081,56900.6,24,1566000000.0
21/01/2026,ENNAKL,NKL,51.6,52.69,52.8,51.6,1901,99089.55,29,1580700000.0
20/01/2026,ENNAKL,NKL,52.1,52.9,53.0,51.53,2807,147691.58,44,1587000000.0
19/01/2026,ENNAKL,NKL,53.86,53.0,53.86,52.0,1492,78963.44,31,1590000000.0
16/01/2026,ENNAKL,NKL,52.95,52.0,52.95,51.5,3502,181501.52,50,1560000000.0
15/01/2026,ENNAKL,NKL,51.8,52.4,52.85,51.5,3625,187624.32,46,1572000000.0
13/01/2026,ENNAKL,NKL,53.0,52.85,53.0,52.0,6013,313313.97,77,1585500000.0
12/01/2026,ENNAKL,NKL,54.0,52.75,54.0,52.11,15995,848962.1,85,1582500000.0
09/01/2026,ENNAKL,NKL,54.2,53.0,54.9,53.0,5344,284851.29,66,1590000000.0
08/01/2026,ENNAKL,NKL,55.38,54.0,55.38,54.0,1531,83422.54,46,1620000000.0
07/01/2026,ENNAKL,NKL,55.74,55.5,55.74,54.14,1741,95174.84,46,1665000000.0
06/01/2026,ENNAKL,NKL,55.1,55.74,55.9,55.0,7004,387784.65,90,1672200000.0
05/01/2026,ENNAKL,NKL,53.5,55.88,56.0,52.5,17886,972507.56,144,1676400000.0
02/01/2026,ENNAKL,NKL,54.0,51.5,54.5,51.5,7878,411917.13,89,1545000000.0
31/12/2025,ENNAKL,NKL,53.9,54.0,54.0,51.5,7531,404506.77,57,1620000000.0
30/12/2025,ENNAKL,NKL,52.0,53.5,53.5,50.5,26662,1395434.4,100,1605000000.0
29/12/2025,ENNAKL,NKL,52.0,51.0,52.0,49.5,27415,1388338.31,168,1530000000.0
26/12/2025,ENNAKL,NKL,53.0,50.0,53.84,50.0,7691,390065.66,116,1500000000.0
25/12/2025,ENNAKL,NKL,52.0,53.0,53.0,51.01,6442,334239.66,74,1590000000.0
24/12/2025,ENNAKL,NKL,52.99,52.99,53.0,52.0,2370,124169.71,46,1589700000.0
23/12/2025,ENNAKL,NKL,53.0,52.0,53.98,52.0,14485,766465.41,93,1560000000.0
22/12/2025,ENNAKL,NKL,53.49,53.0,53.49,52.75,1952,103858.39,46,1590000000.0
19/12/2025,ENNAKL,NKL,53.98,53.0,53.98,52.9,3052,162026.33,41,1590000000.0
18/12/2025,ENNAKL,NKL,52.56,53.9,54.0,52.56,4501,238103.18,52,1617000000.0
17/12/2025,ENNAKL,NKL,53.99,53.0,53.99,52.8,4778,253684.45,48,1590000000.0
16/12/2025,ENNAKL,NKL,54.0,52.99,54.9,52.99,7416,396221.74,58,1589700000.0
15/12/2025,ENNAKL,NKL,54.9,54.5,54.9,53.03,2618,141883.46,49,1635000000.0
12/12/2025,ENNAKL,NKL,54.94,54.0,54.94,53.0,5269,283803.85,54,1620000000.0
11/12/2025,ENNAKL,NKL,54.95,52.71,55.0,52.71,4745,251981.56,65,1581300000.0
10/12/2025,ENNAKL,NKL,54.48,54.95,55.0,54.3,1207,66020.29,30,1648500000.0
09/12/2025,ENNAKL,NKL,54.0,54.49,54.5,52.95,330,17682.12,19,1634700000.0
08/12/2025,ENNAKL,NKL,53.11,54.0,54.45,53.11,2798,149159.68,40,1620000000.0
05/12/2025,ENNAKL,NKL,53.11,54.5,54.5,53.11,2005,107928.88,38,1635000000.0
04/12/2025,ENNAKL,NKL,54.0,54.0,54.5,52.7,3730,200314.26,44,1620000000.0
03/12/2025,ENNAKL,NKL,53.64,54.5,55.0,53.64,2825,152007.98,39,1635000000.0
02/12/2025,ENNAKL,NKL,55.99,55.0,55.99,54.0,914,49960.41,24,1650000000.0
01/12/2025,ENNAKL,NKL,56.0,55.0,56.0,53.7,3626,196039.19,37,1650000000.0
28/11/2025,ENNAKL,NKL,56.01,55.5,56.3,53.69,7953,444526.27,35,1665000000.0
27/11/2025,ENNAKL,NKL,54.25,56.0,56.9,54.25,7973,447035.44,65,1680000000.0
26/11/2025,ENNAKL,NKL,55.89,55.0,55.89,53.66,1044,56962.95,23,1650000000.0
25/11/2025,ENNAKL,NKL,56.59,55.0,56.59,54.1,3011,165529.39,31,1650000000.0
24/11/2025,ENNAKL,NKL,57.58,53.67,57.58,53.67,2368,129301.07,29,1610100000.0
21/11/2025,ENNAKL,NKL,52.81,57.59,57.59,52.81,6202,352724.0,44,1727700000.0
20/11/2025,ENNAKL,NKL,52.75,55.0,55.4,52.75,4186,227175.05,47,1650000000.0
19/11/2025,ENNAKL,NKL,55.17,54.0,55.17,52.0,19662,1055939.28,153,1620000000.0
17/11/2025,ENNAKL,NKL,57.12,55.17,58.0,55.17,5601,314084.78,58,1655100000.0
14/11/2025,ENNAKL,NKL,57.1,57.99,58.39,57.1,2454,140834.18,31,1739700000.0
13/11/2025,ENNAKL,NKL,58.49,57.3,58.49,57.1,2761,159162.0,44,1719000000.0
12/11/2025,ENNAKL,NKL,56.01,57.0,59.8,56.01,7597,428354.92,56,1710000000.0
11/11/2025,ENNAKL,NKL,60.0,57.0,61.5,57.0,9294,537594.95,71,1710000000.0
10/11/2025,ENNAKL,NKL,61.0,59.0,61.0,59.0,4013,237755.09,65,1770000000.0
07/11/2025,ENNAKL,NKL,60.0,59.5,61.5,59.5,12877,768976.31,73,1785000000.0
05/11/2025,ENNAKL,NKL,61.0,59.25,61.0,59.0,36969,2210061.79,132,1777500000.0
04/11/2025,ENNAKL,NKL,61.8,61.0,62.0,60.0,24388,1483215.38,109,1830000000.0
03/11/2025,ENNAKL,NKL,63.0,63.0,63.5,60.5,46315,2832594.05,163,1890000000.0
31/10/2025,ENNAKL,NKL,61.95,62.4,62.4,60.9,68159,4162521.27,173,1872000000.0
30/10/2025,ENNAKL,NKL,63.9,62.0,64.0,61.85,29393,1829379.13,159,1860000000.0
29/10/2025,ENNAKL,NKL,65.0,64.0,65.0,63.75,77132,4937125.55,117,1920000000.0
28/10/2025,ENNAKL,NKL,65.16,65.0,65.9,64.0,25817,1665733.87,105,1950000000.0
27/10/2025,ENNAKL,NKL,65.9,65.02,66.29,64.0,21585,1413111.04,134,1950600000.0
24/10/2025,ENNAKL,NKL,66.51,65.13,66.9,65.02,24811,1626462.03,122,1953900000.0
23/10/2025,ENNAKL,NKL,66.51,66.0,67.0,64.0,51642,3382202.39,284,1980000000.0
05/01/2026,ENNAKL,NKL,53.5,55.88,56.0,52.5,17886,972507.56,144,1676400000.0
02/01/2026,ENNAKL,NKL,54.0,51.5,54.5,51.5,7878,411917.13,89,1545000000.0
