Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
17/03/2026,EQDOM,EQD,-,1242.0,-,-,-,-,-,2074450500.0
16/03/2026,EQDOM,EQD,1242.0,1242.0,1242.0,1242.0,37,45954.0,3,2074450500.0
13/03/2026,EQDOM,EQD,1242.0,1242.0,1242.0,1242.0,546,678132.0,5,2074450500.0
12/03/2026,EQDOM,EQD,-,1321.0,-,-,-,-,-,2206400250.0
11/03/2026,EQDOM,EQD,1321.0,1321.0,1321.0,1321.0,150,198150.0,2,2206400250.0
10/03/2026,EQDOM,EQD,-,1336.0,-,-,-,-,-,2231454000.0
09/03/2026,EQDOM,EQD,1336.0,1336.0,1336.0,1336.0,20,26720.0,4,2231454000.0
06/03/2026,EQDOM,EQD,1419.0,1419.0,1419.0,1419.0,1500,2128500.0,4,2370084750.0
05/03/2026,EQDOM,EQD,-,1399.0,-,-,-,-,-,2336679750.0
04/03/2026,EQDOM,EQD,1399.0,1399.0,1399.0,1399.0,35,48965.0,1,2336679750.0
03/03/2026,EQDOM,EQD,-,1424.0,-,-,-,-,-,2378436000.0
02/03/2026,EQDOM,EQD,1424.0,1424.0,1424.0,1424.0,68,96832.0,3,2378436000.0
27/02/2026,EQDOM,EQD,1430.0,1430.0,1430.0,1430.0,1576,2253680.0,7,2388457500.0
26/02/2026,EQDOM,EQD,1430.0,1430.0,1430.0,1430.0,265,378950.0,3,2388457500.0
25/02/2026,EQDOM,EQD,-,1425.0,-,-,-,-,-,2380106250.0
24/02/2026,EQDOM,EQD,1425.0,1425.0,1425.0,1425.0,957,1363725.0,5,2380106250.0
23/02/2026,EQDOM,EQD,1410.0,1410.0,1410.0,1410.0,10,14100.0,1,2355052500.0
20/02/2026,EQDOM,EQD,1400.0,1400.0,1400.0,1400.0,30,42000.0,2,2338350000.0
19/02/2026,EQDOM,EQD,1401.0,1401.0,1401.0,1401.0,3080,4315080.0,3,2340020250.0
18/02/2026,EQDOM,EQD,1418.0,1418.0,1418.0,1418.0,51,72318.0,3,2368414500.0
17/02/2026,EQDOM,EQD,1418.0,1418.0,1418.0,1418.0,70,99260.0,2,2368414500.0
16/02/2026,EQDOM,EQD,1419.0,1419.0,1419.0,1419.0,1600,2270400.0,7,2370084750.0
13/02/2026,EQDOM,EQD,-,1400.0,-,-,-,-,-,2338350000.0
12/02/2026,EQDOM,EQD,1400.0,1400.0,1400.0,1400.0,1357,1899800.0,8,2338350000.0
11/02/2026,EQDOM,EQD,-,1380.0,-,-,-,-,-,2304945000.0
10/02/2026,EQDOM,EQD,-,1380.0,-,-,-,-,-,2304945000.0
09/02/2026,EQDOM,EQD,-,1380.0,-,-,-,-,-,2304945000.0
06/02/2026,EQDOM,EQD,1380.0,1380.0,1380.0,1380.0,702,968760.0,6,2304945000.0
05/02/2026,EQDOM,EQD,1336.0,1336.0,1336.0,1336.0,38,50768.0,1,2231454000.0
04/02/2026,EQDOM,EQD,-,1298.0,-,-,-,-,-,2167984500.0
03/02/2026,EQDOM,EQD,1298.0,1298.0,1298.0,1298.0,15,19470.0,1,2167984500.0
02/02/2026,EQDOM,EQD,-,1380.0,-,-,-,-,-,2304945000.0
30/01/2026,EQDOM,EQD,1380.0,1380.0,1380.0,1380.0,4160,5740800.0,9,2304945000.0
29/01/2026,EQDOM,EQD,1380.0,1380.0,1380.0,1380.0,1095,1511100.0,6,2304945000.0
28/01/2026,EQDOM,EQD,-,1384.0,-,-,-,-,-,2311626000.0
27/01/2026,EQDOM,EQD,1384.0,1384.0,1384.0,1384.0,144,199296.0,4,2311626000.0
26/01/2026,EQDOM,EQD,1386.0,1386.0,1386.0,1386.0,212,293832.0,4,2314966500.0
23/01/2026,EQDOM,EQD,1388.0,1388.0,1388.0,1388.0,72,99936.0,2,2318307000.0
22/01/2026,EQDOM,EQD,1388.0,1388.0,1388.0,1388.0,75,104100.0,3,2318307000.0
21/01/2026,EQDOM,EQD,1389.0,1389.0,1389.0,1389.0,70,97230.0,3,2319977250.0
20/01/2026,EQDOM,EQD,1390.0,1390.0,1390.0,1390.0,71,98690.0,3,2321647500.0
19/01/2026,EQDOM,EQD,1397.0,1397.0,1397.0,1397.0,70,97790.0,6,2333339250.0
16/01/2026,EQDOM,EQD,1370.0,1395.0,1395.0,1370.0,3255,4500268.0,12,2329998750.0
15/01/2026,EQDOM,EQD,1311.0,1379.0,1379.0,1311.0,110,151010.0,6,2303274750.0
13/01/2026,EQDOM,EQD,1398.0,1398.0,1398.0,1398.0,10,13980.0,3,2335009500.0
12/01/2026,EQDOM,EQD,1301.0,1350.0,1350.0,1301.0,314,423214.0,5,2254837500.0
09/01/2026,EQDOM,EQD,1380.0,1350.0,1380.0,1350.0,1230,1662210.0,9,2254837500.0
08/01/2026,EQDOM,EQD,1350.0,1386.0,1399.0,1350.0,1060,1468500.0,17,2314966500.0
07/01/2026,EQDOM,EQD,-,1379.0,-,-,-,-,-,2303274750.0
06/01/2026,EQDOM,EQD,1350.0,1379.0,1380.0,1350.0,48,65904.0,6,2303274750.0
17/03/2026,EQDOM,EQD,-,1242.0,-,-,-,-,-,2074450500.0
16/03/2026,EQDOM,EQD,1242.0,1242.0,1242.0,1242.0,37,45954.0,3,2074450500.0
13/03/2026,EQDOM,EQD,1242.0,1242.0,1242.0,1242.0,546,678132.0,5,2074450500.0
12/03/2026,EQDOM,EQD,-,1321.0,-,-,-,-,-,2206400250.0
11/03/2026,EQDOM,EQD,1321.0,1321.0,1321.0,1321.0,150,198150.0,2,2206400250.0
10/03/2026,EQDOM,EQD,-,1336.0,-,-,-,-,-,2231454000.0
09/03/2026,EQDOM,EQD,1336.0,1336.0,1336.0,1336.0,20,26720.0,4,2231454000.0
06/03/2026,EQDOM,EQD,1419.0,1419.0,1419.0,1419.0,1500,2128500.0,4,2370084750.0
05/03/2026,EQDOM,EQD,-,1399.0,-,-,-,-,-,2336679750.0
04/03/2026,EQDOM,EQD,1399.0,1399.0,1399.0,1399.0,35,48965.0,1,2336679750.0
03/03/2026,EQDOM,EQD,-,1424.0,-,-,-,-,-,2378436000.0
02/03/2026,EQDOM,EQD,1424.0,1424.0,1424.0,1424.0,68,96832.0,3,2378436000.0
27/02/2026,EQDOM,EQD,1430.0,1430.0,1430.0,1430.0,1576,2253680.0,7,2388457500.0
26/02/2026,EQDOM,EQD,1430.0,1430.0,1430.0,1430.0,265,378950.0,3,2388457500.0
25/02/2026,EQDOM,EQD,-,1425.0,-,-,-,-,-,2380106250.0
24/02/2026,EQDOM,EQD,1425.0,1425.0,1425.0,1425.0,957,1363725.0,5,2380106250.0
23/02/2026,EQDOM,EQD,1410.0,1410.0,1410.0,1410.0,10,14100.0,1,2355052500.0
20/02/2026,EQDOM,EQD,1400.0,1400.0,1400.0,1400.0,30,42000.0,2,2338350000.0
19/02/2026,EQDOM,EQD,1401.0,1401.0,1401.0,1401.0,3080,4315080.0,3,2340020250.0
18/02/2026,EQDOM,EQD,1418.0,1418.0,1418.0,1418.0,51,72318.0,3,2368414500.0
17/02/2026,EQDOM,EQD,1418.0,1418.0,1418.0,1418.0,70,99260.0,2,2368414500.0
16/02/2026,EQDOM,EQD,1419.0,1419.0,1419.0,1419.0,1600,2270400.0,7,2370084750.0
13/02/2026,EQDOM,EQD,-,1400.0,-,-,-,-,-,2338350000.0
12/02/2026,EQDOM,EQD,1400.0,1400.0,1400.0,1400.0,1357,1899800.0,8,2338350000.0
11/02/2026,EQDOM,EQD,-,1380.0,-,-,-,-,-,2304945000.0
10/02/2026,EQDOM,EQD,-,1380.0,-,-,-,-,-,2304945000.0
09/02/2026,EQDOM,EQD,-,1380.0,-,-,-,-,-,2304945000.0
06/02/2026,EQDOM,EQD,1380.0,1380.0,1380.0,1380.0,702,968760.0,6,2304945000.0
05/02/2026,EQDOM,EQD,1336.0,1336.0,1336.0,1336.0,38,50768.0,1,2231454000.0
04/02/2026,EQDOM,EQD,-,1298.0,-,-,-,-,-,2167984500.0
03/02/2026,EQDOM,EQD,1298.0,1298.0,1298.0,1298.0,15,19470.0,1,2167984500.0
02/02/2026,EQDOM,EQD,-,1380.0,-,-,-,-,-,2304945000.0
30/01/2026,EQDOM,EQD,1380.0,1380.0,1380.0,1380.0,4160,5740800.0,9,2304945000.0
