Séance,Instrument,Ticker,Ouverture,Dernier_Cours,haut_du_jour,bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
09/04/2026,FENIE BROSSETTE,FBR,296.2,293.0,305.0,293.0,588,174334.4,25,421622312.0
08/04/2026,FENIE BROSSETTE,FBR,280.0,304.9,304.9,280.0,4632,1348777.8,99,438746221.6
07/04/2026,FENIE BROSSETTE,FBR,294.75,287.0,294.75,285.0,791,227847.4,26,412988408.0
06/04/2026,FENIE BROSSETTE,FBR,294.85,290.0,294.85,286.1,237,68966.6,22,417305360.0
03/04/2026,FENIE BROSSETTE,FBR,289.05,294.95,296.7,289.0,102,29572.4,11,424428330.8
02/04/2026,FENIE BROSSETTE,FBR,297.3,297.0,297.3,288.0,736,214100.95,50,427378248.0
01/04/2026,FENIE BROSSETTE,FBR,294.0,295.8,297.0,289.0,722,213220.9,21,425651467.2
31/03/2026,FENIE BROSSETTE,FBR,293.6,287.1,293.7,287.1,554,161130.9,37,413132306.4
30/03/2026,FENIE BROSSETTE,FBR,294.0,293.1,294.0,293.1,520,152425.5,13,421766210.4
27/03/2026,FENIE BROSSETTE,FBR,299.8,293.0,299.8,292.8,2578,760552.3,58,421622312.0
26/03/2026,FENIE BROSSETTE,FBR,303.1,299.9,311.0,290.1,5407,1613764.5,150,431551301.6
25/03/2026,FENIE BROSSETTE,FBR,302.0,313.0,313.75,298.1,823,253217.8,26,450401992.0
24/03/2026,FENIE BROSSETTE,FBR,302.0,300.0,303.0,290.0,2280,670616.75,59,431695200.0
19/03/2026,FENIE BROSSETTE,FBR,302.0,300.0,302.0,298.1,289,86751.95,19,431695200.0
18/03/2026,FENIE BROSSETTE,FBR,298.0,307.75,307.8,298.0,903,272526.55,36,442847326.0
17/03/2026,FENIE BROSSETTE,FBR,295.2,307.45,310.0,295.2,157,46825.25,14,442415630.8
16/03/2026,FENIE BROSSETTE,FBR,292.15,309.0,310.95,292.15,295,87558.55,22,444646056.0
13/03/2026,FENIE BROSSETTE,FBR,306.0,308.0,310.0,300.05,687,209729.9,35,443207072.0
12/03/2026,FENIE BROSSETTE,FBR,310.0,311.0,319.0,306.0,548,170519.9,30,447524024.0
11/03/2026,FENIE BROSSETTE,FBR,314.0,310.0,318.7,305.0,1494,463180.2,39,446085040.0
10/03/2026,FENIE BROSSETTE,FBR,319.1,320.5,330.0,319.1,1022,330722.5,46,461194372.0
09/03/2026,FENIE BROSSETTE,FBR,295.0,314.0,314.0,295.0,969,287636.0,35,451840976.0
06/03/2026,FENIE BROSSETTE,FBR,332.0,326.5,332.0,310.05,1035,338403.45,53,469828276.0
05/03/2026,FENIE BROSSETTE,FBR,313.0,326.9,326.9,304.0,5086,1568637.8,68,470403869.6
04/03/2026,FENIE BROSSETTE,FBR,252.0,299.9,307.0,252.0,4002,1163872.05,152,431551301.6
03/03/2026,FENIE BROSSETTE,FBR,280.0,279.5,295.0,279.5,4019,1128216.35,141,402196028.0
02/03/2026,FENIE BROSSETTE,FBR,310.55,310.55,310.55,310.55,1361,422658.55,57,446876481.2
27/02/2026,FENIE BROSSETTE,FBR,366.0,345.0,366.0,341.0,1680,584505.55,70,496449480.0
26/02/2026,FENIE BROSSETTE,FBR,362.2,362.2,362.3,362.2,281,101779.3,19,521200004.8
25/02/2026,FENIE BROSSETTE,FBR,370.0,365.1,370.0,365.0,405,148032.95,20,525373058.4
24/02/2026,FENIE BROSSETTE,FBR,370.0,365.2,370.0,365.2,59,21790.8,6,525516956.8
23/02/2026,FENIE BROSSETTE,FBR,365.05,371.0,372.0,365.05,107,39670.2,6,533863064.0
20/02/2026,FENIE BROSSETTE,FBR,365.2,372.0,372.0,365.2,255,94112.6,10,535302048.0
19/02/2026,FENIE BROSSETTE,FBR,368.0,374.0,375.0,365.0,188,69107.0,13,538180016.0
18/02/2026,FENIE BROSSETTE,FBR,370.0,370.0,375.0,368.5,77,28617.5,12,532424080.0
17/02/2026,FENIE BROSSETTE,FBR,383.95,375.0,383.95,370.0,205,76212.4,21,539619000.0
16/02/2026,FENIE BROSSETTE,FBR,375.0,375.0,385.95,375.0,404,151790.4,16,539619000.0
13/02/2026,FENIE BROSSETTE,FBR,386.8,384.0,386.8,380.0,120,46406.4,6,552569856.0
12/02/2026,FENIE BROSSETTE,FBR,371.95,387.0,390.0,360.0,1025,381364.5,56,556886808.0
11/02/2026,FENIE BROSSETTE,FBR,376.0,368.05,376.0,368.05,63,23295.9,6,529618061.2
10/02/2026,FENIE BROSSETTE,FBR,380.0,375.9,380.0,375.9,82,30955.3,8,540914085.6
09/02/2026,FENIE BROSSETTE,FBR,362.3,380.0,383.95,362.3,875,324528.9,44,546813920.0
06/02/2026,FENIE BROSSETTE,FBR,350.05,384.0,384.0,350.0,1959,715425.6,84,552569856.0
05/02/2026,FENIE BROSSETTE,FBR,374.5,374.0,374.5,360.1,303,111487.75,22,538180016.0
04/02/2026,FENIE BROSSETTE,FBR,366.55,374.95,376.5,366.0,144,53163.45,13,539547050.8
03/02/2026,FENIE BROSSETTE,FBR,370.0,377.0,379.5,366.1,431,159809.65,18,542496968.0
02/02/2026,FENIE BROSSETTE,FBR,371.0,369.0,372.0,365.5,491,181327.95,25,530985096.0
30/01/2026,FENIE BROSSETTE,FBR,370.6,370.0,384.95,370.0,1311,485696.7,59,532424080.0
29/01/2026,FENIE BROSSETTE,FBR,394.0,390.0,394.0,375.0,289,109570.5,23,561203760.0
28/01/2026,FENIE BROSSETTE,FBR,380.0,391.0,391.0,380.0,758,292915.5,37,562642744.0
27/01/2026,FENIE BROSSETTE,FBR,362.0,380.0,389.0,362.0,2820,1035152.05,44,546813920.0
26/01/2026,FENIE BROSSETTE,FBR,375.0,365.0,380.0,345.1,3720,1343325.2,116,525229160.0
23/01/2026,FENIE BROSSETTE,FBR,390.0,380.0,392.8,379.0,910,349069.9,42,546813920.0
22/01/2026,FENIE BROSSETTE,FBR,386.0,394.7,398.0,386.0,514,202004.2,33,567966984.8
21/01/2026,FENIE BROSSETTE,FBR,384.05,384.5,385.0,380.2,682,261465.6,36,553289348.0
20/01/2026,FENIE BROSSETTE,FBR,384.25,394.0,399.0,384.25,407,157610.3,22,566959696.0
19/01/2026,FENIE BROSSETTE,FBR,395.0,398.0,398.0,384.25,308,121082.25,23,572715632.0
16/01/2026,FENIE BROSSETTE,FBR,395.0,395.0,400.0,390.0,1291,506920.65,46,568398680.0
15/01/2026,FENIE BROSSETTE,FBR,402.85,395.2,402.85,390.0,726,286039.1,44,568686476.8
