Séance,Instrument,Ticker,Ouverture,Dernier_Cours,haut_du_jour,bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
09/04/2026,HPS,HPS,535.0,533.0,535.0,528.3,554,293179.5,14,3947499270.0
08/04/2026,HPS,HPS,535.0,531.0,539.9,530.0,20878,11076510.4,67,3932686890.0
07/04/2026,HPS,HPS,525.0,510.0,539.9,510.0,2624,1348168.2,69,3777156900.0
06/04/2026,HPS,HPS,539.9,525.0,539.9,521.0,10120,5313691.7,38,3888249750.0
03/04/2026,HPS,HPS,539.9,530.0,539.9,530.0,667,354945.0,37,3925280700.0
02/04/2026,HPS,HPS,544.9,536.0,544.9,536.0,2479,1334574.5,16,3969717840.0
01/04/2026,HPS,HPS,535.0,535.0,544.9,535.0,15425,8262394.9,53,3962311650.0
31/03/2026,HPS,HPS,539.3,531.0,539.3,526.2,1441,764876.0,28,3932686890.0
30/03/2026,HPS,HPS,536.3,540.0,544.8,530.0,230,122900.2,30,3999342600.0
27/03/2026,HPS,HPS,545.0,540.5,552.0,534.0,329,179955.2,37,4003045695.0
26/03/2026,HPS,HPS,530.0,545.0,556.0,520.1,74574,40880017.7,211,4036373550.0
25/03/2026,HPS,HPS,528.0,510.0,528.0,506.1,24542,12516376.8,47,3777156900.0
24/03/2026,HPS,HPS,519.0,506.0,519.0,506.0,1566,802327.3,31,3747532140.0
19/03/2026,HPS,HPS,519.0,510.0,519.0,510.0,3665,1869388.0,15,3777156900.0
18/03/2026,HPS,HPS,509.0,517.5,517.5,509.0,22107,11440087.0,10,3832703325.0
17/03/2026,HPS,HPS,509.9,509.5,509.9,500.0,1791,911592.6,26,3773453805.0
16/03/2026,HPS,HPS,519.0,500.0,519.0,500.0,10108,5075614.2,54,3703095000.0
13/03/2026,HPS,HPS,516.0,500.0,520.0,500.0,2406,1240842.5,45,3703095000.0
12/03/2026,HPS,HPS,518.0,515.0,519.0,515.0,312,161545.0,20,3814187850.0
11/03/2026,HPS,HPS,518.0,518.0,518.0,516.0,170,87997.0,17,3836406420.0
10/03/2026,HPS,HPS,520.0,517.9,520.0,511.0,3783,1965186.5,32,3835665801.0
09/03/2026,HPS,HPS,496.0,500.0,510.0,496.0,16268,8083567.8,60,3703095000.0
