Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
16/03/2026,IB MAROC.COM,IBC,66.0,66.0,66.0,66.0,10,660.0,2,27554076.0
13/03/2026,IB MAROC.COM,IBC,-,66.0,-,-,-,-,-,27554076.0
12/03/2026,IB MAROC.COM,IBC,65.0,66.0,66.0,64.94,196,12839.9,9,27554076.0
11/03/2026,IB MAROC.COM,IBC,-,65.94,-,-,-,-,-,27529026.84
10/03/2026,IB MAROC.COM,IBC,61.5,65.94,65.94,61.5,140,8702.4,6,27529026.84
09/03/2026,IB MAROC.COM,IBC,64.99,64.99,64.99,62.0,288,18669.41,8,27132415.14
06/03/2026,IB MAROC.COM,IBC,65.99,62.0,65.99,62.0,143,8921.23,7,25884132.0
05/03/2026,IB MAROC.COM,IBC,59.98,60.0,60.0,58.0,191,11306.4,6,25049160.0
04/03/2026,IB MAROC.COM,IBC,46.82,55.0,57.0,46.82,869,42548.7,20,22961730.0
03/03/2026,IB MAROC.COM,IBC,56.0,52.0,56.0,52.0,80,4360.0,4,21709272.0
02/03/2026,IB MAROC.COM,IBC,60.0,57.0,60.0,57.0,56,3324.0,8,23796702.0
27/02/2026,IB MAROC.COM,IBC,64.5,62.0,64.5,62.0,101,6301.5,7,25884132.0
26/02/2026,IB MAROC.COM,IBC,65.0,65.0,65.0,65.0,304,19760.0,4,27136590.0
25/02/2026,IB MAROC.COM,IBC,66.0,66.0,66.0,66.0,11,726.0,2,27554076.0
24/02/2026,IB MAROC.COM,IBC,66.7,66.7,66.7,66.7,4,266.8,1,27846316.2
23/02/2026,IB MAROC.COM,IBC,65.0,66.0,66.0,65.0,26,1700.0,5,27554076.0
20/02/2026,IB MAROC.COM,IBC,65.5,65.5,65.5,65.1,24,1571.6,3,27345333.0
19/02/2026,IB MAROC.COM,IBC,66.0,66.0,66.0,66.0,5,330.0,1,27554076.0
18/02/2026,IB MAROC.COM,IBC,65.0,67.99,67.99,65.0,115,7557.88,9,28384873.14
17/02/2026,IB MAROC.COM,IBC,-,68.7,-,-,-,-,-,28681288.2
16/02/2026,IB MAROC.COM,IBC,68.74,68.7,68.74,68.69,24,1649.28,7,28681288.2
13/02/2026,IB MAROC.COM,IBC,68.99,68.75,68.99,68.75,6,412.74,2,28702162.5
12/02/2026,IB MAROC.COM,IBC,65.02,66.0,66.0,65.02,140,9133.68,6,27554076.0
11/02/2026,IB MAROC.COM,IBC,66.0,65.02,66.0,65.0,136,8869.06,10,27144939.72
10/02/2026,IB MAROC.COM,IBC,65.01,65.0,66.0,65.0,696,45270.32,21,27136590.0
09/02/2026,IB MAROC.COM,IBC,68.44,68.44,68.44,68.44,1,68.44,1,28572741.84
