Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
09/04/2026,IMMORENTE INVEST,IMO,91.5,91.0,92.0,91.0,2973,272029.68,52,819637000.0
08/04/2026,IMMORENTE INVEST,IMO,91.5,91.0,91.89,91.0,8108,739076.17,101,819637000.0
07/04/2026,IMMORENTE INVEST,IMO,91.25,91.49,91.49,91.22,820,74843.06,30,824050430.0
06/04/2026,IMMORENTE INVEST,IMO,91.49,91.3,91.49,91.2,344,31431.54,21,822339100.0
03/04/2026,IMMORENTE INVEST,IMO,91.5,91.1,91.8,91.1,799,73101.81,36,820537700.0
02/04/2026,IMMORENTE INVEST,IMO,91.49,91.1,91.49,91.0,865,78925.88,28,820537700.0
01/04/2026,IMMORENTE INVEST,IMO,91.3,91.5,91.5,91.0,588,53698.61,26,824140500.0
31/03/2026,IMMORENTE INVEST,IMO,91.25,91.16,91.9,91.16,1121,102773.01,36,821078120.0
30/03/2026,IMMORENTE INVEST,IMO,91.17,91.69,91.7,91.17,382,34918.15,32,825851830.0
27/03/2026,IMMORENTE INVEST,IMO,91.49,91.45,91.49,91.13,793,72488.6,25,823690150.0
26/03/2026,IMMORENTE INVEST,IMO,91.49,91.49,91.49,91.01,403,36782.49,15,824050430.0
25/03/2026,IMMORENTE INVEST,IMO,91.01,91.5,91.5,91.01,5995,548048.38,35,824140500.0
24/03/2026,IMMORENTE INVEST,IMO,90.97,91.0,91.0,90.4,2745,249510.44,45,819637000.0
19/03/2026,IMMORENTE INVEST,IMO,90.5,90.55,90.99,90.2,951,86004.21,40,815583850.0
18/03/2026,IMMORENTE INVEST,IMO,90.97,90.5,91.0,90.0,7749,702164.33,57,815133500.0
17/03/2026,IMMORENTE INVEST,IMO,90.97,90.8,90.97,90.8,214,19432.05,18,817835600.0
16/03/2026,IMMORENTE INVEST,IMO,90.1,90.8,90.8,89.82,8225,741367.29,88,817835600.0
13/03/2026,IMMORENTE INVEST,IMO,90.6,90.1,90.98,90.1,4286,387318.23,55,811530700.0
12/03/2026,IMMORENTE INVEST,IMO,90.2,90.5,90.5,90.2,486,43878.3,20,815133500.0
11/03/2026,IMMORENTE INVEST,IMO,90.5,90.2,91.0,90.2,801,72565.8,25,812431400.0
10/03/2026,IMMORENTE INVEST,IMO,89.92,90.0,90.5,89.92,12070,1086103.44,186,810630000.0
09/03/2026,IMMORENTE INVEST,IMO,90.88,90.1,90.9,89.52,3515,316835.41,104,811530700.0
06/03/2026,IMMORENTE INVEST,IMO,90.88,90.5,91.0,90.0,8015,723135.25,123,815133500.0
05/03/2026,IMMORENTE INVEST,IMO,90.8,90.88,90.95,90.0,3910,354271.73,109,818556160.0
04/03/2026,IMMORENTE INVEST,IMO,90.3,90.55,91.9,90.3,3380,307217.48,86,815583850.0
03/03/2026,IMMORENTE INVEST,IMO,90.51,90.3,90.52,89.01,18126,1633949.49,185,813332100.0
02/03/2026,IMMORENTE INVEST,IMO,92.0,90.51,92.4,90.5,7931,724469.1,127,815223570.0
27/02/2026,IMMORENTE INVEST,IMO,92.1,92.49,92.49,92.1,1428,131958.33,31,833057430.0
26/02/2026,IMMORENTE INVEST,IMO,92.4,92.4,92.4,92.4,187,17278.8,11,832246800.0
25/02/2026,IMMORENTE INVEST,IMO,92.5,92.5,92.5,91.1,1370,126635.92,24,833147500.0
24/02/2026,IMMORENTE INVEST,IMO,92.48,90.61,92.48,90.61,18137,1660319.84,159,816124270.0
23/02/2026,IMMORENTE INVEST,IMO,92.48,92.48,92.5,92.03,2125,196538.05,34,832967360.0
20/02/2026,IMMORENTE INVEST,IMO,92.48,92.48,92.48,92.47,595,55025.23,18,832967360.0
19/02/2026,IMMORENTE INVEST,IMO,92.0,92.48,92.49,91.5,826,76051.81,23,832967360.0
18/02/2026,IMMORENTE INVEST,IMO,92.0,91.0,92.0,91.0,5528,503609.01,86,819637000.0
17/02/2026,IMMORENTE INVEST,IMO,91.2,91.98,92.0,91.2,1440,132028.15,39,828463860.0
16/02/2026,IMMORENTE INVEST,IMO,91.8,91.8,91.8,91.5,3130,287311.08,35,826842600.0
13/02/2026,IMMORENTE INVEST,IMO,91.52,91.8,91.8,91.05,4349,397988.58,63,826842600.0
12/02/2026,IMMORENTE INVEST,IMO,91.5,91.77,91.77,91.5,1052,96354.37,17,826572390.0
11/02/2026,IMMORENTE INVEST,IMO,91.79,91.5,91.79,91.1,658,60263.16,32,824140500.0
10/02/2026,IMMORENTE INVEST,IMO,91.66,91.5,91.78,91.02,735,67146.26,45,824140500.0
09/02/2026,IMMORENTE INVEST,IMO,91.5,91.06,91.77,91.0,4484,408430.79,54,820177420.0
06/02/2026,IMMORENTE INVEST,IMO,91.79,91.5,91.79,91.02,2173,198249.05,57,824140500.0
05/02/2026,IMMORENTE INVEST,IMO,91.8,91.3,91.8,91.3,1594,145776.77,46,822339100.0
04/02/2026,IMMORENTE INVEST,IMO,91.69,91.35,91.8,91.3,1137,104004.36,39,822789450.0
03/02/2026,IMMORENTE INVEST,IMO,91.39,91.4,91.6,91.35,1300,118911.08,32,823239800.0
02/02/2026,IMMORENTE INVEST,IMO,91.02,91.04,91.39,91.0,1471,133929.25,52,819997280.0
30/01/2026,IMMORENTE INVEST,IMO,91.4,91.05,91.4,91.01,1467,133918.67,39,820087350.0
29/01/2026,IMMORENTE INVEST,IMO,91.01,91.4,91.45,91.0,1319,120330.03,41,823239800.0
28/01/2026,IMMORENTE INVEST,IMO,91.45,91.45,91.45,90.8,657,59956.7,37,823690150.0
27/01/2026,IMMORENTE INVEST,IMO,90.51,91.3,91.3,90.51,2274,206086.72,61,822339100.0
26/01/2026,IMMORENTE INVEST,IMO,91.5,91.45,91.5,90.5,4181,380686.82,118,823690150.0
23/01/2026,IMMORENTE INVEST,IMO,91.5,91.5,91.8,91.26,1107,101464.45,25,824140500.0
22/01/2026,IMMORENTE INVEST,IMO,91.23,91.7,91.7,91.23,162,14820.23,17,825941900.0
21/01/2026,IMMORENTE INVEST,IMO,91.4,91.8,91.8,91.25,6507,594263.75,37,826842600.0
20/01/2026,IMMORENTE INVEST,IMO,91.7,91.4,91.7,91.4,2294,210025.63,74,823239800.0
19/01/2026,IMMORENTE INVEST,IMO,91.75,91.8,91.8,91.7,1007,92420.1,30,826842600.0
16/01/2026,IMMORENTE INVEST,IMO,91.8,91.7,91.8,91.66,1708,156716.82,43,825941900.0
15/01/2026,IMMORENTE INVEST,IMO,91.66,91.98,91.98,91.66,4969,456052.78,39,828463860.0
13/01/2026,IMMORENTE INVEST,IMO,91.79,91.8,91.8,91.7,1202,110314.3,43,826842600.0
12/01/2026,IMMORENTE INVEST,IMO,91.65,91.8,92.0,91.55,4829,443049.33,84,826842600.0
09/01/2026,IMMORENTE INVEST,IMO,92.0,91.99,92.0,91.8,2824,259714.06,44,828553930.0
08/01/2026,IMMORENTE INVEST,IMO,92.0,91.99,92.0,91.7,2209,203147.35,63,828553930.0
07/01/2026,IMMORENTE INVEST,IMO,92.0,91.95,92.0,91.71,3129,287716.23,58,828193650.0
06/01/2026,IMMORENTE INVEST,IMO,91.85,92.0,92.0,91.55,6950,639012.41,68,828644000.0
17/03/2026,IMMORENTE INVEST,IMO,90.97,90.8,90.97,90.8,214,19432.05,18,817835600.0
16/03/2026,IMMORENTE INVEST,IMO,90.1,90.8,90.8,89.82,8225,741367.29,88,817835600.0
13/03/2026,IMMORENTE INVEST,IMO,90.6,90.1,90.98,90.1,4286,387318.23,55,811530700.0
12/03/2026,IMMORENTE INVEST,IMO,90.2,90.5,90.5,90.2,486,43878.3,20,815133500.0
11/03/2026,IMMORENTE INVEST,IMO,90.5,90.2,91.0,90.2,801,72565.8,25,812431400.0
10/03/2026,IMMORENTE INVEST,IMO,89.92,90.0,90.5,89.92,12070,1086103.44,186,810630000.0
09/03/2026,IMMORENTE INVEST,IMO,90.88,90.1,90.9,89.52,3515,316835.41,104,811530700.0
06/03/2026,IMMORENTE INVEST,IMO,90.88,90.5,91.0,90.0,8015,723135.25,123,815133500.0
05/03/2026,IMMORENTE INVEST,IMO,90.8,90.88,90.95,90.0,3910,354271.73,109,818556160.0
04/03/2026,IMMORENTE INVEST,IMO,90.3,90.55,91.9,90.3,3380,307217.48,86,815583850.0
03/03/2026,IMMORENTE INVEST,IMO,90.51,90.3,90.52,89.01,18126,1633949.49,185,813332100.0
02/03/2026,IMMORENTE INVEST,IMO,92.0,90.51,92.4,90.5,7931,724469.1,127,815223570.0
27/02/2026,IMMORENTE INVEST,IMO,92.1,92.49,92.49,92.1,1428,131958.33,31,833057430.0
26/02/2026,IMMORENTE INVEST,IMO,92.4,92.4,92.4,92.4,187,17278.8,11,832246800.0
25/02/2026,IMMORENTE INVEST,IMO,92.5,92.5,92.5,91.1,1370,126635.92,24,833147500.0
24/02/2026,IMMORENTE INVEST,IMO,92.48,90.61,92.48,90.61,18137,1660319.84,159,816124270.0
23/02/2026,IMMORENTE INVEST,IMO,92.48,92.48,92.5,92.03,2125,196538.05,34,832967360.0
20/02/2026,IMMORENTE INVEST,IMO,92.48,92.48,92.48,92.47,595,55025.23,18,832967360.0
19/02/2026,IMMORENTE INVEST,IMO,92.0,92.48,92.49,91.5,826,76051.81,23,832967360.0
18/02/2026,IMMORENTE INVEST,IMO,92.0,91.0,92.0,91.0,5528,503609.01,86,819637000.0
17/02/2026,IMMORENTE INVEST,IMO,91.2,91.98,92.0,91.2,1440,132028.15,39,828463860.0
16/02/2026,IMMORENTE INVEST,IMO,91.8,91.8,91.8,91.5,3130,287311.08,35,826842600.0
13/02/2026,IMMORENTE INVEST,IMO,91.52,91.8,91.8,91.05,4349,397988.58,63,826842600.0
12/02/2026,IMMORENTE INVEST,IMO,91.5,91.77,91.77,91.5,1052,96354.37,17,826572390.0
11/02/2026,IMMORENTE INVEST,IMO,91.79,91.5,91.79,91.1,658,60263.16,32,824140500.0
10/02/2026,IMMORENTE INVEST,IMO,91.66,91.5,91.78,91.02,735,67146.26,45,824140500.0
09/02/2026,IMMORENTE INVEST,IMO,91.5,91.06,91.77,91.0,4484,408430.79,54,820177420.0
06/02/2026,IMMORENTE INVEST,IMO,91.79,91.5,91.79,91.02,2173,198249.05,57,824140500.0
05/02/2026,IMMORENTE INVEST,IMO,91.8,91.3,91.8,91.3,1594,145776.77,46,822339100.0
04/02/2026,IMMORENTE INVEST,IMO,91.69,91.35,91.8,91.3,1137,104004.36,39,822789450.0
03/02/2026,IMMORENTE INVEST,IMO,91.39,91.4,91.6,91.35,1300,118911.08,32,823239800.0
02/02/2026,IMMORENTE INVEST,IMO,91.02,91.04,91.39,91.0,1471,133929.25,52,819997280.0
30/01/2026,IMMORENTE INVEST,IMO,91.4,91.05,91.4,91.01,1467,133918.67,39,820087350.0
29/01/2026,IMMORENTE INVEST,IMO,91.01,91.4,91.45,91.0,1319,120330.03,41,823239800.0
28/01/2026,IMMORENTE INVEST,IMO,91.45,91.45,91.45,90.8,657,59956.7,37,823690150.0
27/01/2026,IMMORENTE INVEST,IMO,90.51,91.3,91.3,90.51,2274,206086.72,61,822339100.0
26/01/2026,IMMORENTE INVEST,IMO,91.5,91.45,91.5,90.5,4181,380686.82,118,823690150.0
23/01/2026,IMMORENTE INVEST,IMO,91.5,91.5,91.8,91.26,1107,101464.45,25,824140500.0
22/01/2026,IMMORENTE INVEST,IMO,91.23,91.7,91.7,91.23,162,14820.23,17,825941900.0
21/01/2026,IMMORENTE INVEST,IMO,91.4,91.8,91.8,91.25,6507,594263.75,37,826842600.0
20/01/2026,IMMORENTE INVEST,IMO,91.7,91.4,91.7,91.4,2294,210025.63,74,823239800.0
19/01/2026,IMMORENTE INVEST,IMO,91.75,91.8,91.8,91.7,1007,92420.1,30,826842600.0
16/01/2026,IMMORENTE INVEST,IMO,91.8,91.7,91.8,91.66,1708,156716.82,43,825941900.0
15/01/2026,IMMORENTE INVEST,IMO,91.66,91.98,91.98,91.66,4969,456052.78,39,828463860.0
13/01/2026,IMMORENTE INVEST,IMO,91.79,91.8,91.8,91.7,1202,110314.3,43,826842600.0
12/01/2026,IMMORENTE INVEST,IMO,91.65,91.8,92.0,91.55,4829,443049.33,84,826842600.0
09/01/2026,IMMORENTE INVEST,IMO,92.0,91.99,92.0,91.8,2824,259714.06,44,828553930.0
08/01/2026,IMMORENTE INVEST,IMO,92.0,91.99,92.0,91.7,2209,203147.35,63,828553930.0
