Séance,Instrument,Ticker,Ouverture,Dernier_Cours,haut_du_jour,bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
03/06/2026,INVOLYS,INV,141.0,141.0,141.0,141.0,25,3525.0,5,53962956.0
02/06/2026,INVOLYS,INV,149.0,140.1,149.0,140.0,1049,147198.4,22,53618511.6
01/06/2026,INVOLYS,INV,149.0,144.5,149.0,144.5,115,16773.0,9,55302462.0
26/05/2026,INVOLYS,INV,149.9,144.0,149.9,141.65,99,14571.7,13,55111104.0
25/05/2026,INVOLYS,INV,144.0,147.8,149.9,143.0,312,45529.8,15,56565424.8
22/05/2026,INVOLYS,INV,151.7,143.6,151.7,143.55,96,13791.95,4,54958017.6
21/05/2026,INVOLYS,INV,143.0,149.0,149.0,143.0,49,7127.0,3,57024684.0
20/05/2026,INVOLYS,INV,146.0,147.9,147.9,143.0,82,12016.5,9,56603696.4
19/05/2026,INVOLYS,INV,141.2,145.0,145.0,141.2,420,59580.0,8,55493820.0
18/05/2026,INVOLYS,INV,145.0,145.3,145.3,145.0,13,1887.1,3,55608634.8
15/05/2026,INVOLYS,INV,150.0,150.0,150.0,145.15,175,25690.5,8,57407400.0
14/05/2026,INVOLYS,INV,147.0,145.0,147.0,145.0,277,40246.0,7,55493820.0
13/05/2026,INVOLYS,INV,146.6,146.75,147.0,146.0,474,69505.5,14,56163573.0
12/05/2026,INVOLYS,INV,158.0,146.3,158.0,145.35,810,120212.15,29,55991350.8
11/05/2026,INVOLYS,INV,155.2,150.0,155.2,148.1,319,48620.3,19,57407400.0
08/05/2026,INVOLYS,INV,155.75,155.0,156.0,155.0,205,31920.75,9,59320980.0
07/05/2026,INVOLYS,INV,147.0,153.0,157.5,147.0,684,105333.05,35,58555548.0
06/05/2026,INVOLYS,INV,146.0,145.0,146.05,145.0,215,31359.25,11,55493820.0
05/05/2026,INVOLYS,INV,148.0,142.0,148.0,142.0,81,11846.0,4,54345672.0
04/05/2026,INVOLYS,INV,145.5,145.0,145.5,145.0,190,27582.0,13,55493820.0
30/04/2026,INVOLYS,INV,153.0,145.0,153.0,141.0,535,77929.25,23,55493820.0
29/04/2026,INVOLYS,INV,152.1,152.0,154.0,152.0,302,45911.0,7,58172832.0
28/04/2026,INVOLYS,INV,153.3,153.0,153.3,153.0,181,27694.5,6,58555548.0
27/04/2026,INVOLYS,INV,152.1,152.0,153.0,152.0,171,26005.7,14,58172832.0
24/04/2026,INVOLYS,INV,157.9,153.0,157.9,153.0,280,43202.35,14,58555548.0
23/04/2026,INVOLYS,INV,153.0,153.5,157.0,153.0,122,18724.0,4,58746906.0
22/04/2026,INVOLYS,INV,153.0,153.5,157.5,153.0,83,12754.5,6,58746906.0
21/04/2026,INVOLYS,INV,158.7,153.0,158.7,153.0,710,109656.85,22,58555548.0
20/04/2026,INVOLYS,INV,158.7,153.0,158.7,153.0,924,143276.2,32,58555548.0
17/04/2026,INVOLYS,INV,160.0,159.4,160.0,152.5,1440,225207.55,39,61004930.4
16/04/2026,INVOLYS,INV,148.0,148.5,148.5,147.0,434,64210.5,10,56833326.0
15/04/2026,INVOLYS,INV,143.0,148.0,156.8,140.0,3729,559049.1,75,56641968.0
14/04/2026,INVOLYS,INV,136.0,142.85,142.85,136.0,675,94133.35,26,54670980.6
13/04/2026,INVOLYS,INV,143.9,137.0,143.9,136.0,349,49069.15,18,52432092.0
10/04/2026,INVOLYS,INV,142.1,141.95,143.0,141.95,294,41765.7,10,54326536.2
09/04/2026,INVOLYS,INV,143.0,142.0,144.65,140.0,1181,168889.5,22,54345672.0
08/04/2026,INVOLYS,INV,144.7,142.9,144.7,141.5,551,79291.5,24,54690116.4
07/04/2026,INVOLYS,INV,135.05,135.0,135.2,134.0,488,65750.45,10,51666660.0
06/04/2026,INVOLYS,INV,131.6,134.0,134.0,131.6,284,37766.0,13,51283944.0
03/04/2026,INVOLYS,INV,136.9,136.9,137.0,134.0,548,74329.75,16,52393820.4
02/04/2026,INVOLYS,INV,134.1,134.0,138.0,133.5,464,62335.65,23,51283944.0
01/04/2026,INVOLYS,INV,138.0,134.1,139.0,133.8,349,47644.0,19,51322215.6
31/03/2026,INVOLYS,INV,138.0,133.5,138.9,133.0,1367,183323.1,51,51092586.0
30/03/2026,INVOLYS,INV,140.0,138.5,140.0,137.5,675,94143.7,31,53006166.0
27/03/2026,INVOLYS,INV,136.2,140.0,145.0,136.2,4882,675560.1,100,53580240.0
26/03/2026,INVOLYS,INV,141.35,141.35,141.35,141.35,5383,760887.05,99,54096906.6
25/03/2026,INVOLYS,INV,158.0,157.0,159.7,157.0,352,55499.0,13,60086412.0
24/03/2026,INVOLYS,INV,160.0,159.9,160.0,159.9,180,28795.0,9,61196288.4
19/03/2026,INVOLYS,INV,160.0,160.0,160.0,156.0,721,115344.0,17,61234560.0
18/03/2026,INVOLYS,INV,155.0,160.0,160.0,155.0,228,36339.0,14,61234560.0
17/03/2026,INVOLYS,INV,160.0,160.0,160.0,160.0,32,5120.0,4,61234560.0
16/03/2026,INVOLYS,INV,158.0,159.9,160.0,158.0,553,88058.3,10,61196288.4
13/03/2026,INVOLYS,INV,167.9,166.0,167.9,166.0,201,33367.9,4,63530856.0
12/03/2026,INVOLYS,INV,169.85,168.5,169.85,154.0,1081,173808.45,27,64487646.0
11/03/2026,INVOLYS,INV,169.95,169.0,169.95,169.0,13,2197.95,2,64679004.0
10/03/2026,INVOLYS,INV,160.05,169.85,170.0,160.0,1173,191022.15,28,65004312.6
09/03/2026,INVOLYS,INV,157.55,157.55,157.55,157.55,466,73418.3,16,60296905.8
06/03/2026,INVOLYS,INV,175.0,175.0,177.8,170.0,276,48247.8,16,66975300.0
05/03/2026,INVOLYS,INV,154.0,165.45,165.65,154.0,553,88859.2,23,63320362.2
04/03/2026,INVOLYS,INV,138.0,154.0,155.0,138.0,1077,163577.45,42,58938264.0
03/03/2026,INVOLYS,INV,152.0,141.0,152.0,141.0,705,101649.4,36,53962956.0
02/03/2026,INVOLYS,INV,152.0,152.0,167.8,152.0,670,102348.7,31,58172832.0
27/02/2026,INVOLYS,INV,175.7,168.0,175.7,168.0,229,38541.3,10,64296288.0
26/02/2026,INVOLYS,INV,170.1,175.85,175.85,170.1,22,3747.95,3,67300608.6
25/02/2026,INVOLYS,INV,172.0,170.05,178.9,170.0,392,68287.2,16,65080855.8
24/02/2026,INVOLYS,INV,170.0,171.0,172.0,170.0,1038,176636.0,20,65444436.0
23/02/2026,INVOLYS,INV,179.0,170.2,179.0,170.2,555,96163.85,25,65138263.2
20/02/2026,INVOLYS,INV,175.15,170.0,175.2,170.0,1379,236394.45,31,65061720.0
19/02/2026,INVOLYS,INV,174.0,176.1,176.1,173.0,320,55645.0,10,67396287.6
18/02/2026,INVOLYS,INV,182.0,178.05,182.0,178.05,128,23040.2,11,68142583.8
17/02/2026,INVOLYS,INV,182.0,182.1,184.0,180.0,1168,211923.25,35,69692583.6
16/02/2026,INVOLYS,INV,172.05,180.0,180.5,172.05,446,80080.55,25,68888880.0
13/02/2026,INVOLYS,INV,171.5,179.0,179.4,171.5,155,26994.15,17,68506164.0
12/02/2026,INVOLYS,INV,175.0,180.0,181.75,175.0,415,73824.6,19,68888880.0
11/02/2026,INVOLYS,INV,172.0,171.1,172.0,167.1,470,79999.8,13,65482707.6
10/02/2026,INVOLYS,INV,175.0,180.0,180.0,175.0,212,37410.0,6,68888880.0
09/02/2026,INVOLYS,INV,174.0,176.5,176.5,170.0,428,73807.25,20,67549374.0
06/02/2026,INVOLYS,INV,175.0,176.5,180.0,170.0,988,173247.1,39,67549374.0
05/02/2026,INVOLYS,INV,187.9,174.7,187.9,174.0,1543,271857.25,58,66860485.2
04/02/2026,INVOLYS,INV,179.0,184.0,184.0,174.0,329,58468.95,28,70419744.0
03/02/2026,INVOLYS,INV,177.5,188.0,188.9,177.5,146,26924.25,11,71950608.0
02/02/2026,INVOLYS,INV,177.0,183.85,183.85,177.0,123,21922.75,13,70362336.6
30/01/2026,INVOLYS,INV,183.0,183.9,187.45,179.0,772,140125.65,40,70381472.4
29/01/2026,INVOLYS,INV,189.0,181.85,189.0,181.1,975,177416.4,26,69596904.6
28/01/2026,INVOLYS,INV,187.65,190.0,195.0,180.0,2153,401809.75,65,72716040.0
27/01/2026,INVOLYS,INV,193.3,183.9,193.3,177.0,551,98814.8,22,70381472.4
26/01/2026,INVOLYS,INV,184.0,184.0,189.9,182.0,789,144736.5,30,70419744.0
23/01/2026,INVOLYS,INV,194.5,188.0,194.5,188.0,112,21467.5,9,71950608.0
22/01/2026,INVOLYS,INV,192.9,190.05,193.0,189.0,589,112938.2,15,72735175.8
21/01/2026,INVOLYS,INV,189.0,183.0,192.5,183.0,550,102075.5,26,70037028.0
20/01/2026,INVOLYS,INV,195.0,189.0,195.0,182.0,708,133698.35,24,72333324.0
19/01/2026,INVOLYS,INV,195.0,195.0,195.0,190.0,175,33760.0,10,74629620.0
16/01/2026,INVOLYS,INV,195.0,195.0,195.5,190.0,319,61606.0,19,74629620.0
15/01/2026,INVOLYS,INV,201.0,197.0,201.0,195.0,500,97989.0,21,75395052.0
13/01/2026,INVOLYS,INV,196.0,202.45,202.45,196.0,84,16470.55,9,77480854.2
12/01/2026,INVOLYS,INV,197.5,196.6,199.5,196.6,690,136053.3,37,75241965.6
09/01/2026,INVOLYS,INV,203.3,200.0,203.3,194.6,803,158213.9,26,76543200.0
08/01/2026,INVOLYS,INV,205.0,202.0,207.7,198.5,1024,206780.4,31,77308632.0
07/01/2026,INVOLYS,INV,207.95,205.0,212.5,198.5,2406,496986.0,86,78456780.0
06/01/2026,INVOLYS,INV,199.4,203.8,204.8,194.5,1704,340084.3,85,77997520.8
17/03/2026,INVOLYS,INV,160.0,160.0,160.0,160.0,32,5120.0,4,61234560.0
16/03/2026,INVOLYS,INV,158.0,159.9,160.0,158.0,553,88058.3,10,61196288.4
13/03/2026,INVOLYS,INV,167.9,166.0,167.9,166.0,201,33367.9,4,63530856.0
12/03/2026,INVOLYS,INV,169.85,168.5,169.85,154.0,1081,173808.45,27,64487646.0
11/03/2026,INVOLYS,INV,169.95,169.0,169.95,169.0,13,2197.95,2,64679004.0
10/03/2026,INVOLYS,INV,160.05,169.85,170.0,160.0,1173,191022.15,28,65004312.6
09/03/2026,INVOLYS,INV,157.55,157.55,157.55,157.55,466,73418.3,16,60296905.8
06/03/2026,INVOLYS,INV,175.0,175.0,177.8,170.0,276,48247.8,16,66975300.0
05/03/2026,INVOLYS,INV,154.0,165.45,165.65,154.0,553,88859.2,23,63320362.2
04/03/2026,INVOLYS,INV,138.0,154.0,155.0,138.0,1077,163577.45,42,58938264.0
03/03/2026,INVOLYS,INV,152.0,141.0,152.0,141.0,705,101649.4,36,53962956.0
02/03/2026,INVOLYS,INV,152.0,152.0,167.8,152.0,670,102348.7,31,58172832.0
27/02/2026,INVOLYS,INV,175.7,168.0,175.7,168.0,229,38541.3,10,64296288.0
26/02/2026,INVOLYS,INV,170.1,175.85,175.85,170.1,22,3747.95,3,67300608.6
25/02/2026,INVOLYS,INV,172.0,170.05,178.9,170.0,392,68287.2,16,65080855.8
24/02/2026,INVOLYS,INV,170.0,171.0,172.0,170.0,1038,176636.0,20,65444436.0
23/02/2026,INVOLYS,INV,179.0,170.2,179.0,170.2,555,96163.85,25,65138263.2
20/02/2026,INVOLYS,INV,175.15,170.0,175.2,170.0,1379,236394.45,31,65061720.0
19/02/2026,INVOLYS,INV,174.0,176.1,176.1,173.0,320,55645.0,10,67396287.6
18/02/2026,INVOLYS,INV,182.0,178.05,182.0,178.05,128,23040.2,11,68142583.8
17/02/2026,INVOLYS,INV,182.0,182.1,184.0,180.0,1168,211923.25,35,69692583.6
16/02/2026,INVOLYS,INV,172.05,180.0,180.5,172.05,446,80080.55,25,68888880.0
13/02/2026,INVOLYS,INV,171.5,179.0,179.4,171.5,155,26994.15,17,68506164.0
12/02/2026,INVOLYS,INV,175.0,180.0,181.75,175.0,415,73824.6,19,68888880.0
11/02/2026,INVOLYS,INV,172.0,171.1,172.0,167.1,470,79999.8,13,65482707.6
10/02/2026,INVOLYS,INV,175.0,180.0,180.0,175.0,212,37410.0,6,68888880.0
09/02/2026,INVOLYS,INV,174.0,176.5,176.5,170.0,428,73807.25,20,67549374.0
06/02/2026,INVOLYS,INV,175.0,176.5,180.0,170.0,988,173247.1,39,67549374.0
05/02/2026,INVOLYS,INV,187.9,174.7,187.9,174.0,1543,271857.25,58,66860485.2
04/02/2026,INVOLYS,INV,179.0,184.0,184.0,174.0,329,58468.95,28,70419744.0
03/02/2026,INVOLYS,INV,177.5,188.0,188.9,177.5,146,26924.25,11,71950608.0
