Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
17/03/2026,JET CONTRACTORS,JET,2099.0,2070.0,2099.0,2070.0,1536,3207826.0,45,6271110540.0
16/03/2026,JET CONTRACTORS,JET,2100.0,2079.0,2100.0,2065.0,831,1729969.0,40,6298376238.0
13/03/2026,JET CONTRACTORS,JET,2100.0,2139.0,2139.0,2080.0,2112,4501654.0,48,6480147558.0
12/03/2026,JET CONTRACTORS,JET,2145.0,2100.0,2147.0,2090.0,5408,11361811.0,78,6361996200.0
11/03/2026,JET CONTRACTORS,JET,2145.0,2120.0,2170.0,2120.0,912,1951030.0,59,6422586640.0
10/03/2026,JET CONTRACTORS,JET,2169.0,2100.0,2170.0,2100.0,2955,6228096.0,142,6361996200.0
09/03/2026,JET CONTRACTORS,JET,2020.0,2005.0,2088.0,2003.0,7081,14259253.0,303,6074191610.0
06/03/2026,JET CONTRACTORS,JET,2375.0,2190.0,2375.0,2190.0,7463,16461118.0,164,6634653180.0
05/03/2026,JET CONTRACTORS,JET,2277.0,2295.0,2295.0,2200.0,5206,11733945.0,128,6952752990.0
04/03/2026,JET CONTRACTORS,JET,2200.0,2153.0,2298.0,2153.0,4403,9695450.0,212,6522560866.0
03/03/2026,JET CONTRACTORS,JET,2275.0,2153.0,2350.0,2153.0,8929,19453021.0,231,6522560866.0
02/03/2026,JET CONTRACTORS,JET,2350.0,2392.0,2464.0,2341.0,6955,16497111.0,176,7246616624.0
27/02/2026,JET CONTRACTORS,JET,2603.0,2600.0,2673.0,2600.0,4246,11041396.0,57,7876757200.0
26/02/2026,JET CONTRACTORS,JET,2602.0,2675.0,2675.0,2571.0,784,2059125.0,34,8103971350.0
25/02/2026,JET CONTRACTORS,JET,2622.0,2639.0,2689.0,2601.0,3195,8350826.0,53,7994908558.0
24/02/2026,JET CONTRACTORS,JET,2685.0,2650.0,2685.0,2631.0,4623,12335909.0,33,8028233300.0
