Séance,Instrument,Ticker,Ouverture,Dernier_Cours,haut_du_jour,bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
03/06/2026,LABEL VIE,LBV,3846.0,3860.0,3860.0,3846.0,21,80977.0,7,11170674020.0
02/06/2026,LABEL VIE,LBV,3999.0,3860.0,3999.0,3852.0,61,239491.0,16,11170674020.0
01/06/2026,LABEL VIE,LBV,3832.0,3860.0,3970.0,3832.0,408,1575060.0,27,11170674020.0
26/05/2026,LABEL VIE,LBV,3975.0,3860.0,3975.0,3860.0,199,773828.0,19,11170674020.0
25/05/2026,LABEL VIE,LBV,3898.0,3860.0,3979.0,3805.0,2447,9426842.0,20,11170674020.0
22/05/2026,LABEL VIE,LBV,3935.0,3851.0,3935.0,3812.0,3947,15194402.0,26,11144628407.0
21/05/2026,LABEL VIE,LBV,3975.0,3820.0,3975.0,3820.0,17934,69034004.0,46,11054915740.0
20/05/2026,LABEL VIE,LBV,3998.0,3825.0,3998.0,3825.0,4149,15970077.0,28,11069385525.0
19/05/2026,LABEL VIE,LBV,3950.0,3850.0,3950.0,3850.0,4464,17272174.0,59,11141734450.0
18/05/2026,LABEL VIE,LBV,3900.0,3950.0,3950.0,3900.0,366,1440000.0,10,11431130150.0
15/05/2026,LABEL VIE,LBV,3955.0,3900.0,3955.0,3900.0,2000,7807346.0,36,11286432300.0
14/05/2026,LABEL VIE,LBV,3942.0,3949.0,3951.0,3940.0,1520,6002455.0,14,11428236193.0
13/05/2026,LABEL VIE,LBV,4000.0,3950.0,4000.0,3950.0,6400,25289241.0,28,11431130150.0
12/05/2026,LABEL VIE,LBV,4050.0,3950.0,4050.0,3950.0,6036,23845699.0,36,11431130150.0
11/05/2026,LABEL VIE,LBV,4048.0,4000.0,4050.0,3950.0,672,2702746.0,33,11575828000.0
08/05/2026,LABEL VIE,LBV,4179.0,4000.0,4179.0,4000.0,418,1678846.0,61,11575828000.0
07/05/2026,LABEL VIE,LBV,4100.0,4050.0,4100.0,4050.0,1179,4782081.0,29,11720525850.0
06/05/2026,LABEL VIE,LBV,4160.0,4050.0,4161.0,4050.0,6887,28297823.0,78,11720525850.0
05/05/2026,LABEL VIE,LBV,4290.0,4150.0,4300.0,4150.0,4629,19487832.0,76,12009921550.0
04/05/2026,LABEL VIE,LBV,4148.0,4199.0,4199.0,4148.0,979,4082186.0,15,12151725443.0
30/04/2026,LABEL VIE,LBV,4188.0,4150.0,4195.0,4102.0,156,648028.0,16,12009921550.0
29/04/2026,LABEL VIE,LBV,4200.0,4189.0,4200.0,4110.0,69,284282.0,8,12122785873.0
28/04/2026,LABEL VIE,LBV,4122.0,4199.0,4199.0,4122.0,127,527846.0,6,12151725443.0
27/04/2026,LABEL VIE,LBV,4269.0,4111.0,4269.0,4111.0,8,33245.0,5,11897057227.0
24/04/2026,LABEL VIE,LBV,4300.0,4150.0,4300.0,4150.0,363,1542659.0,27,12009921550.0
23/04/2026,LABEL VIE,LBV,4300.0,4150.0,4300.0,4150.0,124,516626.0,30,12009921550.0
22/04/2026,LABEL VIE,LBV,4300.0,4200.0,4300.0,4172.0,514,2174796.0,36,12154619400.0
21/04/2026,LABEL VIE,LBV,4330.0,4300.0,4330.0,4300.0,31,133390.0,5,12444015100.0
20/04/2026,LABEL VIE,LBV,4370.0,4380.0,4380.0,4250.0,305,1311330.0,14,12675531660.0
17/04/2026,LABEL VIE,LBV,4113.0,4399.0,4444.0,4113.0,2409,10562069.0,40,12730516843.0
16/04/2026,LABEL VIE,LBV,4107.0,4288.0,4290.0,4107.0,236,994985.0,12,12409287616.0
15/04/2026,LABEL VIE,LBV,4340.0,4300.0,4340.0,4300.0,1068,4592910.0,7,12444015100.0
14/04/2026,LABEL VIE,LBV,4200.0,4335.0,4350.0,4200.0,646,2746976.0,33,12545303595.0
13/04/2026,LABEL VIE,LBV,4169.0,4200.0,4200.0,4101.0,27,112669.0,11,12154619400.0
10/04/2026,LABEL VIE,LBV,4200.0,4200.0,4200.0,4193.0,2192,9205168.0,20,12154619400.0
09/04/2026,LABEL VIE,LBV,4200.0,4219.0,4250.0,4150.0,802,3369993.0,26,12209604583.0
08/04/2026,LABEL VIE,LBV,4100.0,4180.0,4200.0,4100.0,2379,9953100.0,49,12096740260.0
07/04/2026,LABEL VIE,LBV,3949.0,3948.0,3980.0,3901.0,204,807842.0,22,11425342236.0
06/04/2026,LABEL VIE,LBV,4097.0,3949.0,4140.0,3949.0,934,3737613.0,34,11428236193.0
03/04/2026,LABEL VIE,LBV,3850.0,4180.0,4180.0,3850.0,9571,38059693.0,59,12096740260.0
02/04/2026,LABEL VIE,LBV,3920.0,3850.0,3980.0,3850.0,4053,15637550.0,34,11141734450.0
01/04/2026,LABEL VIE,LBV,3861.0,3849.0,3900.0,3849.0,1631,6323913.0,45,11138840493.0
31/03/2026,LABEL VIE,LBV,3900.0,3900.0,3900.0,3852.0,4042,15759297.0,23,11286432300.0
30/03/2026,LABEL VIE,LBV,3911.0,3900.0,3950.0,3900.0,691,2725330.0,22,11286432300.0
27/03/2026,LABEL VIE,LBV,4099.0,3950.0,4099.0,3950.0,1938,7660499.0,28,11431130150.0
26/03/2026,LABEL VIE,LBV,4086.0,4100.0,4100.0,4000.0,1504,6166172.0,19,11865223700.0
25/03/2026,LABEL VIE,LBV,3999.0,4087.0,4100.0,3999.0,334,1364619.0,23,11827602259.0
24/03/2026,LABEL VIE,LBV,4089.0,3950.0,4089.0,3900.0,1614,6376912.0,20,11431130150.0
19/03/2026,LABEL VIE,LBV,3799.0,4100.0,4100.0,3785.0,3149,12002815.0,41,11865223700.0
18/03/2026,LABEL VIE,LBV,3799.0,3785.0,3800.0,3780.0,3417,12933802.0,28,10953627245.0
17/03/2026,LABEL VIE,LBV,3748.0,3797.0,3900.0,3748.0,505,1916884.0,20,10988354729.0
16/03/2026,LABEL VIE,LBV,3710.0,3700.0,3755.0,3650.0,338,1249775.0,35,10707640900.0
13/03/2026,LABEL VIE,LBV,3800.0,3600.0,3800.0,3600.0,2017,7450834.0,91,10418245200.0
12/03/2026,LABEL VIE,LBV,3800.0,3780.0,3800.0,3780.0,785,2968018.0,24,10939157460.0
11/03/2026,LABEL VIE,LBV,3860.0,3800.0,3860.0,3750.0,344,1302326.0,30,10997036600.0
10/03/2026,LABEL VIE,LBV,3900.0,3750.0,3900.0,3750.0,4634,17610011.0,94,10852338750.0
09/03/2026,LABEL VIE,LBV,3800.0,3750.0,3800.0,3750.0,36,135101.0,23,10852338750.0
06/03/2026,LABEL VIE,LBV,3975.0,3750.0,3975.0,3750.0,11802,44777914.0,67,10852338750.0
05/03/2026,LABEL VIE,LBV,3900.0,3900.0,3900.0,3870.0,1324,5163357.0,25,11286432300.0
04/03/2026,LABEL VIE,LBV,3799.0,3750.0,3800.0,3750.0,764,2890764.0,61,10852338750.0
03/03/2026,LABEL VIE,LBV,3900.0,3800.0,3900.0,3740.0,6102,23136226.0,57,10997036600.0
02/03/2026,LABEL VIE,LBV,4000.0,3914.0,4000.0,3890.0,3000,11697042.0,31,11326947698.0
27/02/2026,LABEL VIE,LBV,4049.0,3949.0,4049.0,3949.0,1022,4038311.0,49,11428236193.0
