Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
19/03/2026,LAFARGEHOLCIM MAROC,LHM,1776.0,1750.0,1776.0,1740.0,3645,6354567.0,30,41004670000.0
18/03/2026,LAFARGEHOLCIM MAROC,LHM,1728.0,1778.0,1778.0,1726.0,1100,1943329.0,31,41660744720.0
17/03/2026,LAFARGEHOLCIM MAROC,LHM,1738.0,1730.0,1738.0,1730.0,4077,7054515.0,25,40536045200.0
16/03/2026,LAFARGEHOLCIM MAROC,LHM,1743.0,1730.0,1743.0,1725.0,3764,6512345.0,37,40536045200.0
13/03/2026,LAFARGEHOLCIM MAROC,LHM,1763.0,1745.0,1763.0,1721.0,12412,21675068.0,66,40887513800.0
12/03/2026,LAFARGEHOLCIM MAROC,LHM,1760.0,1760.0,1780.0,1723.0,17302,30475758.0,112,41238982400.0
11/03/2026,LAFARGEHOLCIM MAROC,LHM,1716.0,1759.0,1759.0,1701.0,39541,69176419.0,214,41215551160.0
10/03/2026,LAFARGEHOLCIM MAROC,LHM,1632.0,1600.0,1639.0,1600.0,7991,12840712.0,84,37489984000.0
09/03/2026,LAFARGEHOLCIM MAROC,LHM,1600.0,1550.0,1600.0,1550.0,9025,14124653.0,153,36318422000.0
06/03/2026,LAFARGEHOLCIM MAROC,LHM,1635.0,1610.0,1685.0,1600.0,18629,30150729.0,151,37724296400.0
05/03/2026,LAFARGEHOLCIM MAROC,LHM,1600.0,1631.0,1631.0,1573.0,5082,8209548.0,121,38216352440.0
04/03/2026,LAFARGEHOLCIM MAROC,LHM,1599.0,1500.0,1635.0,1500.0,10359,15681949.0,245,35146860000.0
03/03/2026,LAFARGEHOLCIM MAROC,LHM,1560.0,1500.0,1640.0,1500.0,9124,13772965.0,244,35146860000.0
02/03/2026,LAFARGEHOLCIM MAROC,LHM,1597.0,1549.0,1600.0,1549.0,15813,24882687.0,403,36294990760.0
27/02/2026,LAFARGEHOLCIM MAROC,LHM,1699.0,1655.0,1699.0,1655.0,28512,47424427.0,443,38778702200.0
26/02/2026,LAFARGEHOLCIM MAROC,LHM,1750.0,1700.0,1785.0,1690.0,4852,8276072.0,197,39833108000.0
25/02/2026,LAFARGEHOLCIM MAROC,LHM,1780.0,1750.0,1792.0,1750.0,4531,8020611.0,119,41004670000.0
24/02/2026,LAFARGEHOLCIM MAROC,LHM,1792.0,1781.0,1800.0,1781.0,3675,6555846.0,49,41731038440.0
23/02/2026,LAFARGEHOLCIM MAROC,LHM,1800.0,1791.0,1809.0,1791.0,1297,2323207.0,27,41965350840.0
20/02/2026,LAFARGEHOLCIM MAROC,LHM,1809.0,1800.0,1809.0,1790.0,14573,26215335.0,46,42176232000.0
19/02/2026,LAFARGEHOLCIM MAROC,LHM,1800.0,1800.0,1810.0,1787.0,299,538076.0,17,42176232000.0
18/02/2026,LAFARGEHOLCIM MAROC,LHM,1800.0,1790.0,1800.0,1790.0,2812,5042233.0,68,41941919600.0
17/02/2026,LAFARGEHOLCIM MAROC,LHM,1800.0,1800.0,1800.0,1795.0,7802,14043474.0,53,42176232000.0
16/02/2026,LAFARGEHOLCIM MAROC,LHM,1820.0,1818.0,1823.0,1785.0,3741,6774521.0,37,42597994320.0
13/02/2026,LAFARGEHOLCIM MAROC,LHM,1790.0,1785.0,1799.0,1785.0,16151,28920112.0,56,41824763400.0
12/02/2026,LAFARGEHOLCIM MAROC,LHM,1802.0,1785.0,1802.0,1780.0,10794,19232951.0,49,41824763400.0
11/02/2026,LAFARGEHOLCIM MAROC,LHM,1799.0,1785.0,1800.0,1784.0,5498,9822208.0,33,41824763400.0
10/02/2026,LAFARGEHOLCIM MAROC,LHM,1790.0,1783.0,1804.0,1783.0,5151,9210372.0,28,41777900920.0
09/02/2026,LAFARGEHOLCIM MAROC,LHM,1799.0,1792.0,1830.0,1763.0,3174,5706594.0,30,41988782080.0
06/02/2026,LAFARGEHOLCIM MAROC,LHM,1790.0,1799.0,1799.0,1762.0,7603,13472180.0,57,42152800760.0
05/02/2026,LAFARGEHOLCIM MAROC,LHM,1806.0,1762.0,1806.0,1762.0,1117,1972213.0,88,41285844880.0
04/02/2026,LAFARGEHOLCIM MAROC,LHM,1808.0,1799.0,1814.0,1786.0,4594,8269358.0,34,42152800760.0
03/02/2026,LAFARGEHOLCIM MAROC,LHM,1827.0,1775.0,1827.0,1775.0,3066,5497076.0,65,41590451000.0
02/02/2026,LAFARGEHOLCIM MAROC,LHM,1830.0,1800.0,1830.0,1800.0,1789,3223927.0,71,42176232000.0
30/01/2026,LAFARGEHOLCIM MAROC,LHM,1808.0,1806.0,1841.0,1800.0,4387,7921214.0,66,42316819440.0
29/01/2026,LAFARGEHOLCIM MAROC,LHM,1801.0,1811.0,1840.0,1801.0,2656,4814505.0,49,42433975640.0
28/01/2026,LAFARGEHOLCIM MAROC,LHM,1821.0,1820.0,1840.0,1820.0,2640,4813282.0,35,42644856800.0
27/01/2026,LAFARGEHOLCIM MAROC,LHM,1810.0,1820.0,1830.0,1810.0,5359,9753674.0,18,42644856800.0
26/01/2026,LAFARGEHOLCIM MAROC,LHM,1830.0,1801.0,1840.0,1801.0,2485,4537326.0,39,42199663240.0
23/01/2026,LAFARGEHOLCIM MAROC,LHM,1862.0,1830.0,1862.0,1830.0,11673,21364119.0,49,42879169200.0
22/01/2026,LAFARGEHOLCIM MAROC,LHM,1843.0,1844.0,1850.0,1820.0,3224,5875483.0,35,43207206560.0
21/01/2026,LAFARGEHOLCIM MAROC,LHM,1845.0,1820.0,1845.0,1815.0,1375,2498027.0,37,42644856800.0
20/01/2026,LAFARGEHOLCIM MAROC,LHM,1866.0,1820.0,1866.0,1820.0,7043,12822447.0,49,42644856800.0
19/01/2026,LAFARGEHOLCIM MAROC,LHM,1877.0,1807.0,1877.0,1807.0,5532,10082840.0,57,42340250680.0
16/01/2026,LAFARGEHOLCIM MAROC,LHM,1878.0,1849.0,1878.0,1849.0,8794,16284989.0,77,43324362760.0
