Séance,Instrument,Ticker,Ouverture,Dernier_Cours,haut_du_jour,bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
03/06/2026,LESIEUR CRISTAL,LES,350.0,350.0,350.0,350.0,106,37100.0,6,9671028500.0
02/06/2026,LESIEUR CRISTAL,LES,350.0,350.0,350.0,350.0,111,38850.0,5,9671028500.0
01/06/2026,LESIEUR CRISTAL,LES,365.0,350.0,365.0,350.0,33,11835.0,8,9671028500.0
26/05/2026,LESIEUR CRISTAL,LES,360.0,360.0,360.0,360.0,13,4680.0,3,9947343600.0
25/05/2026,LESIEUR CRISTAL,LES,351.0,365.0,365.0,350.0,97,34662.0,8,10085501150.0
22/05/2026,LESIEUR CRISTAL,LES,375.0,348.1,375.0,348.1,127,46279.9,11,9618528631.0
21/05/2026,LESIEUR CRISTAL,LES,-,363.0,-,-,-,-,-,10030238130.0
20/05/2026,LESIEUR CRISTAL,LES,360.0,363.0,363.0,357.0,24,8607.0,5,10030238130.0
19/05/2026,LESIEUR CRISTAL,LES,380.0,360.0,380.0,360.0,11,3980.0,4,9947343600.0
18/05/2026,LESIEUR CRISTAL,LES,378.0,353.0,378.0,353.0,145,52423.0,12,9753923030.0
15/05/2026,LESIEUR CRISTAL,LES,380.0,350.0,380.0,350.0,64,22520.0,8,9671028500.0
14/05/2026,LESIEUR CRISTAL,LES,388.95,375.0,388.95,375.0,31,11707.75,3,10361816250.0
13/05/2026,LESIEUR CRISTAL,LES,374.0,373.0,375.0,372.0,57,21292.9,11,10306553230.0
12/05/2026,LESIEUR CRISTAL,LES,373.0,373.0,373.0,373.0,30,11190.0,6,10306553230.0
11/05/2026,LESIEUR CRISTAL,LES,372.55,372.55,372.55,372.55,3,1117.65,3,10294119050.5
08/05/2026,LESIEUR CRISTAL,LES,400.0,375.0,400.0,375.0,90,35000.0,11,10361816250.0
07/05/2026,LESIEUR CRISTAL,LES,399.5,374.0,399.5,374.0,77,29326.5,9,10334184740.0
06/05/2026,LESIEUR CRISTAL,LES,386.0,395.0,395.0,386.0,238,93149.0,6,10914446450.0
05/05/2026,LESIEUR CRISTAL,LES,390.0,385.0,390.0,385.0,900,346530.0,5,10638131350.0
04/05/2026,LESIEUR CRISTAL,LES,392.0,390.0,392.0,390.0,10,3910.0,3,10776288900.0
30/04/2026,LESIEUR CRISTAL,LES,380.0,380.0,380.0,375.0,29,10920.0,5,10499973800.0
29/04/2026,LESIEUR CRISTAL,LES,380.0,373.0,380.0,373.0,269,101208.1,18,10306553230.0
28/04/2026,LESIEUR CRISTAL,LES,393.0,380.0,393.0,377.0,59,22681.0,10,10499973800.0
27/04/2026,LESIEUR CRISTAL,LES,378.5,381.0,397.9,375.0,448,169285.25,23,10527605310.0
24/04/2026,LESIEUR CRISTAL,LES,392.0,377.0,401.95,372.0,670,256496.5,32,10417079270.0
23/04/2026,LESIEUR CRISTAL,LES,392.1,389.0,393.05,370.0,343,132655.65,32,10748657390.0
22/04/2026,LESIEUR CRISTAL,LES,-,398.0,-,-,-,-,-,10997340980.0
21/04/2026,LESIEUR CRISTAL,LES,398.0,398.0,398.0,398.0,10,3980.0,1,10997340980.0
20/04/2026,LESIEUR CRISTAL,LES,416.95,416.75,416.95,405.0,437,181199.45,20,11515431792.5
17/04/2026,LESIEUR CRISTAL,LES,392.0,392.0,392.0,392.0,112,43904.0,8,10831551920.0
16/04/2026,LESIEUR CRISTAL,LES,417.0,417.0,417.0,417.0,10,4170.0,1,11522339670.0
15/04/2026,LESIEUR CRISTAL,LES,405.0,417.0,417.0,390.0,694,289207.4,13,11522339670.0
14/04/2026,LESIEUR CRISTAL,LES,400.0,403.0,404.0,400.0,8,3218.0,3,11135498530.0
13/04/2026,LESIEUR CRISTAL,LES,400.0,392.0,400.0,392.0,67,26645.55,7,10831551920.0
10/04/2026,LESIEUR CRISTAL,LES,400.0,392.5,401.2,392.5,429,168610.4,16,10845367675.0
09/04/2026,LESIEUR CRISTAL,LES,417.0,391.3,418.0,391.3,389,159709.45,12,10812209863.0
08/04/2026,LESIEUR CRISTAL,LES,418.0,418.0,418.0,418.0,25,10450.0,4,11549971180.0
07/04/2026,LESIEUR CRISTAL,LES,415.0,415.0,415.0,391.0,96,39816.0,6,11467076650.0
06/04/2026,LESIEUR CRISTAL,LES,418.95,415.0,418.95,415.0,57,23857.5,6,11467076650.0
03/04/2026,LESIEUR CRISTAL,LES,418.0,390.0,418.0,390.0,97,39071.0,8,10776288900.0
02/04/2026,LESIEUR CRISTAL,LES,418.95,418.95,418.95,418.9,118,49435.6,5,11576221114.5
01/04/2026,LESIEUR CRISTAL,LES,407.0,419.0,419.0,407.0,62,25918.0,5,11577602690.0
31/03/2026,LESIEUR CRISTAL,LES,405.2,420.0,420.0,405.2,465,194413.5,13,11605234200.0
30/03/2026,LESIEUR CRISTAL,LES,401.0,424.95,424.95,401.0,465,197283.75,14,11742010174.5
27/03/2026,LESIEUR CRISTAL,LES,415.0,425.0,425.0,407.0,82312,34979265.0,27,11743391750.0
26/03/2026,LESIEUR CRISTAL,LES,410.0,425.0,425.0,384.0,2737,1156579.8,43,11743391750.0
25/03/2026,LESIEUR CRISTAL,LES,363.0,420.0,420.0,363.0,2043,852745.0,28,11605234200.0
24/03/2026,LESIEUR CRISTAL,LES,345.0,386.0,386.0,345.0,3457,1333828.0,19,10665762860.0
19/03/2026,LESIEUR CRISTAL,LES,366.0,355.0,366.0,355.0,355,126630.0,4,9809186050.0
18/03/2026,LESIEUR CRISTAL,LES,350.0,365.0,365.0,350.0,102,37050.0,6,10085501150.0
17/03/2026,LESIEUR CRISTAL,LES,350.5,350.0,350.5,350.0,21,7360.0,5,9671028500.0
16/03/2026,LESIEUR CRISTAL,LES,369.9,343.0,369.9,343.0,60,21692.5,8,9477607930.0
13/03/2026,LESIEUR CRISTAL,LES,340.5,369.0,369.0,340.5,2510,925905.0,17,10196027190.0
12/03/2026,LESIEUR CRISTAL,LES,350.0,350.0,350.0,350.0,40,14000.0,2,9671028500.0
11/03/2026,LESIEUR CRISTAL,LES,368.95,368.95,368.95,368.95,220,81169.0,7,10194645614.5
10/03/2026,LESIEUR CRISTAL,LES,360.0,364.0,364.0,347.0,505,183335.0,14,10057869640.0
09/03/2026,LESIEUR CRISTAL,LES,352.9,349.0,352.9,343.0,77,27035.3,9,9643396990.0
06/03/2026,LESIEUR CRISTAL,LES,353.0,330.0,353.0,330.0,1047,351678.0,27,9118398300.0
05/03/2026,LESIEUR CRISTAL,LES,315.0,320.95,320.95,315.0,40,12706.4,12,8868333134.5
04/03/2026,LESIEUR CRISTAL,LES,291.8,291.8,291.8,291.8,697,203384.6,24,8062874618.0
03/03/2026,LESIEUR CRISTAL,LES,333.05,324.2,333.2,324.2,155,51266.05,16,8958135542.0
02/03/2026,LESIEUR CRISTAL,LES,350.0,360.0,364.0,350.0,166,59754.0,9,9947343600.0
27/02/2026,LESIEUR CRISTAL,LES,365.0,365.0,365.0,365.0,687,250755.0,14,10085501150.0
26/02/2026,LESIEUR CRISTAL,LES,362.0,360.0,362.0,336.0,19,6730.0,5,9947343600.0
25/02/2026,LESIEUR CRISTAL,LES,363.0,362.85,363.0,362.85,311,112865.3,12,10026093403.5
24/02/2026,LESIEUR CRISTAL,LES,334.0,360.0,360.0,334.0,70,24428.0,8,9947343600.0
