Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
17/03/2026,M2M Group,M2M,-,421.2,-,-,-,-,-,272843672.4
16/03/2026,M2M Group,M2M,-,421.2,-,-,-,-,-,272843672.4
13/03/2026,M2M Group,M2M,-,421.2,-,-,-,-,-,272843672.4
12/03/2026,M2M Group,M2M,-,421.2,-,-,-,-,-,272843672.4
11/03/2026,M2M Group,M2M,459.0,421.2,459.0,420.1,201,88849.3,10,272843672.4
10/03/2026,M2M Group,M2M,433.95,433.0,433.95,433.0,131,56827.9,8,280487441.0
09/03/2026,M2M Group,M2M,401.05,397.05,435.0,394.25,76,30095.7,8,257199857.85
06/03/2026,M2M Group,M2M,439.9,438.0,439.9,438.0,52,22836.8,5,283726326.0
05/03/2026,M2M Group,M2M,-,400.0,-,-,-,-,-,259110800.0
04/03/2026,M2M Group,M2M,400.0,400.0,400.0,400.0,150,60000.0,6,259110800.0
03/03/2026,M2M Group,M2M,401.5,400.0,430.0,400.0,203,83671.1,14,259110800.0
02/03/2026,M2M Group,M2M,442.15,420.0,442.15,420.0,191,81779.75,18,272066340.0
27/02/2026,M2M Group,M2M,442.15,446.0,446.5,442.15,154,68328.65,12,288908542.0
26/02/2026,M2M Group,M2M,-,463.75,-,-,-,-,-,300406583.75
25/02/2026,M2M Group,M2M,445.15,463.75,463.75,445.15,27,12037.65,3,300406583.75
24/02/2026,M2M Group,M2M,467.0,467.0,467.0,467.0,7,3269.0,2,302511859.0
23/02/2026,M2M Group,M2M,471.95,472.0,472.0,471.95,100,47199.6,2,305750744.0
20/02/2026,M2M Group,M2M,468.95,468.95,468.95,468.95,12,5627.4,2,303775024.15
19/02/2026,M2M Group,M2M,427.0,427.0,427.0,427.0,40,17080.0,5,276600779.0
18/02/2026,M2M Group,M2M,-,451.0,-,-,-,-,-,292147427.0
17/02/2026,M2M Group,M2M,-,451.0,-,-,-,-,-,292147427.0
16/02/2026,M2M Group,M2M,-,451.0,-,-,-,-,-,292147427.0
13/02/2026,M2M Group,M2M,450.1,451.0,451.0,450.1,41,18455.0,6,292147427.0
12/02/2026,M2M Group,M2M,451.25,451.5,451.5,451.2,64,28882.0,6,292471315.5
11/02/2026,M2M Group,M2M,-,450.0,-,-,-,-,-,291499650.0
10/02/2026,M2M Group,M2M,469.5,450.0,469.5,450.0,32,14965.5,6,291499650.0
09/02/2026,M2M Group,M2M,-,467.95,-,-,-,-,-,303127247.15
06/02/2026,M2M Group,M2M,467.95,467.95,467.95,467.95,15,7019.25,3,303127247.15
05/02/2026,M2M Group,M2M,453.25,452.5,455.0,452.5,128,58002.95,12,293119092.5
04/02/2026,M2M Group,M2M,454.0,454.0,454.0,454.0,4,1816.0,1,294090758.0
03/02/2026,M2M Group,M2M,452.5,454.0,458.0,452.5,151,68638.25,10,294090758.0
02/02/2026,M2M Group,M2M,469.9,455.0,469.9,455.0,35,16149.5,7,294738535.0
30/01/2026,M2M Group,M2M,-,469.75,-,-,-,-,-,304293245.75
29/01/2026,M2M Group,M2M,469.0,469.75,469.75,469.0,3,1408.5,2,304293245.75
28/01/2026,M2M Group,M2M,-,469.75,-,-,-,-,-,304293245.75
27/01/2026,M2M Group,M2M,465.0,469.75,469.75,450.0,136,61659.55,8,304293245.75
26/01/2026,M2M Group,M2M,475.0,466.0,475.0,465.0,65,30731.0,10,301864082.0
23/01/2026,M2M Group,M2M,475.0,475.0,475.0,475.0,63,29925.0,6,307694075.0
22/01/2026,M2M Group,M2M,456.6,456.8,456.8,456.6,6,2740.2,2,295904533.6
21/01/2026,M2M Group,M2M,460.0,456.5,460.0,456.5,20,9133.5,2,295710200.5
20/01/2026,M2M Group,M2M,479.8,465.0,479.8,465.0,85,40138.2,7,301216305.0
19/01/2026,M2M Group,M2M,487.8,463.0,487.8,456.0,361,167837.85,17,299920751.0
16/01/2026,M2M Group,M2M,465.0,451.0,465.0,446.0,54,24318.5,13,292147427.0
15/01/2026,M2M Group,M2M,480.0,465.0,480.0,465.0,125,58783.0,13,301216305.0
13/01/2026,M2M Group,M2M,487.05,487.0,487.5,487.0,119,57958.35,10,315467399.0
12/01/2026,M2M Group,M2M,505.0,491.0,505.0,491.0,102,50407.8,19,318058507.0
09/01/2026,M2M Group,M2M,473.1,503.9,504.9,473.1,264,130737.15,31,326414830.3
08/01/2026,M2M Group,M2M,455.2,487.5,497.9,455.2,227,106849.95,18,315791287.5
07/01/2026,M2M Group,M2M,456.0,460.0,463.0,455.1,275,126572.3,10,297977420.0
06/01/2026,M2M Group,M2M,455.0,465.0,465.0,455.0,30,13910.0,6,301216305.0
17/03/2026,M2M Group,M2M,-,421.2,-,-,-,-,-,272843672.4
16/03/2026,M2M Group,M2M,-,421.2,-,-,-,-,-,272843672.4
13/03/2026,M2M Group,M2M,-,421.2,-,-,-,-,-,272843672.4
12/03/2026,M2M Group,M2M,-,421.2,-,-,-,-,-,272843672.4
11/03/2026,M2M Group,M2M,459.0,421.2,459.0,420.1,201,88849.3,10,272843672.4
10/03/2026,M2M Group,M2M,433.95,433.0,433.95,433.0,131,56827.9,8,280487441.0
09/03/2026,M2M Group,M2M,401.05,397.05,435.0,394.25,76,30095.7,8,257199857.85
06/03/2026,M2M Group,M2M,439.9,438.0,439.9,438.0,52,22836.8,5,283726326.0
05/03/2026,M2M Group,M2M,-,400.0,-,-,-,-,-,259110800.0
04/03/2026,M2M Group,M2M,400.0,400.0,400.0,400.0,150,60000.0,6,259110800.0
03/03/2026,M2M Group,M2M,401.5,400.0,430.0,400.0,203,83671.1,14,259110800.0
02/03/2026,M2M Group,M2M,442.15,420.0,442.15,420.0,191,81779.75,18,272066340.0
