Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
17/03/2026,MAGHREB OXYGENE,MOX,380.05,396.0,396.9,380.05,4,1553.0,3,321750000.0
16/03/2026,MAGHREB OXYGENE,MOX,397.95,397.95,397.95,397.95,1,397.95,1,323334375.0
13/03/2026,MAGHREB OXYGENE,MOX,398.3,398.3,398.3,398.3,3,1194.9,2,323618750.0
12/03/2026,MAGHREB OXYGENE,MOX,399.0,398.45,399.0,380.1,45,17575.35,7,323740625.0
11/03/2026,MAGHREB OXYGENE,MOX,399.45,395.0,399.45,395.0,20,7922.25,5,320937500.0
10/03/2026,MAGHREB OXYGENE,MOX,381.0,380.0,381.0,380.0,49,18631.5,5,308750000.0
09/03/2026,MAGHREB OXYGENE,MOX,380.55,380.55,380.55,380.55,4,1522.2,2,309196875.0
06/03/2026,MAGHREB OXYGENE,MOX,404.9,404.9,404.9,404.9,90,36441.0,6,328981250.0
05/03/2026,MAGHREB OXYGENE,MOX,391.0,400.0,400.0,390.0,46,18296.95,8,325000000.0
04/03/2026,MAGHREB OXYGENE,MOX,380.0,395.95,395.95,380.0,13,5131.4,3,321709375.0
03/03/2026,MAGHREB OXYGENE,MOX,377.0,360.0,377.0,360.0,111,40237.0,9,292500000.0
02/03/2026,MAGHREB OXYGENE,MOX,377.0,377.0,389.0,360.0,209,76608.9,15,306312500.0
27/02/2026,MAGHREB OXYGENE,MOX,395.0,390.0,395.0,390.0,6,2363.0,3,316875000.0
26/02/2026,MAGHREB OXYGENE,MOX,395.0,395.0,400.0,395.0,18,7155.0,5,320937500.0
25/02/2026,MAGHREB OXYGENE,MOX,-,398.85,-,-,-,-,-,324065625.0
24/02/2026,MAGHREB OXYGENE,MOX,-,398.85,-,-,-,-,-,324065625.0
23/02/2026,MAGHREB OXYGENE,MOX,379.0,398.85,398.85,379.0,9,3430.85,4,324065625.0
20/02/2026,MAGHREB OXYGENE,MOX,-,399.0,-,-,-,-,-,324187500.0
19/02/2026,MAGHREB OXYGENE,MOX,-,399.0,-,-,-,-,-,324187500.0
18/02/2026,MAGHREB OXYGENE,MOX,399.0,399.0,399.0,399.0,2,798.0,1,324187500.0
17/02/2026,MAGHREB OXYGENE,MOX,-,400.0,-,-,-,-,-,325000000.0
16/02/2026,MAGHREB OXYGENE,MOX,400.0,400.0,400.0,400.0,1,400.0,1,325000000.0
13/02/2026,MAGHREB OXYGENE,MOX,399.9,399.95,399.95,399.9,5,1999.55,2,324959375.0
12/02/2026,MAGHREB OXYGENE,MOX,399.9,399.9,399.9,399.9,3,1199.7,1,324918750.0
11/02/2026,MAGHREB OXYGENE,MOX,385.0,399.9,399.9,381.1,18,6957.7,4,324918750.0
10/02/2026,MAGHREB OXYGENE,MOX,399.95,391.0,399.95,391.0,33,13064.1,5,317687500.0
09/02/2026,MAGHREB OXYGENE,MOX,399.95,399.95,400.0,399.0,71,28392.75,14,324959375.0
06/02/2026,MAGHREB OXYGENE,MOX,379.0,381.0,382.0,379.0,45,17135.5,5,309562500.0
05/02/2026,MAGHREB OXYGENE,MOX,390.0,397.9,397.9,379.0,28,10760.9,7,323293750.0
04/02/2026,MAGHREB OXYGENE,MOX,-,399.85,-,-,-,-,-,324878125.0
03/02/2026,MAGHREB OXYGENE,MOX,388.0,399.85,399.85,388.0,12,4715.25,3,324878125.0
02/02/2026,MAGHREB OXYGENE,MOX,367.0,399.95,399.95,367.0,111,41989.1,12,324959375.0
