Séance,Instrument,Ticker,Ouverture,Dernier_Cours,haut_du_jour,bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
09/04/2026,MAROC LEASING,MLE,368.95,368.95,368.95,368.95,3,1106.85,1,1024488553.6
08/04/2026,MAROC LEASING,MLE,-,348.1,-,-,-,-,-,966592940.8
07/04/2026,MAROC LEASING,MLE,-,348.1,-,-,-,-,-,966592940.8
06/04/2026,MAROC LEASING,MLE,348.1,348.1,348.1,348.1,14,4873.4,2,966592940.8
03/04/2026,MAROC LEASING,MLE,348.0,348.0,348.0,348.0,30,10440.0,4,966315264.0
02/04/2026,MAROC LEASING,MLE,-,350.0,-,-,-,-,-,971868800.0
01/04/2026,MAROC LEASING,MLE,-,350.0,-,-,-,-,-,971868800.0
31/03/2026,MAROC LEASING,MLE,-,350.0,-,-,-,-,-,971868800.0
30/03/2026,MAROC LEASING,MLE,-,350.0,-,-,-,-,-,971868800.0
27/03/2026,MAROC LEASING,MLE,-,350.0,-,-,-,-,-,971868800.0
26/03/2026,MAROC LEASING,MLE,-,350.0,-,-,-,-,-,971868800.0
25/03/2026,MAROC LEASING,MLE,350.0,350.0,350.0,350.0,35,12250.0,1,971868800.0
24/03/2026,MAROC LEASING,MLE,350.0,350.0,350.0,350.0,7,2450.0,1,971868800.0
19/03/2026,MAROC LEASING,MLE,-,345.0,-,-,-,-,-,957984960.0
18/03/2026,MAROC LEASING,MLE,-,345.0,-,-,-,-,-,957984960.0
17/03/2026,MAROC LEASING,MLE,-,345.0,-,-,-,-,-,957984960.0
16/03/2026,MAROC LEASING,MLE,-,345.0,-,-,-,-,-,957984960.0
13/03/2026,MAROC LEASING,MLE,-,345.0,-,-,-,-,-,957984960.0
12/03/2026,MAROC LEASING,MLE,345.0,345.0,345.0,345.0,34,11730.0,6,957984960.0
11/03/2026,MAROC LEASING,MLE,360.0,360.0,360.0,360.0,5,1800.0,1,999636480.0
10/03/2026,MAROC LEASING,MLE,357.0,357.0,357.0,357.0,4,1428.0,1,991306176.0
09/03/2026,MAROC LEASING,MLE,357.0,357.0,357.0,357.0,25,8925.0,1,991306176.0
06/03/2026,MAROC LEASING,MLE,357.0,357.0,357.0,357.0,100,35700.0,3,991306176.0
05/03/2026,MAROC LEASING,MLE,-,337.0,-,-,-,-,-,935770816.0
04/03/2026,MAROC LEASING,MLE,-,337.0,-,-,-,-,-,935770816.0
03/03/2026,MAROC LEASING,MLE,-,337.0,-,-,-,-,-,935770816.0
02/03/2026,MAROC LEASING,MLE,337.0,337.0,337.0,337.0,108,36396.0,6,935770816.0
27/02/2026,MAROC LEASING,MLE,355.0,355.0,355.0,355.0,1,355.0,1,985752640.0
26/02/2026,MAROC LEASING,MLE,-,353.05,-,-,-,-,-,980337942.4
25/02/2026,MAROC LEASING,MLE,-,353.05,-,-,-,-,-,980337942.4
24/02/2026,MAROC LEASING,MLE,-,353.05,-,-,-,-,-,980337942.4
23/02/2026,MAROC LEASING,MLE,-,353.05,-,-,-,-,-,980337942.4
20/02/2026,MAROC LEASING,MLE,-,353.05,-,-,-,-,-,980337942.4
19/02/2026,MAROC LEASING,MLE,353.05,353.05,353.05,353.05,23,8120.15,2,980337942.4
18/02/2026,MAROC LEASING,MLE,-,374.65,-,-,-,-,-,1040316131.2
17/02/2026,MAROC LEASING,MLE,-,374.65,-,-,-,-,-,1040316131.2
16/02/2026,MAROC LEASING,MLE,-,374.65,-,-,-,-,-,1040316131.2
13/02/2026,MAROC LEASING,MLE,374.65,374.65,374.65,374.65,3,1123.95,2,1040316131.2
12/02/2026,MAROC LEASING,MLE,-,371.0,-,-,-,-,-,1030180928.0
11/02/2026,MAROC LEASING,MLE,371.0,371.0,371.0,371.0,13,4823.0,2,1030180928.0
10/02/2026,MAROC LEASING,MLE,-,371.0,-,-,-,-,-,1030180928.0
09/02/2026,MAROC LEASING,MLE,371.0,371.0,371.0,371.0,17,6307.0,3,1030180928.0
06/02/2026,MAROC LEASING,MLE,370.95,370.95,370.95,370.95,50,18547.5,4,1030042089.6
05/02/2026,MAROC LEASING,MLE,350.0,350.0,350.0,350.0,13,4550.0,3,971868800.0
04/02/2026,MAROC LEASING,MLE,359.0,359.0,359.0,359.0,1,359.0,1,996859712.0
03/02/2026,MAROC LEASING,MLE,359.0,359.0,359.0,359.0,1,359.0,1,996859712.0
02/02/2026,MAROC LEASING,MLE,-,376.9,-,-,-,-,-,1046563859.2
30/01/2026,MAROC LEASING,MLE,376.9,376.9,376.9,376.9,5,1884.5,2,1046563859.2
29/01/2026,MAROC LEASING,MLE,377.9,377.9,377.9,377.9,5,1889.5,2,1049340627.2
28/01/2026,MAROC LEASING,MLE,-,378.0,-,-,-,-,-,1049618304.0
27/01/2026,MAROC LEASING,MLE,378.0,378.0,378.0,378.0,5,1890.0,2,1049618304.0
26/01/2026,MAROC LEASING,MLE,-,379.5,-,-,-,-,-,1053783456.0
23/01/2026,MAROC LEASING,MLE,379.5,379.5,379.5,379.5,4,1518.0,2,1053783456.0
22/01/2026,MAROC LEASING,MLE,379.5,379.5,379.5,379.5,1,379.5,1,1053783456.0
21/01/2026,MAROC LEASING,MLE,-,374.9,-,-,-,-,-,1041010323.2
20/01/2026,MAROC LEASING,MLE,374.9,374.9,374.9,374.9,1,374.9,1,1041010323.2
19/01/2026,MAROC LEASING,MLE,379.5,379.5,379.5,379.5,4,1518.0,4,1053783456.0
16/01/2026,MAROC LEASING,MLE,378.0,378.0,378.0,378.0,2,756.0,1,1049618304.0
15/01/2026,MAROC LEASING,MLE,-,361.0,-,-,-,-,-,1002413248.0
13/01/2026,MAROC LEASING,MLE,-,361.0,-,-,-,-,-,1002413248.0
12/01/2026,MAROC LEASING,MLE,-,361.0,-,-,-,-,-,1002413248.0
09/01/2026,MAROC LEASING,MLE,-,361.0,-,-,-,-,-,1002413248.0
08/01/2026,MAROC LEASING,MLE,361.0,361.0,361.0,361.0,6,2166.0,2,1002413248.0
07/01/2026,MAROC LEASING,MLE,-,380.5,-,-,-,-,-,1056560224.0
06/01/2026,MAROC LEASING,MLE,380.5,380.5,380.5,380.5,103,39191.5,8,1056560224.0
17/03/2026,MAROC LEASING,MLE,-,345.0,-,-,-,-,-,957984960.0
16/03/2026,MAROC LEASING,MLE,-,345.0,-,-,-,-,-,957984960.0
13/03/2026,MAROC LEASING,MLE,-,345.0,-,-,-,-,-,957984960.0
12/03/2026,MAROC LEASING,MLE,345.0,345.0,345.0,345.0,34,11730.0,6,957984960.0
11/03/2026,MAROC LEASING,MLE,360.0,360.0,360.0,360.0,5,1800.0,1,999636480.0
10/03/2026,MAROC LEASING,MLE,357.0,357.0,357.0,357.0,4,1428.0,1,991306176.0
09/03/2026,MAROC LEASING,MLE,357.0,357.0,357.0,357.0,25,8925.0,1,991306176.0
06/03/2026,MAROC LEASING,MLE,357.0,357.0,357.0,357.0,100,35700.0,3,991306176.0
05/03/2026,MAROC LEASING,MLE,-,337.0,-,-,-,-,-,935770816.0
04/03/2026,MAROC LEASING,MLE,-,337.0,-,-,-,-,-,935770816.0
03/03/2026,MAROC LEASING,MLE,-,337.0,-,-,-,-,-,935770816.0
02/03/2026,MAROC LEASING,MLE,337.0,337.0,337.0,337.0,108,36396.0,6,935770816.0
27/02/2026,MAROC LEASING,MLE,355.0,355.0,355.0,355.0,1,355.0,1,985752640.0
26/02/2026,MAROC LEASING,MLE,-,353.05,-,-,-,-,-,980337942.4
25/02/2026,MAROC LEASING,MLE,-,353.05,-,-,-,-,-,980337942.4
24/02/2026,MAROC LEASING,MLE,-,353.05,-,-,-,-,-,980337942.4
23/02/2026,MAROC LEASING,MLE,-,353.05,-,-,-,-,-,980337942.4
20/02/2026,MAROC LEASING,MLE,-,353.05,-,-,-,-,-,980337942.4
19/02/2026,MAROC LEASING,MLE,353.05,353.05,353.05,353.05,23,8120.15,2,980337942.4
18/02/2026,MAROC LEASING,MLE,-,374.65,-,-,-,-,-,1040316131.2
17/02/2026,MAROC LEASING,MLE,-,374.65,-,-,-,-,-,1040316131.2
16/02/2026,MAROC LEASING,MLE,-,374.65,-,-,-,-,-,1040316131.2
13/02/2026,MAROC LEASING,MLE,374.65,374.65,374.65,374.65,3,1123.95,2,1040316131.2
12/02/2026,MAROC LEASING,MLE,-,371.0,-,-,-,-,-,1030180928.0
11/02/2026,MAROC LEASING,MLE,371.0,371.0,371.0,371.0,13,4823.0,2,1030180928.0
10/02/2026,MAROC LEASING,MLE,-,371.0,-,-,-,-,-,1030180928.0
09/02/2026,MAROC LEASING,MLE,371.0,371.0,371.0,371.0,17,6307.0,3,1030180928.0
06/02/2026,MAROC LEASING,MLE,370.95,370.95,370.95,370.95,50,18547.5,4,1030042089.6
05/02/2026,MAROC LEASING,MLE,350.0,350.0,350.0,350.0,13,4550.0,3,971868800.0
04/02/2026,MAROC LEASING,MLE,359.0,359.0,359.0,359.0,1,359.0,1,996859712.0
03/02/2026,MAROC LEASING,MLE,359.0,359.0,359.0,359.0,1,359.0,1,996859712.0
02/02/2026,MAROC LEASING,MLE,-,376.9,-,-,-,-,-,1046563859.2
30/01/2026,MAROC LEASING,MLE,376.9,376.9,376.9,376.9,5,1884.5,2,1046563859.2
29/01/2026,MAROC LEASING,MLE,377.9,377.9,377.9,377.9,5,1889.5,2,1049340627.2
28/01/2026,MAROC LEASING,MLE,-,378.0,-,-,-,-,-,1049618304.0
27/01/2026,MAROC LEASING,MLE,378.0,378.0,378.0,378.0,5,1890.0,2,1049618304.0
26/01/2026,MAROC LEASING,MLE,-,379.5,-,-,-,-,-,1053783456.0
23/01/2026,MAROC LEASING,MLE,379.5,379.5,379.5,379.5,4,1518.0,2,1053783456.0
22/01/2026,MAROC LEASING,MLE,379.5,379.5,379.5,379.5,1,379.5,1,1053783456.0
21/01/2026,MAROC LEASING,MLE,-,374.9,-,-,-,-,-,1041010323.2
20/01/2026,MAROC LEASING,MLE,374.9,374.9,374.9,374.9,1,374.9,1,1041010323.2
19/01/2026,MAROC LEASING,MLE,379.5,379.5,379.5,379.5,4,1518.0,4,1053783456.0
16/01/2026,MAROC LEASING,MLE,378.0,378.0,378.0,378.0,2,756.0,1,1049618304.0
15/01/2026,MAROC LEASING,MLE,-,361.0,-,-,-,-,-,1002413248.0
13/01/2026,MAROC LEASING,MLE,-,361.0,-,-,-,-,-,1002413248.0
12/01/2026,MAROC LEASING,MLE,-,361.0,-,-,-,-,-,1002413248.0
09/01/2026,MAROC LEASING,MLE,-,361.0,-,-,-,-,-,1002413248.0
08/01/2026,MAROC LEASING,MLE,361.0,361.0,361.0,361.0,6,2166.0,2,1002413248.0
07/01/2026,MAROC LEASING,MLE,-,380.5,-,-,-,-,-,1056560224.0
06/01/2026,MAROC LEASING,MLE,380.5,380.5,380.5,380.5,103,39191.5,8,1056560224.0
17/03/2026,MAROC LEASING,MLE,-,345.0,-,-,-,-,-,957984960.0
16/03/2026,MAROC LEASING,MLE,-,345.0,-,-,-,-,-,957984960.0
13/03/2026,MAROC LEASING,MLE,-,345.0,-,-,-,-,-,957984960.0
12/03/2026,MAROC LEASING,MLE,345.0,345.0,345.0,345.0,34,11730.0,6,957984960.0
11/03/2026,MAROC LEASING,MLE,360.0,360.0,360.0,360.0,5,1800.0,1,999636480.0
10/03/2026,MAROC LEASING,MLE,357.0,357.0,357.0,357.0,4,1428.0,1,991306176.0
09/03/2026,MAROC LEASING,MLE,357.0,357.0,357.0,357.0,25,8925.0,1,991306176.0
06/03/2026,MAROC LEASING,MLE,357.0,357.0,357.0,357.0,100,35700.0,3,991306176.0
05/03/2026,MAROC LEASING,MLE,-,337.0,-,-,-,-,-,935770816.0
04/03/2026,MAROC LEASING,MLE,-,337.0,-,-,-,-,-,935770816.0
03/03/2026,MAROC LEASING,MLE,-,337.0,-,-,-,-,-,935770816.0
02/03/2026,MAROC LEASING,MLE,337.0,337.0,337.0,337.0,108,36396.0,6,935770816.0
27/02/2026,MAROC LEASING,MLE,355.0,355.0,355.0,355.0,1,355.0,1,985752640.0
26/02/2026,MAROC LEASING,MLE,-,353.05,-,-,-,-,-,980337942.4
25/02/2026,MAROC LEASING,MLE,-,353.05,-,-,-,-,-,980337942.4
24/02/2026,MAROC LEASING,MLE,-,353.05,-,-,-,-,-,980337942.4
23/02/2026,MAROC LEASING,MLE,-,353.05,-,-,-,-,-,980337942.4
20/02/2026,MAROC LEASING,MLE,-,353.05,-,-,-,-,-,980337942.4
19/02/2026,MAROC LEASING,MLE,353.05,353.05,353.05,353.05,23,8120.15,2,980337942.4
18/02/2026,MAROC LEASING,MLE,-,374.65,-,-,-,-,-,1040316131.2
17/02/2026,MAROC LEASING,MLE,-,374.65,-,-,-,-,-,1040316131.2
16/02/2026,MAROC LEASING,MLE,-,374.65,-,-,-,-,-,1040316131.2
13/02/2026,MAROC LEASING,MLE,374.65,374.65,374.65,374.65,3,1123.95,2,1040316131.2
12/02/2026,MAROC LEASING,MLE,-,371.0,-,-,-,-,-,1030180928.0
11/02/2026,MAROC LEASING,MLE,371.0,371.0,371.0,371.0,13,4823.0,2,1030180928.0
10/02/2026,MAROC LEASING,MLE,-,371.0,-,-,-,-,-,1030180928.0
09/02/2026,MAROC LEASING,MLE,371.0,371.0,371.0,371.0,17,6307.0,3,1030180928.0
06/02/2026,MAROC LEASING,MLE,370.95,370.95,370.95,370.95,50,18547.5,4,1030042089.6
05/02/2026,MAROC LEASING,MLE,350.0,350.0,350.0,350.0,13,4550.0,3,971868800.0
04/02/2026,MAROC LEASING,MLE,359.0,359.0,359.0,359.0,1,359.0,1,996859712.0
21/11/2025,MAROC LEASING,MLE,341.0,341.0,341.0,341.0,5,1705.0,3,946877888.0
20/11/2025,MAROC LEASING,MLE,360.0,360.0,360.0,360.0,10,3600.0,1,999636480.0
19/11/2025,MAROC LEASING,MLE,358.0,358.0,358.0,358.0,4,1432.0,2,994082944.0
17/11/2025,MAROC LEASING,MLE,-,379.8,-,-,-,-,-,1054616486.4
14/11/2025,MAROC LEASING,MLE,-,379.8,-,-,-,-,-,1054616486.4
13/11/2025,MAROC LEASING,MLE,-,379.8,-,-,-,-,-,1054616486.4
12/11/2025,MAROC LEASING,MLE,-,379.8,-,-,-,-,-,1054616486.4
11/11/2025,MAROC LEASING,MLE,-,379.8,-,-,-,-,-,1054616486.4
10/11/2025,MAROC LEASING,MLE,379.8,379.8,379.8,379.8,10,3798.0,2,1054616486.4
07/11/2025,MAROC LEASING,MLE,360.15,360.15,360.15,360.15,8,2881.2,1,1000052995.2
05/11/2025,MAROC LEASING,MLE,-,382.0,-,-,-,-,-,1060725376.0
04/11/2025,MAROC LEASING,MLE,382.0,382.0,382.0,382.0,2,764.0,1,1060725376.0
03/11/2025,MAROC LEASING,MLE,-,377.45,-,-,-,-,-,1048091081.6
31/10/2025,MAROC LEASING,MLE,377.45,377.45,377.45,377.45,32,12078.4,3,1048091081.6
30/10/2025,MAROC LEASING,MLE,356.1,356.1,356.1,356.1,183,65166.3,16,988807084.8
29/10/2025,MAROC LEASING,MLE,365.75,365.75,365.75,365.75,2,731.5,1,1015602896.0
28/10/2025,MAROC LEASING,MLE,382.0,382.0,382.0,382.0,1,382.0,1,1060725376.0
27/10/2025,MAROC LEASING,MLE,365.05,365.05,365.05,365.05,8,2920.4,1,1013659158.4
24/10/2025,MAROC LEASING,MLE,-,379.0,-,-,-,-,-,1052395072.0
23/10/2025,MAROC LEASING,MLE,-,379.0,-,-,-,-,-,1052395072.0
05/01/2026,MAROC LEASING,MLE,380.0,380.0,380.0,380.0,68,25840.0,7,1055171840.0
02/01/2026,MAROC LEASING,MLE,380.9,380.9,380.9,380.9,6,2285.4,3,1057670931.2
31/12/2025,MAROC LEASING,MLE,360.0,360.0,360.0,360.0,2201,792360.0,5,999636480.0
30/12/2025,MAROC LEASING,MLE,-,360.0,-,-,-,-,-,999636480.0
29/12/2025,MAROC LEASING,MLE,-,360.0,-,-,-,-,-,999636480.0
26/12/2025,MAROC LEASING,MLE,-,360.0,-,-,-,-,-,999636480.0
14/10/2025,MAROC LEASING,MLE,356.2,356.2,356.2,356.2,66,23509.2,5,989084761.6
13/10/2025,MAROC LEASING,MLE,347.1,347.1,347.1,347.1,2,694.2,1,963816172.8
10/10/2025,MAROC LEASING,MLE,-,363.0,-,-,-,-,-,1007966784.0
09/10/2025,MAROC LEASING,MLE,-,363.0,-,-,-,-,-,1007966784.0
08/10/2025,MAROC LEASING,MLE,363.0,363.0,363.0,363.0,20,7260.0,1,1007966784.0
07/10/2025,MAROC LEASING,MLE,362.6,362.6,362.6,362.6,14,5076.4,2,1006856076.8
06/10/2025,MAROC LEASING,MLE,-,342.1,-,-,-,-,-,949932332.8
03/10/2025,MAROC LEASING,MLE,342.1,342.1,342.1,342.1,283,96814.3,10,949932332.8
02/10/2025,MAROC LEASING,MLE,355.05,355.05,355.05,355.05,3,1065.15,1,985891478.4
01/10/2025,MAROC LEASING,MLE,356.0,356.0,356.0,356.0,217,77252.0,8,988529408.0
30/09/2025,MAROC LEASING,MLE,366.65,366.65,366.65,366.65,7,2566.55,1,1018101987.2
29/09/2025,MAROC LEASING,MLE,-,390.0,-,-,-,-,-,1082939520.0
26/09/2025,MAROC LEASING,MLE,390.0,390.0,390.0,390.0,3,1170.0,2,1082939520.0
25/09/2025,MAROC LEASING,MLE,-,388.0,-,-,-,-,-,1077385984.0
24/09/2025,MAROC LEASING,MLE,-,388.0,-,-,-,-,-,1077385984.0
23/09/2025,MAROC LEASING,MLE,-,388.0,-,-,-,-,-,1077385984.0
22/09/2025,MAROC LEASING,MLE,388.0,388.0,388.0,388.0,1,388.0,1,1077385984.0
19/09/2025,MAROC LEASING,MLE,381.55,381.55,381.55,381.55,4,1526.2,1,1059475830.4
