Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
13/03/2026,MED PAPER,MDP,24.5,25.2,25.2,24.5,170,4253.2,7,120552339.6
12/03/2026,MED PAPER,MDP,25.9,24.5,25.9,24.5,3580,91477.26,33,117203663.5
11/03/2026,MED PAPER,MDP,24.95,24.5,25.0,24.5,3934,97330.18,26,117203663.5
10/03/2026,MED PAPER,MDP,24.0,24.04,24.89,24.0,3297,79808.12,35,115003104.92
09/03/2026,MED PAPER,MDP,24.5,24.8,24.8,23.8,1004,24203.0,30,118638810.4
06/03/2026,MED PAPER,MDP,25.0,24.5,25.1,24.4,1911,47475.63,32,117203663.5
05/03/2026,MED PAPER,MDP,23.64,24.95,24.95,23.64,2917,72056.96,35,119356383.85
04/03/2026,MED PAPER,MDP,22.0,23.64,23.64,22.0,4402,99804.2,45,113089575.72
03/03/2026,MED PAPER,MDP,22.0,21.5,22.4,21.07,7680,164591.89,80,102852194.5
02/03/2026,MED PAPER,MDP,24.8,23.4,24.8,23.4,10478,248164.5,107,111941458.2
27/02/2026,MED PAPER,MDP,25.81,25.99,25.99,25.0,967,24429.93,19,124331559.77
26/02/2026,MED PAPER,MDP,25.81,26.0,26.0,25.81,269,6951.5,12,124379398.0
25/02/2026,MED PAPER,MDP,26.5,26.0,26.5,26.0,646,17062.99,10,124379398.0
24/02/2026,MED PAPER,MDP,25.82,25.82,25.82,25.82,311,8030.02,11,123518309.86
23/02/2026,MED PAPER,MDP,25.84,25.84,25.84,25.84,51,1317.84,5,123613986.32
20/02/2026,MED PAPER,MDP,26.7,26.0,26.7,25.87,1751,45596.03,20,124379398.0
19/02/2026,MED PAPER,MDP,26.0,26.0,26.0,26.0,1,26.0,1,124379398.0
18/02/2026,MED PAPER,MDP,25.8,26.5,26.5,25.8,1153,29938.17,20,126771309.5
17/02/2026,MED PAPER,MDP,26.55,26.55,26.85,26.0,606,16076.1,15,127010500.65
16/02/2026,MED PAPER,MDP,26.7,26.5,26.7,26.5,1439,38413.5,19,126771309.5
13/02/2026,MED PAPER,MDP,26.75,26.5,26.75,25.72,1229,32163.79,23,126771309.5
12/02/2026,MED PAPER,MDP,26.84,26.5,26.84,26.0,772,20625.0,17,126771309.5
11/02/2026,MED PAPER,MDP,26.0,26.0,26.85,25.15,4070,106784.19,23,124379398.0
10/02/2026,MED PAPER,MDP,25.25,26.0,26.19,25.25,678,17669.74,21,124379398.0
09/02/2026,MED PAPER,MDP,25.0,26.0,26.2,25.0,944,24209.75,32,124379398.0
06/02/2026,MED PAPER,MDP,25.6,25.8,25.99,25.0,1694,42658.81,30,123422633.4
05/02/2026,MED PAPER,MDP,26.0,25.25,26.85,25.22,7162,185556.88,64,120791530.75
04/02/2026,MED PAPER,MDP,26.0,25.25,26.0,25.1,1227,31412.31,24,120791530.75
03/02/2026,MED PAPER,MDP,26.0,26.0,26.0,25.0,4215,106364.85,34,124379398.0
02/02/2026,MED PAPER,MDP,26.0,25.7,26.0,25.03,3603,91380.77,25,122944251.1
30/01/2026,MED PAPER,MDP,26.44,26.0,26.44,25.3,4388,111723.97,35,124379398.0
29/01/2026,MED PAPER,MDP,26.5,25.76,26.7,25.71,676,17645.81,21,123231280.48
28/01/2026,MED PAPER,MDP,25.52,26.35,26.39,25.52,1532,39897.88,25,126053736.05
27/01/2026,MED PAPER,MDP,25.29,25.28,26.68,25.24,7053,178934.65,39,120935045.44
26/01/2026,MED PAPER,MDP,26.13,25.79,26.13,25.0,4020,102370.07,44,123374795.17
23/01/2026,MED PAPER,MDP,26.55,26.13,27.18,26.1,2226,58925.81,46,125001294.99
22/01/2026,MED PAPER,MDP,26.41,27.0,27.1,26.41,1800,47868.45,15,129163221.0
21/01/2026,MED PAPER,MDP,27.2,27.1,27.2,26.65,1934,52414.45,24,129641603.3
20/01/2026,MED PAPER,MDP,27.0,26.9,27.0,26.51,915,24648.9,14,128684838.7
19/01/2026,MED PAPER,MDP,26.6,26.51,27.4,26.51,1567,41812.09,28,126819147.73
16/01/2026,MED PAPER,MDP,27.6,26.7,27.6,26.56,669,17910.47,24,127728074.1
15/01/2026,MED PAPER,MDP,27.5,27.0,27.5,26.99,676,18294.35,18,129163221.0
13/01/2026,MED PAPER,MDP,27.6,27.69,27.69,26.8,3680,99236.79,43,132464058.87
12/01/2026,MED PAPER,MDP,28.0,27.6,28.0,26.96,4107,113423.18,52,132033514.8
09/01/2026,MED PAPER,MDP,27.0,27.0,27.01,26.91,1444,38953.81,21,129163221.0
08/01/2026,MED PAPER,MDP,27.25,27.25,27.3,26.91,2332,62975.16,38,130359176.75
07/01/2026,MED PAPER,MDP,26.95,27.4,27.5,26.95,1174,31709.28,32,131076750.2
06/01/2026,MED PAPER,MDP,27.5,27.48,27.5,27.0,3257,88403.28,45,131459456.04
05/01/2026,MED PAPER,MDP,27.5,27.01,27.5,27.0,2613,71366.72,46,129211059.23
02/01/2026,MED PAPER,MDP,27.0,27.29,27.5,26.56,3087,82988.22,40,130550529.67
13/03/2026,MED PAPER,MDP,24.5,25.2,25.2,24.5,170,4253.2,7,120552339.6
12/03/2026,MED PAPER,MDP,25.9,24.5,25.9,24.5,3580,91477.26,33,117203663.5
11/03/2026,MED PAPER,MDP,24.95,24.5,25.0,24.5,3934,97330.18,26,117203663.5
10/03/2026,MED PAPER,MDP,24.0,24.04,24.89,24.0,3297,79808.12,35,115003104.92
09/03/2026,MED PAPER,MDP,24.5,24.8,24.8,23.8,1004,24203.0,30,118638810.4
06/03/2026,MED PAPER,MDP,25.0,24.5,25.1,24.4,1911,47475.63,32,117203663.5
05/03/2026,MED PAPER,MDP,23.64,24.95,24.95,23.64,2917,72056.96,35,119356383.85
