Séance,Instrument,Ticker,Ouverture,Dernier_Cours,haut_du_jour,bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
03/06/2026,MICRODATA,MIC,783.0,784.0,784.0,783.0,5,3919.0,3,1317120000.0
02/06/2026,MICRODATA,MIC,785.0,785.0,785.0,785.0,2,1570.0,1,1318800000.0
01/06/2026,MICRODATA,MIC,760.0,785.0,785.0,760.0,149,116240.0,12,1318800000.0
26/05/2026,MICRODATA,MIC,769.0,750.0,770.0,750.0,55,41374.0,6,1260000000.0
25/05/2026,MICRODATA,MIC,768.0,768.0,768.0,768.0,10,7680.0,2,1290240000.0
22/05/2026,MICRODATA,MIC,730.0,769.0,769.0,730.0,11,8069.0,3,1291920000.0
21/05/2026,MICRODATA,MIC,750.0,750.0,750.0,750.0,6,4500.0,1,1260000000.0
20/05/2026,MICRODATA,MIC,742.0,728.5,742.0,727.0,19,13844.5,3,1223880000.0
19/05/2026,MICRODATA,MIC,753.5,741.0,753.5,741.0,22,16465.5,6,1244880000.0
18/05/2026,MICRODATA,MIC,754.0,754.0,754.0,754.0,5,3770.0,1,1266720000.0
15/05/2026,MICRODATA,MIC,-,762.0,-,-,-,-,-,1280160000.0
14/05/2026,MICRODATA,MIC,-,762.0,-,-,-,-,-,1280160000.0
13/05/2026,MICRODATA,MIC,776.0,762.0,776.0,762.0,8,6152.0,3,1280160000.0
12/05/2026,MICRODATA,MIC,760.2,777.0,777.0,760.0,30,23045.4,4,1305360000.0
11/05/2026,MICRODATA,MIC,773.0,777.0,777.0,773.0,51,39589.0,5,1305360000.0
08/05/2026,MICRODATA,MIC,769.0,765.0,769.0,765.0,14,10726.0,2,1285200000.0
07/05/2026,MICRODATA,MIC,750.0,780.0,780.0,750.0,22,16986.0,4,1310400000.0
06/05/2026,MICRODATA,MIC,742.0,750.0,760.0,740.0,110,82164.0,13,1260000000.0
05/05/2026,MICRODATA,MIC,759.0,760.0,760.0,759.0,5,3799.0,3,1276800000.0
04/05/2026,MICRODATA,MIC,743.5,743.5,743.5,741.0,127,94366.0,18,1249080000.0
30/04/2026,MICRODATA,MIC,768.8,676.0,768.8,676.0,2148,1452232.8,39,1135680000.0
29/04/2026,MICRODATA,MIC,750.0,750.0,750.0,750.0,1,750.0,1,1260000000.0
28/04/2026,MICRODATA,MIC,767.0,760.0,767.0,760.0,145,110229.0,8,1276800000.0
27/04/2026,MICRODATA,MIC,-,745.0,-,-,-,-,-,1251600000.0
24/04/2026,MICRODATA,MIC,770.0,745.0,780.0,745.0,337,252455.2,26,1251600000.0
23/04/2026,MICRODATA,MIC,780.0,777.9,780.0,777.9,18,14023.2,4,1306872000.0
22/04/2026,MICRODATA,MIC,-,760.0,-,-,-,-,-,1276800000.0
21/04/2026,MICRODATA,MIC,773.0,760.0,774.0,760.0,173,131615.0,15,1276800000.0
20/04/2026,MICRODATA,MIC,750.1,773.0,773.0,750.1,58,43989.0,8,1298640000.0
17/04/2026,MICRODATA,MIC,741.0,784.0,784.0,741.0,202,158282.0,9,1317120000.0
16/04/2026,MICRODATA,MIC,764.0,740.0,764.0,740.0,632,473881.5,43,1243200000.0
15/04/2026,MICRODATA,MIC,786.0,755.0,786.0,755.0,682,519259.6,51,1268400000.0
14/04/2026,MICRODATA,MIC,785.0,785.0,785.0,785.0,41,32185.0,4,1318800000.0
13/04/2026,MICRODATA,MIC,780.0,803.0,803.0,780.0,134,107086.0,6,1349040000.0
10/04/2026,MICRODATA,MIC,800.0,780.0,800.0,780.0,195,152160.0,7,1310400000.0
09/04/2026,MICRODATA,MIC,790.0,790.0,790.0,790.0,19,15010.0,1,1327200000.0
08/04/2026,MICRODATA,MIC,800.0,800.0,800.0,799.5,160,127992.6,15,1344000000.0
07/04/2026,MICRODATA,MIC,750.0,754.0,760.5,750.0,108,81993.1,8,1266720000.0
06/04/2026,MICRODATA,MIC,780.0,790.0,790.0,780.0,23,17995.0,6,1327200000.0
03/04/2026,MICRODATA,MIC,755.0,800.0,800.0,750.0,209,165925.0,20,1344000000.0
02/04/2026,MICRODATA,MIC,779.0,760.0,779.0,760.0,11,8379.0,2,1276800000.0
01/04/2026,MICRODATA,MIC,760.0,760.0,760.0,760.0,56,42560.0,3,1276800000.0
31/03/2026,MICRODATA,MIC,780.0,780.0,780.0,780.0,14,10920.0,4,1310400000.0
30/03/2026,MICRODATA,MIC,780.0,778.0,780.0,770.0,47,36550.0,10,1307040000.0
27/03/2026,MICRODATA,MIC,750.0,770.0,770.0,731.0,573,431789.4,23,1293600000.0
26/03/2026,MICRODATA,MIC,753.6,750.0,755.0,750.0,88,66122.2,7,1260000000.0
25/03/2026,MICRODATA,MIC,752.0,752.0,752.0,752.0,2085,1567920.0,2,1263360000.0
24/03/2026,MICRODATA,MIC,714.3,770.0,770.0,714.3,214,164620.3,14,1293600000.0
19/03/2026,MICRODATA,MIC,746.0,749.9,749.9,713.0,2270,1629856.0,16,1259832000.0
