Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
17/03/2026,MINIERE TOUISSIT,CMT,3033.0,3085.0,3085.0,3010.0,266,808795.0,32,5186603805.0
16/03/2026,MINIERE TOUISSIT,CMT,3002.0,3030.0,3050.0,3001.0,1804,5456815.0,102,5094135990.0
13/03/2026,MINIERE TOUISSIT,CMT,3200.0,3178.0,3200.0,3120.0,1112,3524410.0,62,5342958474.0
12/03/2026,MINIERE TOUISSIT,CMT,3390.0,3299.0,3390.0,3200.0,661,2141261.0,68,5546387667.0
11/03/2026,MINIERE TOUISSIT,CMT,3389.0,3300.0,3389.0,3288.0,395,1302060.0,35,5548068900.0
10/03/2026,MINIERE TOUISSIT,CMT,3492.0,3445.0,3492.0,3265.0,2223,7659128.0,119,5791847685.0
09/03/2026,MINIERE TOUISSIT,CMT,3005.0,3200.0,3200.0,2950.0,585,1749753.0,71,5379945600.0
06/03/2026,MINIERE TOUISSIT,CMT,3350.0,3245.0,3350.0,3201.0,1235,4012063.0,78,5455601085.0
05/03/2026,MINIERE TOUISSIT,CMT,3449.0,3399.0,3449.0,3303.0,644,2154903.0,53,5714510967.0
04/03/2026,MINIERE TOUISSIT,CMT,3250.0,3400.0,3500.0,3250.0,1885,6304207.0,148,5716192200.0
03/03/2026,MINIERE TOUISSIT,CMT,3598.0,3342.0,3598.0,3342.0,2197,7464052.0,157,5618680686.0
02/03/2026,MINIERE TOUISSIT,CMT,3650.0,3713.0,3750.0,3650.0,1790,6628410.0,271,6242418129.0
27/02/2026,MINIERE TOUISSIT,CMT,3490.0,3579.0,3590.0,3475.0,6898,24689101.0,149,6017132907.0
26/02/2026,MINIERE TOUISSIT,CMT,3590.0,3400.0,3598.0,3393.0,1279,4375580.0,125,5716192200.0
25/02/2026,MINIERE TOUISSIT,CMT,3579.0,3590.0,3647.0,3579.0,5845,21067883.0,180,6035626470.0
24/02/2026,MINIERE TOUISSIT,CMT,3498.0,3501.0,3501.0,3363.0,739,2581563.0,79,5885996733.0
23/02/2026,MINIERE TOUISSIT,CMT,3501.0,3490.0,3550.0,3440.0,1529,5338134.0,156,5867503170.0
20/02/2026,MINIERE TOUISSIT,CMT,3320.0,3350.0,3350.0,3250.0,842,2792509.0,69,5632130550.0
19/02/2026,MINIERE TOUISSIT,CMT,3341.0,3335.0,3341.0,3240.0,2016,6660869.0,88,5606912055.0
18/02/2026,MINIERE TOUISSIT,CMT,3330.0,3340.0,3479.0,3151.0,8442,27823458.0,324,5615318220.0
17/02/2026,MINIERE TOUISSIT,CMT,3649.0,3440.0,3668.0,3372.0,14235,50680401.0,540,5783441520.0
16/02/2026,MINIERE TOUISSIT,CMT,3067.0,3365.0,3365.0,3067.0,15580,50733349.0,395,5657349045.0
13/02/2026,MINIERE TOUISSIT,CMT,2978.0,3060.0,3140.0,2750.0,29633,87833378.0,840,5144572980.0
12/02/2026,MINIERE TOUISSIT,CMT,2630.0,2878.0,2878.0,2630.0,6019,17138630.0,304,4838588574.0
11/02/2026,MINIERE TOUISSIT,CMT,2469.0,2617.0,2617.0,2450.0,4622,11891495.0,327,4399786761.0
10/02/2026,MINIERE TOUISSIT,CMT,2330.0,2380.0,2390.0,2220.0,9736,23110374.0,161,4001334540.0
09/02/2026,MINIERE TOUISSIT,CMT,2200.0,2280.0,2308.0,2200.0,1695,3856772.0,150,3833211240.0
06/02/2026,MINIERE TOUISSIT,CMT,2035.0,2100.0,2220.0,1980.0,4546,9404668.0,261,3530589300.0
05/02/2026,MINIERE TOUISSIT,CMT,2330.0,2162.0,2331.0,2161.0,3784,8442698.0,266,3634825746.0
04/02/2026,MINIERE TOUISSIT,CMT,2470.0,2400.0,2489.0,2400.0,3784,9207884.0,160,4034959200.0
03/02/2026,MINIERE TOUISSIT,CMT,2356.0,2370.0,2499.0,2356.0,5753,13699118.0,351,3984522210.0
02/02/2026,MINIERE TOUISSIT,CMT,2351.0,2318.0,2360.0,2318.0,8717,20409456.0,275,3897098094.0
30/01/2026,MINIERE TOUISSIT,CMT,2711.0,2575.0,2714.0,2575.0,15541,40395176.0,552,4329174975.0
29/01/2026,MINIERE TOUISSIT,CMT,2850.0,2860.0,2890.0,2761.0,4677,13329694.0,357,4808326380.0
28/01/2026,MINIERE TOUISSIT,CMT,2790.0,2749.0,2877.0,2702.0,9900,27336393.0,490,4621709517.0
27/01/2026,MINIERE TOUISSIT,CMT,2400.0,2616.0,2616.0,2400.0,9824,25070697.0,518,4398105528.0
26/01/2026,MINIERE TOUISSIT,CMT,2275.0,2379.0,2379.0,2235.0,12597,29012402.0,429,3999653307.0
23/01/2026,MINIERE TOUISSIT,CMT,2215.0,2190.0,2280.0,2170.0,5697,12635385.0,257,3681900270.0
22/01/2026,MINIERE TOUISSIT,CMT,2022.0,2170.0,2232.0,2002.0,6192,13270561.0,358,3648275610.0
21/01/2026,MINIERE TOUISSIT,CMT,1955.0,2030.0,2088.0,1955.0,2347,4768154.0,83,3412902990.0
20/01/2026,MINIERE TOUISSIT,CMT,2002.0,2030.0,2129.0,1950.0,6125,12573741.0,240,3412902990.0
19/01/2026,MINIERE TOUISSIT,CMT,2000.0,2000.0,2094.0,1985.0,3249,6560878.0,154,3362466000.0
16/01/2026,MINIERE TOUISSIT,CMT,2178.0,1981.0,2178.0,1981.0,5366,10827355.0,381,3330522573.0
15/01/2026,MINIERE TOUISSIT,CMT,2297.0,2200.0,2297.0,2200.0,9449,21356569.0,414,3698712600.0
13/01/2026,MINIERE TOUISSIT,CMT,1998.0,2089.0,2089.0,1998.0,7481,15344171.0,499,3512095737.0
12/01/2026,MINIERE TOUISSIT,CMT,1731.0,1900.0,1902.0,1731.0,7767,14688877.0,465,3194342700.0
09/01/2026,MINIERE TOUISSIT,CMT,1779.0,1730.0,1801.0,1730.0,1318,2340324.0,62,2908533090.0
08/01/2026,MINIERE TOUISSIT,CMT,1790.0,1770.0,1790.0,1770.0,1734,3080832.0,27,2975782410.0
07/01/2026,MINIERE TOUISSIT,CMT,1800.0,1775.0,1800.0,1775.0,284,506958.0,51,2984188575.0
06/01/2026,MINIERE TOUISSIT,CMT,1810.0,1800.0,1840.0,1793.0,490,883939.0,67,3026219400.0
17/03/2026,MINIERE TOUISSIT,CMT,3033.0,3085.0,3085.0,3010.0,266,808795.0,32,5186603805.0
16/03/2026,MINIERE TOUISSIT,CMT,3002.0,3030.0,3050.0,3001.0,1804,5456815.0,102,5094135990.0
13/03/2026,MINIERE TOUISSIT,CMT,3200.0,3178.0,3200.0,3120.0,1112,3524410.0,62,5342958474.0
12/03/2026,MINIERE TOUISSIT,CMT,3390.0,3299.0,3390.0,3200.0,661,2141261.0,68,5546387667.0
11/03/2026,MINIERE TOUISSIT,CMT,3389.0,3300.0,3389.0,3288.0,395,1302060.0,35,5548068900.0
10/03/2026,MINIERE TOUISSIT,CMT,3492.0,3445.0,3492.0,3265.0,2223,7659128.0,119,5791847685.0
09/03/2026,MINIERE TOUISSIT,CMT,3005.0,3200.0,3200.0,2950.0,585,1749753.0,71,5379945600.0
06/03/2026,MINIERE TOUISSIT,CMT,3350.0,3245.0,3350.0,3201.0,1235,4012063.0,78,5455601085.0
05/03/2026,MINIERE TOUISSIT,CMT,3449.0,3399.0,3449.0,3303.0,644,2154903.0,53,5714510967.0
04/03/2026,MINIERE TOUISSIT,CMT,3250.0,3400.0,3500.0,3250.0,1885,6304207.0,148,5716192200.0
03/03/2026,MINIERE TOUISSIT,CMT,3598.0,3342.0,3598.0,3342.0,2197,7464052.0,157,5618680686.0
02/03/2026,MINIERE TOUISSIT,CMT,3650.0,3713.0,3750.0,3650.0,1790,6628410.0,271,6242418129.0
27/02/2026,MINIERE TOUISSIT,CMT,3490.0,3579.0,3590.0,3475.0,6898,24689101.0,149,6017132907.0
26/02/2026,MINIERE TOUISSIT,CMT,3590.0,3400.0,3598.0,3393.0,1279,4375580.0,125,5716192200.0
25/02/2026,MINIERE TOUISSIT,CMT,3579.0,3590.0,3647.0,3579.0,5845,21067883.0,180,6035626470.0
24/02/2026,MINIERE TOUISSIT,CMT,3498.0,3501.0,3501.0,3363.0,739,2581563.0,79,5885996733.0
23/02/2026,MINIERE TOUISSIT,CMT,3501.0,3490.0,3550.0,3440.0,1529,5338134.0,156,5867503170.0
20/02/2026,MINIERE TOUISSIT,CMT,3320.0,3350.0,3350.0,3250.0,842,2792509.0,69,5632130550.0
19/02/2026,MINIERE TOUISSIT,CMT,3341.0,3335.0,3341.0,3240.0,2016,6660869.0,88,5606912055.0
18/02/2026,MINIERE TOUISSIT,CMT,3330.0,3340.0,3479.0,3151.0,8442,27823458.0,324,5615318220.0
17/02/2026,MINIERE TOUISSIT,CMT,3649.0,3440.0,3668.0,3372.0,14235,50680401.0,540,5783441520.0
16/02/2026,MINIERE TOUISSIT,CMT,3067.0,3365.0,3365.0,3067.0,15580,50733349.0,395,5657349045.0
13/02/2026,MINIERE TOUISSIT,CMT,2978.0,3060.0,3140.0,2750.0,29633,87833378.0,840,5144572980.0
12/02/2026,MINIERE TOUISSIT,CMT,2630.0,2878.0,2878.0,2630.0,6019,17138630.0,304,4838588574.0
11/02/2026,MINIERE TOUISSIT,CMT,2469.0,2617.0,2617.0,2450.0,4622,11891495.0,327,4399786761.0
10/02/2026,MINIERE TOUISSIT,CMT,2330.0,2380.0,2390.0,2220.0,9736,23110374.0,161,4001334540.0
09/02/2026,MINIERE TOUISSIT,CMT,2200.0,2280.0,2308.0,2200.0,1695,3856772.0,150,3833211240.0
06/02/2026,MINIERE TOUISSIT,CMT,2035.0,2100.0,2220.0,1980.0,4546,9404668.0,261,3530589300.0
