Séance,Instrument,Ticker,Ouverture,Dernier_Cours,haut_du_jour,bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
03/06/2026,PROMOPHARM S.A.,PRO,-,1349.0,-,-,-,-,-,1349000000.0
02/06/2026,PROMOPHARM S.A.,PRO,1349.0,1349.0,1349.0,1349.0,3,4047.0,1,1349000000.0
01/06/2026,PROMOPHARM S.A.,PRO,1278.0,1278.0,1278.0,1278.0,10,12780.0,2,1278000000.0
26/05/2026,PROMOPHARM S.A.,PRO,-,1350.0,-,-,-,-,-,1350000000.0
25/05/2026,PROMOPHARM S.A.,PRO,1350.0,1350.0,1350.0,1350.0,7,9450.0,1,1350000000.0
22/05/2026,PROMOPHARM S.A.,PRO,1276.0,1276.0,1276.0,1276.0,20,25520.0,2,1276000000.0
21/05/2026,PROMOPHARM S.A.,PRO,-,1346.0,-,-,-,-,-,1346000000.0
20/05/2026,PROMOPHARM S.A.,PRO,-,1346.0,-,-,-,-,-,1346000000.0
19/05/2026,PROMOPHARM S.A.,PRO,1346.0,1346.0,1346.0,1346.0,5,6730.0,1,1346000000.0
18/05/2026,PROMOPHARM S.A.,PRO,1271.0,1271.0,1271.0,1271.0,14,17794.0,2,1271000000.0
15/05/2026,PROMOPHARM S.A.,PRO,1350.0,1350.0,1350.0,1350.0,10,13500.0,2,1350000000.0
14/05/2026,PROMOPHARM S.A.,PRO,-,1405.0,-,-,-,-,-,1405000000.0
13/05/2026,PROMOPHARM S.A.,PRO,1405.0,1405.0,1405.0,1405.0,8,11240.0,3,1405000000.0
12/05/2026,PROMOPHARM S.A.,PRO,1375.0,1375.0,1375.0,1375.0,6,8250.0,2,1375000000.0
11/05/2026,PROMOPHARM S.A.,PRO,1300.0,1300.0,1300.0,1300.0,10,13000.0,3,1300000000.0
08/05/2026,PROMOPHARM S.A.,PRO,1300.0,1300.0,1300.0,1300.0,134,174200.0,10,1300000000.0
07/05/2026,PROMOPHARM S.A.,PRO,1317.0,1317.0,1317.0,1317.0,4,5268.0,1,1317000000.0
06/05/2026,PROMOPHARM S.A.,PRO,-,1400.0,-,-,-,-,-,1400000000.0
05/05/2026,PROMOPHARM S.A.,PRO,-,1400.0,-,-,-,-,-,1400000000.0
04/05/2026,PROMOPHARM S.A.,PRO,1400.0,1400.0,1400.0,1400.0,26,36400.0,1,1400000000.0
30/04/2026,PROMOPHARM S.A.,PRO,-,1407.0,-,-,-,-,-,1407000000.0
29/04/2026,PROMOPHARM S.A.,PRO,-,1407.0,-,-,-,-,-,1407000000.0
28/04/2026,PROMOPHARM S.A.,PRO,-,1407.0,-,-,-,-,-,1407000000.0
27/04/2026,PROMOPHARM S.A.,PRO,-,1407.0,-,-,-,-,-,1407000000.0
24/04/2026,PROMOPHARM S.A.,PRO,-,1407.0,-,-,-,-,-,1407000000.0
23/04/2026,PROMOPHARM S.A.,PRO,-,1407.0,-,-,-,-,-,1407000000.0
22/04/2026,PROMOPHARM S.A.,PRO,-,1407.0,-,-,-,-,-,1407000000.0
21/04/2026,PROMOPHARM S.A.,PRO,-,1407.0,-,-,-,-,-,1407000000.0
20/04/2026,PROMOPHARM S.A.,PRO,-,1407.0,-,-,-,-,-,1407000000.0
17/04/2026,PROMOPHARM S.A.,PRO,1407.0,1407.0,1407.0,1407.0,2,2814.0,1,1407000000.0
16/04/2026,PROMOPHARM S.A.,PRO,-,1410.0,-,-,-,-,-,1410000000.0
15/04/2026,PROMOPHARM S.A.,PRO,-,1410.0,-,-,-,-,-,1410000000.0
14/04/2026,PROMOPHARM S.A.,PRO,-,1410.0,-,-,-,-,-,1410000000.0
