Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
09/04/2026,RESIDENCES DAR SAADA,RDS,144.15,142.05,145.0,142.0,14053,2007359.65,106,3722967142.5
08/04/2026,RESIDENCES DAR SAADA,RDS,147.0,147.0,147.0,142.0,43377,6324230.45,261,3852700950.0
07/04/2026,RESIDENCES DAR SAADA,RDS,140.5,135.6,143.0,135.05,34592,4752968.9,206,3553920060.0
06/04/2026,RESIDENCES DAR SAADA,RDS,142.0,140.2,143.55,140.0,13432,1893941.45,136,3674480770.0
03/04/2026,RESIDENCES DAR SAADA,RDS,142.15,141.3,145.7,141.3,67718,9599858.2,136,3703310505.0
02/04/2026,RESIDENCES DAR SAADA,RDS,142.65,143.0,146.5,142.6,31694,4546482.4,135,3747865550.0
01/04/2026,RESIDENCES DAR SAADA,RDS,142.4,145.65,148.4,142.4,55742,8090517.55,204,3817319002.5
31/03/2026,RESIDENCES DAR SAADA,RDS,144.0,141.6,144.0,136.0,61696,8605842.75,283,3711173160.0
30/03/2026,RESIDENCES DAR SAADA,RDS,143.95,144.0,144.5,141.0,10098,1449873.5,70,3774074400.0
27/03/2026,RESIDENCES DAR SAADA,RDS,145.45,143.5,146.5,141.1,49197,7101002.3,138,3760969975.0
26/03/2026,RESIDENCES DAR SAADA,RDS,149.0,144.85,149.0,143.55,21037,3060011.85,154,3796351922.5
25/03/2026,RESIDENCES DAR SAADA,RDS,142.0,149.25,149.95,140.15,696118,98376073.6,317,3911670862.5
24/03/2026,RESIDENCES DAR SAADA,RDS,141.0,141.0,141.0,138.1,27380,3844045.65,123,3695447850.0
19/03/2026,RESIDENCES DAR SAADA,RDS,139.9,138.0,139.9,136.65,49182,6801759.0,150,3616821300.0
18/03/2026,RESIDENCES DAR SAADA,RDS,141.8,140.3,143.5,139.5,24988,3544422.4,130,3677101655.0
17/03/2026,RESIDENCES DAR SAADA,RDS,140.15,140.1,140.75,139.1,5209,729291.2,66,3671859885.0
16/03/2026,RESIDENCES DAR SAADA,RDS,136.3,139.0,139.0,133.5,15212,2084621.0,118,3643030150.0
13/03/2026,RESIDENCES DAR SAADA,RDS,140.0,137.05,142.9,137.05,84283,11674378.55,119,3591922892.5
12/03/2026,RESIDENCES DAR SAADA,RDS,141.9,141.4,143.0,140.0,24815,3508947.4,96,3705931390.0
11/03/2026,RESIDENCES DAR SAADA,RDS,143.0,140.5,143.0,139.0,10949,1542385.95,72,3682343425.0
10/03/2026,RESIDENCES DAR SAADA,RDS,144.9,143.7,144.9,140.0,57556,8253036.7,215,3766211745.0
09/03/2026,RESIDENCES DAR SAADA,RDS,132.0,134.0,134.5,129.2,43194,5696755.4,250,3511985900.0
06/03/2026,RESIDENCES DAR SAADA,RDS,145.4,138.0,148.0,136.0,69640,9763933.0,422,3616821300.0
05/03/2026,RESIDENCES DAR SAADA,RDS,140.5,145.2,146.8,140.5,56952,8227193.4,310,3805525020.0
04/03/2026,RESIDENCES DAR SAADA,RDS,133.0,138.85,139.95,133.0,125949,17365950.4,535,3639098822.5
03/03/2026,RESIDENCES DAR SAADA,RDS,140.2,128.7,140.2,128.7,320774,41535933.9,686,3373078995.0
02/03/2026,RESIDENCES DAR SAADA,RDS,143.0,142.95,150.0,142.95,262946,37900977.35,715,3746555107.5
27/02/2026,RESIDENCES DAR SAADA,RDS,157.05,158.8,171.0,157.0,127346,20660213.85,357,4161965380.0
26/02/2026,RESIDENCES DAR SAADA,RDS,158.6,156.7,160.6,154.0,42200,6591121.5,118,4106926795.0
25/02/2026,RESIDENCES DAR SAADA,RDS,162.0,158.6,163.5,158.35,37836,6043020.1,165,4156723610.0
24/02/2026,RESIDENCES DAR SAADA,RDS,165.0,161.5,165.8,161.5,20481,3354124.65,103,4232729275.0
23/02/2026,RESIDENCES DAR SAADA,RDS,162.0,164.0,166.5,160.35,67823,11113331.55,210,4298251400.0
