Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
19/03/2026,RISMA,RIS,303.0,306.2,310.0,303.0,1717,524742.1,232,4902914818.4
18/03/2026,RISMA,RIS,300.0,310.0,310.0,300.0,3798,1163369.0,349,4963760920.0
17/03/2026,RISMA,RIS,300.0,300.0,302.85,296.15,13871,4160377.45,262,4803639600.0
16/03/2026,RISMA,RIS,303.0,301.0,303.0,296.0,7265,2180258.6,254,4819651732.0
13/03/2026,RISMA,RIS,303.1,296.0,305.0,296.0,13765,4134943.15,335,4739591072.0
12/03/2026,RISMA,RIS,305.0,304.9,306.0,302.0,2483,753735.3,260,4825636140.3
11/03/2026,RISMA,RIS,301.05,304.9,305.0,300.0,6341,1909133.3,285,4825636140.3
10/03/2026,RISMA,RIS,304.0,305.0,311.0,304.0,11901,3668125.85,550,4827218835.0
09/03/2026,RISMA,RIS,302.5,298.1,303.0,297.1,8558,2576470.7,408,4718012900.7
06/03/2026,RISMA,RIS,310.0,303.0,310.0,301.05,8231,2511092.8,417,4795564941.0
05/03/2026,RISMA,RIS,301.0,305.0,309.7,300.0,8348,2545492.1,429,4827218835.0
04/03/2026,RISMA,RIS,291.0,300.0,309.8,291.0,11075,3319938.0,850,4748084100.0
03/03/2026,RISMA,RIS,306.1,290.1,313.0,290.0,34163,10229285.95,1263,4591397324.7
02/03/2026,RISMA,RIS,305.0,306.0,314.4,305.0,21842,6687657.7,1528,4843045782.0
27/02/2026,RISMA,RIS,329.0,336.0,336.0,329.0,12876,4273502.4,988,5317854192.0
26/02/2026,RISMA,RIS,330.1,330.0,332.0,330.0,15725,5190251.15,943,5222892510.0
25/02/2026,RISMA,RIS,332.5,330.0,334.0,330.0,12324,4090121.6,920,5222892510.0
24/02/2026,RISMA,RIS,333.0,334.0,337.5,332.0,8156,2718376.3,828,5286200298.0
23/02/2026,RISMA,RIS,336.55,336.5,340.0,336.15,8429,2838916.45,786,5325767665.5
20/02/2026,RISMA,RIS,336.0,345.0,345.0,335.0,9522,3227428.5,1009,5460296715.0
19/02/2026,RISMA,RIS,335.1,336.55,345.0,335.1,8336,2808456.3,1023,5326559012.85
18/02/2026,RISMA,RIS,342.0,340.0,349.5,340.0,19766,6750709.75,1163,5381161980.0
17/02/2026,RISMA,RIS,346.0,345.0,350.1,341.0,23377,8090358.25,1640,5460296715.0
16/02/2026,RISMA,RIS,350.0,350.2,357.0,350.0,63644,22473772.8,1768,5542596839.4
13/02/2026,RISMA,RIS,360.0,359.95,362.0,355.0,46312,16614963.9,2062,5696909572.65
12/02/2026,RISMA,RIS,350.05,360.0,360.0,350.05,75123,26741661.85,3898,5697700920.0
11/02/2026,RISMA,RIS,340.05,348.7,349.9,330.1,199661,68023931.8,6027,5518856418.9
10/02/2026,RISMA,RIS,351.05,351.05,351.05,351.05,54476,19123799.8,1019,5556049744.35
09/02/2026,RISMA,RIS,380.0,390.0,395.0,376.0,3819,1469819.55,138,5587509330.0
06/02/2026,RISMA,RIS,388.5,370.0,388.5,370.0,6764,2526209.9,202,5300970390.0
05/02/2026,RISMA,RIS,385.0,375.0,396.5,375.0,19601,7552427.1,364,5372605125.0
04/02/2026,RISMA,RIS,375.0,370.0,375.0,366.0,1336,497336.3,64,5300970390.0
03/02/2026,RISMA,RIS,375.0,375.0,375.0,374.2,550,206246.8,32,5372605125.0
02/02/2026,RISMA,RIS,389.0,374.05,389.0,374.0,21673,8136793.25,110,5358994525.35
30/01/2026,RISMA,RIS,378.7,375.0,379.0,365.0,7447,2776503.2,133,5372605125.0
29/01/2026,RISMA,RIS,380.0,378.95,385.0,360.0,22824,8514688.6,226,5429196565.65
28/01/2026,RISMA,RIS,390.0,381.0,390.0,381.0,1762,679241.4,99,5458566807.0
