Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
16/03/2026,S.M MONETIQUE,S2M,513.1,513.1,513.1,513.1,1,513.1,1,416673117.0
13/03/2026,S.M MONETIQUE,S2M,523.0,521.0,523.0,520.0,1143,595500.9,11,423088470.0
12/03/2026,S.M MONETIQUE,S2M,530.0,520.0,530.0,520.0,9,4750.0,2,422276400.0
11/03/2026,S.M MONETIQUE,S2M,-,540.0,-,-,-,-,-,438517800.0
10/03/2026,S.M MONETIQUE,S2M,-,540.0,-,-,-,-,-,438517800.0
09/03/2026,S.M MONETIQUE,S2M,550.0,540.0,550.0,540.0,48,26335.0,5,438517800.0
06/03/2026,S.M MONETIQUE,S2M,559.0,558.9,559.0,512.1,5527,3088995.1,7,453865923.0
05/03/2026,S.M MONETIQUE,S2M,544.0,558.0,558.0,544.0,44,24024.1,4,453135060.0
04/03/2026,S.M MONETIQUE,S2M,503.0,545.0,545.0,500.0,192,96877.4,24,442578150.0
03/03/2026,S.M MONETIQUE,S2M,527.0,535.0,535.0,512.0,127,65863.0,13,434457450.0
02/03/2026,S.M MONETIQUE,S2M,511.2,530.0,530.0,511.2,501,257663.9,30,430397100.0
27/02/2026,S.M MONETIQUE,S2M,567.9,567.9,567.9,567.9,4,2271.6,1,461174553.0
26/02/2026,S.M MONETIQUE,S2M,-,540.0,-,-,-,-,-,438517800.0
25/02/2026,S.M MONETIQUE,S2M,540.0,540.0,540.0,540.0,1,540.0,1,438517800.0
24/02/2026,S.M MONETIQUE,S2M,-,548.0,-,-,-,-,-,445014360.0
23/02/2026,S.M MONETIQUE,S2M,549.0,548.0,549.0,548.0,185,101530.0,3,445014360.0
20/02/2026,S.M MONETIQUE,S2M,550.0,545.4,550.0,545.4,22,12067.8,4,442902978.0
19/02/2026,S.M MONETIQUE,S2M,560.0,550.0,560.0,550.0,250,137880.0,4,446638500.0
18/02/2026,S.M MONETIQUE,S2M,569.0,560.0,569.0,560.0,94,52766.0,8,454759200.0
17/02/2026,S.M MONETIQUE,S2M,560.0,540.0,560.0,540.0,461,249000.0,15,438517800.0
16/02/2026,S.M MONETIQUE,S2M,570.0,570.0,570.0,565.0,785,446850.0,7,462879900.0
13/02/2026,S.M MONETIQUE,S2M,580.0,580.0,580.0,580.0,60,34800.0,4,471000600.0
12/02/2026,S.M MONETIQUE,S2M,575.0,575.0,575.0,575.0,5,2875.0,1,466940250.0
11/02/2026,S.M MONETIQUE,S2M,560.0,579.0,579.0,550.0,65,37202.0,10,470188530.0
10/02/2026,S.M MONETIQUE,S2M,551.0,550.0,551.0,545.0,121,66382.0,10,446638500.0
09/02/2026,S.M MONETIQUE,S2M,579.8,579.8,579.8,579.8,20,11596.0,2,470838186.0
06/02/2026,S.M MONETIQUE,S2M,556.0,556.0,557.0,550.5,232,128800.0,9,451510920.0
05/02/2026,S.M MONETIQUE,S2M,557.0,556.0,560.0,556.0,377,210825.5,8,451510920.0
04/02/2026,S.M MONETIQUE,S2M,570.0,579.0,579.0,570.0,20,11527.1,4,470188530.0
03/02/2026,S.M MONETIQUE,S2M,-,570.0,-,-,-,-,-,462879900.0
