Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
13/03/2026,SALAFIN,SLF,477.25,477.25,477.25,477.25,3819,1822617.75,30,1490985792.75
12/03/2026,SALAFIN,SLF,507.7,507.7,507.7,507.7,149,75647.3,10,1586115216.3
11/03/2026,SALAFIN,SLF,-,540.0,-,-,-,-,-,1687024260.0
10/03/2026,SALAFIN,SLF,540.0,540.0,540.0,540.0,50,27000.0,3,1687024260.0
09/03/2026,SALAFIN,SLF,520.0,520.0,520.0,520.0,357,185640.0,9,1624541880.0
06/03/2026,SALAFIN,SLF,520.0,520.0,520.0,520.0,167,86840.0,7,1624541880.0
05/03/2026,SALAFIN,SLF,550.5,550.5,550.5,550.5,490,269745.0,5,1719827509.5
04/03/2026,SALAFIN,SLF,520.0,520.0,520.0,520.0,422,219440.0,11,1624541880.0
03/03/2026,SALAFIN,SLF,550.0,550.0,550.0,550.0,100,55000.0,3,1718265450.0
02/03/2026,SALAFIN,SLF,529.0,529.0,529.0,529.0,32,16928.0,7,1652658951.0
27/02/2026,SALAFIN,SLF,544.3,544.3,544.3,544.3,131,71303.3,6,1700457971.7
26/02/2026,SALAFIN,SLF,579.0,579.0,579.0,579.0,50,28950.0,4,1808864901.0
25/02/2026,SALAFIN,SLF,551.0,551.0,551.0,551.0,1120,617120.0,4,1721389569.0
24/02/2026,SALAFIN,SLF,520.0,520.0,520.0,520.0,395,205400.0,17,1624541880.0
23/02/2026,SALAFIN,SLF,542.0,542.0,542.0,542.0,15,8130.0,3,1693272498.0
20/02/2026,SALAFIN,SLF,-,560.4,-,-,-,-,-,1750756287.6
19/02/2026,SALAFIN,SLF,-,560.4,-,-,-,-,-,1750756287.6
18/02/2026,SALAFIN,SLF,560.4,560.4,560.4,560.4,9,5043.6,2,1750756287.6
17/02/2026,SALAFIN,SLF,560.2,560.2,560.2,560.2,15,8403.0,1,1750131463.8
16/02/2026,SALAFIN,SLF,560.0,560.0,560.0,560.0,5,2800.0,2,1749506640.0
13/02/2026,SALAFIN,SLF,591.0,591.0,591.0,591.0,300,177300.0,8,1846354329.0
12/02/2026,SALAFIN,SLF,-,580.0,-,-,-,-,-,1811989020.0
11/02/2026,SALAFIN,SLF,580.0,580.0,580.0,580.0,1,580.0,1,1811989020.0
10/02/2026,SALAFIN,SLF,582.9,582.9,582.9,582.9,97,56541.3,8,1821048965.1
09/02/2026,SALAFIN,SLF,-,550.0,-,-,-,-,-,1718265450.0
06/02/2026,SALAFIN,SLF,550.0,550.0,550.0,550.0,63,34650.0,8,1718265450.0
05/02/2026,SALAFIN,SLF,551.1,551.1,551.1,551.1,50,27555.0,6,1721701980.9
04/02/2026,SALAFIN,SLF,556.0,556.0,556.0,556.0,24,13344.0,5,1737010164.0
03/02/2026,SALAFIN,SLF,-,561.0,-,-,-,-,-,1752630759.0
02/02/2026,SALAFIN,SLF,561.0,561.0,561.0,561.0,28,15708.0,4,1752630759.0
30/01/2026,SALAFIN,SLF,-,584.0,-,-,-,-,-,1824485496.0
29/01/2026,SALAFIN,SLF,-,584.0,-,-,-,-,-,1824485496.0
28/01/2026,SALAFIN,SLF,584.0,584.0,584.0,584.0,15,8760.0,1,1824485496.0
27/01/2026,SALAFIN,SLF,585.0,585.0,585.0,585.0,100,58500.0,2,1827609615.0
26/01/2026,SALAFIN,SLF,562.0,562.0,562.0,562.0,8,4496.0,3,1755754878.0
23/01/2026,SALAFIN,SLF,587.0,587.0,587.0,587.0,2,1174.0,1,1833857853.0
22/01/2026,SALAFIN,SLF,588.0,588.0,588.0,588.0,50,29400.0,3,1836981972.0
21/01/2026,SALAFIN,SLF,560.0,560.0,560.0,560.0,6,3360.0,2,1749506640.0
20/01/2026,SALAFIN,SLF,-,592.0,-,-,-,-,-,1849478448.0
19/01/2026,SALAFIN,SLF,592.0,592.0,592.0,592.0,50,29600.0,2,1849478448.0
16/01/2026,SALAFIN,SLF,561.1,561.1,561.1,561.1,12,6733.2,4,1752943170.9
15/01/2026,SALAFIN,SLF,590.0,590.0,590.0,590.0,13,7670.0,2,1843230210.0
13/01/2026,SALAFIN,SLF,593.9,593.9,593.9,593.9,22,13065.8,4,1855414274.1
12/01/2026,SALAFIN,SLF,596.0,596.0,596.0,596.0,200,119200.0,2,1861974924.0
09/01/2026,SALAFIN,SLF,596.0,596.0,596.0,596.0,100,59600.0,4,1861974924.0
08/01/2026,SALAFIN,SLF,596.0,596.0,596.0,596.0,125,74500.0,4,1861974924.0
07/01/2026,SALAFIN,SLF,592.1,592.1,592.1,592.1,107,63354.7,12,1849790859.9
06/01/2026,SALAFIN,SLF,558.6,558.6,558.6,558.6,2,1117.2,1,1745132873.4
05/01/2026,SALAFIN,SLF,591.0,591.0,591.0,591.0,130,76830.0,7,1846354329.0
02/01/2026,SALAFIN,SLF,558.9,558.9,558.9,558.9,100,55890.0,3,1746070109.1
13/03/2026,SALAFIN,SLF,477.25,477.25,477.25,477.25,3819,1822617.75,30,1490985792.75
12/03/2026,SALAFIN,SLF,507.7,507.7,507.7,507.7,149,75647.3,10,1586115216.3
11/03/2026,SALAFIN,SLF,-,540.0,-,-,-,-,-,1687024260.0
10/03/2026,SALAFIN,SLF,540.0,540.0,540.0,540.0,50,27000.0,3,1687024260.0
09/03/2026,SALAFIN,SLF,520.0,520.0,520.0,520.0,357,185640.0,9,1624541880.0
06/03/2026,SALAFIN,SLF,520.0,520.0,520.0,520.0,167,86840.0,7,1624541880.0
05/03/2026,SALAFIN,SLF,550.5,550.5,550.5,550.5,490,269745.0,5,1719827509.5
04/03/2026,SALAFIN,SLF,520.0,520.0,520.0,520.0,422,219440.0,11,1624541880.0
03/03/2026,SALAFIN,SLF,550.0,550.0,550.0,550.0,100,55000.0,3,1718265450.0
02/03/2026,SALAFIN,SLF,529.0,529.0,529.0,529.0,32,16928.0,7,1652658951.0
