Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
19/03/2026,SANLAM MAROC,SAH,2173.0,2173.0,2173.0,2173.0,20,43460.0,4,8945967202.0
18/03/2026,SANLAM MAROC,SAH,2112.0,2112.0,2112.0,2112.0,1,2112.0,1,8694837888.0
17/03/2026,SANLAM MAROC,SAH,-,2110.0,-,-,-,-,-,8686604140.0
16/03/2026,SANLAM MAROC,SAH,2110.0,2110.0,2110.0,2110.0,1,2110.0,1,8686604140.0
13/03/2026,SANLAM MAROC,SAH,2049.0,2175.0,2175.0,2049.0,301,639085.0,15,8954200950.0
12/03/2026,SANLAM MAROC,SAH,-,2150.0,-,-,-,-,-,8851279100.0
11/03/2026,SANLAM MAROC,SAH,2149.0,2150.0,2150.0,2148.0,10,21489.0,3,8851279100.0
10/03/2026,SANLAM MAROC,SAH,-,2037.0,-,-,-,-,-,8386072338.0
09/03/2026,SANLAM MAROC,SAH,2037.0,2037.0,2037.0,2037.0,3,6111.0,3,8386072338.0
06/03/2026,SANLAM MAROC,SAH,2175.0,2175.0,2175.0,2175.0,100,217500.0,5,8954200950.0
05/03/2026,SANLAM MAROC,SAH,-,2145.0,-,-,-,-,-,8830694730.0
04/03/2026,SANLAM MAROC,SAH,2085.0,2145.0,2145.0,2031.0,48,100966.0,8,8830694730.0
03/03/2026,SANLAM MAROC,SAH,2085.0,2085.0,2085.0,2085.0,14,29190.0,6,8583682290.0
02/03/2026,SANLAM MAROC,SAH,2284.0,2084.0,2284.0,2083.0,64,142375.0,8,8579565416.0
27/02/2026,SANLAM MAROC,SAH,2200.0,2307.0,2307.0,2200.0,44,99933.0,7,9497628318.0
26/02/2026,SANLAM MAROC,SAH,2200.0,2195.0,2200.0,2195.0,44,96740.0,4,9036538430.0
25/02/2026,SANLAM MAROC,SAH,-,2200.0,-,-,-,-,-,9057122800.0
24/02/2026,SANLAM MAROC,SAH,-,2200.0,-,-,-,-,-,9057122800.0
23/02/2026,SANLAM MAROC,SAH,-,2200.0,-,-,-,-,-,9057122800.0
20/02/2026,SANLAM MAROC,SAH,2200.0,2200.0,2200.0,2200.0,5,11000.0,2,9057122800.0
19/02/2026,SANLAM MAROC,SAH,2180.0,2185.0,2230.0,2180.0,59,128930.0,4,8995369690.0
18/02/2026,SANLAM MAROC,SAH,2100.0,2239.0,2239.0,2100.0,4,8678.0,2,9217680886.0
17/02/2026,SANLAM MAROC,SAH,2180.0,2214.0,2214.0,2150.0,683,1471480.0,6,9114759036.0
16/02/2026,SANLAM MAROC,SAH,2200.0,2200.0,2240.0,2200.0,109,239936.0,8,9057122800.0
13/02/2026,SANLAM MAROC,SAH,2130.0,2270.0,2270.0,2130.0,11,23570.0,4,9345303980.0
12/02/2026,SANLAM MAROC,SAH,2080.0,2285.0,2285.0,2080.0,99,222990.0,13,9407057090.0
11/02/2026,SANLAM MAROC,SAH,2080.0,2145.0,2145.0,2080.0,2003,4206370.0,7,8830694730.0
10/02/2026,SANLAM MAROC,SAH,-,2117.0,-,-,-,-,-,8715422258.0
09/02/2026,SANLAM MAROC,SAH,2095.0,2117.0,2117.0,2055.0,12,25122.0,4,8715422258.0
06/02/2026,SANLAM MAROC,SAH,-,2095.0,-,-,-,-,-,8624851030.0
05/02/2026,SANLAM MAROC,SAH,2095.0,2095.0,2095.0,2095.0,14,29330.0,1,8624851030.0
04/02/2026,SANLAM MAROC,SAH,2085.0,2095.0,2095.0,2052.0,23,47688.0,4,8624851030.0
03/02/2026,SANLAM MAROC,SAH,-,2085.0,-,-,-,-,-,8583682290.0
02/02/2026,SANLAM MAROC,SAH,2085.0,2085.0,2085.0,2085.0,4,8340.0,2,8583682290.0
30/01/2026,SANLAM MAROC,SAH,2140.0,2147.0,2147.0,2140.0,5,10714.0,2,8838928478.0
29/01/2026,SANLAM MAROC,SAH,-,2153.0,-,-,-,-,-,8863629722.0
28/01/2026,SANLAM MAROC,SAH,2065.0,2153.0,2153.0,2065.0,53,109621.0,6,8863629722.0
27/01/2026,SANLAM MAROC,SAH,2051.0,2150.0,2150.0,2051.0,13,26861.0,3,8851279100.0
26/01/2026,SANLAM MAROC,SAH,-,2155.0,-,-,-,-,-,8871863470.0
23/01/2026,SANLAM MAROC,SAH,2322.0,2155.0,2322.0,2155.0,30,64817.0,5,8871863470.0
22/01/2026,SANLAM MAROC,SAH,2250.0,2155.0,2250.0,2155.0,7,15465.0,4,8871863470.0
21/01/2026,SANLAM MAROC,SAH,2250.0,2250.0,2250.0,2250.0,22,49500.0,6,9262966500.0
20/01/2026,SANLAM MAROC,SAH,-,2250.0,-,-,-,-,-,9262966500.0
19/01/2026,SANLAM MAROC,SAH,-,2250.0,-,-,-,-,-,9262966500.0
16/01/2026,SANLAM MAROC,SAH,2285.0,2250.0,2297.0,2215.0,111,249827.0,11,9262966500.0
15/01/2026,SANLAM MAROC,SAH,2290.0,2339.0,2339.0,2290.0,8,18369.0,2,9629368286.0
13/01/2026,SANLAM MAROC,SAH,-,2280.0,-,-,-,-,-,9386472720.0
12/01/2026,SANLAM MAROC,SAH,2239.0,2280.0,2280.0,2230.0,77,173299.0,12,9386472720.0
09/01/2026,SANLAM MAROC,SAH,2280.0,2234.0,2280.0,2116.0,71,159202.0,12,9197096516.0
08/01/2026,SANLAM MAROC,SAH,2199.0,2200.0,2200.0,2199.0,397,873393.0,7,9057122800.0
07/01/2026,SANLAM MAROC,SAH,2100.0,2200.0,2200.0,2100.0,3,6500.0,2,9057122800.0
06/01/2026,SANLAM MAROC,SAH,2111.0,2199.0,2199.0,2111.0,318,698175.0,17,9053005926.0
17/03/2026,SANLAM MAROC,SAH,-,2110.0,-,-,-,-,-,8686604140.0
16/03/2026,SANLAM MAROC,SAH,2110.0,2110.0,2110.0,2110.0,1,2110.0,1,8686604140.0
13/03/2026,SANLAM MAROC,SAH,2049.0,2175.0,2175.0,2049.0,301,639085.0,15,8954200950.0
12/03/2026,SANLAM MAROC,SAH,-,2150.0,-,-,-,-,-,8851279100.0
11/03/2026,SANLAM MAROC,SAH,2149.0,2150.0,2150.0,2148.0,10,21489.0,3,8851279100.0
10/03/2026,SANLAM MAROC,SAH,-,2037.0,-,-,-,-,-,8386072338.0
09/03/2026,SANLAM MAROC,SAH,2037.0,2037.0,2037.0,2037.0,3,6111.0,3,8386072338.0
06/03/2026,SANLAM MAROC,SAH,2175.0,2175.0,2175.0,2175.0,100,217500.0,5,8954200950.0
05/03/2026,SANLAM MAROC,SAH,-,2145.0,-,-,-,-,-,8830694730.0
04/03/2026,SANLAM MAROC,SAH,2085.0,2145.0,2145.0,2031.0,48,100966.0,8,8830694730.0
03/03/2026,SANLAM MAROC,SAH,2085.0,2085.0,2085.0,2085.0,14,29190.0,6,8583682290.0
02/03/2026,SANLAM MAROC,SAH,2284.0,2084.0,2284.0,2083.0,64,142375.0,8,8579565416.0
27/02/2026,SANLAM MAROC,SAH,2200.0,2307.0,2307.0,2200.0,44,99933.0,7,9497628318.0
26/02/2026,SANLAM MAROC,SAH,2200.0,2195.0,2200.0,2195.0,44,96740.0,4,9036538430.0
25/02/2026,SANLAM MAROC,SAH,-,2200.0,-,-,-,-,-,9057122800.0
24/02/2026,SANLAM MAROC,SAH,-,2200.0,-,-,-,-,-,9057122800.0
23/02/2026,SANLAM MAROC,SAH,-,2200.0,-,-,-,-,-,9057122800.0
20/02/2026,SANLAM MAROC,SAH,2200.0,2200.0,2200.0,2200.0,5,11000.0,2,9057122800.0
19/02/2026,SANLAM MAROC,SAH,2180.0,2185.0,2230.0,2180.0,59,128930.0,4,8995369690.0
18/02/2026,SANLAM MAROC,SAH,2100.0,2239.0,2239.0,2100.0,4,8678.0,2,9217680886.0
17/02/2026,SANLAM MAROC,SAH,2180.0,2214.0,2214.0,2150.0,683,1471480.0,6,9114759036.0
16/02/2026,SANLAM MAROC,SAH,2200.0,2200.0,2240.0,2200.0,109,239936.0,8,9057122800.0
