Séance,Instrument,Ticker,Ouverture,Dernier_Cours,haut_du_jour,bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
09/04/2026,SMI,SMI,7415.0,7715.0,7715.0,7312.0,553,4167141.0,107,12691869350.0
08/04/2026,SMI,SMI,7720.0,7566.0,7720.0,7300.0,1357,10264206.0,204,12446750940.0
07/04/2026,SMI,SMI,7720.0,7031.0,8100.0,7030.0,3124,23223546.0,504,11566627790.0
06/04/2026,SMI,SMI,7099.0,7700.0,7800.0,6919.0,2316,17655563.0,388,12667193000.0
03/04/2026,SMI,SMI,6598.0,7101.0,7101.0,6598.0,4152,29099220.0,334,11681784090.0
02/04/2026,SMI,SMI,6420.0,6543.0,6690.0,6420.0,1255,8229083.0,140,10763823870.0
01/04/2026,SMI,SMI,6200.0,6734.0,6734.0,6200.0,4496,29172815.0,234,11078036060.0
31/03/2026,SMI,SMI,6188.0,6122.0,6188.0,6055.0,337,2062993.0,57,10071240980.0
30/03/2026,SMI,SMI,5995.0,6039.0,6100.0,5962.0,474,2863865.0,71,9934698510.0
27/03/2026,SMI,SMI,6080.0,5820.0,6080.0,5820.0,714,4179075.0,125,9574423800.0
26/03/2026,SMI,SMI,5950.0,6000.0,6090.0,5811.0,807,4815209.0,86,9870540000.0
25/03/2026,SMI,SMI,5990.0,6115.0,6169.0,5990.0,2672,16151434.0,177,10059725350.0
24/03/2026,SMI,SMI,5762.0,5760.0,5820.0,5626.0,1241,7142110.0,149,9475718400.0
19/03/2026,SMI,SMI,6025.0,5760.0,6025.0,5760.0,1099,6479862.0,196,9475718400.0
18/03/2026,SMI,SMI,6400.0,6251.0,6490.0,6200.0,535,3365402.0,99,10283457590.0
17/03/2026,SMI,SMI,6400.0,6500.0,6518.0,6400.0,147,945625.0,22,10693085000.0
16/03/2026,SMI,SMI,6251.0,6400.0,6400.0,6160.0,353,2221560.0,70,10528576000.0
13/03/2026,SMI,SMI,6450.0,6600.0,6700.0,6410.0,906,5950338.0,52,10857594000.0
12/03/2026,SMI,SMI,6530.0,6550.0,6600.0,6460.0,400,2618186.0,38,10775339500.0
11/03/2026,SMI,SMI,6305.0,6491.0,6590.0,6305.0,111,720474.0,36,10678279190.0
10/03/2026,SMI,SMI,6600.0,6580.0,6626.0,6500.0,2011,13214408.0,114,10824692200.0
09/03/2026,SMI,SMI,6200.0,6025.0,6300.0,5901.0,730,4439966.0,136,9911667250.0
06/03/2026,SMI,SMI,6790.0,6498.0,6790.0,6400.0,803,5225847.0,116,10689794820.0
05/03/2026,SMI,SMI,6969.0,6799.0,6969.0,6799.0,388,2651969.0,64,11184966910.0
04/03/2026,SMI,SMI,6900.0,6970.0,7099.0,6500.0,2969,20341022.0,201,11466277300.0
03/03/2026,SMI,SMI,6750.0,6750.0,7000.0,6750.0,2627,17765316.0,181,11104357500.0
02/03/2026,SMI,SMI,7350.0,7499.0,7680.0,7300.0,2147,16150994.0,334,12336529910.0
27/02/2026,SMI,SMI,6984.0,6984.0,6984.0,6984.0,1296,9051264.0,67,11489308560.0
26/02/2026,SMI,SMI,6655.0,6350.0,6655.0,6306.0,1792,11540835.0,159,10446321500.0
25/02/2026,SMI,SMI,6500.0,6650.0,6698.0,6411.0,2951,19482552.0,229,10939848500.0
24/02/2026,SMI,SMI,6195.0,6261.0,6286.0,6195.0,1619,10120583.0,159,10299908490.0
23/02/2026,SMI,SMI,5943.0,6185.0,6200.0,5900.0,2604,15865300.0,255,10174881650.0
20/02/2026,SMI,SMI,5680.0,5824.0,5880.0,5680.0,634,3666500.0,78,9581004160.0
19/02/2026,SMI,SMI,5748.0,5550.0,5748.0,5513.0,396,2221418.0,68,9130249500.0
18/02/2026,SMI,SMI,5494.0,5689.0,5795.0,5374.0,1558,8679082.0,151,9358917010.0
17/02/2026,SMI,SMI,5701.0,5350.0,5701.0,5350.0,2555,13875945.0,239,8801231500.0
16/02/2026,SMI,SMI,5831.0,5775.0,5831.0,5657.0,472,2702700.0,59,9500394750.0
13/02/2026,SMI,SMI,5750.0,5849.0,5900.0,5504.0,2154,12267393.0,185,9622131410.0
12/02/2026,SMI,SMI,5699.0,5800.0,5903.0,5680.0,1444,8325121.0,172,9541522000.0
11/02/2026,SMI,SMI,5440.0,5695.0,5779.0,5440.0,522,2962060.0,101,9368787550.0
10/02/2026,SMI,SMI,5580.0,5449.0,5599.0,5301.0,1012,5493100.0,146,8964095410.0
09/02/2026,SMI,SMI,5505.0,5583.0,5700.0,5460.0,780,4345937.0,138,9184537470.0
06/02/2026,SMI,SMI,5120.0,5300.0,5444.0,5023.0,6289,32432056.0,341,8718977000.0
05/02/2026,SMI,SMI,5950.0,5581.0,5950.0,5581.0,5783,33705185.0,378,9181247290.0
04/02/2026,SMI,SMI,6250.0,6200.0,6398.0,6200.0,4599,28705763.0,142,10199558000.0
03/02/2026,SMI,SMI,6120.0,6150.0,6399.0,6120.0,4524,27985673.0,316,10117303500.0
02/02/2026,SMI,SMI,5955.0,5955.0,5955.0,5955.0,319,1899645.0,19,9796510950.0
30/01/2026,SMI,SMI,7014.0,6616.0,7014.0,6616.0,5181,34783434.0,429,10883915440.0
29/01/2026,SMI,SMI,7300.0,7350.0,7399.0,7260.0,2947,21605012.0,258,12091411500.0
28/01/2026,SMI,SMI,7079.0,7052.0,7150.0,6950.0,2462,17432524.0,209,11601174680.0
27/01/2026,SMI,SMI,6751.0,6859.0,6997.0,6595.0,1148,7761762.0,188,11283672310.0
26/01/2026,SMI,SMI,6500.0,6701.0,6800.0,6500.0,2002,13353541.0,238,11023748090.0
23/01/2026,SMI,SMI,6100.0,6200.0,6219.0,6100.0,1599,9899293.0,201,10199558000.0
22/01/2026,SMI,SMI,5980.0,5921.0,6002.0,5920.0,280,1667351.0,83,9740577890.0
21/01/2026,SMI,SMI,6005.0,6089.0,6140.0,6005.0,1190,7246386.0,110,10016953010.0
20/01/2026,SMI,SMI,5845.0,5950.0,6100.0,5830.0,1904,11350057.0,183,9788285500.0
19/01/2026,SMI,SMI,5842.0,5800.0,5886.0,5670.0,950,5544045.0,140,9541522000.0
16/01/2026,SMI,SMI,5851.0,5450.0,5980.0,5421.0,1583,8846527.0,268,8965740500.0
15/01/2026,SMI,SMI,6254.0,6000.0,6256.0,5715.0,6425,39491753.0,588,9870540000.0
13/01/2026,SMI,SMI,5584.0,5688.0,5688.0,5500.0,7637,43183919.0,296,9357271920.0
12/01/2026,SMI,SMI,4881.0,5171.0,5171.0,4881.0,3606,18180847.0,166,8506760390.0
09/01/2026,SMI,SMI,4566.0,4701.0,4750.0,4566.0,2712,12731029.0,135,7733568090.0
08/01/2026,SMI,SMI,4748.0,4550.0,4748.0,4500.0,2051,9418937.0,176,7485159500.0
07/01/2026,SMI,SMI,4600.0,4556.0,4849.0,4550.0,3048,14025716.0,201,7495030040.0
06/01/2026,SMI,SMI,4500.0,4468.0,4620.0,4300.0,1902,8358674.0,136,7350262120.0
17/03/2026,SMI,SMI,6400.0,6500.0,6518.0,6400.0,147,945625.0,22,10693085000.0
16/03/2026,SMI,SMI,6251.0,6400.0,6400.0,6160.0,353,2221560.0,70,10528576000.0
13/03/2026,SMI,SMI,6450.0,6600.0,6700.0,6410.0,906,5950338.0,52,10857594000.0
12/03/2026,SMI,SMI,6530.0,6550.0,6600.0,6460.0,400,2618186.0,38,10775339500.0
11/03/2026,SMI,SMI,6305.0,6491.0,6590.0,6305.0,111,720474.0,36,10678279190.0
10/03/2026,SMI,SMI,6600.0,6580.0,6626.0,6500.0,2011,13214408.0,114,10824692200.0
09/03/2026,SMI,SMI,6200.0,6025.0,6300.0,5901.0,730,4439966.0,136,9911667250.0
06/03/2026,SMI,SMI,6790.0,6498.0,6790.0,6400.0,803,5225847.0,116,10689794820.0
05/03/2026,SMI,SMI,6969.0,6799.0,6969.0,6799.0,388,2651969.0,64,11184966910.0
04/03/2026,SMI,SMI,6900.0,6970.0,7099.0,6500.0,2969,20341022.0,201,11466277300.0
03/03/2026,SMI,SMI,6750.0,6750.0,7000.0,6750.0,2627,17765316.0,181,11104357500.0
02/03/2026,SMI,SMI,7350.0,7499.0,7680.0,7300.0,2147,16150994.0,334,12336529910.0
27/02/2026,SMI,SMI,6984.0,6984.0,6984.0,6984.0,1296,9051264.0,67,11489308560.0
26/02/2026,SMI,SMI,6655.0,6350.0,6655.0,6306.0,1792,11540835.0,159,10446321500.0
25/02/2026,SMI,SMI,6500.0,6650.0,6698.0,6411.0,2951,19482552.0,229,10939848500.0
24/02/2026,SMI,SMI,6195.0,6261.0,6286.0,6195.0,1619,10120583.0,159,10299908490.0
23/02/2026,SMI,SMI,5943.0,6185.0,6200.0,5900.0,2604,15865300.0,255,10174881650.0
20/02/2026,SMI,SMI,5680.0,5824.0,5880.0,5680.0,634,3666500.0,78,9581004160.0
19/02/2026,SMI,SMI,5748.0,5550.0,5748.0,5513.0,396,2221418.0,68,9130249500.0
18/02/2026,SMI,SMI,5494.0,5689.0,5795.0,5374.0,1558,8679082.0,151,9358917010.0
17/02/2026,SMI,SMI,5701.0,5350.0,5701.0,5350.0,2555,13875945.0,239,8801231500.0
04/12/2025,SMI,SMI,2830.0,2880.0,2880.0,2802.0,983,2792581.0,53,4737859200.0
03/12/2025,SMI,SMI,2755.0,2800.0,2805.0,2755.0,1395,3880564.0,37,4606252000.0
02/12/2025,SMI,SMI,2760.0,2760.0,2760.0,2744.0,271,747719.0,21,4540448400.0
01/12/2025,SMI,SMI,2744.0,2750.0,2775.0,2740.0,5065,13930227.0,49,4523997500.0
28/11/2025,SMI,SMI,2700.0,2743.0,2745.0,2700.0,538,1460639.0,56,4512481870.0
27/11/2025,SMI,SMI,2600.0,2600.0,2605.0,2600.0,178,462900.0,10,4277234000.0
26/11/2025,SMI,SMI,2616.0,2616.0,2616.0,2616.0,109,285144.0,5,4303555440.0
25/11/2025,SMI,SMI,-,2616.0,-,-,-,-,-,4303555440.0
24/11/2025,SMI,SMI,2616.0,2616.0,2616.0,2616.0,4,10464.0,3,4303555440.0
21/11/2025,SMI,SMI,2552.0,2619.0,2619.0,2552.0,5,12827.0,2,4308490710.0
20/11/2025,SMI,SMI,2600.0,2600.0,2620.0,2550.0,459,1190193.0,13,4277234000.0
19/11/2025,SMI,SMI,2638.0,2600.0,2638.0,2590.0,38,99252.0,11,4277234000.0
17/11/2025,SMI,SMI,2648.0,2639.0,2648.0,2600.0,13,34358.0,3,4341392510.0
14/11/2025,SMI,SMI,2694.0,2600.0,2694.0,2571.0,40,103846.0,9,4277234000.0
13/11/2025,SMI,SMI,2650.0,2650.0,2697.0,2650.0,1115,2956727.0,36,4359488500.0
12/11/2025,SMI,SMI,2505.0,2597.0,2600.0,2505.0,16,41281.0,5,4272298730.0
11/11/2025,SMI,SMI,2600.0,2600.0,2600.0,2510.0,536,1362640.0,32,4277234000.0
10/11/2025,SMI,SMI,2562.0,2570.0,2648.0,2562.0,139,361131.0,20,4227881300.0
07/11/2025,SMI,SMI,2600.0,2561.0,2648.0,2561.0,145,376947.0,17,4213075490.0
05/11/2025,SMI,SMI,2560.0,2599.0,2600.0,2559.0,449,1163683.0,32,4275588910.0
04/11/2025,SMI,SMI,2600.0,2639.0,2639.0,2600.0,19,49439.0,2,4341392510.0
03/11/2025,SMI,SMI,2604.0,2600.0,2610.0,2600.0,124,322813.0,11,4277234000.0
31/10/2025,SMI,SMI,2602.0,2613.0,2644.0,2602.0,156,407134.0,14,4298620170.0
30/10/2025,SMI,SMI,2615.0,2600.0,2615.0,2590.0,246,641568.0,18,4277234000.0
29/10/2025,SMI,SMI,2560.0,2615.0,2670.0,2560.0,556,1452529.0,34,4301910350.0
28/10/2025,SMI,SMI,2606.0,2516.0,2695.0,2516.0,1191,3032000.0,69,4139046440.0
27/10/2025,SMI,SMI,2681.0,2680.0,2726.0,2680.0,365,982629.0,33,4408841200.0
24/10/2025,SMI,SMI,2673.0,2691.0,2726.0,2670.0,169,455052.0,20,4426937190.0
23/10/2025,SMI,SMI,2650.0,2727.0,2727.0,2650.0,928,2477908.0,4,4486160430.0
05/01/2026,SMI,SMI,4230.0,4450.0,4450.0,4220.0,533,2330279.0,112,7320650500.0
02/01/2026,SMI,SMI,4118.0,4200.0,4260.0,4000.0,2827,11623188.0,120,6909378000.0
31/12/2025,SMI,SMI,4089.0,4100.0,4100.0,3975.0,4405,17829044.0,90,6744869000.0
30/12/2025,SMI,SMI,4070.0,4100.0,4100.0,3911.0,492,2003552.0,53,6744869000.0
29/12/2025,SMI,SMI,4088.0,3900.0,4088.0,3850.0,371,1466493.0,70,6415851000.0
26/12/2025,SMI,SMI,3960.0,3900.0,4139.0,3900.0,1816,7360912.0,141,6415851000.0
25/12/2025,SMI,SMI,4091.0,3930.0,4091.0,3915.0,386,1549740.0,77,6465203700.0
24/12/2025,SMI,SMI,3888.0,4055.0,4100.0,3888.0,2215,8845417.0,155,6670839950.0
23/12/2025,SMI,SMI,3875.0,3775.0,3875.0,3691.0,641,2383885.0,47,6210214750.0
22/12/2025,SMI,SMI,3500.0,3658.0,3684.0,3499.0,1455,5304600.0,76,6017739220.0
19/12/2025,SMI,SMI,3348.0,3350.0,3455.0,3348.0,4159,14062012.0,133,5511051500.0
18/12/2025,SMI,SMI,3220.0,3300.0,3300.0,3219.0,1345,4428029.0,42,5428797000.0
17/12/2025,SMI,SMI,3247.0,3220.0,3247.0,3167.0,229,736868.0,31,5297189800.0
16/12/2025,SMI,SMI,3237.0,3228.0,3250.0,3155.0,87,280883.0,17,5310350520.0
15/12/2025,SMI,SMI,3249.0,3238.0,3250.0,3144.0,287,916054.0,38,5326801420.0
12/12/2025,SMI,SMI,3100.0,3166.0,3253.0,3100.0,904,2864616.0,51,5208354940.0
11/12/2025,SMI,SMI,3060.0,3180.0,3180.0,3051.0,751,2327078.0,56,5231386200.0
10/12/2025,SMI,SMI,2996.0,3050.0,3050.0,2930.0,3307,9926818.0,92,5017524500.0
09/12/2025,SMI,SMI,2830.0,2920.0,2920.0,2830.0,434,1259968.0,13,4803662800.0
08/12/2025,SMI,SMI,2880.0,2883.0,2890.0,2810.0,147,423595.0,6,4742794470.0
05/12/2025,SMI,SMI,2850.0,2861.0,2900.0,2850.0,208,598429.0,27,4706602490.0
04/12/2025,SMI,SMI,2830.0,2880.0,2880.0,2802.0,983,2792581.0,53,4737859200.0
03/12/2025,SMI,SMI,2755.0,2800.0,2805.0,2755.0,1395,3880564.0,37,4606252000.0
02/12/2025,SMI,SMI,2760.0,2760.0,2760.0,2744.0,271,747719.0,21,4540448400.0
01/12/2025,SMI,SMI,2744.0,2750.0,2775.0,2740.0,5065,13930227.0,49,4523997500.0
28/11/2025,SMI,SMI,2700.0,2743.0,2745.0,2700.0,538,1460639.0,56,4512481870.0
27/11/2025,SMI,SMI,2600.0,2600.0,2605.0,2600.0,178,462900.0,10,4277234000.0
