Séance,Instrument,Ticker,Ouverture,Dernier_Cours,haut_du_jour,bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
03/06/2026,SNEP,SNP,376.0,370.0,376.0,370.0,9,3343.0,4,888000000.0
02/06/2026,SNEP,SNP,372.0,375.0,375.0,370.0,1161,432382.75,45,900000000.0
01/06/2026,SNEP,SNP,377.0,370.5,378.0,370.5,72,26878.5,10,889200000.0
26/05/2026,SNEP,SNP,371.1,377.0,377.95,371.1,176,65719.6,12,904800000.0
25/05/2026,SNEP,SNP,375.0,378.0,380.0,375.0,219,82526.9,19,907200000.0
22/05/2026,SNEP,SNP,377.0,377.0,379.0,375.0,172,64720.0,16,904800000.0
21/05/2026,SNEP,SNP,380.0,376.0,380.0,376.0,92,34752.0,10,902400000.0
20/05/2026,SNEP,SNP,380.0,375.0,380.0,375.0,702,265456.0,21,900000000.0
19/05/2026,SNEP,SNP,375.6,379.0,380.0,375.6,91,34522.5,9,909600000.0
18/05/2026,SNEP,SNP,380.0,375.0,380.0,375.0,454,171115.7,29,900000000.0
15/05/2026,SNEP,SNP,380.0,378.0,380.0,376.0,2626,993684.5,47,907200000.0
14/05/2026,SNEP,SNP,385.0,380.0,385.0,380.0,860,328346.05,56,912000000.0
13/05/2026,SNEP,SNP,386.0,385.0,386.0,383.1,595,229403.0,22,924000000.0
12/05/2026,SNEP,SNP,387.0,386.0,387.9,385.0,453,174558.25,22,926400000.0
11/05/2026,SNEP,SNP,390.0,386.0,390.0,385.15,644,249451.05,32,926400000.0
08/05/2026,SNEP,SNP,388.0,388.0,390.0,388.0,501,194644.25,30,931200000.0
07/05/2026,SNEP,SNP,389.0,388.0,395.0,387.2,8940,3464880.1,45,931200000.0
06/05/2026,SNEP,SNP,392.0,390.0,392.0,389.5,302,117685.65,13,936000000.0
05/05/2026,SNEP,SNP,388.1,387.1,391.0,386.0,429,166804.0,15,929040000.0
04/05/2026,SNEP,SNP,392.0,388.1,392.0,386.0,397,154454.9,15,931440000.0
30/04/2026,SNEP,SNP,388.0,388.0,389.0,387.0,146,56609.7,17,931200000.0
29/04/2026,SNEP,SNP,387.0,390.0,390.0,387.0,234,90618.0,8,936000000.0
28/04/2026,SNEP,SNP,393.5,390.0,394.0,389.5,10784,4216847.6,16,936000000.0
27/04/2026,SNEP,SNP,392.0,392.0,392.0,387.0,132,51604.7,8,940800000.0
24/04/2026,SNEP,SNP,390.05,386.1,393.0,386.0,1052,407689.0,35,926640000.0
