Séance,Instrument,Ticker,Ouverture,Dernier_Cours,haut_du_jour,bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
09/04/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2170.0,2200.0,2200.0,2170.0,43,93400.0,3,6225236600.0
08/04/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2200.0,2220.0,2220.0,2200.0,23,50640.0,4,6281829660.0
07/04/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2208.0,2200.0,2208.0,2200.0,22,48512.0,3,6225236600.0
06/04/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2250.0,2250.0,2250.0,2250.0,5,11250.0,1,6366719250.0
03/04/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2150.0,2258.0,2258.0,2150.0,23544,50619816.0,44,6389356474.0
02/04/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2270.0,2270.0,2270.0,2270.0,2,4540.0,1,6423312310.0
01/04/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2090.0,2200.0,2275.0,2090.0,59,130290.0,5,6225236600.0
31/03/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2280.0,2250.0,2280.0,2250.0,9,20340.0,2,6366719250.0
30/03/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2290.0,2290.0,2290.0,2290.0,3,6870.0,1,6479905370.0
27/03/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2255.0,2150.0,2340.0,2150.0,3862,8801871.0,33,6083753950.0
26/03/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2135.0,2227.0,2227.0,2135.0,2650,5890308.0,25,6301637231.0
25/03/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2100.0,2025.0,2100.0,2025.0,164,335400.0,5,5730047325.0
24/03/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2001.0,2001.0,2001.0,2001.0,10,20010.0,3,5662135653.0
19/03/2026,SOCIETE DES BOISSONS DU MAROC,SBM,-,2140.0,-,-,-,-,-,6055457420.0
18/03/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2140.0,2140.0,2140.0,2140.0,103,220420.0,10,6055457420.0
17/03/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2078.0,2078.0,2078.0,2078.0,10,20780.0,2,5880018934.0
16/03/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2078.0,2078.0,2078.0,2078.0,5,10390.0,1,5880018934.0
13/03/2026,SOCIETE DES BOISSONS DU MAROC,SBM,1973.0,1950.0,2090.0,1950.0,137,267639.0,8,5517823350.0
12/03/2026,SOCIETE DES BOISSONS DU MAROC,SBM,1999.0,1973.0,2140.0,1973.0,111,219363.0,9,5582905369.0
11/03/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2178.0,1950.0,2178.0,1950.0,303,591534.0,13,5517823350.0
10/03/2026,SOCIETE DES BOISSONS DU MAROC,SBM,1999.0,1990.0,2000.0,1990.0,634,1262950.0,17,5631009470.0
09/03/2026,SOCIETE DES BOISSONS DU MAROC,SBM,1998.0,1990.0,1999.0,1990.0,53,105850.0,4,5631009470.0
06/03/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2000.0,2000.0,2000.0,2000.0,14,28000.0,3,5659306000.0
05/03/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2000.0,2000.0,2000.0,2000.0,52,104000.0,6,5659306000.0
04/03/2026,SOCIETE DES BOISSONS DU MAROC,SBM,1993.0,1997.0,2000.0,1990.0,46,91652.0,13,5650817041.0
03/03/2026,SOCIETE DES BOISSONS DU MAROC,SBM,1997.0,1995.0,1997.0,1994.0,27,53874.0,8,5645157735.0
02/03/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2000.0,2000.0,2000.0,2000.0,96,192000.0,10,5659306000.0
27/02/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2050.0,2000.0,2050.0,2000.0,798,1603395.0,33,5659306000.0
26/02/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2100.0,2100.0,2100.0,2100.0,2,4200.0,1,5942271300.0
25/02/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2100.0,2100.0,2100.0,2100.0,15,31500.0,5,5942271300.0
24/02/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2110.0,2110.0,2110.0,2110.0,5,10550.0,3,5970567830.0
23/02/2026,SOCIETE DES BOISSONS DU MAROC,SBM,-,2100.0,-,-,-,-,-,5942271300.0
20/02/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2120.0,2100.0,2130.0,2100.0,1578,3314027.0,11,5942271300.0
19/02/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2150.0,2149.0,2150.0,2149.0,326,700575.0,2,6080924297.0
18/02/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2170.0,2188.0,2188.0,2170.0,312,682440.0,3,6191280764.0
17/02/2026,SOCIETE DES BOISSONS DU MAROC,SBM,-,2198.0,-,-,-,-,-,6219577294.0
16/02/2026,SOCIETE DES BOISSONS DU MAROC,SBM,-,2198.0,-,-,-,-,-,6219577294.0
13/02/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2108.0,2198.0,2198.0,2108.0,9,19242.0,2,6219577294.0
12/02/2026,SOCIETE DES BOISSONS DU MAROC,SBM,-,2199.0,-,-,-,-,-,6222406947.0
11/02/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2120.0,2199.0,2199.0,2080.0,2025,4213102.0,10,6222406947.0
10/02/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2120.0,2120.0,2120.0,2120.0,2,4240.0,1,5998864360.0
09/02/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2195.0,2193.0,2195.0,2130.0,12,25881.0,3,6205429029.0
06/02/2026,SOCIETE DES BOISSONS DU MAROC,SBM,-,2209.0,-,-,-,-,-,6250703477.0
05/02/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2150.0,2209.0,2210.0,2150.0,21,45483.0,7,6250703477.0
04/02/2026,SOCIETE DES BOISSONS DU MAROC,SBM,-,2199.0,-,-,-,-,-,6222406947.0
03/02/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2199.0,2199.0,2199.0,2199.0,2,4398.0,1,6222406947.0
02/02/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2122.0,2122.0,2210.0,2122.0,21,44738.0,3,6004523666.0
30/01/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2120.0,2210.0,2210.0,2120.0,22,46820.0,3,6253533130.0
29/01/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2130.0,2220.0,2220.0,2130.0,3,6570.0,3,6281829660.0
28/01/2026,SOCIETE DES BOISSONS DU MAROC,SBM,-,2221.0,-,-,-,-,-,6284659313.0
27/01/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2222.0,2221.0,2222.0,2115.0,9,19884.0,6,6284659313.0
26/01/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2247.0,2244.0,2247.0,2155.0,29,63593.0,4,6349741332.0
23/01/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2101.0,2249.0,2249.0,2101.0,42,88538.0,6,6363889597.0
22/01/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2200.0,2249.0,2249.0,2170.0,62,134793.0,6,6363889597.0
21/01/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2202.0,2240.0,2240.0,2200.0,3,6642.0,3,6338422720.0
20/01/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2205.0,2240.0,2280.0,2201.0,30,66286.0,6,6338422720.0
19/01/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2202.0,2289.0,2289.0,2202.0,4,8982.0,2,6477075717.0
16/01/2026,SOCIETE DES BOISSONS DU MAROC,SBM,-,2294.0,-,-,-,-,-,6491223982.0
15/01/2026,SOCIETE DES BOISSONS DU MAROC,SBM,-,2294.0,-,-,-,-,-,6491223982.0
13/01/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2294.0,2294.0,2294.0,2210.0,26,59476.0,7,6491223982.0
12/01/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2294.0,2294.0,2294.0,2294.0,1,2294.0,1,6491223982.0
09/01/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2290.0,2290.0,2290.0,2290.0,300,687000.0,1,6479905370.0
08/01/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2295.0,2290.0,2295.0,2290.0,35,80300.0,4,6479905370.0
07/01/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2298.0,2298.0,2298.0,2298.0,100,229800.0,5,6502542594.0
06/01/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2290.0,2289.0,2290.0,2150.0,73,162828.0,6,6477075717.0
17/03/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2078.0,2078.0,2078.0,2078.0,10,20780.0,2,5880018934.0
16/03/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2078.0,2078.0,2078.0,2078.0,5,10390.0,1,5880018934.0
13/03/2026,SOCIETE DES BOISSONS DU MAROC,SBM,1973.0,1950.0,2090.0,1950.0,137,267639.0,8,5517823350.0
12/03/2026,SOCIETE DES BOISSONS DU MAROC,SBM,1999.0,1973.0,2140.0,1973.0,111,219363.0,9,5582905369.0
11/03/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2178.0,1950.0,2178.0,1950.0,303,591534.0,13,5517823350.0
10/03/2026,SOCIETE DES BOISSONS DU MAROC,SBM,1999.0,1990.0,2000.0,1990.0,634,1262950.0,17,5631009470.0
09/03/2026,SOCIETE DES BOISSONS DU MAROC,SBM,1998.0,1990.0,1999.0,1990.0,53,105850.0,4,5631009470.0
06/03/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2000.0,2000.0,2000.0,2000.0,14,28000.0,3,5659306000.0
05/03/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2000.0,2000.0,2000.0,2000.0,52,104000.0,6,5659306000.0
04/03/2026,SOCIETE DES BOISSONS DU MAROC,SBM,1993.0,1997.0,2000.0,1990.0,46,91652.0,13,5650817041.0
03/03/2026,SOCIETE DES BOISSONS DU MAROC,SBM,1997.0,1995.0,1997.0,1994.0,27,53874.0,8,5645157735.0
02/03/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2000.0,2000.0,2000.0,2000.0,96,192000.0,10,5659306000.0
27/02/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2050.0,2000.0,2050.0,2000.0,798,1603395.0,33,5659306000.0
26/02/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2100.0,2100.0,2100.0,2100.0,2,4200.0,1,5942271300.0
25/02/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2100.0,2100.0,2100.0,2100.0,15,31500.0,5,5942271300.0
24/02/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2110.0,2110.0,2110.0,2110.0,5,10550.0,3,5970567830.0
23/02/2026,SOCIETE DES BOISSONS DU MAROC,SBM,-,2100.0,-,-,-,-,-,5942271300.0
20/02/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2120.0,2100.0,2130.0,2100.0,1578,3314027.0,11,5942271300.0
19/02/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2150.0,2149.0,2150.0,2149.0,326,700575.0,2,6080924297.0
18/02/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2170.0,2188.0,2188.0,2170.0,312,682440.0,3,6191280764.0
17/02/2026,SOCIETE DES BOISSONS DU MAROC,SBM,-,2198.0,-,-,-,-,-,6219577294.0
16/02/2026,SOCIETE DES BOISSONS DU MAROC,SBM,-,2198.0,-,-,-,-,-,6219577294.0
13/02/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2108.0,2198.0,2198.0,2108.0,9,19242.0,2,6219577294.0
12/02/2026,SOCIETE DES BOISSONS DU MAROC,SBM,-,2199.0,-,-,-,-,-,6222406947.0
11/02/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2120.0,2199.0,2199.0,2080.0,2025,4213102.0,10,6222406947.0
10/02/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2120.0,2120.0,2120.0,2120.0,2,4240.0,1,5998864360.0
09/02/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2195.0,2193.0,2195.0,2130.0,12,25881.0,3,6205429029.0
06/02/2026,SOCIETE DES BOISSONS DU MAROC,SBM,-,2209.0,-,-,-,-,-,6250703477.0
05/02/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2150.0,2209.0,2210.0,2150.0,21,45483.0,7,6250703477.0
04/02/2026,SOCIETE DES BOISSONS DU MAROC,SBM,-,2199.0,-,-,-,-,-,6222406947.0
03/02/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2199.0,2199.0,2199.0,2199.0,2,4398.0,1,6222406947.0
02/02/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2122.0,2122.0,2210.0,2122.0,21,44738.0,3,6004523666.0
30/01/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2120.0,2210.0,2210.0,2120.0,22,46820.0,3,6253533130.0
29/01/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2130.0,2220.0,2220.0,2130.0,3,6570.0,3,6281829660.0
28/01/2026,SOCIETE DES BOISSONS DU MAROC,SBM,-,2221.0,-,-,-,-,-,6284659313.0
27/01/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2222.0,2221.0,2222.0,2115.0,9,19884.0,6,6284659313.0
26/01/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2247.0,2244.0,2247.0,2155.0,29,63593.0,4,6349741332.0
23/01/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2101.0,2249.0,2249.0,2101.0,42,88538.0,6,6363889597.0
22/01/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2200.0,2249.0,2249.0,2170.0,62,134793.0,6,6363889597.0
21/01/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2202.0,2240.0,2240.0,2200.0,3,6642.0,3,6338422720.0
20/01/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2205.0,2240.0,2280.0,2201.0,30,66286.0,6,6338422720.0
19/01/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2202.0,2289.0,2289.0,2202.0,4,8982.0,2,6477075717.0
16/01/2026,SOCIETE DES BOISSONS DU MAROC,SBM,-,2294.0,-,-,-,-,-,6491223982.0
15/01/2026,SOCIETE DES BOISSONS DU MAROC,SBM,-,2294.0,-,-,-,-,-,6491223982.0
13/01/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2294.0,2294.0,2294.0,2210.0,26,59476.0,7,6491223982.0
12/01/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2294.0,2294.0,2294.0,2294.0,1,2294.0,1,6491223982.0
09/01/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2290.0,2290.0,2290.0,2290.0,300,687000.0,1,6479905370.0
08/01/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2295.0,2290.0,2295.0,2290.0,35,80300.0,4,6479905370.0
07/01/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2298.0,2298.0,2298.0,2298.0,100,229800.0,5,6502542594.0
06/01/2026,SOCIETE DES BOISSONS DU MAROC,SBM,2290.0,2289.0,2290.0,2150.0,73,162828.0,6,6477075717.0
05/01/2026,SOCIETE DES BOISSONS DU MAROC,SBM,-,2290.0,-,-,-,-,-,6479905370.0
02/01/2026,SOCIETE DES BOISSONS DU MAROC,SBM,-,2290.0,-,-,-,-,-,6479905370.0
31/12/2025,SOCIETE DES BOISSONS DU MAROC,SBM,2298.0,2290.0,2298.0,2290.0,408,934384.0,7,6479905370.0
30/12/2025,SOCIETE DES BOISSONS DU MAROC,SBM,-,2300.0,-,-,-,-,-,6508201900.0
29/12/2025,SOCIETE DES BOISSONS DU MAROC,SBM,-,2300.0,-,-,-,-,-,6508201900.0
26/12/2025,SOCIETE DES BOISSONS DU MAROC,SBM,-,2300.0,-,-,-,-,-,6508201900.0
25/12/2025,SOCIETE DES BOISSONS DU MAROC,SBM,-,2300.0,-,-,-,-,-,6508201900.0
24/12/2025,SOCIETE DES BOISSONS DU MAROC,SBM,2300.0,2300.0,2300.0,2300.0,6,13800.0,2,6508201900.0
23/12/2025,SOCIETE DES BOISSONS DU MAROC,SBM,2210.0,2300.0,2300.0,2207.0,349,798215.0,11,6508201900.0
22/12/2025,SOCIETE DES BOISSONS DU MAROC,SBM,2270.0,2270.0,2270.0,2210.0,4,9020.0,3,6423312310.0
19/12/2025,SOCIETE DES BOISSONS DU MAROC,SBM,2269.0,2250.0,2270.0,2250.0,1377,3098483.0,8,6366719250.0
18/12/2025,SOCIETE DES BOISSONS DU MAROC,SBM,2155.0,2200.0,2274.0,2155.0,35,77275.0,7,6225236600.0
17/12/2025,SOCIETE DES BOISSONS DU MAROC,SBM,2275.0,2275.0,2275.0,2275.0,10,22750.0,1,6437460575.0
16/12/2025,SOCIETE DES BOISSONS DU MAROC,SBM,-,2278.0,-,-,-,-,-,6445949534.0
15/12/2025,SOCIETE DES BOISSONS DU MAROC,SBM,-,2278.0,-,-,-,-,-,6445949534.0
12/12/2025,SOCIETE DES BOISSONS DU MAROC,SBM,-,2278.0,-,-,-,-,-,6445949534.0
11/12/2025,SOCIETE DES BOISSONS DU MAROC,SBM,-,2278.0,-,-,-,-,-,6445949534.0
10/12/2025,SOCIETE DES BOISSONS DU MAROC,SBM,-,2278.0,-,-,-,-,-,6445949534.0
09/12/2025,SOCIETE DES BOISSONS DU MAROC,SBM,2151.0,2278.0,2278.0,2151.0,4,8858.0,3,6445949534.0
08/12/2025,SOCIETE DES BOISSONS DU MAROC,SBM,2279.0,2279.0,2279.0,2279.0,4,9116.0,1,6448779187.0
05/12/2025,SOCIETE DES BOISSONS DU MAROC,SBM,-,2285.0,-,-,-,-,-,6465757105.0
04/12/2025,SOCIETE DES BOISSONS DU MAROC,SBM,-,2285.0,-,-,-,-,-,6465757105.0
03/12/2025,SOCIETE DES BOISSONS DU MAROC,SBM,2285.0,2285.0,2285.0,2285.0,80,182800.0,8,6465757105.0
02/12/2025,SOCIETE DES BOISSONS DU MAROC,SBM,2141.0,2233.0,2233.0,2140.0,161,352124.0,8,6318615149.0
01/12/2025,SOCIETE DES BOISSONS DU MAROC,SBM,2141.0,2140.0,2141.0,2140.0,231,494349.0,5,6055457420.0
28/11/2025,SOCIETE DES BOISSONS DU MAROC,SBM,2141.0,2141.0,2141.0,2141.0,1,2141.0,1,6058287073.0
27/11/2025,SOCIETE DES BOISSONS DU MAROC,SBM,2141.0,2194.0,2194.0,2140.0,22,47190.0,4,6208258682.0
26/11/2025,SOCIETE DES BOISSONS DU MAROC,SBM,2140.0,2140.0,2140.0,2140.0,1,2140.0,1,6055457420.0
