Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
17/03/2026,SODEP-Marsa Maroc,MSA,765.0,755.0,765.0,755.0,32580,24606447.5,110,55413678000.0
16/03/2026,SODEP-Marsa Maroc,MSA,755.0,750.0,755.0,747.1,36081,27062843.5,185,55046700000.0
13/03/2026,SODEP-Marsa Maroc,MSA,764.0,748.0,764.0,747.0,58896,44118829.1,307,54899908800.0
12/03/2026,SODEP-Marsa Maroc,MSA,760.0,753.9,760.0,753.0,53391,40362417.1,251,55332942840.0
11/03/2026,SODEP-Marsa Maroc,MSA,770.0,753.0,770.0,745.0,33505,25242180.3,317,55266886800.0
10/03/2026,SODEP-Marsa Maroc,MSA,775.0,750.0,775.0,750.0,55608,42198515.1,367,55046700000.0
09/03/2026,SODEP-Marsa Maroc,MSA,760.0,740.0,760.0,740.0,23181,17297912.6,464,54312744000.0
06/03/2026,SODEP-Marsa Maroc,MSA,788.0,760.0,788.0,756.0,92912,70818597.5,679,55780656000.0
05/03/2026,SODEP-Marsa Maroc,MSA,748.8,754.9,759.0,740.0,134894,101206981.5,541,55406338440.0
04/03/2026,SODEP-Marsa Maroc,MSA,730.0,720.0,759.0,720.0,95167,69671854.7,1266,52844832000.0
03/03/2026,SODEP-Marsa Maroc,MSA,780.0,702.1,780.0,702.1,121601,87261248.3,1008,51531050760.0
02/03/2026,SODEP-Marsa Maroc,MSA,798.0,780.0,798.0,770.0,51638,40536823.3,723,57248568000.0
27/02/2026,SODEP-Marsa Maroc,MSA,884.0,830.0,884.0,830.0,69499,58674404.2,364,60918348000.0
26/02/2026,SODEP-Marsa Maroc,MSA,890.0,878.0,890.0,878.0,24162,21320442.8,203,64441336800.0
25/02/2026,SODEP-Marsa Maroc,MSA,905.0,885.0,905.0,885.0,9313,8321739.2,139,64955106000.0
24/02/2026,SODEP-Marsa Maroc,MSA,900.0,889.0,900.1,889.0,20368,18198596.9,169,65248688400.0
23/02/2026,SODEP-Marsa Maroc,MSA,907.0,900.0,907.0,900.0,9063,8159627.1,98,66056040000.0
20/02/2026,SODEP-Marsa Maroc,MSA,907.4,905.0,907.7,898.0,48381,43774811.9,104,66423018000.0
19/02/2026,SODEP-Marsa Maroc,MSA,909.0,907.4,912.0,905.0,7208,6550103.3,64,66599167440.0
18/02/2026,SODEP-Marsa Maroc,MSA,912.0,907.0,915.0,902.0,14250,12934618.0,123,66569809200.0
17/02/2026,SODEP-Marsa Maroc,MSA,914.0,913.0,915.0,911.0,10033,9155049.5,100,67010182800.0
16/02/2026,SODEP-Marsa Maroc,MSA,914.0,925.0,925.0,902.0,27504,25143792.5,136,67890930000.0
13/02/2026,SODEP-Marsa Maroc,MSA,915.0,900.0,915.0,900.0,49283,44420787.1,129,66056040000.0
12/02/2026,SODEP-Marsa Maroc,MSA,900.0,909.0,909.0,897.0,27641,24940614.4,120,66716600400.0
11/02/2026,SODEP-Marsa Maroc,MSA,900.0,897.0,900.0,891.0,2073,1859887.2,82,65835853200.0
10/02/2026,SODEP-Marsa Maroc,MSA,900.0,889.0,900.0,883.0,16221,14444868.2,149,65248688400.0
09/02/2026,SODEP-Marsa Maroc,MSA,919.0,883.0,919.0,883.0,8139,7264555.1,197,64808314800.0
06/02/2026,SODEP-Marsa Maroc,MSA,885.0,901.0,910.0,871.0,60145,53932593.2,414,66129435600.0
05/02/2026,SODEP-Marsa Maroc,MSA,910.0,889.0,914.9,889.0,33270,29944416.8,505,65248688400.0
04/02/2026,SODEP-Marsa Maroc,MSA,930.0,915.0,934.8,912.0,14317,13125045.7,144,67156974000.0
03/02/2026,SODEP-Marsa Maroc,MSA,932.0,925.0,937.9,925.0,6774,6291242.8,91,67890930000.0
02/02/2026,SODEP-Marsa Maroc,MSA,920.0,939.0,939.0,911.0,11031,10271914.4,137,68918468400.0
30/01/2026,SODEP-Marsa Maroc,MSA,948.0,932.0,948.0,931.2,12078,11280588.4,106,68404699200.0
29/01/2026,SODEP-Marsa Maroc,MSA,950.0,949.0,952.0,932.0,14107,13356681.4,165,69652424400.0
28/01/2026,SODEP-Marsa Maroc,MSA,915.0,940.0,940.0,915.0,28577,26713096.2,110,68991864000.0
27/01/2026,SODEP-Marsa Maroc,MSA,905.0,910.2,914.0,900.0,24495,22272817.4,162,66804675120.0
26/01/2026,SODEP-Marsa Maroc,MSA,920.0,899.0,920.0,895.1,21522,19466918.7,403,65982644400.0
23/01/2026,SODEP-Marsa Maroc,MSA,939.9,920.1,940.0,920.1,35442,32699154.8,147,67531291560.0
22/01/2026,SODEP-Marsa Maroc,MSA,935.0,924.9,946.0,921.0,8086,7559151.7,173,67883590440.0
21/01/2026,SODEP-Marsa Maroc,MSA,948.0,919.0,948.0,919.0,6640,6127879.7,177,67450556400.0
20/01/2026,SODEP-Marsa Maroc,MSA,940.0,929.0,948.9,920.0,6148,5708808.4,249,68184512400.0
19/01/2026,SODEP-Marsa Maroc,MSA,954.0,942.0,954.0,931.0,6454,6101984.2,114,69138655200.0
16/01/2026,SODEP-Marsa Maroc,MSA,964.0,954.9,964.0,950.0,23642,22522370.9,155,70085458440.0
