Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
16/03/2026,SONASID,SID,1851.0,1850.0,1899.0,1850.0,500,926069.0,34,7215000000.0
13/03/2026,SONASID,SID,1838.0,1800.0,1838.0,1800.0,6284,11413151.0,55,7020000000.0
12/03/2026,SONASID,SID,1875.0,1825.0,1875.0,1810.0,3539,6413078.0,28,7117500000.0
11/03/2026,SONASID,SID,1890.0,1810.0,1890.0,1810.0,1844,3350160.0,24,7059000000.0
10/03/2026,SONASID,SID,1876.0,1800.0,1895.0,1800.0,1821,3336343.0,47,7020000000.0
09/03/2026,SONASID,SID,1804.0,1815.0,1825.0,1804.0,91,164452.0,16,7078500000.0
06/03/2026,SONASID,SID,1944.0,1897.0,1945.0,1860.0,1542,2926807.0,41,7398300000.0
05/03/2026,SONASID,SID,1964.0,1899.0,1964.0,1805.0,1555,2919032.0,37,7406100000.0
04/03/2026,SONASID,SID,1719.0,1801.0,1838.0,1719.0,546,982220.0,59,7023900000.0
03/03/2026,SONASID,SID,1720.0,1684.0,1799.0,1680.0,3278,5522437.0,87,6567600000.0
02/03/2026,SONASID,SID,1900.0,1856.0,1950.0,1851.0,5981,11370806.0,91,7238400000.0
27/02/2026,SONASID,SID,2026.0,2050.0,2070.0,2026.0,3552,7280540.0,13,7995000000.0
26/02/2026,SONASID,SID,2070.0,2070.0,2089.0,2070.0,4504,9323356.0,5,8073000000.0
25/02/2026,SONASID,SID,2055.0,2098.0,2098.0,2050.0,140,290888.0,14,8182200000.0
24/02/2026,SONASID,SID,2100.0,2070.0,2100.0,2070.0,2006,4152571.0,4,8073000000.0
23/02/2026,SONASID,SID,2120.0,2070.0,2120.0,2070.0,1526,3159278.0,12,8073000000.0
20/02/2026,SONASID,SID,2120.0,2100.0,2120.0,2051.0,2612,5420534.0,20,8190000000.0
19/02/2026,SONASID,SID,2119.0,2095.0,2128.0,2070.0,1091,2259446.0,11,8170500000.0
18/02/2026,SONASID,SID,2003.0,2099.0,2099.0,2000.0,368,746856.0,21,8186100000.0
17/02/2026,SONASID,SID,2000.0,2050.0,2070.0,1995.0,392,801616.0,11,7995000000.0
16/02/2026,SONASID,SID,2099.0,2070.0,2099.0,2050.0,2222,4559828.0,12,8073000000.0
13/02/2026,SONASID,SID,2076.0,2070.0,2076.0,2069.0,1080,2235622.0,11,8073000000.0
12/02/2026,SONASID,SID,2020.0,2020.0,2096.0,1992.0,137,276001.0,19,7878000000.0
