Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
19/03/2026,SOTHEMA,SOT,1650.0,1628.0,1650.0,1585.0,626,1003350.0,11,12383753184.0
18/03/2026,SOTHEMA,SOT,1657.0,1657.0,1657.0,1600.0,14,22742.0,4,12604348296.0
17/03/2026,SOTHEMA,SOT,1580.0,1580.0,1648.0,1580.0,347,549653.0,20,12018630240.0
16/03/2026,SOTHEMA,SOT,1610.0,1571.0,1644.0,1571.0,146,233025.0,21,11950169688.0
13/03/2026,SOTHEMA,SOT,1621.0,1555.0,1677.0,1555.0,1784,2839848.0,39,11828462040.0
12/03/2026,SOTHEMA,SOT,1650.0,1668.0,1668.0,1650.0,3,4986.0,2,12688022304.0
11/03/2026,SOTHEMA,SOT,1670.0,1620.0,1680.0,1615.0,756,1231260.0,18,12322899360.0
10/03/2026,SOTHEMA,SOT,1694.0,1600.0,1695.0,1600.0,127,209520.0,22,12170764800.0
09/03/2026,SOTHEMA,SOT,1520.0,1600.0,1720.0,1520.0,223,352356.0,35,12170764800.0
06/03/2026,SOTHEMA,SOT,1700.0,1600.0,1700.0,1600.0,61,98321.0,19,12170764800.0
05/03/2026,SOTHEMA,SOT,1680.0,1675.0,1680.0,1615.0,51,85447.0,11,12741269400.0
04/03/2026,SOTHEMA,SOT,1600.0,1600.0,1750.0,1600.0,554,889596.0,36,12170764800.0
03/03/2026,SOTHEMA,SOT,1641.0,1600.0,1780.0,1600.0,110,179275.0,33,12170764800.0
02/03/2026,SOTHEMA,SOT,1650.0,1622.0,1750.0,1620.0,44,73310.0,17,12338112816.0
27/02/2026,SOTHEMA,SOT,1780.0,1735.0,1780.0,1735.0,365,635398.0,13,13197673080.0
26/02/2026,SOTHEMA,SOT,1775.0,1739.0,1790.0,1739.0,215,374680.0,9,13228099992.0
25/02/2026,SOTHEMA,SOT,1790.0,1775.0,1790.0,1775.0,102,181080.0,3,13501942200.0
24/02/2026,SOTHEMA,SOT,1770.0,1790.0,1790.0,1770.0,11,19670.0,2,13616043120.0
23/02/2026,SOTHEMA,SOT,1792.0,1792.0,1792.0,1792.0,1,1792.0,1,13631256576.0
20/02/2026,SOTHEMA,SOT,1755.0,1792.0,1792.0,1750.0,39,68486.0,6,13631256576.0
