Séance,Instrument,Ticker,Ouverture,Dernier_Cours,haut_du_jour,bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
09/04/2026,STOKVIS NORD AFRIQUE,SNA,72.8,72.3,72.8,71.5,5222,377193.81,75,1279359345.0
08/04/2026,STOKVIS NORD AFRIQUE,SNA,72.5,72.75,74.0,71.5,25000,1816171.06,223,1287322162.5
07/04/2026,STOKVIS NORD AFRIQUE,SNA,70.0,67.7,70.0,67.0,13893,939464.64,177,1197961655.0
06/04/2026,STOKVIS NORD AFRIQUE,SNA,70.1,69.0,70.55,69.0,11294,784021.59,142,1220965350.0
03/04/2026,STOKVIS NORD AFRIQUE,SNA,70.99,70.5,70.99,69.16,4003,280313.53,61,1247508075.0
02/04/2026,STOKVIS NORD AFRIQUE,SNA,69.99,70.0,71.0,69.99,6107,428128.82,69,1238660500.0
01/04/2026,STOKVIS NORD AFRIQUE,SNA,71.0,69.74,72.0,69.0,26560,1862202.69,210,1234059761.0
31/03/2026,STOKVIS NORD AFRIQUE,SNA,69.0,69.1,70.6,69.0,4925,341233.71,96,1222734865.0
30/03/2026,STOKVIS NORD AFRIQUE,SNA,69.5,70.1,70.92,69.5,6315,442978.89,87,1240430015.0
27/03/2026,STOKVIS NORD AFRIQUE,SNA,70.0,70.0,70.99,69.0,25154,1755210.17,164,1238660500.0
26/03/2026,STOKVIS NORD AFRIQUE,SNA,73.0,70.99,73.0,68.1,14806,1040601.99,182,1256178698.5
25/03/2026,STOKVIS NORD AFRIQUE,SNA,72.2,73.0,73.0,70.64,6903,497909.2,92,1291745950.0
24/03/2026,STOKVIS NORD AFRIQUE,SNA,72.5,71.9,72.95,70.0,9695,695956.63,122,1272281285.0
19/03/2026,STOKVIS NORD AFRIQUE,SNA,72.99,71.95,72.99,71.0,4879,351905.26,57,1273166042.5
18/03/2026,STOKVIS NORD AFRIQUE,SNA,72.0,72.79,73.0,72.0,5525,401807.59,69,1288029968.5
17/03/2026,STOKVIS NORD AFRIQUE,SNA,70.0,70.0,73.0,70.0,14320,1008219.63,103,1238660500.0
16/03/2026,STOKVIS NORD AFRIQUE,SNA,70.0,69.81,72.5,69.81,22550,1584247.11,135,1235298421.5
13/03/2026,STOKVIS NORD AFRIQUE,SNA,75.0,73.0,75.0,73.0,6389,469446.32,104,1291745950.0
12/03/2026,STOKVIS NORD AFRIQUE,SNA,73.2,74.8,75.0,73.2,3910,288028.98,61,1323597220.0
11/03/2026,STOKVIS NORD AFRIQUE,SNA,76.0,73.5,76.0,73.0,3337,248779.46,67,1300593525.0
10/03/2026,STOKVIS NORD AFRIQUE,SNA,76.98,75.0,76.98,74.5,35288,2672460.35,197,1327136250.0
09/03/2026,STOKVIS NORD AFRIQUE,SNA,72.5,70.0,72.5,67.41,16780,1165919.32,204,1238660500.0
06/03/2026,STOKVIS NORD AFRIQUE,SNA,80.1,74.0,82.0,74.0,37751,2905786.48,423,1309441100.0
05/03/2026,STOKVIS NORD AFRIQUE,SNA,73.0,76.94,76.94,71.1,40273,3004766.19,361,1361464841.0
04/03/2026,STOKVIS NORD AFRIQUE,SNA,59.0,69.95,69.95,59.0,116697,7681311.99,767,1237775742.5
03/03/2026,STOKVIS NORD AFRIQUE,SNA,63.6,63.6,63.6,63.6,8346,530805.6,123,1125411540.0
02/03/2026,STOKVIS NORD AFRIQUE,SNA,70.66,70.66,70.66,70.66,7327,517725.82,118,1250339299.0
27/02/2026,STOKVIS NORD AFRIQUE,SNA,85.6,78.5,87.5,77.77,124727,9926761.3,920,1389069275.0
26/02/2026,STOKVIS NORD AFRIQUE,SNA,85.48,86.0,86.8,85.48,3839,329801.57,67,1521782900.0
25/02/2026,STOKVIS NORD AFRIQUE,SNA,87.9,86.51,87.9,85.0,11754,1009468.87,163,1530807426.5
24/02/2026,STOKVIS NORD AFRIQUE,SNA,86.51,86.1,88.8,86.0,14837,1282351.93,213,1523552415.0
23/02/2026,STOKVIS NORD AFRIQUE,SNA,90.48,85.33,90.48,84.1,42202,3655010.77,463,1509927149.5
20/02/2026,STOKVIS NORD AFRIQUE,SNA,90.0,89.02,91.5,89.0,18667,1669964.8,147,1575222253.0
19/02/2026,STOKVIS NORD AFRIQUE,SNA,93.0,89.33,94.0,89.01,16549,1498569.81,132,1580707749.5
18/02/2026,STOKVIS NORD AFRIQUE,SNA,90.16,92.7,98.0,90.16,27042,2556522.13,283,1640340405.0
17/02/2026,STOKVIS NORD AFRIQUE,SNA,92.9,92.0,93.0,91.6,1638,150842.6,30,1627953800.0
