Séance,Instrument,Ticker,Ouverture,Dernier_Cours,haut_du_jour,bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
09/04/2026,STROC INDUSTRIE,STR,166.5,162.55,167.0,158.15,1069,173705.2,26,202946113.25
08/04/2026,STROC INDUSTRIE,STR,162.0,166.15,169.0,162.0,1469,242348.25,65,207440767.25
07/04/2026,STROC INDUSTRIE,STR,160.0,158.95,160.0,151.5,1472,232134.0,48,198451459.25
06/04/2026,STROC INDUSTRIE,STR,161.3,158.0,165.0,158.0,3112,496536.45,61,197265370.0
03/04/2026,STROC INDUSTRIE,STR,164.0,161.3,164.0,161.1,174,28201.25,16,201385469.5
02/04/2026,STROC INDUSTRIE,STR,164.0,163.2,164.0,160.0,1223,196547.65,52,203757648.0
01/04/2026,STROC INDUSTRIE,STR,164.45,163.05,166.0,163.0,557,91738.95,21,203570370.75
31/03/2026,STROC INDUSTRIE,STR,168.8,164.35,168.8,163.0,276,45331.95,21,205193440.25
30/03/2026,STROC INDUSTRIE,STR,169.95,164.0,169.95,163.0,954,157734.45,32,204756460.0
27/03/2026,STROC INDUSTRIE,STR,174.0,164.95,174.0,164.0,2144,354251.2,35,205942549.25
26/03/2026,STROC INDUSTRIE,STR,165.2,164.0,166.0,164.0,801,132296.0,20,204756460.0
25/03/2026,STROC INDUSTRIE,STR,165.95,165.0,165.95,160.5,1020,166609.95,29,206004975.0
24/03/2026,STROC INDUSTRIE,STR,165.0,160.0,165.0,160.0,581,93438.05,40,199762400.0
19/03/2026,STROC INDUSTRIE,STR,171.0,161.0,171.0,160.0,2335,382084.75,68,201010915.0
18/03/2026,STROC INDUSTRIE,STR,164.7,165.0,167.5,163.0,811,134259.4,30,206004975.0
17/03/2026,STROC INDUSTRIE,STR,162.0,164.7,164.75,160.0,908,147405.05,24,205630420.5
16/03/2026,STROC INDUSTRIE,STR,161.0,162.0,164.0,160.0,1492,239223.35,38,202259430.0
13/03/2026,STROC INDUSTRIE,STR,167.0,163.0,167.0,160.2,469,76414.1,22,203507945.0
12/03/2026,STROC INDUSTRIE,STR,170.0,164.95,170.0,160.4,1036,170467.25,37,205942549.25
11/03/2026,STROC INDUSTRIE,STR,171.0,165.0,171.0,159.5,8309,1350970.7,132,206004975.0
10/03/2026,STROC INDUSTRIE,STR,178.0,170.0,178.0,169.0,2206,379916.4,66,212247550.0
09/03/2026,STROC INDUSTRIE,STR,157.45,164.05,166.5,157.45,3387,545268.35,103,204818885.75
06/03/2026,STROC INDUSTRIE,STR,177.1,174.9,186.0,166.0,4160,718368.0,122,218365273.5
05/03/2026,STROC INDUSTRIE,STR,168.0,174.0,175.9,168.0,4246,730313.85,113,217241610.0
04/03/2026,STROC INDUSTRIE,STR,153.0,166.0,171.0,153.0,15497,2497302.1,275,207253490.0
03/03/2026,STROC INDUSTRIE,STR,166.5,158.85,170.0,158.85,3306,534952.55,110,198326607.75
02/03/2026,STROC INDUSTRIE,STR,176.45,176.45,176.45,176.45,1346,237501.7,51,220300471.75
27/02/2026,STROC INDUSTRIE,STR,205.0,196.0,206.0,191.65,13935,2781711.95,409,244708940.0
26/02/2026,STROC INDUSTRIE,STR,212.7,212.9,216.0,211.1,536,114147.0,23,265808843.5
25/02/2026,STROC INDUSTRIE,STR,216.0,212.0,218.0,212.0,1016,218570.0,38,264685180.0
24/02/2026,STROC INDUSTRIE,STR,215.05,215.05,221.4,215.05,1397,301394.4,50,268493150.75
23/02/2026,STROC INDUSTRIE,STR,224.0,219.0,224.0,219.0,342,75056.0,17,273424785.0
20/02/2026,STROC INDUSTRIE,STR,227.45,219.0,227.45,218.0,649,142103.15,23,273424785.0
19/02/2026,STROC INDUSTRIE,STR,218.25,219.1,225.0,218.25,432,95128.45,21,273549636.5
18/02/2026,STROC INDUSTRIE,STR,225.0,225.0,225.0,225.0,212,47700.0,10,280915875.0
17/02/2026,STROC INDUSTRIE,STR,229.9,228.0,232.0,228.0,1883,431730.15,46,284661420.0
16/02/2026,STROC INDUSTRIE,STR,232.2,227.5,232.2,220.0,1481,332991.2,44,284037162.5
13/02/2026,STROC INDUSTRIE,STR,220.1,217.0,222.0,216.1,1748,381743.1,61,270927755.0
12/02/2026,STROC INDUSTRIE,STR,220.0,226.0,226.0,218.0,485,108260.25,27,282164390.0
11/02/2026,STROC INDUSTRIE,STR,220.0,220.0,220.0,216.0,546,118553.7,30,274673300.0
10/02/2026,STROC INDUSTRIE,STR,220.0,219.95,220.5,216.55,664,144982.4,31,274610874.25
09/02/2026,STROC INDUSTRIE,STR,229.0,220.0,229.0,220.0,3025,669466.9,86,274673300.0
06/02/2026,STROC INDUSTRIE,STR,216.05,228.0,228.0,216.0,1894,420716.4,47,284661420.0
05/02/2026,STROC INDUSTRIE,STR,224.1,215.15,229.0,215.15,2711,603372.15,70,268618002.25
04/02/2026,STROC INDUSTRIE,STR,229.95,224.0,229.95,222.7,828,185298.85,30,279667360.0
03/02/2026,STROC INDUSTRIE,STR,228.6,230.0,233.9,220.0,1727,390820.2,55,287158450.0
02/02/2026,STROC INDUSTRIE,STR,228.2,234.95,244.1,226.0,1563,356287.55,66,293338599.25
30/01/2026,STROC INDUSTRIE,STR,237.0,238.0,239.5,230.0,1052,245529.8,46,297146570.0
29/01/2026,STROC INDUSTRIE,STR,259.0,236.25,259.0,231.3,2863,713252.45,88,294961668.75
28/01/2026,STROC INDUSTRIE,STR,225.0,247.45,247.45,225.0,5389,1310775.7,120,308945036.75
27/01/2026,STROC INDUSTRIE,STR,229.0,225.0,229.0,220.0,583,131571.0,21,280915875.0
26/01/2026,STROC INDUSTRIE,STR,228.0,221.9,228.0,206.1,3591,778455.85,150,277045478.5
23/01/2026,STROC INDUSTRIE,STR,243.0,228.0,243.0,226.0,5116,1173742.35,160,284661420.0
22/01/2026,STROC INDUSTRIE,STR,233.65,242.0,248.95,233.65,1089,264533.7,43,302140630.0
21/01/2026,STROC INDUSTRIE,STR,235.0,238.0,239.7,230.0,1145,267639.05,43,297146570.0
20/01/2026,STROC INDUSTRIE,STR,238.0,237.0,243.0,226.2,3971,921622.6,119,295898055.0
19/01/2026,STROC INDUSTRIE,STR,241.3,238.0,249.0,238.0,4034,968283.75,91,297146570.0
16/01/2026,STROC INDUSTRIE,STR,248.0,246.55,254.0,240.7,2553,629416.4,87,307821373.25
15/01/2026,STROC INDUSTRIE,STR,264.0,249.9,265.0,249.0,5813,1468014.45,164,312003898.5
13/01/2026,STROC INDUSTRIE,STR,273.0,262.0,273.0,260.0,6692,1754292.65,90,327110930.0
12/01/2026,STROC INDUSTRIE,STR,275.0,273.0,275.0,263.0,11055,2993555.95,92,340844595.0
09/01/2026,STROC INDUSTRIE,STR,270.75,270.0,277.0,267.0,23080,6327310.5,144,337099050.0
08/01/2026,STROC INDUSTRIE,STR,270.0,270.75,272.0,263.0,5171,1379374.85,79,338035436.25
07/01/2026,STROC INDUSTRIE,STR,278.0,270.0,279.45,262.1,3507,953645.8,92,337099050.0
06/01/2026,STROC INDUSTRIE,STR,270.0,276.5,279.95,270.0,9276,2561699.85,164,345214397.5
17/03/2026,STROC INDUSTRIE,STR,162.0,164.7,164.75,160.0,908,147405.05,24,205630420.5
16/03/2026,STROC INDUSTRIE,STR,161.0,162.0,164.0,160.0,1492,239223.35,38,202259430.0
13/03/2026,STROC INDUSTRIE,STR,167.0,163.0,167.0,160.2,469,76414.1,22,203507945.0
12/03/2026,STROC INDUSTRIE,STR,170.0,164.95,170.0,160.4,1036,170467.25,37,205942549.25
11/03/2026,STROC INDUSTRIE,STR,171.0,165.0,171.0,159.5,8309,1350970.7,132,206004975.0
10/03/2026,STROC INDUSTRIE,STR,178.0,170.0,178.0,169.0,2206,379916.4,66,212247550.0
09/03/2026,STROC INDUSTRIE,STR,157.45,164.05,166.5,157.45,3387,545268.35,103,204818885.75
06/03/2026,STROC INDUSTRIE,STR,177.1,174.9,186.0,166.0,4160,718368.0,122,218365273.5
05/03/2026,STROC INDUSTRIE,STR,168.0,174.0,175.9,168.0,4246,730313.85,113,217241610.0
04/03/2026,STROC INDUSTRIE,STR,153.0,166.0,171.0,153.0,15497,2497302.1,275,207253490.0
03/03/2026,STROC INDUSTRIE,STR,166.5,158.85,170.0,158.85,3306,534952.55,110,198326607.75
02/03/2026,STROC INDUSTRIE,STR,176.45,176.45,176.45,176.45,1346,237501.7,51,220300471.75
27/02/2026,STROC INDUSTRIE,STR,205.0,196.0,206.0,191.65,13935,2781711.95,409,244708940.0
26/02/2026,STROC INDUSTRIE,STR,212.7,212.9,216.0,211.1,536,114147.0,23,265808843.5
25/02/2026,STROC INDUSTRIE,STR,216.0,212.0,218.0,212.0,1016,218570.0,38,264685180.0
24/02/2026,STROC INDUSTRIE,STR,215.05,215.05,221.4,215.05,1397,301394.4,50,268493150.75
23/02/2026,STROC INDUSTRIE,STR,224.0,219.0,224.0,219.0,342,75056.0,17,273424785.0
20/02/2026,STROC INDUSTRIE,STR,227.45,219.0,227.45,218.0,649,142103.15,23,273424785.0
19/02/2026,STROC INDUSTRIE,STR,218.25,219.1,225.0,218.25,432,95128.45,21,273549636.5
18/02/2026,STROC INDUSTRIE,STR,225.0,225.0,225.0,225.0,212,47700.0,10,280915875.0
17/02/2026,STROC INDUSTRIE,STR,229.9,228.0,232.0,228.0,1883,431730.15,46,284661420.0
16/02/2026,STROC INDUSTRIE,STR,232.2,227.5,232.2,220.0,1481,332991.2,44,284037162.5
13/02/2026,STROC INDUSTRIE,STR,220.1,217.0,222.0,216.1,1748,381743.1,61,270927755.0
12/02/2026,STROC INDUSTRIE,STR,220.0,226.0,226.0,218.0,485,108260.25,27,282164390.0
11/02/2026,STROC INDUSTRIE,STR,220.0,220.0,220.0,216.0,546,118553.7,30,274673300.0
10/02/2026,STROC INDUSTRIE,STR,220.0,219.95,220.5,216.55,664,144982.4,31,274610874.25
09/02/2026,STROC INDUSTRIE,STR,229.0,220.0,229.0,220.0,3025,669466.9,86,274673300.0
06/02/2026,STROC INDUSTRIE,STR,216.05,228.0,228.0,216.0,1894,420716.4,47,284661420.0
05/02/2026,STROC INDUSTRIE,STR,224.1,215.15,229.0,215.15,2711,603372.15,70,268618002.25
04/02/2026,STROC INDUSTRIE,STR,229.95,224.0,229.95,222.7,828,185298.85,30,279667360.0
03/02/2026,STROC INDUSTRIE,STR,228.6,230.0,233.9,220.0,1727,390820.2,55,287158450.0
02/02/2026,STROC INDUSTRIE,STR,228.2,234.95,244.1,226.0,1563,356287.55,66,293338599.25
30/01/2026,STROC INDUSTRIE,STR,237.0,238.0,239.5,230.0,1052,245529.8,46,297146570.0
29/01/2026,STROC INDUSTRIE,STR,259.0,236.25,259.0,231.3,2863,713252.45,88,294961668.75
28/01/2026,STROC INDUSTRIE,STR,225.0,247.45,247.45,225.0,5389,1310775.7,120,308945036.75
27/01/2026,STROC INDUSTRIE,STR,229.0,225.0,229.0,220.0,583,131571.0,21,280915875.0
26/01/2026,STROC INDUSTRIE,STR,228.0,221.9,228.0,206.1,3591,778455.85,150,277045478.5
23/01/2026,STROC INDUSTRIE,STR,243.0,228.0,243.0,226.0,5116,1173742.35,160,284661420.0
22/01/2026,STROC INDUSTRIE,STR,233.65,242.0,248.95,233.65,1089,264533.7,43,302140630.0
21/01/2026,STROC INDUSTRIE,STR,235.0,238.0,239.7,230.0,1145,267639.05,43,297146570.0
