Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
19/03/2026,TAQA MOROCCO,TQM,1794.0,1835.0,1849.0,1771.0,70176,128612053.0,56,43284974570.0
18/03/2026,TAQA MOROCCO,TQM,1875.0,1795.0,1875.0,1795.0,989,1782555.0,30,42341432890.0
17/03/2026,TAQA MOROCCO,TQM,1760.0,1820.0,1820.0,1760.0,34,61340.0,7,42931146440.0
16/03/2026,TAQA MOROCCO,TQM,1895.0,1760.0,1895.0,1760.0,3499,6468601.0,68,41515833920.0
13/03/2026,TAQA MOROCCO,TQM,1854.0,1760.0,1854.0,1751.0,4444,7832622.0,76,41515833920.0
12/03/2026,TAQA MOROCCO,TQM,1885.0,1859.0,1885.0,1840.0,4355,8020602.0,29,43851099578.0
11/03/2026,TAQA MOROCCO,TQM,1850.0,1833.0,1873.0,1822.0,1070,1965650.0,33,43237797486.0
10/03/2026,TAQA MOROCCO,TQM,1898.0,1819.0,1898.0,1819.0,154,283689.0,28,42907557898.0
09/03/2026,TAQA MOROCCO,TQM,1810.0,1790.0,1810.0,1750.0,686,1231592.0,44,42223490180.0
06/03/2026,TAQA MOROCCO,TQM,1920.0,1800.0,1920.0,1799.0,24596,45293288.0,134,42459375600.0
05/03/2026,TAQA MOROCCO,TQM,1725.0,1800.0,1819.0,1720.0,4516,7897868.0,67,42459375600.0
04/03/2026,TAQA MOROCCO,TQM,1630.0,1711.0,1783.0,1630.0,2638,4470566.0,146,40359995362.0
03/03/2026,TAQA MOROCCO,TQM,1744.0,1631.0,1769.0,1600.0,4953,8183357.0,181,38472912002.0
02/03/2026,TAQA MOROCCO,TQM,1820.0,1745.0,1860.0,1706.0,2754,4815515.0,159,41162005790.0
27/02/2026,TAQA MOROCCO,TQM,1899.0,1895.0,1899.0,1800.0,9387,17123761.0,186,44700287090.0
26/02/2026,TAQA MOROCCO,TQM,1919.0,1900.0,1919.0,1900.0,372,711529.0,43,44818229800.0
25/02/2026,TAQA MOROCCO,TQM,1919.0,1919.0,1920.0,1910.0,44,84349.0,11,45266412098.0
24/02/2026,TAQA MOROCCO,TQM,1939.0,1919.0,1939.0,1901.0,154,296156.0,26,45266412098.0
23/02/2026,TAQA MOROCCO,TQM,1948.0,1930.0,1948.0,1900.0,350,677546.0,44,45525886060.0
