Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
17/03/2026,TGCC S.A,TGC,698.0,708.4,709.0,698.0,5266,3717961.7,169,24563296788.8
16/03/2026,TGCC S.A,TGC,690.0,693.0,705.0,685.1,12871,8922808.2,340,24029312076.0
13/03/2026,TGCC S.A,TGC,710.0,680.0,710.0,680.0,94232,64829664.4,1222,23578545760.0
12/03/2026,TGCC S.A,TGC,715.5,709.0,715.5,707.9,17475,12397929.2,255,24584101388.0
11/03/2026,TGCC S.A,TGC,727.0,703.0,727.0,703.0,16318,11553147.6,457,24376055396.0
10/03/2026,TGCC S.A,TGC,734.0,711.0,739.8,711.0,60438,43525756.4,533,24653450052.0
09/03/2026,TGCC S.A,TGC,700.0,695.0,700.0,690.0,33992,23688044.1,879,24098660740.0
06/03/2026,TGCC S.A,TGC,764.0,720.0,764.0,720.0,120277,87235290.4,1167,24965519040.0
05/03/2026,TGCC S.A,TGC,719.0,745.0,745.0,715.0,32398,23755528.0,728,25832377340.0
04/03/2026,TGCC S.A,TGC,681.0,685.0,728.0,681.0,131202,91903250.3,1776,23751917420.0
03/03/2026,TGCC S.A,TGC,725.0,676.0,725.0,675.1,99013,67962503.0,1532,23439848432.0
02/03/2026,TGCC S.A,TGC,731.0,728.0,765.0,728.0,274081,205981512.9,1552,25242913696.0
27/02/2026,TGCC S.A,TGC,812.0,800.0,814.9,800.0,41203,33211988.3,535,27739465600.0
26/02/2026,TGCC S.A,TGC,820.0,810.0,820.0,810.0,7278,5919617.1,363,28086208920.0
25/02/2026,TGCC S.A,TGC,827.0,820.0,830.0,820.0,4826,3965416.6,261,28432952240.0
24/02/2026,TGCC S.A,TGC,830.0,825.5,834.0,825.5,17195,14230594.6,137,28623661066.0
23/02/2026,TGCC S.A,TGC,826.0,829.9,835.0,826.0,17122,14247787.7,148,28776228126.8
20/02/2026,TGCC S.A,TGC,838.0,839.0,839.0,830.0,21263,17786250.5,166,29091764548.0
19/02/2026,TGCC S.A,TGC,840.0,843.7,844.0,830.2,3420,2868868.2,140,29254733908.4
18/02/2026,TGCC S.A,TGC,840.0,840.0,845.0,837.0,15938,13431236.2,134,29126438880.0
17/02/2026,TGCC S.A,TGC,850.0,849.0,850.0,836.0,16386,13859018.9,188,29438507868.0
16/02/2026,TGCC S.A,TGC,846.0,854.0,859.0,846.0,20830,17752272.1,187,29611879528.0
13/02/2026,TGCC S.A,TGC,865.0,845.0,865.0,838.0,28889,24425522.4,173,29299810540.0
12/02/2026,TGCC S.A,TGC,825.0,846.0,846.0,825.0,15438,12908978.3,225,29334484872.0
11/02/2026,TGCC S.A,TGC,828.0,821.0,830.0,819.0,31092,25739014.2,202,28467626572.0
10/02/2026,TGCC S.A,TGC,830.0,820.0,833.0,820.0,8708,7160320.9,305,28432952240.0
09/02/2026,TGCC S.A,TGC,835.0,830.0,839.8,826.1,3257,2711057.0,184,28779695560.0
06/02/2026,TGCC S.A,TGC,830.0,834.3,839.0,821.0,51315,42449619.5,394,28928795187.6
05/02/2026,TGCC S.A,TGC,842.0,837.0,843.9,830.1,80332,67729344.2,293,29022415884.0
04/02/2026,TGCC S.A,TGC,841.0,840.0,849.0,840.0,39427,33290403.2,158,29126438880.0
