Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
16/03/2026,TOTALENERGIES MARKETING MAROC,TMA,1559.0,1559.0,1559.0,1550.0,133,207238.0,19,13968640000.0
13/03/2026,TOTALENERGIES MARKETING MAROC,TMA,1600.0,1540.0,1600.0,1540.0,2987,4637997.0,54,13798400000.0
12/03/2026,TOTALENERGIES MARKETING MAROC,TMA,1580.0,1575.0,1580.0,1575.0,31,48969.0,7,14112000000.0
11/03/2026,TOTALENERGIES MARKETING MAROC,TMA,1600.0,1550.0,1600.0,1550.0,945,1468492.0,64,13888000000.0
10/03/2026,TOTALENERGIES MARKETING MAROC,TMA,1598.0,1560.0,1640.0,1560.0,1854,2903606.0,55,13977600000.0
09/03/2026,TOTALENERGIES MARKETING MAROC,TMA,1650.0,1604.0,1650.0,1600.0,162,260191.0,30,14371840000.0
06/03/2026,TOTALENERGIES MARKETING MAROC,TMA,1638.0,1600.0,1638.0,1585.0,596,954579.0,35,14336000000.0
05/03/2026,TOTALENERGIES MARKETING MAROC,TMA,1584.0,1639.0,1640.0,1581.0,98,157122.0,23,14685440000.0
04/03/2026,TOTALENERGIES MARKETING MAROC,TMA,1572.0,1585.0,1585.0,1560.0,5623,8773608.0,43,14201600000.0
03/03/2026,TOTALENERGIES MARKETING MAROC,TMA,1693.0,1580.0,1693.0,1550.0,9039,14536208.0,74,14156800000.0
02/03/2026,TOTALENERGIES MARKETING MAROC,TMA,1700.0,1680.0,1700.0,1660.0,5214,8737950.0,103,15052800000.0
27/02/2026,TOTALENERGIES MARKETING MAROC,TMA,1700.0,1675.0,1700.0,1675.0,534,897306.0,17,15008000000.0
26/02/2026,TOTALENERGIES MARKETING MAROC,TMA,1700.0,1700.0,1720.0,1700.0,262,445580.0,13,15232000000.0
25/02/2026,TOTALENERGIES MARKETING MAROC,TMA,1667.0,1680.0,1700.0,1667.0,5927,9914304.0,29,15052800000.0
24/02/2026,TOTALENERGIES MARKETING MAROC,TMA,1650.0,1668.0,1677.0,1650.0,3631,6042515.0,27,14945280000.0
23/02/2026,TOTALENERGIES MARKETING MAROC,TMA,1654.0,1656.0,1660.0,1654.0,23,38063.0,10,14837760000.0
20/02/2026,TOTALENERGIES MARKETING MAROC,TMA,1644.0,1630.0,1669.0,1630.0,1427,2334337.0,41,14604800000.0
19/02/2026,TOTALENERGIES MARKETING MAROC,TMA,1654.0,1636.0,1654.0,1636.0,31,51126.0,8,14658560000.0
