Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
13/03/2026,UNIMER,UMR,160.0,160.0,160.0,160.0,100,16000.0,4,1826220800.0
12/03/2026,UNIMER,UMR,-,158.0,-,-,-,-,-,1803393040.0
11/03/2026,UNIMER,UMR,158.0,158.0,158.0,158.0,20,3160.0,1,1803393040.0
10/03/2026,UNIMER,UMR,-,159.5,-,-,-,-,-,1820513860.0
09/03/2026,UNIMER,UMR,-,159.5,-,-,-,-,-,1820513860.0
06/03/2026,UNIMER,UMR,-,159.5,-,-,-,-,-,1820513860.0
05/03/2026,UNIMER,UMR,-,159.5,-,-,-,-,-,1820513860.0
04/03/2026,UNIMER,UMR,159.5,159.5,159.5,159.5,50,7975.0,1,1820513860.0
03/03/2026,UNIMER,UMR,-,160.0,-,-,-,-,-,1826220800.0
02/03/2026,UNIMER,UMR,-,160.0,-,-,-,-,-,1826220800.0
27/02/2026,UNIMER,UMR,160.0,160.0,160.0,160.0,15,2400.0,2,1826220800.0
26/02/2026,UNIMER,UMR,-,160.0,-,-,-,-,-,1826220800.0
25/02/2026,UNIMER,UMR,160.0,160.0,160.0,160.0,25,4000.0,1,1826220800.0
24/02/2026,UNIMER,UMR,-,164.0,-,-,-,-,-,1871876320.0
23/02/2026,UNIMER,UMR,-,164.0,-,-,-,-,-,1871876320.0
20/02/2026,UNIMER,UMR,-,164.0,-,-,-,-,-,1871876320.0
19/02/2026,UNIMER,UMR,-,164.0,-,-,-,-,-,1871876320.0
18/02/2026,UNIMER,UMR,-,164.0,-,-,-,-,-,1871876320.0
17/02/2026,UNIMER,UMR,-,164.0,-,-,-,-,-,1871876320.0
16/02/2026,UNIMER,UMR,-,164.0,-,-,-,-,-,1871876320.0
13/02/2026,UNIMER,UMR,164.0,164.0,164.0,164.0,52,8528.0,4,1871876320.0
12/02/2026,UNIMER,UMR,160.0,160.0,160.0,160.0,25,4000.0,1,1826220800.0
11/02/2026,UNIMER,UMR,-,164.0,-,-,-,-,-,1871876320.0
10/02/2026,UNIMER,UMR,164.0,164.0,164.0,164.0,30,4920.0,1,1871876320.0
09/02/2026,UNIMER,UMR,-,165.0,-,-,-,-,-,1883290200.0
06/02/2026,UNIMER,UMR,-,165.0,-,-,-,-,-,1883290200.0
05/02/2026,UNIMER,UMR,165.0,165.0,165.0,165.0,21,3465.0,1,1883290200.0
04/02/2026,UNIMER,UMR,-,160.0,-,-,-,-,-,1826220800.0
03/02/2026,UNIMER,UMR,160.0,160.0,160.0,160.0,12,1920.0,2,1826220800.0
02/02/2026,UNIMER,UMR,-,165.0,-,-,-,-,-,1883290200.0
30/01/2026,UNIMER,UMR,-,165.0,-,-,-,-,-,1883290200.0
29/01/2026,UNIMER,UMR,165.0,165.0,165.0,165.0,3,495.0,1,1883290200.0
28/01/2026,UNIMER,UMR,165.0,165.0,165.0,165.0,2,330.0,1,1883290200.0
27/01/2026,UNIMER,UMR,160.0,160.0,160.0,160.0,20,3200.0,2,1826220800.0
26/01/2026,UNIMER,UMR,151.4,151.4,151.4,151.4,17,2573.8,2,1728061432.0
23/01/2026,UNIMER,UMR,160.0,160.0,160.0,160.0,35,5600.0,1,1826220800.0
22/01/2026,UNIMER,UMR,158.0,158.0,158.0,158.0,3,474.0,1,1803393040.0
21/01/2026,UNIMER,UMR,-,160.0,-,-,-,-,-,1826220800.0
20/01/2026,UNIMER,UMR,160.0,160.0,160.0,160.0,5,800.0,2,1826220800.0
19/01/2026,UNIMER,UMR,-,160.0,-,-,-,-,-,1826220800.0
16/01/2026,UNIMER,UMR,160.0,160.0,160.0,160.0,75,12000.0,3,1826220800.0
15/01/2026,UNIMER,UMR,160.0,160.0,160.0,160.0,10,1600.0,2,1826220800.0
13/01/2026,UNIMER,UMR,-,160.0,-,-,-,-,-,1826220800.0
12/01/2026,UNIMER,UMR,160.0,160.0,160.0,160.0,1,160.0,1,1826220800.0
09/01/2026,UNIMER,UMR,-,160.0,-,-,-,-,-,1826220800.0
08/01/2026,UNIMER,UMR,-,160.0,-,-,-,-,-,1826220800.0
07/01/2026,UNIMER,UMR,160.0,160.0,160.0,160.0,200,32000.0,3,1826220800.0
06/01/2026,UNIMER,UMR,151.5,151.5,151.5,151.5,50,7575.0,6,1729202820.0
05/01/2026,UNIMER,UMR,-,160.0,-,-,-,-,-,1826220800.0
02/01/2026,UNIMER,UMR,-,160.0,-,-,-,-,-,1826220800.0
13/03/2026,UNIMER,UMR,160.0,160.0,160.0,160.0,100,16000.0,4,1826220800.0
12/03/2026,UNIMER,UMR,-,158.0,-,-,-,-,-,1803393040.0
11/03/2026,UNIMER,UMR,158.0,158.0,158.0,158.0,20,3160.0,1,1803393040.0
10/03/2026,UNIMER,UMR,-,159.5,-,-,-,-,-,1820513860.0
09/03/2026,UNIMER,UMR,-,159.5,-,-,-,-,-,1820513860.0
06/03/2026,UNIMER,UMR,-,159.5,-,-,-,-,-,1820513860.0
05/03/2026,UNIMER,UMR,-,159.5,-,-,-,-,-,1820513860.0
04/03/2026,UNIMER,UMR,159.5,159.5,159.5,159.5,50,7975.0,1,1820513860.0
03/03/2026,UNIMER,UMR,-,160.0,-,-,-,-,-,1826220800.0
02/03/2026,UNIMER,UMR,-,160.0,-,-,-,-,-,1826220800.0
27/02/2026,UNIMER,UMR,160.0,160.0,160.0,160.0,15,2400.0,2,1826220800.0
26/02/2026,UNIMER,UMR,-,160.0,-,-,-,-,-,1826220800.0
25/02/2026,UNIMER,UMR,160.0,160.0,160.0,160.0,25,4000.0,1,1826220800.0
24/02/2026,UNIMER,UMR,-,164.0,-,-,-,-,-,1871876320.0
23/02/2026,UNIMER,UMR,-,164.0,-,-,-,-,-,1871876320.0
20/02/2026,UNIMER,UMR,-,164.0,-,-,-,-,-,1871876320.0
19/02/2026,UNIMER,UMR,-,164.0,-,-,-,-,-,1871876320.0
18/02/2026,UNIMER,UMR,-,164.0,-,-,-,-,-,1871876320.0
17/02/2026,UNIMER,UMR,-,164.0,-,-,-,-,-,1871876320.0
16/02/2026,UNIMER,UMR,-,164.0,-,-,-,-,-,1871876320.0
13/02/2026,UNIMER,UMR,164.0,164.0,164.0,164.0,52,8528.0,4,1871876320.0
12/02/2026,UNIMER,UMR,160.0,160.0,160.0,160.0,25,4000.0,1,1826220800.0
11/02/2026,UNIMER,UMR,-,164.0,-,-,-,-,-,1871876320.0
10/02/2026,UNIMER,UMR,164.0,164.0,164.0,164.0,30,4920.0,1,1871876320.0
09/02/2026,UNIMER,UMR,-,165.0,-,-,-,-,-,1883290200.0
06/02/2026,UNIMER,UMR,-,165.0,-,-,-,-,-,1883290200.0
05/02/2026,UNIMER,UMR,165.0,165.0,165.0,165.0,21,3465.0,1,1883290200.0
04/02/2026,UNIMER,UMR,-,160.0,-,-,-,-,-,1826220800.0
03/02/2026,UNIMER,UMR,160.0,160.0,160.0,160.0,12,1920.0,2,1826220800.0
02/02/2026,UNIMER,UMR,-,165.0,-,-,-,-,-,1883290200.0
30/01/2026,UNIMER,UMR,-,165.0,-,-,-,-,-,1883290200.0
29/01/2026,UNIMER,UMR,165.0,165.0,165.0,165.0,3,495.0,1,1883290200.0
28/01/2026,UNIMER,UMR,165.0,165.0,165.0,165.0,2,330.0,1,1883290200.0
27/01/2026,UNIMER,UMR,160.0,160.0,160.0,160.0,20,3200.0,2,1826220800.0
26/01/2026,UNIMER,UMR,151.4,151.4,151.4,151.4,17,2573.8,2,1728061432.0
23/01/2026,UNIMER,UMR,160.0,160.0,160.0,160.0,35,5600.0,1,1826220800.0
22/01/2026,UNIMER,UMR,158.0,158.0,158.0,158.0,3,474.0,1,1803393040.0
21/01/2026,UNIMER,UMR,-,160.0,-,-,-,-,-,1826220800.0
20/01/2026,UNIMER,UMR,160.0,160.0,160.0,160.0,5,800.0,2,1826220800.0
