Séance,Instrument,Ticker,Ouverture,Dernier_Cours,haut_du_jour,bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
03/06/2026,WAFA ASSURANCE,WAA,5673.0,5975.0,5975.0,5673.0,5,29572.0,4,20912500000.0
02/06/2026,WAFA ASSURANCE,WAA,5972.0,5900.0,6000.0,5900.0,47,280764.0,6,20650000000.0
01/06/2026,WAFA ASSURANCE,WAA,5793.0,5900.0,5900.0,5793.0,637,3725125.0,14,20650000000.0
26/05/2026,WAFA ASSURANCE,WAA,5972.0,5972.0,5972.0,5972.0,3,17916.0,1,20902000000.0
25/05/2026,WAFA ASSURANCE,WAA,-,5800.0,-,-,-,-,-,20300000000.0
22/05/2026,WAFA ASSURANCE,WAA,5800.0,5800.0,5800.0,5700.0,998,5716500.0,11,20300000000.0
21/05/2026,WAFA ASSURANCE,WAA,5850.0,5850.0,5850.0,5850.0,37,216450.0,2,20475000000.0
20/05/2026,WAFA ASSURANCE,WAA,5850.0,5850.0,5850.0,5850.0,118,690300.0,4,20475000000.0
19/05/2026,WAFA ASSURANCE,WAA,5745.0,5900.0,5900.0,5745.0,38,221190.0,8,20650000000.0
18/05/2026,WAFA ASSURANCE,WAA,5600.0,5600.0,5600.0,5600.0,1,5600.0,1,19600000000.0
15/05/2026,WAFA ASSURANCE,WAA,5580.0,5600.0,5600.0,5450.0,205,1140180.0,13,19600000000.0
14/05/2026,WAFA ASSURANCE,WAA,-,5750.0,-,-,-,-,-,20125000000.0
13/05/2026,WAFA ASSURANCE,WAA,5750.0,5750.0,5750.0,5301.0,650,3591154.0,13,20125000000.0
12/05/2026,WAFA ASSURANCE,WAA,-,5550.0,-,-,-,-,-,19425000000.0
11/05/2026,WAFA ASSURANCE,WAA,-,5550.0,-,-,-,-,-,19425000000.0
08/05/2026,WAFA ASSURANCE,WAA,5740.0,5550.0,5740.0,5550.0,205,1138700.0,3,19425000000.0
07/05/2026,WAFA ASSURANCE,WAA,5690.0,5740.0,5750.0,5690.0,290,1664108.0,17,20090000000.0
06/05/2026,WAFA ASSURANCE,WAA,-,5605.0,-,-,-,-,-,19617500000.0
